{'短评内容': '觉得还可以，性价比不错', '短评打分': 5}
{'短评内容': '房间装修简单，卫生比较差，水是黄的，很脏，服务一般，双人房158，价格一般', '短评打分': 1}
{'短评内容': '订给朋友住的，价格优惠，酒店都很干净，下次有朋友来还订这店。', '短评打分': 5}
{'短评内容': '性价比很高，但有一点不号（日式房因为是后改造的，通风不好，有发霉的味道，建议酒店多开窗和除湿', '短评打分': 5}
{'短评内容': '安静舒适，空间巨大，网络不是很快，布置挺别致。', '短评打分': 5}
{'短评内容': '价格相对实惠，卫生还可以，房间挺大的，还是不错吧。隔音差点，服务态度不错，', '短评打分': 5}
{'短评内容': '房间挺大，就是设施有点旧', '短评打分': 3}
{'短评内容': '酒店很干净很漂亮,所处地也比较安静,很合适住宿.可以办一张会员卡,还有折上折优惠', '短评打分': 5}
{'短评内容': '同样的价位去七天或如家好，配套设施齐全，空间宽敞。', '短评打分': 3}
{'短评内容': '不错的。这次住了三天，出差最重要就是干净和舒服啦。', '短评打分': 5}
{'短评内容': '觉得不错，继续订这个酒店了，估计还要住一晚的！', '短评打分': 5}
{'短评内容': '我入住的是“日式概念房”，房间比较小，只有一张1.5米的榻榻米，一台电视，没有椅子，但101元/晚，还是比较划算的。洗手间还算干净，房间有窗户，有wifi上网。', '短评打分': 5}
{'短评内容': ' 房间还行。', '短评打分': 3}
{'短评内容': '酒店环境优雅,房间整洁,值得推荐\u3000', '短评打分': 3}
{'短评内容': '因为她们的服务态度好才推荐 但是设备及睡眠用品该更新了 都残旧 被子发黄了 不更新的话价格应该降', '短评打分': 5}
{'短评内容': '卫生情况还可以，服务态度很好，出行方便。', '短评打分': 5}
{'短评内容': '很好的酒店，下次还会入住，服务员很好，特别是那个男服务员见到客人就打招呼微笑，不错。我会推荐朋友选择该酒店的。', '短评打分': 5}
{'短评内容': '这家店很一般，因为如果没有车的话，去市区也有段距离，我们经过湛江人民大道的时候发现也有这家的连锁，叫人民大道南店，就在人民路上，不远就是沃尔玛了。绿塘这家连电吹风都无，要问服务员要，觉得配套一般。', '短评打分': 1}
{'短评内容': '不错的经济型旅店,就是被子太薄,车位不多够', '短评打分': 3}
{'短评内容': '还不错，关键是有停车场，可惜没有早餐供应，吃饭要走100多米才有地方，不是特别方便', '短评打分': 5}
{'短评内容': '酒店还不错,价格也比较便宜', '短评打分': 5}
{'短评内容': '卫生还是不错，房间很干净，床单被罩也很干净，用的很放心。这点很满意。', '短评打分': 5}
{'短评内容': '性价比很高的酒店。就是没有早餐吃', '短评打分': 5}
{'短评内容': '酒店价格不贵，位于繁华地带，周边吃饭交通还行，内部挺干净，住的挺舒适的。', '短评打分': 5}
{'短评内容': '空间蛮大的，卫生打扫的很干净，隔音也很好，设施方面还可以，住的还比较舒适。', '短评打分': 5}
{'短评内容': '才158元，确实非常不错，就是前台办手续慢了点', '短评打分': 5}
{'短评内容': '相对湛江的其他酒店来说不管是硬件还是服务态度都还是不错的，但是价格根据湛江的消费水平来说还是有点高', '短评打分': 5}
{'短评内容': '位置比较好找，158的双人房比湛江很多120左右的破旧招待所要强很多，房间打扫的也很干净，就餐不是很方便，酒店能提供早餐就好了', '短评打分': 5}
{'短评内容': '酒店应是刚装修不太久，房间宽敞，环境是不错的，服务态度挺热情的，就是要去市中心要打的，交通不是很方便，', '短评打分': 5}
{'短评内容': '酒店类似如家，感觉很简洁，很舒适，价格也不贵，值得推荐。', '短评打分': 5}
{'短评内容': '空间挺大，打扫的挺干净，网速也挺快的，感觉挺不错的。', '短评打分': 5}
{'短评内容': '价格挺实惠的，住的挺舒适，下次还愿意住。', '短评打分': 5}
{'短评内容': '我觉得服务挺好的，晚上有事，能够做到随叫随到，态度也挺热情的，这点挺好。', '短评打分': 5}
{'短评内容': '房间总体环境不错，但是面积偏小，而且用阳光旅行网与酒店本身可能沟通不足，造成了一些不便！（估计审核通不过）', '短评打分': 5}
{'短评内容': '我入住的是￥158元豪华大床房，清明期间涨价到￥190元，在湛江这个价格算是偏贵，周边同级酒店相同房型大概￥128~150元（但不能网上预订）。这间酒店在马路边，比较容易找到，大床房比较宽畅。', '短评打分': 5}
