{'短评内容': '大品牌就是值得信赖，各方面都很好。', '短评打分': 5}
{'短评内容': '酒店开业时间不算太长，位置较好，出行方便。', '短评打分': 3}
{'短评内容': '酒店设施较旧，大堂像桑拿室，连风调都感觉不到，更奢望空调，客房走廊也如是。', '短评打分': 1}
{'短评内容': '酒店太旧，服务需要等待的时间很久。玻璃隔音非常差，广园路上的车流噪音不是一般的大，正常入睡比较困难', '短评打分': 1}
{'短评内容': '虽然酒店位置让出租车司机很为难，但是酒店服务确实很好！房间设施都很新！而且我们因为到店晚了，酒店还给我们升级到行政房，非常贴心！', '短评打分': 5}
{'短评内容': '早餐里新增了猪脚，泡椒凤爪，贴心又有新意，以后还会住', '短评打分': 5}
{'短评内容': '离火车东站十几分钟,内部还是佷干净,餐厅不错.', '短评打分': 5}
{'短评内容': '新增了台式电脑可以用，这次也用了健身房，挺不错，以后继续住~', '短评打分': 5}
{'短评内容': '性价比很高，酒店客房很好，下次还会入住，推荐！', '短评打分': 5}
{'短评内容': '酒店环境很好，房内设施大方整洁。整体不错！', '短评打分': 3}
{'短评内容': '一如既往的舒服，无论是大床，浴缸还是早餐，下次还来', '短评打分': 5}
{'短评内容': '各方面都不错，就是电梯速度太慢', '短评打分': 3}
{'短评内容': '很不错的酒店，很干净，服务态度很好，早餐也还不错，推荐', '短评打分': 5}
{'短评内容': '很不错的酒店，性价比挺高，去的时候给升级为行政大床房，算是意外的惊喜。', '短评打分': 5}
{'短评内容': '性价比很高的酒店，很舒服的大浴缸，大床，早餐也很不错，会一直去住', '短评打分': 5}
{'短评内容': '想当不错 物超所值 推荐推荐推荐推荐推荐推荐推荐推荐推荐', '短评打分': 5}
{'短评内容': '酒店不错,就是周围吃饭地方少', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '。服务态度不错。。', '短评打分': 3}
{'短评内容': '广州比较好的酒店，房间不错，隔音差点，早餐还好，酒店的位置一般，打车不好打，听广州的朋友讲，酒店之所以价格便宜，主要与酒店的地理位置有关，周围吃饭的地方少\n', '短评打分': 5}
{'短评内容': '房间比较大，环境很好，很多老板会要求入住这里！', '短评打分': 5}
{'短评内容': '      还可以', '短评打分': 3}
{'短评内容': '468元房间跟上次住的差不多，这次房间怎么没电脑，而且洗漱用品也不一样。？？', '短评打分': 5}
{'短评内容': '火车东站对面，地点还行。酒店不错，房间挺干净的。', '短评打分': 5}
{'短评内容': '很好！房间的设施非常好！床也很舒服！大厅服务也很好', '短评打分': 5}
{'短评内容': '非常舒适,房间够大,设施都很新,过街不远处就是地铁站,很满意!', '短评打分': 5}
{'短评内容': '广州的五星级酒店里，性价比最高的，我和朋友非常喜欢那里的大床和浴缸', '短评打分': 5}
{'短评内容': '地理位子还是不错的，就是酒店设施有点老了，总的来说在广州这样的酒店性价比不算差。', '短评打分': 1}
{'短评内容': '不错!客人满意', '短评打分': 5}
{'短评内容': '其他都不错，只是酒店周围几乎没有个象样的吃饭的地方。', '短评打分': 5}
{'短评内容': '非常不错，是我住过的华美达中不错的。', '短评打分': 3}
{'短评内容': '位置还算方便，性价比不错。', '短评打分': 5}
{'短评内容': '酒店不错，就是现在修路，打车绕了一大截', '短评打分': 5}
{'短评内容': '非常好的一家酒店，但是服务态度实在是有待提高，和别的华美达无法比，特别是前台的服务员，好像欠她们钱一样。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 3}
{'短评内容': '很好的酒店，服务不错，就是打车比较困难', '短评打分': 5}
{'短评内容': '卫生间很好，淋浴的龙头很好。就是房间里香烟味道太重了！', '短评打分': 5}
{'短评内容': '住的套间，适合办公', '短评打分': 5}
{'短评内容': 'Nice hotel with reasonable price!', '短评打分': 5}
{'短评内容': '此酒店在3月1日开始调价，但当入住客人以搬到隔壁的暨南华文学院住时，却即时下降价格40%....... ', '短评打分': 1}
{'短评内容': 'nice', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '如果不是去购物的话,这酒店位置很好,配套齐全.还有游泳池,东站地铁旁边,快速路去开发区,机场,哪都也不堵车. 记住要不临街的房间就很安静. ', '短评打分': 5}
{'短评内容': '就在火车东站附近，交通还比较方便。。。就是酒店的咖啡吧的东西有点对不起那价格。。。', '短评打分': 5}
{'短评内容': '出差各地几乎都先考虑华美达的酒店。广州这次是第一次住，酒店总体不错，干净舒适。\r\n可惜最后一晚上隔壁房间来了1伙打扑克的，声音超大一直到半夜3点还在吵，打电话给酒店前台也不帮忙管一管。想酒店的立场一定也很为难，算了，遇到这样的隔壁客人，自认倒霉啦', '短评打分': 5}
{'短评内容': '酒店大致上苻合五星級标准，不过大堂比較小了一点,房间装修比較高档特別是洗手间。酒店设施有点古怪,泳池,乒乓球等要跟后面私人住宅共用有点不太專业。值得一提酒店中餐装修环境挺高級,食物质量不错,早茶也不错,值得一试。还有对面就是火车东站,去天河市中心开车也只要十多分钟非常方便,以后也会再住。', '短评打分': 5}
