{'短评内容': '还好吧！位置不错', '短评打分': 5}
{'短评内容': '酒店的位置在泰安很不错的，住住还可以。设施有点旧了。空调还不错的。', '短评打分': 5}
{'短评内容': '还不错，交通方便，周边商业网较多，去泰山方便', '短评打分': 5}
{'短评内容': '还不错，看上去没有4星级标准，不过住还行，和快捷酒店差不多。', '短评打分': 3}
{'短评内容': '还好吧，就是房间比普通的小一些，一分价钱一分货啊', '短评打分': 5}
{'短评内容': '房间很干净，周围环境也行', '短评打分': 3}
{'短评内容': '整体感觉很干净，舒服，有家的感觉，还会再去di。。', '短评打分': 5}
{'短评内容': '服务态度很好，出差来住感觉不错。', '短评打分': 3}
{'短评内容': '不错的酒店，价钱合理交通方便，但因旁边有工地白天太吵。', '短评打分': 1}
{'短评内容': '空调不暖，看来这个问题一直存在，一直未改变，入住不送早餐感觉不合适', '短评打分': 5}
{'短评内容': '这是我第二次住这家酒店了，感觉还行。服务不错。', '短评打分': 5}
{'短评内容': '服务不错 卫生很好 交通方便 就是 在入住和退房的时候效率有点低 ', '短评打分': 5}
{'短评内容': '位置很好，环境不错。服务态度良好，停车位有些紧张，服务人员很热心看车和留车位。值得推荐.周边吃饭比较方便，对面有家海鲜酒家。', '短评打分': 5}
{'短评内容': '地理位置很好，交通异常方便，性价比较高，值得推荐。', '短评打分': 5}
{'短评内容': '离火车站近，就在银座过去一点儿。但是卫生间的味道太恶心了。', '短评打分': 1}
{'短评内容': '地理位置很好,房间一般。不过性价比挺高。', '短评打分': 5}
{'短评内容': '在泰安住过的所有酒店中，这家酒店还是比较满意的，硬件比较好。服务业不错。', '短评打分': 5}
{'短评内容': '位置不错，环境不错，性价比不错，是个不错的选择', '短评打分': 5}
{'短评内容': '价格还行，房间有点小，装修一般，但是交通很便利，离泰山还有购物的地方蛮近的', '短评打分': 5}
{'短评内容': '不错的酒店，下次会推荐的，很好！服务员很热情，房间也很时尚', '短评打分': 5}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '酒店的网络非常烂，几乎没上去过。卫生情况也不理想。\n根本不值那个价！不推荐！', '短评打分': 1}
{'短评内容': '环境还可以，离泰山，岱庙都很近，附近还有一个小市场。室内卫生还行，就是地面有些脏。', '短评打分': 5}
{'短评内容': '性价比有点低，说是按四星级标准装修，但是很多设施并没有达到那个标准。入住时，空调不能制冷 （不知道是否是中央空调）。如果抛开价格，酒店设施和服务还算到位，但是价位偏高，下次如果不是定不到其他酒店一般不会再选择该酒店。', '短评打分': 5}
{'短评内容': '酒店房间很好！床很舒服！设施也不错！很满意！如果服务员态度能像如家那样就会更好！\r\n', '短评打分': 3}
{'短评内容': '酒店管理不错，服务人员比较职业，酒店卫生干净，推荐大家去住', '短评打分': 5}
{'短评内容': '父母入住的豪华大床房，房间不错，性价比还可以。不足处是空调就像没开一样；一进房间就是一股臭味；晚上水很冷，不能洗澡；另外，早饭20元，品种很少也就算了，所有的菜都是冷的，吃了胃很不舒服', '短评打分': 5}
{'短评内容': '酒店位置不错，卫生条件也不错，价位有点偏高，下次还会考虑入住的！', '短评打分': 3}
{'短评内容': '总体来说性价比高，酒店位置方便，离火车站，银座商城，岱庙均很近，卫生条件也可以。服务态度不错。\n房间内设施也齐全，2.5号入住时室内温度可以，淋浴水相当大并且温度也可以（这可能也是可以听到楼上淋浴时水哗哗声的原因之一）。\n有一点我个人受不了的就是电梯内烟味很重，每次用时烟味都很呛人。\n早餐性价比较差，每人20块，食物品种较少，适合匆忙敢路的人，（自助餐建议免费）。\n总的来说下次还会入住此店。', '短评打分': 5}
{'短评内容': '酒店还可以，交通还蛮方便离火车站也很近，价格还可以接受，酒店环境是蛮好的。', '短评打分': 5}
{'短评内容': '客房隔音不太好，而且房间比较小.不过卫生做得不错挺干净的.', '短评打分': 5}
{'短评内容': '服务不太到位，不够周到.室内的条件都没有问题，住宿条件挺好的.', '短评打分': 5}
{'短评内容': '离四星级的标准差点。房间内设施比较简陋。但交通比较方便。', '短评打分': 5}
