{'短评内容': '服务很好，地理位置也很方便，还会再次入住。', '短评打分': 5}
{'短评内容': ' 酒店不错，特别是周围吃饭的地方很多，去机场也非常方便。', '短评打分': 3}
{'短评内容': '不错的四星酒店，就是早餐太贵，78自助，离机场大巴近', '短评打分': 5}
{'短评内容': '还可以，就是早餐差点。送餐也不贵，被子很舒服，其他都挺好的。', '短评打分': 5}
{'短评内容': ' 性价比较高，推荐', '短评打分': 3}
{'短评内容': '酒店很好很干净', '短评打分': 3}
{'短评内容': '交通方便，出门就有机场大巴，而且附近吃饭购物的地方很多，房间设施也不错，最主要的是房间居然还能收到HBO', '短评打分': 5}
{'短评内容': '很干净 距离西北工业大学航空学院很近 大概两站地比较方便', '短评打分': 5}
{'短评内容': '服务不错，前台态度不错。房间干净。但是在入住高峰期结帐或入住等候时间稍长。总体很不错。', '短评打分': 5}
{'短评内容': '虽然入住的普通间房间小了一点，但酒店的整体环境不错，服务态度特别不错，不亚于国内的五星级酒店的服务，下次还会住这里。', '短评打分': 5}
{'短评内容': '这次来西安出差,选择这家酒店对了.机场巴士终点,交通便利,服务很好,房间洁净,早餐丰富,非常适合上午旅行的需求.', '短评打分': 5}
{'短评内容': '又来入住喽！又来入住喽！又来入住喽！又来入住喽！', '短评打分': 5}
{'短评内容': '酒店环境不错，出行也比较方便，服务很好，就是普通间有些小。', '短评打分': 5}
{'短评内容': '酒店环境很好，出行也比较方便，服务不错，就是普通间的房间有些小。', '短评打分': 5}
{'短评内容': '一个很干净，很舒适的酒店。性价比较高。下次还来。', '短评打分': 5}
{'短评内容': '在高新区的四星酒店里面算是好的了。价格也是比较高的。酒店交通便利、酒店门口就有大巴去机场。附近商场、食街也较多。', '短评打分': 5}
{'短评内容': '酒店就是西安咸阳机场大巴4号线的终点站和始发站,非常方便市区与机场的往来,以后会常入住.推荐给大家.', '短评打分': 5}
{'短评内容': '酒店干净整洁，酒店的所有员工都热情礼貌。虽然赶上西安正在召开世界园林博览会，游客非常多，但是酒店丝毫没有因为不愁入住率而怠慢我们，真的很不错。', '短评打分': 5}
{'短评内容': '酒店不错，房间舒适，周围小吃众多。西安就是好。美帝很！！料砸了！哈哈美帝很！！料砸了！哈哈美帝很！！料砸了！哈哈', '短评打分': 5}
{'短评内容': '该酒店很好，是西安高新区地区很不错的商旅酒店，值得推荐。但觉得酒店早餐价格偏贵，建议在48元/每人次比较合适，同时建议酒店将最晚退房时间推迟到14:00.', '短评打分': 5}
{'短评内容': '该酒店设施先进、卫生、环境、交通都很好，唯一遗憾的是在酒店门口很不好叫上出租车，酒店保安不愿意帮助客人叫出租车，希望酒店加以改进。', '短评打分': 5}
{'短评内容': '酒店硬件设施很好，管理也很细腻。入住期间曾有过服务员无故多次敲门、突然进房间的情况，本来不是大事，但向酒店反应后立刻得到了追究和道歉。感觉是一家高档且负责任的酒店。\n下次来时还会考虑入住。', '短评打分': 5}
{'短评内容': '交通便利、酒店门口就有大巴去机场。附近商场、食街也较多。关键是不在城区，出去办事不堵车，否则要住在市区的话，办事就麻烦了，', '短评打分': 5}
{'短评内容': '在此参加会议,服务各方面不错.酒店位置也方便...', '短评打分': 5}
{'短评内容': '很好的酒店了，价格不低，服务不错，还好。', '短评打分': 5}
{'短评内容': '每次都来住，感觉非常好。主要是高新区内还是很不错的。', '短评打分': 5}
{'短评内容': '不错的一家酒店，地理位置比较好，吃饭方便', '短评打分': 5}
{'短评内容': '所处的位置不错。附近除了香格里拉，就这家还算可以。不过大厅感觉一般。', '短评打分': 5}
{'短评内容': '酒店的氛围很好，门卡设计的很有特色，高新区内交通很方便。', '短评打分': 5}
{'短评内容': '酒店位置不错.还挺方便的..就是价格时高时低..', '短评打分': 5}
{'短评内容': 'This is a good hotel. very close to my working place. Price is OK. Hotel staff are friendly.', '短评打分': 5}
{'短评内容': '想订的话还要提早，我好几次都没订到。周边繁华，吃饭购物都方便', '短评打分': 5}
{'短评内容': '在开发区来说是性价比不错的酒店,如能包早餐则更好.', '短评打分': 5}
{'短评内容': '酒店的设施、位置都不错，停车场24小时保安值守挺不错。只是ELONG的订单不含早餐，早餐单付要76元/位，太贵了。', '短评打分': 5}
{'短评内容': '很干净的酒店，床品很舒服，淋浴也很好，结账也很快。', '短评打分': 5}
{'短评内容': '就是房间比较小，其它都OK。床睡着蛮舒服的。', '短评打分': 5}
{'短评内容': '酒店位置非常方便，机场大巴的起点站，周边交通方便，饭馆林立，地处高新区，是出差商务的好住处。酒店住房比较新式，设施比较新，很满意。', '短评打分': 5}
{'短评内容': '酒店所在的高新区这几年已经很热闹了, 对面有一条小街有各种美食小吃.', '短评打分': 5}
{'短评内容': '环境不错，吃饭也比较方便。出差住过几次，感觉还可以', '短评打分': 5}
{'短评内容': 'This is a very good hotel.  Very close to my working area.  Hotel staff are all very nice and friendly.  Price is reasonable so I will stay there again next time.', '短评打分': 5}
{'短评内容': '这是一家不错的酒店，环境及位置均很好，价格也算公道，可做选择。', '短评打分': 5}
{'短评内容': '还不错,酒店较新，房间宽敞，价格适中，但早餐不在房费里不方便。', '短评打分': 5}
{'短评内容': '房间不是太大，但餐厅很好，里面的东西非常好吃。赞一个！！！', '短评打分': 5}
{'短评内容': '房间还不错，只是刚进去时有股味道，请服务员开窗后好点，出入还算方便。', '短评打分': 5}
{'短评内容': '酒店位置不错，周围出行较为方便，值得商务人士入住！', '短评打分': 5}
{'短评内容': '我现在还在住，感觉性价比一般，携程订房价要低。', '短评打分': 5}
{'短评内容': '很不错的酒店，无论服务，设施，舒适度，性价比都不错。', '短评打分': 5}
{'短评内容': '比建国新 房间有点小 总体感觉还可以吧：）', '短评打分': 5}
{'短评内容': '酒店位置好，但是价格有点偏高，还不包括早餐。早餐如果单独付费吃，价格高。房间窗户是锁着的，要想通风，还要服务人员来开。其他的还好。', '短评打分': 5}
{'短评内容': '这个酒店不错，交通也比较方便，机场大巴直接到。', '短评打分': 5}
{'短评内容': '酒店不错，很满意', '短评打分': 3}
{'短评内容': '优点：酒店位置很不错在高新区，离市中心很近。\n缺点：房间比想象中的要小些，还凑合吧。', '短评打分': 5}
{'短评内容': '还不错，价格高了些。。。送个早餐更好些，房间显得有点小', '短评打分': 5}
{'短评内容': ',不错', '短评打分': 3}
{'短评内容': '服务很好，房间很干净，很新，周围吃饭，坐车都很方便', '短评打分': 5}
{'短评内容': '交通便利，服务态度好，就是要12点以后才能入住不太方便。', '短评打分': 5}
{'短评内容': '环境和设施都很不错，打车相当方便，到开发区办事可以优先考虑', '短评打分': 5}
{'短评内容': '房间不大，环境不错，交通方便', '短评打分': 3}
{'短评内容': '房价有点偏高，早餐要78 ，不过地理位置很好', '短评打分': 1}
{'短评内容': '交通比较便利，服务也还可以，就是停车场太小，还有我住的房间（1603）浴室的下水做的不好，洗完澡整个房间的地上都是水。', '短评打分': 5}
{'短评内容': '不错的酒店，价格高了点，其他都还成\n另外，不满意的是，早上入住比较困难', '短评打分': 5}
{'短评内容': '帮朋友预订的！印象不错！周围很多特色餐馆！', '短评打分': 5}
{'短评内容': '椅子边缘有破损，拿出来的时候被划伤了！酒店周围很方便。', '短评打分': 5}
{'短评内容': '总体感觉不错，就是房间较小。从酒店规格看是商务酒店，价格偏高。', '短评打分': 5}
{'短评内容': '整体感觉还好，只是要到12点后才能入住不是太方便。', '短评打分': 5}
{'短评内容': '性价比较高,房间比较干净，闹中取静，酒店较新。', '短评打分': 5}
{'短评内容': '该酒店地理位置好，交通方便，设施很新，房间卫生很好！是西安高新区地区比较好的酒店，值得推荐，唯一觉得不好的是酒店早餐的价格太贵。', '短评打分': 5}
{'短评内容': '住宿条件好，餐厅饮食好，下次还会来这里。', '短评打分': 5}
{'短评内容': '房间稍有一点小，其他都很好。总的来说性价比不错', '短评打分': 5}
{'短评内容': '酒店地理位置很好。房间稍微有点小， 总的来说很不错。', '短评打分': 5}
{'短评内容': '酒店还是不错的，非常干净，晚上很安静，服务水平也还可以接受。机场班车直接到门口。只是价格不停上涨。性能价格比在下降', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '帮老板订的 一直都是这家 感觉还不错 服务也挺好的 ', '短评打分': 5}
{'短评内容': '还行，下次来西安还住这儿，离开发区不太远，吃饭也方便，服务也好。', '短评打分': 5}
{'短评内容': '酒店不错，服务很好，旁边饭馆较多，很方便', '短评打分': 5}
{'短评内容': '不错,交通方便，但是就是去早了会没房需要等待。', '短评打分': 5}
{'短评内容': '环境、位置都不错，在高新区附近，楼下的自助真的很不错，可以长去 。', '短评打分': 5}
{'短评内容': '帮别人订的，已经住过两次了，环境条件都不错', '短评打分': 5}
{'短评内容': '还不错，服务什么都还挺好.没带的充电器之类的东西都可以提供', '短评打分': 5}
{'短评内容': '总体上讲，该酒店还是不错的，处于高新的中心地段， 各方面都还挺方便的 ，一共定了四间房，只好发四遍，真是不好意思。', '短评打分': 5}
{'短评内容': '总体上讲，该酒店还是不错的，处于高新的中心地段， 各方面都还挺方便的 ', '短评打分': 5}
{'短评内容': '总体上讲，该酒店还是不错的，处于高新的中心地段， 各方面都还挺方便的 \n', '短评打分': 5}
{'短评内容': '酒店很不错。就是普通间的房间太小，隔音不是很好。', '短评打分': 5}
{'短评内容': '酒店的环境不错，服务也很好，455住的，感觉挺值就是早餐78一位有点贵~！', '短评打分': 5}
{'短评内容': '标志不明显，连出租车司机都找不到大门，进入宾馆很不容易；房间设施还可以；服务也还可以；早餐贵但不好！总之，性价比太低！', '短评打分': 5}
{'短评内容': '进入宾馆很不容易，标志不明显，连出租车司机都找不到大门；房间设施还可以；服务业还可以；早餐贵但不好！总之，性价比太低！', '短评打分': 5}
{'短评内容': '酒店不错，周围环境很好！上下班有点塞车！', '短评打分': 5}
{'短评内容': '位置方便，很重视入住客人的建议，推荐...', '短评打分': 5}
{'短评内容': '房间很好，就是枕头太软了', '短评打分': 3}
{'短评内容': '商务大床房房间很大 落地窗也很不错 房间还配有电脑 配套设施不错', '短评打分': 5}
{'短评内容': '不错不错，一如既往的好。下次带老外来还是住这里。', '短评打分': 5}
{'短评内容': '不错的酒店 地理位置很好，服务还行，下次过来还会住', '短评打分': 5}
{'短评内容': '酒店房间太小，设施还可以，交通很方便，就在机场大巴旁边', '短评打分': 5}
{'短评内容': ' 交通方便，机场大巴直接到楼下。房间清洁，设施完备。性价比不错的酒店。', '短评打分': 3}
{'短评内容': '和上次比较，服务水平提高了很多，酒店的位置及设施都很好，西安出差的首选...', '短评打分': 5}
{'短评内容': '真的是非常重视服务的一家酒店，反应花洒有问题，很快就来处理，而且送上水果表示歉意！但希望能包含早餐，因为附近吃早餐真的是非常的不方便！', '短评打分': 5}
{'短评内容': '酒店房间不通风，设备一般新，卫生间门柱都有水长时间浸泡后烂掉的问题\n一般吧，离高新区近，办事方便\n\n\n', '短评打分': 5}
{'短评内容': '绝对舒适！\n房间舒适 早餐很好\n不比凯莱差！！！\n\n就是房间的电源插座不太方便', '短评打分': 5}
{'短评内容': '恩，很不错的星级酒店。服务，感觉都很到位，要是价格还能低点就好了，嘻嘻、', '短评打分': 5}
{'短评内容': '很不错，每次带老外来西安如果在高新区住都是住这家酒店。', '短评打分': 5}
{'短评内容': '服务员太冷，不建议冬天入住；位置还可以，方便办事', '短评打分': 1}
{'短评内容': '是我到西安办事的首选酒店，真正的四星级酒店，干净，真的很舒服，交通很方便，不足之处是淋浴间没有门，洗澡水会飞溅到外面。', '短评打分': 5}
{'短评内容': '不错的酒店，性价比很高，机场大巴可以直达，很方便，酒店的自助餐也不错，服务人员也很好，面带微笑。', '短评打分': 5}
{'短评内容': '房间地毯不是很干净,其他还行，交通方便。', '短评打分': 5}
{'短评内容': '+房间小地段可以', '短评打分': 5}
{'短评内容': '位置很好，交通便利，床上用品清洁舒适。只是酒店过道没有空调，空气较差。值得推荐。', '短评打分': 5}
{'短评内容': '＋酒店不错', '短评打分': 5}
{'短评内容': '床很大很舒服，也很干净，住起来很舒服，就是价格贵了点', '短评打分': 5}
{'短评内容': '酒店的硬件设施不错，因为是新装修过的。比Sheraton的房间设施要好。服务一般，结帐比较慢。早餐品种较少，建议直接在外面吃早餐。位置不错，早上外出外事很容易打到车。', '短评打分': 5}
{'短评内容': '   酒店服务不错，只是标准间很小。周围环境不错比较方便，适合商务人士', '短评打分': 5}
{'短评内容': '房间较小，相对于4星级酒店，性价比不太高', '短评打分': 1}
{'短评内容': '位置很好，如是在高新开发区活动较多的可选择这里', '短评打分': 5}
{'短评内容': '处于高新区中心，位置不错。装修可以，服务热情，出行方便。机场有直通大巴', '短评打分': 5}
{'短评内容': '订的是商务房，酒店一般吧，性价比不是很高，但就在开发区地段不错', '短评打分': 5}
{'短评内容': '各方面条件不错，西安的酒店普遍都很贵，这个也当然不例外！', '短评打分': 5}
{'短评内容': '位置不错!装修格调比较现代!不足之处是:房间不太隔音.', '短评打分': 3}
{'短评内容': '我喜欢这家宾馆，已经入住N多次了。原先机场大巴就在门前，现在要步行50米了，稍有遗憾。', '短评打分': 5}
{'短评内容': ':不错的酒店。装修格调现代，卫生不错。', '短评打分': 5}
{'短评内容': '地方交通方便，尤其到机场。', '短评打分': 5}
{'短评内容': '位置不错，周边生活设施齐全，交通便利。隔壁就是陕北人家餐馆，羊肉一流。饭店餐饮性价比不高，五十多元的早餐没有几个热菜，连着几天蔬菜只吃几片炒芥菜。餐厅环境不错，但遗憾餐厅不禁烟。', '短评打分': 3}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '卫生设施还行，服务态度还不错，其实也是经常住这家酒店还算是比较了解了所以酒店这边的环境都还是比较满意的，价格也是挺适中的。', '短评打分': 5}
{'短评内容': '位置不错，周边生活设施齐全，交通便利。隔壁就是陕北人家餐馆，羊肉一流。饭店餐饮性价比不高，五十多元的早餐没有几个热菜，连着几天蔬菜只吃几片炒芥菜。餐厅环境不错，但遗憾餐厅不禁烟。', '短评打分': 5}
{'短评内容': '因为公司的客户在高新区,所以选择这个酒店.位置好,门口有到机场的大巴站.以后还会如住.', '短评打分': 5}
{'短评内容': '每次都会去的酒店', '短评打分': 5}
{'短评内容': '不错。推荐。', '短评打分': 5}
{'短评内容': '位置优越，给别人定的，挺不错', '短评打分': 5}
{'短评内容': '地理位置，设施等都很好。但普通间418还是有点小，同比其他有点小贵了，性价比一般。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '位置很好', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '给朋友定的酒店，他觉得很满意。交通方便，去机场楼下有大巴，周边有很多吃饭的地方，出差旅游首选之地！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '总体来说不错，已经再次推荐朋友入住。', '短评打分': 5}
{'短评内容': '西安高新区首选的商务酒店。', '短评打分': 5}
{'短评内容': '房间有点小，房价和早餐都上涨了，58元的早餐在西安比较贵了。总的来说还可以', '短评打分': 5}
{'短评内容': '房间有点小，其他都好，位置对在高新附近办事的人非常方便。', '短评打分': 5}
{'短评内容': '帮朋友订的，朋友经常去，都住在这家，评价不错的。下次有机会还订这家，自己也尝试一下。', '短评打分': 5}
{'短评内容': '酒店不错，卫生条件好，就价格贵了点', '短评打分': 5}
{'短评内容': '餐厅还是比较好的，房间比较小', '短评打分': 3}
{'短评内容': '房间太小，还比较吵，隔音比较差，高层的会好些', '短评打分': 3}
{'短评内容': '这次住了两种房间,普通间和标准间.普通间是没有浴缸的,房间相对较小.标准间的面积大一点,相对确实舒适很多.个人对这个酒店印象不错,如果价格能再优惠一些,那就比较完美了.楼下就是民航大巴的车站,去机场相对方便.下次区还会选择这个酒店.', '短评打分': 5}
{'短评内容': '位置不错，就是房间比较小，相对的价格有点高了', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '这家酒店无论是卫生还是服务还是房间，亦或是早餐，各方面都达到4星标准，值得推荐。', '短评打分': 3}
{'短评内容': '去西安拜访客户，第一次住这家酒店，离客户公司比较近，也算是机缘巧合，总体感觉酒店很上档次，房间的落地窗很有特色，早餐很丰富，值得推荐。', '短评打分': 5}
{'短评内容': '除了价格以外，其他都好。', '短评打分': 5}
{'短评内容': '位置好交通方便，房间太小，卫生要提高，床太小，电视的信号不好，不知是冬天的过房间窗户锁着通风不好，价格有点高', '短评打分': 5}
{'短评内容': '自助海鲜午餐，晚餐不错，还有优惠活动（买四送1）。', '短评打分': 5}
{'短评内容': '不吸烟的一定要注明要禁烟房，否则味道很大\r\n\r\n早餐比起其他的四星级酒店质量稍差一些', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '位置还是不错的,出行很方便,房间的卫生和设施方面都很不错,但就是房间太小了,感觉有点压抑.', '短评打分': 3}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '在高新内,办事很方便,不错', '短评打分': 3}
{'短评内容': '在高新内,办事很方便,不错', '短评打分': 5}
{'短评内容': '好酒店，无论是位置，服务，卫生等都是很好的，一定会向朋友推荐', '短评打分': 5}
{'短评内容': '房间面积比较小，性价比比较合适。房量比较紧张，客流比较大！环境硬件都很不错，值得推荐入住的酒店。', '短评打分': 3}
{'短评内容': '不错的酒店，性价比比较高', '短评打分': 5}
{'短评内容': '不错的酒店，性价比都很高，下次去西安还是首选', '短评打分': 5}
{'短评内容': '以前住过一次，印象不太好。这次选择住这里纯粹是考虑交通方便，下楼就可乘机场巴士。而且离樊稳腊汁肉店不远，即可品尝西安传统美食又可解决早餐的问题（酒店的早餐太贵且不实惠）。管理和服务依旧是不太令人满意。', '短评打分': 1}
{'短评内容': '很好，性价比相对不错，房间稍微小一点，但还比较干净', '短评打分': 3}
{'短评内容': '离我们客户非常近，呵呵。性价比相对比较好，还要继续订的。', '短评打分': 5}
{'短评内容': '酒店的档次摆在那里，很高。房间很舒服。早餐也很棒的。', '短评打分': 5}
{'短评内容': '酒店总体感觉不错, 比较新. 标准间空间小, 但是价格太高\r\n\r\n', '短评打分': 5}
{'短评内容': '房间有点小，其他的还不错！', '短评打分': 3}
{'短评内容': '酒店总体感觉很好, 装修和卫生条件都还不错,比较新. 但是标准间空间略显的小了些, 餐厅还算不错,属于开发区里相对好的酒店啦! 我每次到西安都住在这里! 因为离软件园比较近.', '短评打分': 5}
{'短评内容': '房间有点小，住客比较多，服务有点跟不上！', '短评打分': 5}
{'短评内容': '给公司同事预定,靠近客户的公司，服务和设施还不错，就是稍微贵了点', '短评打分': 5}
{'短评内容': '房间有点小！其他的还可以！', '短评打分': 5}
{'短评内容': '上周末住了两天，总的感觉还可以，舒适和设施都还可以，就是房间稍微小了点', '短评打分': 5}
{'短评内容': '不错的酒店。哪里都好就是床硬了点。还好客房部有帮忙加了床被子。', '短评打分': 5}
{'短评内容': '早餐40元内容不错。但标准间不包含早餐', '短评打分': 5}
{'短评内容': '性价比还不错，也还算卫生，但是早餐质量很一般', '短评打分': 5}
{'短评内容': '这家酒店我比较满意，离我办事的地方近，而且环境也不错，干净整洁', '短评打分': 3}
{'短评内容': '酒店的价格在西安来说稍微有点贵了，位置倒是还可以，里面条件是比较不错的，房间干净，设施完善，服务员的服务也比较到位。', '短评打分': 5}
{'短评内容': '住过很多次了,条件很好,住着比较舒适的,而且价格也合适.', '短评打分': 5}
{'短评内容': '很不错的酒店,干净舒适,价格也很适中,服务也很热情；交通也很方便；总体感觉性价比还是较高的,跟它的星级标准很匹配；下次有机会过去,还会选择这家酒店；', '短评打分': 5}
{'短评内容': '房间太小， 餐饮口味不佳', '短评打分': 1}
{'短评内容': '酒店交通便利,设施也很齐全,但价格偏高', '短评打分': 5}
{'短评内容': '正面很气派,我是晚上七点半到的,大堂还有现场钢琴弹奏,我住的是十六层无烟区普间大床房,房间空间挺大,落地玻璃感觉很舒服,床也很大,因为刚开业不久,设备什么的硬件都还很新.位置不属于旅游区,但属于高新区的中心地区,对面就是肯德基,周围也都是高级饭馆.就是离机场较远,我咸阳机场打的到这不算过路费要97.10元,但四星级的酒店三星级的价格也算很不算了,推荐入住', '短评打分': 5}
