{'短评内容': '交通方便，值这个价', '短评打分': 4}
{'短评内容': '环境太差了，隔音一点都没有，物品都很脏，这是在北京住过最差的一个宾馆。', '短评打分': 1}
{'短评内容': '经济实惠，早餐很好啊，位置好，房间干净', '短评打分': 3}
{'短评内容': '住的很舒服，交通挺方便的，就是住一楼时下水道返味特别大，其他都好', '短评打分': 3}
{'短评内容': '交通便利，工作人员很热情，第二次住了，很实惠的酒店。就是酒店的饭菜太难吃了，最好别在那吃午饭', '短评打分': 5}
{'短评内容': '春节期间一家人订了4间大标间6晚含双早。家人都说很干净舒适温馨，下次来还会入住。早餐很丰富有营养，晚餐炒菜也很实惠地道。', '短评打分': 5}
{'短评内容': '住的是三人的普通房，价格便宜，位置不错，离地东四铁站近，只是没有卫生间，不过还好本层就有，只是洗澡需要在一楼，给的早饭不错，是自助餐', '短评打分': 5}
{'短评内容': '不错，挺安静的。性价比比较高，不过没有独立浴室，只有公共的', '短评打分': 5}
{'短评内容': '春节期间200元一间的标间，说实话，性价比还不错，洗漱用品一应俱全，还包含了双早的。24小时热水，服务人员态度很好，自主早餐种类也不错。距离5号地铁站步行约400米，公交站更近一些。\n不足就是房间隔音不好，夜深人静能听到隔壁打呼声。还有连住2晚有优惠活动的在退房时被告知没有的。这点需要ELONG好好沟通。', '短评打分': 1}
{'短评内容': '三人间170元，这个价格确实很低廉了。酒店不太好找，尽管我在北京呆了这么多年，隆福寺又去过，但还是打过电话了解路线才找到。酒店有5层，很经济很平民很北京，卫生间是公用的，洗浴间是公用的，打开水在洗漱间，很有青年旅社的味道。服务员态度很好，中午12点前台还打电话，说房间保留不了很久，难道酒店这么受欢迎？房间设施设备当然不要想象很好，早餐7点，拿房间钥匙到前台开票去就餐。要赶早班飞机，不能提前开票也没', '短评打分': 5}
{'短评内容': '还行吧，就是房间有点小。不像是大标间啊！服务员的态度不错。', '短评打分': 3}
{'短评内容': '酒店的三人标间很好，干净卫生，服务员的态度也好，下次去北京还住这里。', '短评打分': 5}
{'短评内容': '酒店地理位置不错，离地铁5号线不远很方便，不过第一次来找起来有点困难。设施有点老了，不过服务员态度非常好。', '短评打分': 3}
{'短评内容': '还可以，性价比很高\n服务也很好\n下次还会选择这里', '短评打分': 5}
{'短评内容': '垃圾宾馆，连卫生间都没有，牙刷也没有，床也不舒服！', '短评打分': 3}
{'短评内容': '地方有点偏，找了很久。本来其它方面都挺好的感觉，可是就是被子很脏，不敢睡。', '短评打分': 1}
{'短评内容': '在这边住了3个晚上，进来的第一感觉就是服务态度好。就是没有电梯，爬5楼比较“锻炼身体”。住的小标间，卫生间稍微有点异味，建议可以放那种便宜的香料在里面去味。然后再建议下吹风机到冬天的时候多准备点=。=最值得夸的是早饭啊，很好吃，而且因为自助，随便你吃多少，完全能吃饱，花样也多。', '短评打分': 5}
{'短评内容': '比较干净', '短评打分': 3}
{'短评内容': '感觉不错，位置好，早餐很丰富，下次到北京还会选择这家酒店。', '短评打分': 5}
{'短评内容': '如果是想便宜 到是可以住住.我看样子经济间就值20到30元', '短评打分': 1}
{'短评内容': '房间不错,交通挺方便的,附近有好几个电影院.可以直接逛胡同到景山公园 地安门和北海公园 就是电视有点古董了,不过都没有看了', '短评打分': 5}
{'短评内容': '房间还不错了 干净 服务也还挺好的. 就是暖气不怎么足  有点冷', '短评打分': 5}
{'短评内容': '很好的酒店,服务员的态度很好,有一种宾至如归的感觉,商务旅游比较经济的酒店,递交也很便利,购物出行都很方便.', '短评打分': 5}
{'短评内容': '环境不错…交通便利', '短评打分': 3}
{'短评内容': '住的大标间，房间很大，还有个一个专门放衣橱和写字台的地方', '短评打分': 5}
{'短评内容': '地段非常好,很方便,服务热情,下次来北京还住这里', '短评打分': 5}
{'短评内容': '怎么说呢  还是不错的吧  150 晚上回去是有点黑  比较干净  就是电视台太少了', '短评打分': 5}
{'短评内容': '服务不错，第二次来这里住了，有暖气，晚上有点冷，但是不是之前说的连住两晚折扣10%，他们解释说是三人间才能享受这种折扣，有点和网站上的信息矛盾。但是160标间包早餐也还不错，早餐吃得饱。', '短评打分': 5}
{'短评内容': '    该宾馆交通便利，服务周到，卫生比较好，价位不算太高，有价格优势，早餐也不错，普通间无宽带网感觉很不方便，无线网不好用，如果能改进，会更好的。\n    以后最好能保持价格优势，否则会使客流转移。', '短评打分': 5}
{'短评内容': '位置好，价格便宜，服务态度好。是值得入住的不错宾馆。', '短评打分': 5}
{'短评内容': '120的房间，在四楼 双床，空调很暖和，还有免费早点。上厕所要到楼梯口，卫生间也很干净，没有独立卫生间洗澡要到一楼，水很大，挂毛巾的支架严重锈蚀，房间里面电视机质量太差，遥控器换了3回才勉强能用，电视机也是由服务员MM抱着换了2回，一回不清晰，一回看着看着就成一黑屏，免费早餐马马虎虎。走廊里估计是在整修 油漆味道严重，房间里倒是没有，服务员还算客气，对的起这个价', '短评打分': 5}
{'短评内容': '性价比还不错，服务非常热情。交通很便利，很安静！', '短评打分': 5}
{'短评内容': '我已入住，120元的没有卫生间，换了有卫生间160的。性价比还行。', '短评打分': 3}
{'短评内容': '便宜是便宜了，但实在太简陋，位置也比较偏僻，女士入住晚上注意安全。', '短评打分': 1}
{'短评内容': '还不错，就是暖气不够，是不是因为我们去的时候不是很冷的原因。会推荐给朋友去吧！', '短评打分': 5}
{'短评内容': '太差了，找了好长时间没有找到，找到了房间破的不不行，服务员态度不好', '短评打分': 1}
{'短评内容': '還不錯，性價比很高', '短评打分': 3}
{'短评内容': '网上预订时未看到说房间内无卫生间，到后说没有卫生间，如果要住有卫生间的必须加钱，不可理喻', '短评打分': 3}
{'短评内容': '房间干净，明亮，已经是第二次入住了，价格也还算便宜。很不错。值得推荐。', '短评打分': 3}
{'短评内容': ' 房间此较大 明亮 没有电梯 老房子 阵旧', '短评打分': 3}
{'短评内容': '订给老爹住的，看网上的评价挺不错的，结果去到发现非常旧，非常破落，而且门很不牢靠，安全堪忧~\n但交通确实便利！一分钱一分货，看你取舍了...', '短评打分': 1}
{'短评内容': '     什么价格配什么样的服务， 房间一般，但服务态度挺不错的，我换了几次房，服务员的态度很好', '短评打分': 5}
{'短评内容': '很好的酒店，出行很方便，有5号线地铁站。服务很好，适合出游的朋友住。', '短评打分': 5}
{'短评内容': '酒店附近有地铁，公交，很方便。\n住宿房间也很干净，在那里住了３天，和女朋友都觉得不错。\n价格也是在网上搜的在二环以内算便宜的。\n当地居民都很友善。\n感觉服务人员不回主动和你打招呼～～\n１１月９号入住的，还有１只蚊子，和我们宿舍一样，忽忽～～\n还有隆福寺旁边的奥士凯物美超市东西好便宜啊～～\n希望这些评论能对大家有用', '短评打分': 5}
{'短评内容': '不错就是卫生间很远。\n孜妍', '短评打分': 3}
{'短评内容': '较干净。京城皇城根下，地铁等出行方便，周边小吃小店较多。', '短评打分': 5}
{'短评内容': '环境还不错！', '短评打分': 3}
{'短评内容': '比较实惠，设施一般，地铁施工，比较难找。', '短评打分': 3}
{'短评内容': '环境还好，很安静，我觉得我还挺喜欢这个地方的。', '短评打分': 5}
{'短评内容': '交通便利，物有所值，服务也不错', '短评打分': 3}
{'短评内容': '虽然很难找到，但是离地铁站很近，出行很方便，140的房间没有卫生间，不过200元的房间虽然小，还是五脏俱全的，很精致，价格还算合理，总体来说不错的', '短评打分': 5}
{'短评内容': '1.宾馆比较难找，位置比较深，周边的小饭馆比如隆福寺小吃等，走出来要2分钟吧。\n2.周边的交通还是很便利的，过一条街还有地铁站。\n3.宾馆早餐种类还算是比较丰富的，一般有豆浆，小米粥，白粥，小菜包，蒸饺，地瓜，鸡蛋饼，什么糕，炒菜的几种，水果，生菜沙拉。送一个鸡蛋。\n4.每天有人专门来打扫卫生，毛巾也会更换。因为这次去自己都有备牙刷牙膏沐浴露之类的，所以不知道一次性物品有没更换。\n5.刚到酒店，就', '短评打分': 5}
{'短评内容': '一般吧...空调开了跟没开样...床头装在墙上的垫子有点黑...走廊里有点怪怪的味道...其他的还凑活...190有点小贵...位置还真是不怎么好找...', '短评打分': 1}
{'短评内容': '酒店的位置很当道，适合出游的朋友住，出酒店走5分钟就是5号线地铁站。酒店的服务也很到位。我住了10天，感觉还行', '短评打分': 5}
{'短评内容': '挺好，各个方面都比较满意', '短评打分': 3}
{'短评内容': '酒店服务什么的非常好，没得说。早餐也不错。交通非常方便，有地铁5号线。离王府井非常近步行10分钟就到了。就是隔音不太好，设施外观什么相对落后。总体来说性价比不错。', '短评打分': 5}
{'短评内容': '价格便宜，环境不错，服务员挺热情；唯一不算缺点的缺点就是店里的小商品价格挺高的', '短评打分': 5}
{'短评内容': '很干净，服务态度也不错，早餐虽然简单点，但是绝对能吃饱', '短评打分': 5}
{'短评内容': '还好，服务不错，就是位置偏一点，晚上走有点黑。', '短评打分': 3}
{'短评内容': '酒店在东四繁华市区，交通十分方便，虽然在胡同里面，但按地图指示坐公交车下车很容易就找到了，而且闹中取静，晚上睡觉十分安静。缺点是设备过于老旧，褥子过于单薄，可以触摸到下面的弹簧。另外四楼的热水不怎么烧，可能是为了省电吧？不过打个电话一楼服务台就派人给送上来热水了，服务态度不错。', '短评打分': 5}
{'短评内容': '不错，服务态度很好', '短评打分': 3}
{'短评内容': '酒店服务人员态度很不错，交通非常方便，就是房间稍有点儿小，不过还算干净。', '短评打分': 5}
{'短评内容': '干净，整洁，设备齐全，住着还是很不错的，特别是地段很好，去王府井很方便，感觉很好', '短评打分': 5}
{'短评内容': '还不错，就是地方有点难找，老板人还不错，环境还行', '短评打分': 3}
{'短评内容': '酒店服务不错,交通便利', '短评打分': 3}
{'短评内容': '优点一:闹中取静.尽管前面有早市比较乱,但走到里面却真的很安静.\n优点二:出行方便.地铁5号线东四站B出口出来直接上过街天桥,下桥即是隆福寺牌楼,穿过牌楼就是隆福寺街,走到长虹影城右拐,没几步就到了.', '短评打分': 5}
{'短评内容': '虽然周边环境不是太理想,但宾馆内部环境还不错,比较干净,楼层服务员态度挺好的.', '短评打分': 5}
{'短评内容': '住的套房，不错，有家的感觉，吃住行方便！顶', '短评打分': 5}
{'短评内容': '很好，对得起价格，交通便利，服务周到，下次还会来', '短评打分': 5}
{'短评内容': '还不错交通方便附近游玩吃饭点非常多下次还来', '短评打分': 5}
{'短评内容': '位置和周边环境挺好的，设施比较简单，但是卫生没有问题。服务也比较热情。不足的是，希望能够提供更多更详细的关于景点情况的介绍。总的来说，价廉物美，值得推荐。', '短评打分': 5}
{'短评内容': '太难找了，没电梯，五楼累阿', '短评打分': 3}
{'短评内容': '卫生.交通方便.其它一般', '短评打分': 3}
{'短评内容': '\n闹中取静 较为便利', '短评打分': 3}
{'短评内容': '很热情、很热心、不错！', '短评打分': 3}
{'短评内容': '交通方便，价格合理，早餐虽品种不多但口味不错，超赞楼下有晾衣架，只是那里的蚊子有点厉害，这么凉快的天气居然还很活跃，好在服务台可以提供蚊香。', '短评打分': 5}
{'短评内容': '交通比较方便，离王府井大街也比较近，只是第一次来找这个宾馆不太好找，问了几个路人才找到，服务态度还不错，房间一般', '短评打分': 5}
{'短评内容': '位置很好，交通很方便，虽然宾馆旧一点，但是服务很不错啊。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还行，挺干净', '短评打分': 3}
{'短评内容': '房间比预想的大，有蚊子。', '短评打分': 3}
{'短评内容': '干净，清洁，位置很好，出入方便，很满意！下次还会去', '短评打分': 5}
{'短评内容': ' \n酒店环境很好!服务态度很热情!爸妈住的很舒服!说下次来北京旅游还住东四福苑酒店!', '短评打分': 3}
{'短评内容': '还不错,环境也可以', '短评打分': 3}
{'短评内容': '住的是标双，挺干净，还算满意', '短评打分': 3}
{'短评内容': '环境其实很一般拉，但是交通很方便阿，服务也不错', '短评打分': 3}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '地点很好，出行方便，房间干净，服务到位，价格公道。', '短评打分': 3}
{'短评内容': '环境可以位置不错服务态度良好价位合适就是硬件设施稍微旧了一些', '短评打分': 5}
{'短评内容': '9月29日入住的，在10月1日续房的时候也没怎么涨价，还是非常正规的宾馆。宾馆很干净、安全，住着让人放心，服务员态度也好。楼下每天都晾着一批洗净的床单。公共洗手间、卫生间和淋浴的地方卫生不错。出了宾馆大门往右拐不远就是公交站，出行比较方便。到王府井步行20分钟就到了。宾馆楼下有台公用电脑可以传照片，查询出行路线，但是不怎么好用，传了几次没传出去、楼下有个早市，卖水果的比较多。离宾馆不远还有个叫茹果', '短评打分': 5}
{'短评内容': '虽然星级不高，但能让我们在10月国庆期间出行如此便利，且经济实惠，感觉很不错。到机场轻轨、地铁站、王府井大街都极为便利。方便自由行背包客到北京落脚。卫生情况中等，晚上睡觉还算安静。', '短评打分': 5}
{'短评内容': '干净,服务态度好.', '短评打分': 3}
{'短评内容': '总体感觉还不错,卫生状况也还好.还不错', '短评打分': 3}
{'短评内容': '总的来说还不错了，我订的是大床房，就是晚上客人上楼梯声音很响，有点影响睡眠。', '短评打分': 5}
{'短评内容': '地理位置和宾馆干净整洁程度杠杠的~要是上到五楼有电梯就更好了~因为一天玩下来真的很累很累。', '短评打分': 5}
{'短评内容': '服务挺好 有wifi 有公用电脑 但是有蚊子 ', '短评打分': 5}
{'短评内容': '酒店干净、安静，服务和管理也比较规范。缺点：卫生间气味大，估计是装修下水道有问题；寝具有点旧，该逐步更新了。总体来说还不错。', '短评打分': 5}
{'短评内容': '酒店卫生不错，在北京那个地段，它的价格算是实惠的了，下次去天安门那边，还订那里的房间', '短评打分': 3}
{'短评内容': '交通还算便利，像招待所，没有电梯，不过出门就有一个早市，水果什么的都有', '短评打分': 5}
{'短评内容': '9月29日入住的，标准二人间无卫生间的，楼层有公共卫生间，我们入住的是个阳面还不错，也挺干净的。而且离地铁站很近，交通便利，总体上不错。', '短评打分': 5}
{'短评内容': '干净舒适，交通便利，价格合理。服务态度良好', '短评打分': 5}
{'短评内容': '位置相当好，门口就是北京特色小吃，就是那个隆福大厦好像有些破败 ', '短评打分': 5}
{'短评内容': '还不错，就是第一次去位置有点难找，其他干什么都挺方便。', '短评打分': 5}
{'短评内容': '不错的下回我还会入住\n不过硬件设施得改进，刷不了银行卡是这次去的最大遗憾。', '短评打分': 5}
{'短评内容': '已入住，满意。', '短评打分': 3}
{'短评内容': '都很满意 美中不足是入住以后室内卫生做得有点欠缺', '短评打分': 3}
{'短评内容': '环境非常好，地点也很好，服务也很好，很满意~', '短评打分': 5}
{'短评内容': '市中心  离地铁近  公共卫生间很干净 很好', '短评打分': 3}
{'短评内容': '离地铁站很近  环境也很好  很干净  服务人员也很热情  下次还会来得', '短评打分': 3}
{'短评内容': '房间小巧温馨', '短评打分': 3}
{'短评内容': '干净，安静，交通方便，市中心，服务员态度好，很满意。', '短评打分': 3}
{'短评内容': '酒店还比较不错，干净、价平、方便。', '短评打分': 3}
{'短评内容': '酒店环境还可以，服务态度也不错，在北京这样的地段，这样的价格住到这样的地方也算不错了！', '短评打分': 3}
{'短评内容': '上周陪母亲去北京玩儿，住普通三人间5天，我的评价是：安静干净 服务热情 交通便利 心想事成 大隆福寺佛陀保佑 有回家的感觉，阿弥陀佛！母亲非常满意，回来还一直夸店里的服务员呢！ ', '短评打分': 5}
{'短评内容': '酒店位置不错，离地铁站挺近的，服务态度很不错，有求必应，卫生条件也可以，虽然硬件不能和大酒店媲美，但这个价位已经不错了，性价比很高.早餐也不错，种类还可以，热水器也很方便，随时都有热水。', '短评打分': 5}
{'短评内容': '服务较为热情，价格合理，酒店地理位置比较便捷，值得推荐!!!不过房间门有些陈旧，让人不是很放心！！！', '短评打分': 5}
{'短评内容': '服务态度很好.', '短评打分': 3}
{'短评内容': '位置有点难找，酒店设施有点陈旧。但是我喜欢他们的大标间，有个单独的书房。', '短评打分': 5}
