{'短评内容': '.............', '短评打分': 5}
{'短评内容': '地理位置ＯＫ，酒店不算新，但硬件和软件都算过得去。', '短评打分': 5}
{'短评内容': '非常不错，服务相当好，体贴入微无处不在型的，酒店早餐也很丰富。房间稍微小了点，不过一应俱全，蛮舒服的。下次要是送双早就完美了。', '短评打分': 5}
{'短评内容': '不错的酒店，服务也很好，早餐赞一个，自助晚餐也很不错，再赞。', '短评打分': 5}
{'短评内容': '在泉州来说 还不错 不过这次入住的高级间比起豪华间 要差很多', '短评打分': 5}
{'短评内容': '酒店房间还挺好的，就是窗户稍微小了一点，不过工作人员的服务很不错，特别是西餐厅里的一位主管，能记住我的姓，每次遇到我，总是很开心地和我打招呼，并提醒我出行时要注意加衣服等，感觉特别好。另外，酒店的周末海鲜自助餐真的很值得一试，很不错啊', '短评打分': 5}
{'短评内容': '位置不错，出行很方便，服务可以打个四分，建议送水果的客房服务要更细心点，送的苹果连续几天都没动，也没有换一种，呵呵', '短评打分': 5}
{'短评内容': '在泉州是很不错的酒店，饮食也可以，卫生都比较舒适。 ', '短评打分': 5}
{'短评内容': 'buffet in the 1th floor is very good! breakfast is very nice!', '短评打分': 5}
{'短评内容': '住过好几次了,目前泉州市区最好的酒店了. 自助餐不错,缺点是这次定的 高级房的房间有点小.地毯有些旧了.', '短评打分': 5}
{'短评内容': '酒店位置不错，服务也不错。但是房间的隔音效果不是很好。。', '短评打分': 5}
{'短评内容': '干净整洁，必要用品完备，性价比高，值得入住。', '短评打分': 5}
{'短评内容': '酒店的服务非常到位，会保留客人的信息及爱好！很细致体贴！', '短评打分': 5}
{'短评内容': '不愧是悦华，确认值得推荐。无论是酒店的硬件到软件，真的是好。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '泉州悦华酒店五星级的酒店，价格很实惠，总体感觉不错。', '短评打分': 5}
{'短评内容': '泉州唯一一家舒适的五星 值得入住 服务很好 房间干净 宽敞 设施很新 只是自助早餐品种不多 3楼中餐庭没有大厅 只是包间 ', '短评打分': 5}
{'短评内容': '酒店位置不错，大堂很富丽。总体感觉不错。下次还会住这边。', '短评打分': 5}
{'短评内容': '酒店称得上五星', '短评打分': 3}
{'短评内容': '环境一般，服务可以!', '短评打分': 3}
{'短评内容': '85分', '短评打分': 3}
{'短评内容': '地毯很黑，感觉很脏的样子!\n房间设的小吧台很有趣\n其实，五星级酒店，没理由收洗衣费！\n晚上是第二晚了，感觉有点吵！不知道是不是因为住九楼，不够高的缘故吧', '短评打分': 5}
{'短评内容': '刚好遇上情人节,咖啡厅没有预留入住客人的座位,说预约客满了,不能接待本店的客人.我们找外面的餐厅前,问前台的服务员有没有附近的好吃的饭店,竟然说没有,等我们打的到别处吃完,回酒店时,就在酒店旁边发现有好的饭店黄鹤楼.的士要自己在酒店外找,酒店替客人想的还不够周到,体贴.早餐还是挺享受的,礼貌也可以.在泉州来说,比别的宾馆是好很多的.', '短评打分': 5}
{'短评内容': '房间很大，床躺着很舒服，交通也便利，结账快，没要早餐，太贵了。', '短评打分': 5}
{'短评内容': '酒店比其他五星的房间面积稍小，但是服务很到位，尤其是他们的房卡设计还有额外附上一行人员的名单在房卡后面，甚是贴心。早餐也非常好。唯一不足的是应该讲酒店标志做的更明显一点，我们深夜去的时候还转了好几圈才到呢。', '短评打分': 5}
{'短评内容': '十分不错的酒店，管理一流，硬件也是很好！还会再入住。', '短评打分': 5}
{'短评内容': '周到的服务，优雅的房间，美味的早餐，好有很有礼貌的服务人员，感觉是泉州最好的酒店了，特别是前台，感觉很温馨。如果到泉州，悦华是我的首选。', '短评打分': 5}
{'短评内容': '服务周到，热情，环境优雅。价位合理，是商务人士出行的首选。', '短评打分': 5}
{'短评内容': '很好的，应该是这里最好的酒店了，下次继续住', '短评打分': 5}
{'短评内容': '还是不错的，下次来还是会再住的，感觉是当地最好的了', '短评打分': 5}
{'短评内容': ' 有些感动，到房间发现已经按我以前的要求布置了。很贴心的服务，推荐。', '短评打分': 3}
{'短评内容': '酒店一如既往的好', '短评打分': 3}
{'短评内容': '住了几次，还不错，如果周边的环境再搞漂亮点就更好了', '短评打分': 5}
{'短评内容': '环境不错，不过洗衣服还要收费，', '短评打分': 3}
{'短评内容': '酒店不错！', '短评打分': 3}
{'短评内容': '很不错，服务很好，还有游泳池，', '短评打分': 3}
{'短评内容': '悦华酒店在我入住的国内管理公司管理的酒店中，虽然硬件不是最好的，但管理水平和每一个员工的服务意识绝对是最佳的！\n\n上次出差在泉州， 外面下雨， 回到客房中服务员正好在打扫，她看到我淋湿了，要我把外套脱下来，帮我免费烘干，然后送回我的房间。 真的很感人。 \n\n还有手洗了衣服， 服务员看到后，就留在了洗衣粉并将衣服挂了起来。 、\n\n他们的服务的确在一点一滴啊，我很喜欢这家酒店。', '短评打分': 5}
{'短评内容': '性价比差，早餐简单与五星酒店不符，屋内设施陈旧，暗淡。。。。。', '短评打分': 1}
{'短评内容': ' 硬件和品质保持的很好，服务也改善了，就是价格现在很高了，因为还没有竞争，推荐入住', '短评打分': 3}
{'短评内容': '食物很美味，服务好，房间干净卫生，周边环境一般', '短评打分': 5}
{'短评内容': '客房温馨，服务优良', '短评打分': 3}
{'短评内容': '位置好，交通方便。服务态度很好，环境也不错。', '短评打分': 5}
{'短评内容': '住房寬敞高雅,但隔音不良.中餐口味佳,日式料理不值.', '短评打分': 5}
{'短评内容': '感觉还不错，交通比较方便，环境也挺安静，下次还会入住的', '短评打分': 5}
{'短评内容': '很不错，温水游泳免费，早餐相当丰盛，只要去泉州就会去住', '短评打分': 5}
{'短评内容': '对于五星的来说还不够，很普通', '短评打分': 3}
{'短评内容': '比较满意', '短评打分': 3}
{'短评内容': '酒店地处市中心，交通比较方便；店内设施比较好，应是泉州市最好的酒店', '短评打分': 5}
{'短评内容': '服务非常好的酒店，五星级里难得这么好的服务', '短评打分': 5}
{'短评内容': '酒店位于市中心繁华地带，交通也比较方便，房间比较大，早餐也很丰富，是泉州最好的酒店', '短评打分': 5}
{'短评内容': '位置还不错，风景很好，酒店的服务态度相当好。', '短评打分': 5}
{'短评内容': ' 好', '短评打分': 3}
{'短评内容': '酒店设施不错，服务也不错，早餐也比较丰富；就是房价稍微偏高一些；有机会还会入住', '短评打分': 5}
{'短评内容': '酒店绝对超值5星,设施环境还有人员的热情都让我满意,下次还会入住', '短评打分': 5}
{'短评内容': '酒店房间大舒服很好!', '短评打分': 3}
{'短评内容': '不错，很好的酒店，房间环境很好，设施也新，但停车位不足，也许是客人太多的缘故。', '短评打分': 5}
{'短评内容': '干净，服务态度好，价格在泉州不算低，建议商务入住。家庭收入中上可选，620元／天。', '短评打分': 3}
{'短评内容': ' 很好的酒店，位置和设施都很好，价格现在有些高了，因为没有竞争', '短评打分': 3}
{'短评内容': '已经不是第一次住这个酒店了，总体来说很不错', '短评打分': 5}
{'短评内容': '服务还可以，价格有得高，会议收费很高，但设备很专业，配合挺好', '短评打分': 5}
{'短评内容': '泉州悦华酒店服务周到，价格合理，尤其是早餐比较丰盛，值得推荐！', '短评打分': 5}
{'短评内容': '厦门悦华酒店是不错的酒店，可惜酒店标志并不明显，其它都好。 \n', '短评打分': 5}
{'短评内容': '很好的酒店,周围环境不错. 中西早餐还是比较丰富的 . ', '短评打分': 5}
{'短评内容': '第一次入住悦华酒店,性价比还好! 下次还会来 . \n\n酒店内的自助餐价格偏贵 . ', '短评打分': 5}
{'短评内容': '酒店环境不错，就是停车位太少', '短评打分': 5}
{'短评内容': '服务周到，价格合理，尤其是早餐比较丰盛，值得再次光临', '短评打分': 5}
{'短评内容': '入住的时候刚好遇到台风，感觉交通不是很便利。', '短评打分': 1}
{'短评内容': '很不错的酒店，尽管来去匆匆，晚上11点才入住，第二天早上8点就离开了。\r\n房间硬件设施很不错，位置也很好，所有的服务人员训练有素。早餐很丰盛。\r\n\r\n是我住过的最好的酒店之一。', '短评打分': 5}
{'短评内容': '第一次，来晋江，这地方也有，非常豪华的酒店，很满捉，', '短评打分': 5}
{'短评内容': '早餐餐厅小了点，房间不够大，其他都还可以。', '短评打分': 5}
{'短评内容': '同事反馈的说酒店不错，所以下回还会定的。。。。。。', '短评打分': 5}
{'短评内容': '不错的酒店，因为客人较多的缘故，停车略嫌不方便，早餐品种丰富，有鲜榨果汁，刚巧碰上一个会议，乱哄哄的，严重影响早起的情绪。\r\n总的来说，酒店很好。', '短评打分': 5}
{'短评内容': '环境不错 位置不错  环境不错 位置不错 环境不错 位置不错', '短评打分': 3}
{'短评内容': '位置不错 服务不错 \r\n环境不错 早上还有待于提高种类 ', '短评打分': 3}
{'短评内容': '绝对值得一住 绝对值得一住 绝对值得一住 绝对值得一住', '短评打分': 5}
{'短评内容': '酒店的招待确实不错\r\n很温馨', '短评打分': 5}
{'短评内容': '价格高一些 但是设施不错 虽然服务不是很国际化 但是在国内算OK 基本上算是泉州最好的酒店 推荐入住 如果你对价格不敏感的话 否则你可以住湖美 设施和服务差一些 但是价格好一些', '短评打分': 5}
{'短评内容': '酒店不錯，可以推介。', '短评打分': 3}
{'短评内容': '酒店硬件好，服務不錯。', '短评打分': 5}
{'短评内容': 'delicious breakfast\ngood service\ngood location', '短评打分': 5}
{'短评内容': '感觉不错，比较超值！自助早餐不错', '短评打分': 3}
{'短评内容': '整体感觉不错，下次还住这里', '短评打分': 5}
{'短评内容': '自助早餐不错，游泳池和健身房环境较好', '短评打分': 5}
{'短评内容': '该酒店在泉州实力最强。性价比也很好。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '应该是泉州最好的酒店了，每次出差去泉州都住这里，早餐非常丰盛。在酒店斜对面有一家牛肉文的牛排很好吃。', '短评打分': 5}
{'短评内容': 'Good service but not so well equipped,looks like 3-star hotel only', '短评打分': 5}
{'短评内容': '除了隔音问题，其它都挺好的， 房间够宽敞够大， 早餐很不错。', '短评打分': 5}
{'短评内容': '性价比不错的酒店，每次来都住这里。值得推荐', '短评打分': 5}
{'短评内容': '基本还不错了', '短评打分': 5}
{'短评内容': '服务不错..就是房间和价位相比有些高了.', '短评打分': 3}
{'短评内容': '已经住过几次..算是泉州较好的酒店..标准房与房价设施有些不太符合..\r\n早餐也比较贵..但是服务不错喔', '短评打分': 5}
{'短评内容': '酒店的服务非常好，餐厅也不错！', '短评打分': 5}
{'短评内容': '崭新的舒适酒店，一切均好， 会 再次光临！', '短评打分': 5}
{'短评内容': '酒店很好，服务业非常到位，只不过价格稍微贵点。', '短评打分': 5}
{'短评内容': '不错的酒店，环境，卫生都不错，自助餐也比较丰富。不过在去入住的时候是下午6点多了，房间还没打扫好，不知是什么原因。', '短评打分': 5}
{'短评内容': '客房服务人员态度良好,前台接待人员非常亲切,早餐也不错,就是在十点左右看到厨房工作人员穿着工作服在餐厅里进餐,较不符合国际规范！', '短评打分': 5}
{'短评内容': '在泉州地区来说是最适合海外人士来居住的酒店，服务亲切，态度良好，值得推荐的酒店！唯一美中不足的就是性价比不高！', '短评打分': 5}
{'短评内容': '不错，但按酒店标准来说贵了', '短评打分': 5}
{'短评内容': '继续努力。', '短评打分': 5}
{'短评内容': '感觉是泉州最好的酒店，服务、地理位置都不错。', '短评打分': 5}
{'短评内容': '卫生不错，位置也很好，下次去还要住', '短评打分': 5}
{'短评内容': '下次去一定还住。最突出的是服务人员的素质和热情，而且人人如此！！', '短评打分': 5}
{'短评内容': '不贵 环境很好 服务也很好  下次还想住', '短评打分': 5}
{'短评内容': '服务非常周到', '短评打分': 5}
{'短评内容': '房间设施整洁舒适，早餐很丰盛，服务很好！', '短评打分': 5}
{'短评内容': '服务好，环境舒适。', '短评打分': 5}
{'短评内容': '很舒适的酒店,相当好', '短评打分': 5}
{'短评内容': '总体非常不错，在服务，态度这方面跟5星真的一样，', '短评打分': 5}
{'短评内容': '酒店的设施条件是非常不错的，位置也还可以，算是比较方便的，不过前台的服务不是特别好，价格也只能说是一般。', '短评打分': 3}
{'短评内容': '应该算是泉州最好的酒店了。房间干净舒适。尤其是早餐特别的丰盛，都来不及吃了，^_^', '短评打分': 5}
{'短评内容': '因为当时到的比较晚,所以没怎么留意房间,不过人员服务态度挺好的,位置也蛮方便的,价格也算合理,应该还是不错的.', '短评打分': 3}
{'短评内容': '该酒店非常不错,地理位置也好,早餐种类特别齐全,但是唯一一点就是隔音效果不是很好,不过该酒店其它方面还是很不错.', '短评打分': 5}
{'短评内容': '非常干净,舒适', '短评打分': 3}
{'短评内容': '该酒店硬件较好，也非常舒适，性价比高，以后我去泉州还会下榻这里，并会推荐给其他朋友', '短评打分': 5}
{'短评内容': '..............', '短评打分': 5}
{'短评内容': '价钱合适,还可以打国内免费电话', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '位置和价格都比较一般,房间的卫生和设施还不错,没有感觉什么特别的.', '短评打分': 3}
{'短评内容': '一点最大不足电视实在太小', '短评打分': 5}
{'短评内容': '入住的人很多，地理位置还可以，服务员都比较有礼貌，总体还是不错的，唯一不够大气，停车位总是不够，可能太多人的原因', '短评打分': 5}
{'短评内容': '原来就住过，感觉还不错，设施，软硬件设施都很好，服务也蛮不错的，我很喜欢，并且还推荐给朋友住过', '短评打分': 3}
{'短评内容': '早餐 没送两份 比较可惜!房间没液晶电视!', '短评打分': 5}
{'短评内容': '总的不错。', '短评打分': 5}
{'短评内容': '电视差点！怎么没液晶的 ！', '短评打分': 5}
{'短评内容': '当晚临时订的是高级间,结果没房,订了豪华间.除了电视不是液晶的外,其他还好.性价比高了点!', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;个人认为泉州最好的酒店！&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;设施在5星标准。&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;值得一提的是早餐，现在很少5星酒店能够提供这么丰富的早餐了。。。。。。。&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '酒店的硬件没有话可以说！绝对可以！公司标准低，安排标准间，面积很小，电视只好是等离子直接挂在墙上，酒店的小妹服务绝对要考虑，大床很舒服。。。', '短评打分': 5}
{'短评内容': '我是这个酒店刚装修完的第一批客人 刚住的时候酒店房间还有些装修留下的味道 所以感觉不是很好 不过服务态度还是可以的 而且设备是比较先进的', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;我很幸运,本来我定的是450的房间,到了之后却给我升级成了590的房间,很好~房间很新,很现代化,还不错.唯一就是前台人员骗人,说好早餐60,却收了一个60,一个88,真是可恶~其他还都算可以~&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;很不错的酒店，在泉州应该是最好的吧，设施不错，服务人员也很热情，值得一住。就是酒店周围环境一般，但交通还算方便。&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;首先一提的是该酒店的服务,非常非常好。硬件设施也是一流的，美中不足的是地处城区，周边环境不是很好，当然，如果是为休息的话这些是可以忽略不计的。还有，该酒店没有小姐电话骚扰，不象有些地方一直吵到12点以后才罢休。&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;最后，感谢那些在我入住期间为我服务过的服务人员。&amp;l', '短评打分': 3}
