{'短评内容': '非常的喜欢', '短评打分': 5}
{'短评内容': '我们入住的丹东花园宾馆很满意，条件不错，服务好，早餐也不借。我现在要预订明天本溪的宾馆，具体要求和丹东的标准一样，最好在200元以内，进入市区非常好找，谢谢！', '短评打分': 3}
{'短评内容': '挺好的,虽然离江边远点，但可以散步过去。', '短评打分': 5}
{'短评内容': '环境不错，早餐一般，临街不闹，位置近江，价格不贵', '短评打分': 5}
{'短评内容': '环境不错，价格合适，停车收费，临街不闹，地点临江', '短评打分': 5}
{'短评内容': '洗澡水压太小，房间还可以，地理位置比较偏，但离我的目的地很近', '短评打分': 1}
{'短评内容': '价钱很合适，这么多酒店很少能找到家庭房，大人和孩子都睡得不错，早餐很不错，吃得很馆，就是停车费要收钱，这可能和其它停车免费，车损自负的酒店比起来，看管得要安全些？', '短评打分': 5}
{'短评内容': '服务质量差  我的房间直到离店没有热水 停车收费不应该 褥单有毛发', '短评打分': 3}
{'短评内容': '总体来说还算不错，正在装修有点吵，另外标准件有点小，临街的吵，卫生间设备太陈旧，洗澡流满屋子水～\n\n早餐还可以，出门方便', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 3}
{'短评内容': '装潢有点旧了  晚上还有蚊子   跟价格有差距', '短评打分': 1}
{'短评内容': '房间不算大,设施还算齐全,隔音效果还可以.早餐不错!', '短评打分': 5}
{'短评内容': '酒店位置尚好，服务态度不错。酒店整体性价比较高。', '短评打分': 5}
{'短评内容': '的确是三星级酒店，环境好，服务也好，早餐也不错，位置也好，出门打车很方便，就是设备稍微有点陈旧，什么时候能换批新的就更好了，希望下次还能入住，呵呵~~', '短评打分': 5}
{'短评内容': '酒店环境不错，早餐挺好，就是有点吵', '短评打分': 3}
{'短评内容': '1.房间小，设施简单，卫生还过得去\n2.前台服接待员完全没有经过专业培训，你花钱入住，到象是你欠了她钱一样，不了解\n3.早晨可以让你吃饱，但不要想吃好\n4.自驾车停宾馆，要收15元，可恶可恶！！！', '短评打分': 1}
{'短评内容': '价格可以，服务不错，餐厅味道也可以,地点也很好找', '短评打分': 5}
{'短评内容': '停车方便，态度不错，房间挺大，隔音效果价差，早餐尚可，交通便利', '短评打分': 5}
{'短评内容': '酒店位置还可以，就是房间比较小，早餐比较简单。', '短评打分': 5}
{'短评内容': '房间比较小，价格有点贵，前台服务员态度不是很好。', '短评打分': 1}
{'短评内容': '房间干净，服务态度较好。去丹东的朋友可以选择这个酒店，不错的。', '短评打分': 5}
{'短评内容': '晚上觉睡得很好,窗外是住宅楼,很静.早饭可以吃饱,品种不多.床单是新的,能感觉到.地角很好,很近就有购物中心,快餐厅,洗浴中心,水果店,KTV等等,非常方便.缺点就是设备有些陈旧,房间有味,住店还要收停车费.', '短评打分': 5}
{'短评内容': '不错的酒店，比较干净，价格不高，但是停车过夜收费不合理。', '短评打分': 5}
{'短评内容': '还不错，整体比较满意，有早餐的不多啊。。。。', '短评打分': 5}
{'短评内容': '2楼的豪华标间，晚上的隔音不太好，本人晚睡，能听到隔壁的打呼声', '短评打分': 5}
{'短评内容': '条件还算凑合，晚上有些吵！条件还算凑合，晚上有些吵！', '短评打分': 5}
{'短评内容': '主要是靠近下高速的一条主道，太吵了。要是住的话不要住二楼。因为楼下是饭店也是吵了点！ ', '短评打分': 1}
{'短评内容': '性价比不错的酒店，服务很好，应该是丹东最好的了。', '短评打分': 5}
{'短评内容': '酒店环境干净，前台服务态度好。很满意。', '短评打分': 5}
{'短评内容': '酒店还不错，餐厅很大，能摆下35桌，早餐可以！旁边有乐购！', '短评打分': 3}
{'短评内容': '酒店设施还可以，早餐不错，位置有些偏远，里鸭绿江较远打车10元。', '短评打分': 3}
{'短评内容': '酒店还可以，装修有点老，还算干净 离江边远一点！', '短评打分': 5}
{'短评内容': ' 综合条件不错 服务好 很干净 就是隔音稍微差了点', '短评打分': 5}
{'短评内容': '酒店挺干净，早餐还可以。但卫生间马桶坏了，虽然报修马上来了，但没修好。', '短评打分': 3}
{'短评内容': '已入住', '短评打分': 5}
{'短评内容': '+酒店位置还可以，早饭太简单，最头疼的是没有宽带，经过协商后第二天才调的。', '短评打分': 5}
{'短评内容': '还不错，只是房间小了点，还有就是洗澡水流慢，其他都很难好。服务态度也非常满意，下次还住这里。\n', '短评打分': 3}
{'短评内容': '服务热情，介绍详细，交通方便，停车每天收费10元但服务极好。', '短评打分': 5}
{'短评内容': '整体感觉还可以，就是离鸭绿江边还有点距离，大约开车十五分钟吧！', '短评打分': 5}
{'短评内容': '不错的酒店，干净整洁舒适，不过临街有点吵，不敢开窗户，房间也有点小，一个人还过得去。不错。', '短评打分': 5}
{'短评内容': '上次去丹东出差，这家店比较方便，入住条件也比较达标。', '短评打分': 5}
{'短评内容': '酒店整体给人感觉就是洁净舒适。', '短评打分': 5}
{'短评内容': '花园宾馆，服务挺好的，周到且热情。', '短评打分': 5}
{'短评内容': '这家酒店位置不错，性价比蛮高的。', '短评打分': 5}
{'短评内容': '这家酒店的地理位置优越在丹东市中心位置，出行很方便。', '短评打分': 5}
{'短评内容': '挺干净的...房间也不错...地理位置也挺好的..好评..', '短评打分': 5}
{'短评内容': '服务很周到的酒店，而且还是市中心，挺值得，下次应该还会住', '短评打分': 5}
{'短评内容': '周围比较繁华，属于市中心，离鸭绿江也不太远，房间内部很简约，卫生很干净', '短评打分': 5}
