{'descr': '好好好', 'star': 5}
{'descr': '老板人很好，房间也很大，很舒服，离解放碑走路十分钟就到了，就是卫生间不太好，地板总是湿的，但总体来说还是不错的。', 'star': 5}
{'descr': '所在地段非常好，去解放碑等市内主要景点只需步行，周围有小吃店摊菜场等，加之此旅馆可提供电磁灶锅子。房间宽大，比较干净，卫生间稍稍差强人意，但是洗澡的水压很大（我们住了12楼），淋浴喷头很好。服务热情。已向所有计划去重庆的亲朋好友推荐了。', 'star': 5}
{'descr': '剛開始地點有些難找, 但酒店工作人員很耐心告訴我如何前往, 一讚.\n酒店離日月光中心和地鐵站很近, 出入都方便.\n房子很大, 很舒服; 在高層, 視野很好; 有洗衣機可以洗衣服, 方便; 熱水充足, 有家的感覺.\n下次到重慶再住.\n謝謝小劉的拖鞋. ', 'star': 5}
{'descr': '离解放碑很近，虽然我们快退房时才发现。日月光中心也很好逛哦。房间窗户很大，卫生间小了点。\n总之综合来说，性价比还是非常高的。', 'star': 5}
{'descr': '这家酒店不错，没有像别人说的那么难找，从上清寺打车到吉象宾馆，侧门进去就是。很容易找到。酒店离解放碑，临江门，洪崖洞都很近，而且报团出游后回来的地方基本上都是解放碑散团，回家也很方便。唯一的缺点就是设施一般，鱼与熊掌不可兼得，哈哈。。。', 'star': 5}
{'descr': '酒店装修简单，但是地段很好，出门交通很方便，房间够大，适合一家人住。', 'star': 5}
{'descr': '去了好长一段时间了，刚出差回来，房间很好、地理位置很好，离解放碑很近，下次出差还去这家宾馆。', 'star': 5}
{'descr': '家庭旅馆，床很大，还有厨房，有微波炉和冰箱，可以简单做饭，短信提示很温馨', 'star': 5}
{'descr': '不错！床很舒服，走几分钟就到步行街，吃也方便。', 'star': 3}
{'descr': '我们都是城市的流浪者，云卷云舒，卷舒堂！', 'star': 5}
{'descr': '很好，很舒适，好号号好      好  好   好  ！', 'star': 5}
{'descr': '这家酒店首先是位置好，离解放碑近，距地铁站近，距超市近；其次房间大，带厨房；三是床单干净，房间卫生尚可，有宽带。工作人员服务热情，有问必答。不足是卫生间水漏不畅，我从里面抠出一团头发丝。以后来重庆渝中区还会选择这里。', 'star': 5}
{'descr': '虽然价格比较贵，旺季啊！但是设施还好了.', 'star': 5}
{'descr': '相当好的一个公寓式酒店，每次到重庆都住这里。环境很好，这次安排的房间更舒服！以后再订房就早点定，这样也许还能住到这个房间！', 'star': 5}
{'descr': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好!', 'star': 5}
{'descr': '很好！很舒适！最好的是房间很大！还在市中心，每次都住这里的！值得推荐！\n', 'star': 5}
{'descr': '地方在吉象宾馆的楼上，侧门进，有的不好找，但入住后逛重庆解放碑商业区超方便，省去不少时间和路费。房间很温馨，还有冰箱和微波炉呦！家庭出游首选呦！', 'star': 5}
{'descr': '房間寬敞~我們住23樓~從窗戶看出去風景很好~洗澡時水量充足~水又熱~讓從西藏歸來的我們洗去一身疲憊~逛街距解放碑也近~\n缺點是從機場巴士上清寺站招車很難招~後來我們拉著二十公斤的行李坐公車~差點暈在路邊~奉勸從機場又拉大行李的旅客~直接機場打車過去即可~最後謝謝老板~幫我們叫了輛麵包車送我們到機場~麵包車師傅人也很好~讓我們開心回台灣~~還有櫃台小姐人也很好ㄛ~', 'star': 5}
{'descr': '没去之前非常热情，两天一个短信，三天一个电话的，入住之后没觉得，也无所谓，毕竟我们是去住宿去了。房间很宽敞，适合家庭住。而且出行非常方便，楼下巷子小店的鸭舌非常好吃，价格便宜。', 'star': 5}
{'descr': '大体不错，就是洗衣机好像不能用，算了，就两件衣服也不用麻烦了，自己手洗吧。经常住的公寓式酒店，很舒服，满意，建议出差达人们到哪个城市都选择公寓酒店啊！', 'star': 5}
{'descr': '酒店就是一栋公寓中的一室一厅改建而成，有洗衣机和冰箱还不错，微波炉和煮水壶。有家的感觉。地理位置也很好，附近吃的东西丰俭由人，可步行10分钟到解放碑，再多走10分钟到洪涯洞。从上清寺打的起步价可到，说日月光中心广场后面的新民街，师傅都知道，吉象酒店的侧门进去即是。总体来说，我喜欢住这里。\n\n', 'star': 5}
{'descr': '酒店就是一栋公寓中的一室一厅改建而成，有洗衣机和冰箱还不错，微波炉和煮水壶。有家的感觉。地理位置也很好，附近吃的东西丰俭由人，可步行10分钟到解放碑，再多走10分钟到洪涯洞。从上清寺打的起步价可到，说日月光中心广场后面的新民街，师傅都知道，吉象酒店的侧门进去即是。总体来说，我喜欢住这里。\n\n.\n\n.', 'star': 5}
{'descr': '很宽敞的房间，卫生间也很大，床呢，也很大，适合短期家庭住。呵呵，位置挺好，出行方便。', 'star': 5}
{'descr': '地理位置很好，从较场口轻轨E出口出来，往江边走，就能找到日月光广场，重庆的路有些绕。 \n我们订的是标间，床是两张双人床，太给力了。就是在重庆只呆了一天。', 'star': 5}
{'descr': '价格是便宜，但是装修都不怎么好，很简单和很旧', 'star': 1}
{'descr': ' 已经入住很满意。2号住一天。', 'star': 3}
{'descr': '酒店位置非常优越，步行可至十八街和解决碑以及长江索道。公车总站到总战直达洋人街。大床房间宽敞。', 'star': 3}
{'descr': '太难找了，环境挺好的。不过我昨天住的有蚊子，我被咬了好几下。如果改善一下，会更好！', 'star': 5}
{'descr': '挺温馨的，老板态度很好，有家的感觉。就是热水不足\n', 'star': 5}
{'descr': '地点方便。设备一般。空间够大。冰箱坏了，早该换了吧！放在房间里面碍眼。', 'star': 5}
{'descr': '，位置不错，就是硬件有点简陋，墙壁上有污渍，卫生间也是。老板人不错，挺客气，人也热情', 'star': 1}
{'descr': '没图片上那么好。像个招待所，位置还比较方便，如果对住宿条件没有什么要求的话，可以住那。', 'star': 1}
{'descr': '位置不错，老板也很热心。 有什么问题马上就能解决掉。可惜住的那几天天气不好，能见度太差，不然的话看外面应该很美', 'star': 5}
{'descr': '价钱便宜，老板热心。适合家庭入住。位置也还可以，出行较方便。', 'star': 5}
{'descr': '态度好，服务不错', 'star': 3}
{'descr': '位置好,老板热情', 'star': 3}
{'descr': '比较适合家庭住，地理位置也不错。不过卫生条件有待于提高。', 'star': 5}
{'descr': '老板服务态度很好，就是重庆有点怪，不报门牌和路名的，多数都是报标志性建筑，不太习惯', 'star': 5}
{'descr': '适合一家人住，就是地方很难找~~~~~~~~~~~~~~~~~~~~~·', 'star': 5}
{'descr': '房间很大，床也很大，和网上的图片基本一致~~性价比很不错哦~~以后来还会考虑入住^-^', 'star': 5}
{'descr': '虽然地点不大好找，但位置极佳，步行至解放碑仅10分钟路程，方便逛街累了回来休息。老板也非常热情。居家设备也非常齐全。当然卫生不能和酒店比。', 'star': 3}
{'descr': '实事求是客观地说，房间比较大。\r\n店主不是什么实在的人。服务态度非常差，还对住店顾客抱不信任的态度。\r\n严重影响到重庆旅游的心情，什么垃圾东西，你那些破烂送人都没人要。\r\n要不是看中你这里距离解放碑比较近，谁会定这么一间不专业的宾馆。\r\n建议还是别考虑他们家了，店主很不会做生意而且做人很差劲！', 'star': 1}
{'descr': '128的标间，房间非常大，掌柜也很热心，40平米都有啊，床也是双人床，卫生还可以，有电视有网络～', 'star': 5}
{'descr': '卷舒堂位于重庆解放碑闹市中心，步行去解放碑非常方便，就是位置有点偏僻，不过老板非常热心，会仔细为你指路。', 'star': 5}
{'descr': '下次还会入住，交通非常方便，适合一家子住。老板挺乐意与客人聊天，服务也不错。', 'star': 5}
{'descr': '房间装修太简陋，床非常非常的硬，跟老板换了一个房间后，还是觉得特别硬。住惯了家庭式酒店公寓，老板还需好好努力。老板不妨可以借鉴一下成都之家跟爱上成都（他们的床跟床上用品都非常给人家的感觉，舒服干净）\n见老板有这么多好评，也是我一开始选择的原因，但这里给了老板一个不太好的评价，希望老板理解。也提出我的小小建议，祝老板生意兴隆。', 'star': 1}
{'descr': '老板人很好，很亲切，地理位置较好，走路可到解放碑商圈，价格也还行', 'star': 5}
{'descr': '非常适合家庭旅游入住，卫生条件硬件设施等虽然不能和星级酒店相比，但也能住得舒服，尤其是标准间完全可以满足三口之家甚至四个人的住宿要求。\r\n另外公寓的地理位置不错，旁边就是购物广场，距离轻轨公交车站都很近，到解放碑好吃街就可以直接步行前往。\r\n自助游的话线路问题什么的还可以找小赵老板咨询，老板那是相当热情，态度很亲切，有什么住宿方面的要求也会尽量予以满足，能够让客人满意。\r\n总的来说性价比相当高，尤', 'star': 5}
{'descr': '酒店服务不错。', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '非常好的酒店，接待好、性价比高、方便。希望能把地点再标注详细些，这样第一次到的客人会更好找。', 'star': 5}
{'descr': '价钱合适，位置很好，离解放碑不远，一家子出游住这里比较合适，老板热心。', 'star': 5}
{'descr': '酒店的位置离解放碑还是比较近的，但是酒店的周遭环境不是很好，可能我们去正好赶上重庆建设，周遭全是小商小贩，菜市场！周遭的卫生不是很好！再说酒店，我们订好了15号到达，结果店主弄错了记成了16号！又下着雨去给我去看别家的，第二天才住进去的！不管怎么说店主还是很好的！公寓的性价比也是很不错的！但是让我受不了的是酒店里有虫子！蟑螂，蜘蛛等等并且不是一次两次的！是好多！不过除了这点之外其他还是很好的！不过', 'star': 5}
{'descr': '很好的酒店，地理位置很好，爸爸妈妈住得很舒服。', 'star': 5}
{'descr': '性价比非常好的酒店公寓，地段好距离解放碑很近，价格很有优势。', 'star': 5}
{'descr': '老板人超好，很热情。酒店是公寓式的配置非常齐全，一些平时用的都有提供。', 'star': 5}
{'descr': '房间宽敞，设施一般，卫生还可以，地理位置很好，但是有些不好找 ，价格还可以，', 'star': 5}
{'descr': '很不错，单间条件蛮好～价格也很便宜，离解放碑很近，就是不大好找～', 'star': 5}
{'descr': '房间到处都是干干净净的，给人感觉很舒适。', 'star': 5}
{'descr': '酒店的价格非常实惠，房间装修温馨，像家一样，真是物超所值啊！', 'star': 5}
{'descr': '酒店所在的位置很好，距离校场口、解放碑都很近，出行方便。', 'star': 5}
{'descr': '客房很整洁，配备的设施也很齐全，使用效果也不错。', 'star': 5}
{'descr': '房间很宽敞，床也够大，比想象中要好的多。', 'star': 5}
{'descr': '床挺大，屋子也宽敞干净，这个价位蛮划算的。', 'star': 5}
{'descr': '位置不错，在市中心，邻近解放碑，交通方便。', 'star': 5}
{'descr': '重庆的山路真是货真价实，老板怕我们找不到亲自来公路接，很热情。', 'star': 5}
{'descr': '酒店是公寓形式的，感觉各方面都还不错，房间打扫的挺干净，设施也算比较齐全，酒店位于解放碑附近，出行还比较方便，价格方面我觉得还是比较合适的。', 'star': 5}
{'descr': '房间里的设施蛮不错的，收拾也干净，住着放心。', 'star': 5}
{'descr': '老板态度很好，住房环境也不错。不过半夜空调往屋内漏水，滴答声把我吵醒了——希望老板维修一下。\r\n第一次去不是很好找，问了10个重庆人9个都不知道新民街。\r\n可能是节日期间，比网上报价高10元。', 'star': 5}
