{'短评内容': '位置好硬件好，对面是湖北省博物馆，值得去！', '短评打分': 5}
{'短评内容': '好,酒店不错，很新的，位置可以，就是房价高还没早餐，希有变化，下 次还会选择', '短评打分': 5}
{'短评内容': '房间蛮干净', '短评打分': 3}
{'短评内容': '洗手间卫生一般', '短评打分': 3}
{'短评内容': '酒店位置还可以，但隔音太差，隔壁房间说话听的好清楚，早上都给吵醒了', '短评打分': 1}
{'短评内容': '地段好，省博物馆、美术馆对面，离东湖、省委省府都近。\n五星酒店，硬件就不说了。\n行政大床房床真的大。不过感觉房间小了点。\n房客自助早餐48元很值，环境很好，选择很多。', '短评打分': 5}
{'短评内容': '不错。干净，服务也好。就是洗澡会积水是个硬伤。', '短评打分': 5}
{'短评内容': '酒店装修不错\n环境也不错\n给人的感觉很高端\n帮朋友定的\n说下次来还住', '短评打分': 5}
{'短评内容': '位置挺好的，服务也还不错。有机会会再去，天气好了更好哇', '短评打分': 5}
{'短评内容': '酒店不错，很新，位置也好，就是房间隔音差点，但可以忍受，下次还会入住', '短评打分': 3}
{'短评内容': '态度还比较好，就是解决问题有点慢，希望改进', '短评打分': 5}
{'短评内容': '饮料区的服务态度挺好的，就是前台管理还是有点问题，有间提前退房结果最后结账说没退，调查慢了一些', '短评打分': 5}
{'短评内容': '饮料区的服务态度很好，后来前台退房出了问题，给我们带来不小的麻烦，希望改进管理', '短评打分': 5}
{'短评内容': '新酒店不错', '短评打分': 3}
{'短评内容': '入住楚天粤海酒店去湖北省博物馆很方便，就在马路对面。离东湖也不远，酒店房间很大很干净，不错，下次还会入住', '短评打分': 3}
{'短评内容': '还行，不过装修的味道还没有散去，游泳池还未开放，有点遗憾！', '短评打分': 5}
{'短评内容': '不错，推荐大家常来住，周边环境也不错，东湖，博物馆，美术馆', '短评打分': 5}
{'短评内容': '酒店很新，按五星标准装修的。交通方便，给免费升级到行政套房，有个超大的洗手间。是家值得推荐的酒店。', '短评打分': 5}
{'短评内容': '环境很好，服务热情，出行方便', '短评打分': 3}
{'短评内容': '环境很好，值得！', '短评打分': 3}
{'短评内容': '酒店客房非常不错，就是在餐厅吃饭有点慢，呵呵', '短评打分': 5}
{'短评内容': '酒店设施不错，交通也很方便，就是早饭很一般。', '短评打分': 5}
{'短评内容': '房间还是比较新，装修中规中矩，如果你住在武昌，离东湖也很近，是个推荐的酒店，早上的早餐在中西找到了平衡。', '短评打分': 5}
{'短评内容': '离湖北省博物馆非常近，过了一条人行隧道就到了！离东湖听涛景区也非常近，大概走1公里不到就到了！至于酒店，装修挺新的！有一点不好的就是，我办入住的时候，前台的那个小姐，态度不好，因为有一些不满意的地方，我提了出来，并告知她，我十分不满意，竟然获得的答案是：“你不满意，那又怎么样？”，还好，来了一个应该是领班的，十分迅捷的替我解决了我不满的地方，顺利的办理了入住。另外，就是，门童相当给力，由于我需要赶', '短评打分': 5}
{'短评内容': '酒店设施很新、服务很好，符合五星标准。酒店的地理位置靠近省博物馆和东湖风景区（梨园、听涛景区），去东湖旅游很方便。就是这次春节入住由于客源较少，没能如愿安排到高楼层的湖景房有点遗憾。还有就是淋浴房的地面斜面没做好，有积水问题，希望酒店能够改进。', '短评打分': 5}
{'短评内容': '服务态度各方面都挺好的，只是很遗憾，忘了留言说要高楼层，结果特地订的行政房只是为了楼层高点，结果被安排在十一楼，其余楼层也满了没办法改。先后有三个客服来敲门，第一个和第三个都还好，第二个敲了一声，我还没来得及说等一下。她就自己用卡把我的门打开了……我郁闷了……问我要不要退房……我……真是无语到家…早上七点多而已…可能是有什么误会吧，但是我觉得她还是应该确认顾客的情况再擅自开门吧。不过总得来说，真的', '短评打分': 5}
{'短评内容': ' 环境还可以，服务态度需要改进！', '短评打分': 3}
{'短评内容': '我是国内某化妆品的CEO~这次第一次去武汉，选用酒店就是这家，酒店装修奢华，价位很中端，酒店早餐与自助餐，酒店客服于员工很热情，酒店对面就是武汉省博物馆，走走就到旅游景点，中湖。这个酒店年轻人住的很少，主要是政府的人，周围都是报社，政府大楼。开车到武口，只要20分钟，不推荐大家走大桥，很堵，可以走隧... 查看点评详情我是国内某化妆品的CEO~这次第一次去武汉，选用酒店就是这家，酒店装修奢华，价位', '短评打分': 5}
{'短评内容': '我是国内某化妆品的CEO~这次第一次去武汉，选用酒店就是这家，酒店装修奢华，价位很中端，酒店早餐与自助餐，酒店客服于员工很热情，酒店对面就是武汉省博物馆，走走就到旅游景点，中湖。这个酒店年轻人住的很少，主要是政府的人，周围都是报社，政府大楼。开车到武口，只要20分钟，不推荐大家走大桥，很堵，可以走隧道。反正一句话，值得推荐。', '短评打分': 5}
{'短评内容': '硬件实施还行。周边环境比较安静，但吃饭可能要走一下。', '短评打分': 3}
{'短评内容': '酒店房间还不错，在这条路沿线的宾馆性价比算最高的，视野开阔', '短评打分': 5}
{'短评内容': '酒店设备设施挺好的，比较干净，服务也比较好，以后还会入住---------------------------------------------------------------', '短评打分': 5}
{'短评内容': '软硬设施相当到位，地理位置也不错，超值！！！', '短评打分': 5}
{'短评内容': '酒店位置真不错，就是早餐不怎么样。希望以后改进一下', '短评打分': 5}
{'短评内容': '酒店的健身房设施非常齐全先进，但游泳池暂未开放；房间非常干净，装修用材也不错，缺点是高级房必须在浴缸里淋浴，但浴帘设计有问题无法挡住溅出来的水，卫生间会水漫金山，容易滑倒。交通方便，由其是自驾游，到秦园路一条街吃饭非常方便，旁边不行2分钟有个民生甜食馆，武汉主要小吃基本都有了，热干面、豆皮都比较正宗。', '短评打分': 5}
{'短评内容': '＋很好的酒店 设施很棒 服务更棒 五星级的服务 ', '短评打分': 3}
{'短评内容': '酒店设备设施挺好的，比较干净，服务也比较好，早餐品种比较少，周边的环境不太好，总体来说还OK ， 性价比还可以，以后还会入住。', '短评打分': 5}
{'短评内容': ' 酒店挺好，只是房间有点小。', '短评打分': 3}
{'短评内容': '服务质量差，达不到五星级标准。早餐质量也太差', '短评打分': 1}
{'短评内容': '酒店位置十分好 位于市中心最繁华的地方 交通便利！服务方面再加强管理会更好！以后出差还会选择贵酒店，祝生意兴隆。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '性假比很高的酒店，很干净，服务员态度很好、\n\n打满分。下次还回来。', '短评打分': 5}
{'短评内容': '地理位置不错可惜门口修路。酒店新有潜力，服务及硬件有待加强完善，住8807房电源总开关关不了夜灯，衣柜里的照明灯也关不掉。清早有服务生在门口清洁新装修的卫生原本是好事，但说活太大声。吃了有史以来相当不经济的一顿早餐，98元外加服务费，附近修路又不方便出去吃。服务费还不冤枉，早餐品种太少。强烈投诉，要求下次打折。（如果我还有去的话）', '短评打分': 1}
