{'短评内容': '很好的很好的很好的很好的很好的', '短评打分': 5}
{'短评内容': '作为连云港唯一的一家五星级酒店，服务真不错。早餐很好，房间不错，整体建筑与周边环境都不错。尤其是服务员的服务质量，很好。看见我在桌上有板蓝根冲剂，知道我有感冒，又送了两袋姜汤冲剂，很让我感动。', '短评打分': 5}
{'短评内容': '下次出差到这边还是会选择，····～～～～～～～～～～～～～～～', '短评打分': 5}
{'短评内容': '是一家非常好的五星级酒店，宾馆大堂非常气派，通过朋友介绍入住后感觉非常好，作为五星级宾馆，价格很便宜但是服务很贴心，各部门员工服务都很好，很值得再次入住的酒店，下次继续入住。\n', '短评打分': 5}
{'短评内容': '是一家非常好的五星级宾馆，入住、结账效率都很高，早餐很丰盛，服务员很热情，入住期间感觉宾馆服务人员都很热情，礼宾员很棒的，主动为我们拿行李，叫出租车，真的很赞。\n值得一提的是入住期间我先生有点感冒，细心的房间服务人员在我们不在房间的时候，准备了两包姜茶给我先生，令我和先生非常感动，感谢管家部的服务人员，谢谢你！', '短评打分': 5}
{'短评内容': '总台结账的时间有点长。对于常客应该设置常用信息方便客人快速入住和结账。', '短评打分': 5}
{'短评内容': '酒店的房间不太隔音，需要改进。房间内的烟味消除的不是很干净。', '短评打分': 5}
{'短评内容': '房间内的洗浴用品和拖鞋不够五星级标准\n被子不好，很快发热但不透气；\n服务态度不错。', '短评打分': 5}
{'短评内容': '一切在我的预期中,有机会还会去光临该酒店的.', '短评打分': 5}
{'短评内容': '早餐还算丰富，房间设施除了床以外，都满意。床感觉有些硬。标间的床好小的。还有就是电视机的光线太暗，看得眼睛痛，其余都好。\n下次还会选择。', '短评打分': 5}
{'短评内容': '最近重新装修过。房间设施更换新版。卫生不错。', '短评打分': 5}
{'短评内容': '酒店硬件看上去不错，服务一般，餐厅小姐比较生硬。性价比有些差了，希望改进！', '短评打分': 1}
{'短评内容': '酒店位置不错，大堂也比较气派。房间不大，设施一般。', '短评打分': 5}
{'短评内容': '新浦最豪华的一家酒店，对面有很大的公园，房间施舍很干净，每次来客人安排此酒店', '短评打分': 5}
{'短评内容': '这家酒店是连云港唯一的五星酒店,服务和环境也是一流的,有点回家感觉!而且这次退房由于自己疏忽,把押金余额留在总台了,事后发现后,及时联系,酒店及时汇款!非常感谢!', '短评打分': 5}
{'短评内容': '挺不错的，工作人员态度随和，迎宾有礼貌。', '短评打分': 5}
{'短评内容': '新浦区云台宾馆，开发区喜来登大酒店都是五星级的。云台宾馆在市中心最繁华地段。房间设施不错。适合于贵宾入住', '短评打分': 5}
{'短评内容': '作为当地一家五星级酒店，标准间的床未免太小了一点。服务感觉不符合五星标准，在前台经常能看见和客人争吵的场面~', '短评打分': 1}
{'短评内容': '我每次都住云台，确实不错，虽然价格有点贵。', '短评打分': 5}
{'短评内容': '第二次住了，还不错，下次还住！………………', '短评打分': 5}
{'短评内容': '酒店设施高档，服务非常到位。环境优雅，入住舒服。', '短评打分': 5}
{'短评内容': '酒店在当地是最好的之一，性价比个人感觉比较高。入住当天被告知标准间无无烟房，但可做无烟处理。酒店给了其他房间选择，服务还是可以认可的。但晚餐只有点餐，自助餐不是天天都有，不符合5星的标准。下次来连云港如果住市区还会选择云台。', '短评打分': 5}
{'短评内容': '五星，环境超好！', '短评打分': 3}
{'短评内容': '鹤立鸡群，符合五星标准。从新配的多媒体电视机上看得出酒店设施在不断更新。但在连云港大床房要价六百多，还只含一份早餐显得性价比不高。', '短评打分': 5}
{'短评内容': '非常不错啊，跟老板和同事一起来出差。房间不错，早饭伙食挺丰富。目前好像是当地唯一的五星，另外还入选江苏省内十佳旅游酒店。', '短评打分': 5}
{'短评内容': '连云港最好的酒店，性价比不错，值得推荐。', '短评打分': 5}
{'短评内容': '我下次还住这个酒店。卫生，整洁，方便，就是价格有点偏高。', '短评打分': 5}
{'短评内容': '已经有过点评， 再次入住， 感受进一步变好， 下次到连云港的话还要再住这家宾馆', '短评打分': 5}
{'短评内容': '酒店不错，会收集客户的信息，因为常住，基本都认识了，住着很舒服。', '短评打分': 5}
{'短评内容': '我已经好几次住这个酒店了，强烈推荐。就是大床房太少或价格有点高。', '短评打分': 5}
{'短评内容': '酒店不错， 性价比也高， 就是周围环境有待改善， 总体而言， 值得推荐！', '短评打分': 5}
{'短评内容': '周边环境好，门前就有公园，交通便利，客房干净，服务不错，早餐丰富', '短评打分': 5}
{'短评内容': '连云港非常不错的酒店，服务挺好的！会继续支持！', '短评打分': 5}
{'短评内容': '又住了一次，标间还是没有排气装置。一楼的自助晚餐也取消了，对我的吸引力减少了。', '短评打分': 1}
{'短评内容': '套房的价格有点高了！其他还好。套房的价格有点高了！其他还好。套房的价格有点高了！其他还好。前台的服务更不上酒店的配套！', '短评打分': 1}
{'短评内容': '每次来荆州都住这里，服务不错，只是价格增长的比较厉害。', '短评打分': 5}
{'短评内容': '酒店内设施好，服务态度热情，食物很不错，宽带速度很快', '短评打分': 5}
{'短评内容': 'the position of the hotel is good and the room size is small and equipments are old.servce is soso.taxi need to book in advance\n\n', '短评打分': 5}
{'短评内容': '酒店设施齐全完好，服务热情周到，食物也很不错尤其是早餐，中西餐搭档不错', '短评打分': 5}
{'短评内容': '挺不错，这次和同事一起住的，是我来连云港的首选。', '短评打分': 5}
{'短评内容': '我已经是第三次入住该酒店了，如果是去连云港出差的话，我是强烈推荐这个酒店。服务很细心，服务人员在做晚床服务时，发现我带了电脑，就给我配了个鼠标垫，还手写了便笺条告诉这个事。可能这个事小，但可以感觉出服务人员的细心。', '短评打分': 5}
{'短评内容': '同事定的酒店，环境不错，服务也很好。就是预订要提前，否则可能订不到。', '短评打分': 5}
{'短评内容': '连云港唯一五星酒店，这次和同事一起住的，挺不错，下次还会选这里。', '短评打分': 5}
{'短评内容': '连云港比较好的酒店，服务不错，早餐比较不错，打的不太方便，去机场有班车。', '短评打分': 5}
{'短评内容': '服务不错，老爸当天的生日，主动送了蛋糕过来，让人比较感动，连云港出差的首选。硬件比起其它城市的同级酒店还是落后了些，尤其是电视，该换平板了。。。', '短评打分': 5}
{'短评内容': '酒店硬件设施没有达到五星级标准，不过，软件的服务不错，值得推荐！（建议：卫生间的洗浴设施加强一下改善比较好，希望能提供手提式花洒淋浴器。衣柜有些陈旧，更新比较好。）', '短评打分': 5}
{'短评内容': '连云港云台宾馆;连云港云台宾馆;连云港云台宾馆;连云港云台宾馆不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '干净，卫生不错，服务态度挺好。我本来想定大床房的，结果晚了没订到，只好住了标准间，不过也还不错。 \n缺点：前台结帐速度慢， 好像只有一个人负责结帐。', '短评打分': 5}
{'短评内容': '停车厂很开阔，但硬件水平一般，隔音效果不是很好，走廊里可以听见对门客人的鼾声', '短评打分': 5}
{'短评内容': '位置好，酒店外宽敞，停车方便；价格高，服务和硬件一般，住过两次标准间，卫生间都没有排气扇，洗完澡整个房间里都是澡堂的味道。', '短评打分': 1}
{'短评内容': '非常好的酒店,大厅及餐饮都让人很满意,下次去还会再住', '短评打分': 5}
{'短评内容': '酒店服务不错，就是酒店内的设施一般。衣柜有点旧，洗浴设施太单一，喷头不是转动型的，是固定在那里的，不方便。大堂里的壁画挺有趣。大堂服务员很热情，态度很好。总体来说，硬件不太好，软件不错。', '短评打分': 5}
{'短评内容': '感觉像大城市的三四星酒店，价钱较贵，吃饭很将就', '短评打分': 3}
{'短评内容': '不错呀！', '短评打分': 3}
{'短评内容': '第一次到连云港，第一次住这个酒店，有个方便之处就是机场大巴的终点和起点均在这个酒店门口，非常方便。说实话，对连云港这个小城市真没有什么很好的印象，就这个酒店尚可。但早餐的服务不行，人太多太嘈杂。可能小城市吧，正好当地政府在这里开什么会议，参加会议的代表素质很差，导致了服务跟不上。早餐不错的，房间也很不错的。下次到连云港，还是住这里。', '短评打分': 5}
{'短评内容': '环境不错！价格偏高', '短评打分': 3}
{'短评内容': '总体来说，该酒店软件管理水平还可以，整体服务质量还不错，从大堂到楼层服务人员态度都很好，笑容亲切，比较善解人意。另外觉得遗憾的是，房间里的灰太大了，一天下来桌面和床头柜上可以见到明显的一层浮灰，猜想可能是连云港的空气质量不大好的缘故吧；没住之前看网上评价说这家酒店早餐很丰富，觉得一顿美好的早餐会使一天的工作更加舒心，实际吃过后觉得一般，特别是西点的制作水平还有待加强哦~', '短评打分': 5}
{'短评内容': '价格偏高！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '不错的酒店！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '服务可以，装修偏旧了。', '短评打分': 3}
{'短评内容': '云台宾馆在连云港市区算是比较好的酒店，适合国外来的客人住。', '短评打分': 5}
{'短评内容': '门口的西游记画很有意思，试想一下用英语给老外讲西游记的故事吧。', '短评打分': 5}
{'短评内容': '酒店位置较好，性价比还可以。房间卫生比较好，很干净。', '短评打分': 5}
{'短评内容': '酒店的房间不错，环境也好，对面就是公园，虽然地处闹市，但安静。值得入住', '短评打分': 5}
{'短评内容': '硬件设施不错，但服务还需要进一步提高。总体性价比尚可，值得再次入住', '短评打分': 5}
{'短评内容': '连云港地区唯一的5星级酒店，还不错，早餐很丰富。', '短评打分': 5}
{'短评内容': '云台宾馆的床很舒服,也很大,被子床单很干净很舒服.晚上比较安静. 我这次住了两晚,下次去连云港出差还会选择这个酒店.', '短评打分': 5}
{'短评内容': '早餐丰富，房价偏高！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '该酒店外表尚可，内部装修一般，前台服务员态度不好！', '短评打分': 5}
{'短评内容': ' 不错的酒店，值得一住', '短评打分': 5}
{'短评内容': '很不好的酒店， 酒后不会再住了， 完全不值得 ！ ', '短评打分': 3}
{'短评内容': '酒店不错， 不是很差！ 连云港也没有比这更好的了 ！ \r\n', '短评打分': 5}
{'短评内容': '硬件离五星级还差点，卫生还是不错的，早餐也不错，酒店大堂的壁画挺不错，选用西游记中的情节故事，画法做工很有古典之风，不足的地方就是服务，始终没有见到一个笑脸，服务员脸上都有若有若无的冷淡与傲慢，门童服务也不好，看见爱人自己带着很多行李也不伸手一下，大堂管理人员相互聊天，客人经过连声招呼和笑脸也没有，酒店的员工培训有点问题，冷淡是酒店服务的特色，停车场的收费挺及时，出去办事回来第二次停车，马上又过来', '短评打分': 1}
{'短评内容': '在市中心，对面一个公园，边上有大超市，吃的地方也多。下回不用住海边，海边的性价比太差，再说也看不到海。', '短评打分': 5}
{'短评内容': '酒店条件不错,早餐也好,就是一点,别的连云港酒店都提供接机服务,而云台宾馆搞笑的解释是机场大巴就在门口,所以不提供免费接机服务,这点比起九龙来就显的差了,不能因为你是唯一的五星酒店就免除其他服务.', '短评打分': 5}
{'短评内容': '有五星级酒店的规模，但软件配套还不够，酒店内只有有线上网网线，连无线网络也没有！', '短评打分': 5}
{'短评内容': '酒店设备较老了，早餐丰富。！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '服务一般，但停车方便。价格在周边是贵的 ', '短评打分': 1}
{'短评内容': '地理位置好，到机场有直达的BUS，步行10分钟以内有大型的超市，酒店对面有大型的公园。可能酒店有些年头了，房间内的设备和装修有点旧，感觉到不了5星级的水平，最多也就3.5的水平了。', '短评打分': 5}
{'短评内容': '还好，还好，还好，还好，还好，还好，还好，还好，还好', '短评打分': 5}
{'短评内容': '环境很不错。住过两次了。', '短评打分': 5}
{'短评内容': '环境还不错 房间有些小', '短评打分': 5}
{'短评内容': '价格偏高，设施有点稍显陈旧。', '短评打分': 5}
{'短评内容': '云台宾馆是连云港为数不多的五星酒店之一，酒店大堂很大气．\r\n酒店四楼有游泳池．\r\n入住期间服务人员很热情．\r\n早餐品种很丰富，1.2米以下的孩子免早餐费．', '短评打分': 3}
{'短评内容': '性价比不高，设施一般，不是想象中的五星级！', '短评打分': 5}
{'短评内容': '价位偏高。', '短评打分': 5}
{'短评内容': '很不错的酒店，但距离5星还是有差距的。总体性价比很好', '短评打分': 3}
{'短评内容': '从地区角度看，有这个水平已经相当不错了。但从五星角度看，还需要从硬件设施上有较大的提高。但总体的性价比还是很不错的。值得推荐。', '短评打分': 5}
{'短评内容': '性价比很不错，作为一家地区的五星酒店是很值得的。值得再次入住', '短评打分': 5}
{'短评内容': '整体环境很不错，房间里很干净，配套设施完善，服务周到热情，性价比蛮好的酒店。', '短评打分': 5}
{'短评内容': '酒店餐饮管理有差距。', '短评打分': 5}
{'短评内容': 'OK', '短评打分': 5}
{'短评内容': '价格偏高，其他都不错', '短评打分': 3}
{'短评内容': '价位偏高，没什么竞争力。反正在此地区就一家五星。', '短评打分': 5}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '不错的酒店！', '短评打分': 3}
{'短评内容': '不错的酒店！', '短评打分': 5}
{'短评内容': '连云港唯一的五星，价位偏高。', '短评打分': 3}
{'短评内容': '本地就这么一家五星级，价位偏高。', '短评打分': 5}
{'短评内容': '作为5星级酒店，性价比一般。', '短评打分': 5}
{'短评内容': '在连云港应该是最好的酒店，设施挺新的，周围商业氛围没有九龙国际附近热闹，但是距离也只有2公里左右。', '短评打分': 5}
{'短评内容': '酒店设施由于时间长显得有些旧，标间面积小，早餐不错。', '短评打分': 5}
{'短评内容': '房间还算可以吧，早餐非常的不错，推荐入住', '短评打分': 5}
{'短评内容': '酒店设施不新,房间设施一般,服务、卫生还可以', '短评打分': 5}
{'短评内容': '对于3、4线城市来说，这样的酒店算可以了', '短评打分': 5}
{'短评内容': '不错，设施及地理位置都不错，值得推荐。', '短评打分': 3}
{'短评内容': '不错，地理位置和环境都不错，值得推荐。\r\n', '短评打分': 3}
{'短评内容': '不错，地理位置和环境都不错，值得推荐。\r\n', '短评打分': 5}
{'短评内容': '设施较旧,房间不大,五星不达标', '短评打分': 3}
{'短评内容': '酒店设施不新,房间不大,是改造的酒店,不像五星的,心理落差大,房价高,性价比差', '短评打分': 1}
{'短评内容': '美中不足，这个酒店在市中心，离海太远，开车要开1个多小时', '短评打分': 3}
{'短评内容': '整体感觉还可以， 前台小姑娘也很热情，仔细介绍连云港的景点， 唯一是停车收费，感觉不好', '短评打分': 5}
{'短评内容': '很好，环境及地理位置都不错。服务也还可以，值得推荐。', '短评打分': 3}
{'短评内容': '觉得还不错，下次还会推荐朋友入住。', '短评打分': 5}
{'短评内容': '酒店的实际环境跟星级不匹配，跟本到不了5星级标准，硬件设施，软件服务都不好，服务意识太弱，不会主动帮忙提东西，上次是自己开车过去的，在那停车还是要收费的', '短评打分': 1}
{'短评内容': '这家酒店的地理位置和设施在连云港还算很不错的，但糟糕的是酒店工作人员的服务意识较差。前台接待速度太慢，早餐时，用餐高峰过去后，仍然不得不在脏乱的餐桌上用餐，好多员工的脸上挂着莫名其妙的傲慢，自我感觉有点太好', '短评打分': 5}
{'短评内容': '酒店很不错，干净整洁，服务也不错，价格也比较合理，值得推荐', '短评打分': 5}
{'短评内容': '很好的酒店', '短评打分': 5}
{'短评内容': '毕竟是五星级酒店，他们的服务员服务都很不错，而且干净整洁，硬件方面也还可以，所处的位置挺好，比较方便。', '短评打分': 5}
{'短评内容': '我住的是行政单人间。有电脑，传真机很好。\r\n酒店整体硬件不错。\r\n我抵达酒店时，由于大堂餐厅的门口直对着大堂，\r\n使整个大堂充满中餐的厨房的油烟味到。\r\n希望能够改进。', '短评打分': 1}
{'短评内容': '宾馆很干净，漂亮。全国住过很多4星，5星的酒店，但是这家酒店给我的印象最深。工作人员的服务态度非常好。另外1楼餐厅的食物非常好吃，我推荐大家品尝一下。\r\n最重要的停车不收费了！', '短评打分': 5}
{'短评内容': '宾馆很干净，漂亮。全国住过很多4星，5星的酒店，但是这家酒店给我的印象最深。工作人员的服务态度非常好。另外1楼餐厅的食物非常好吃，我推荐大家品尝一下。', '短评打分': 5}
{'短评内容': '酒店设施尚可，但距五星级硬件要求尚距离遥远，卫生间装修水平与一般三星酒店无二，毛巾硬板，房间不配喝水玻璃杯。餐食不可期待。&lt;br /&gt;\n&lt;br /&gt;\n秋季入住特别注意，冷气停放后房间通风差，其热难耐。&lt;br /&gt;\n&lt;br /&gt;\n驱车前往者：停车场10元/日，住店客人无例外，前台称这是酒店政策。酒店管理理念可见一斑。', '短评打分': 3}
{'短评内容': '酒店在市区,餐饮质量很差，服务一般，在房间内打死蟑螂一只。对连云港地区来讲五百多元一晚肯定不值。千万别再上当了。', '短评打分': 5}
