{'短评内容': '哎，不想多说了！', '短评打分': 2}
{'短评内容': '老板娘人超好，房间也很满意，出门就是景区后门，很是方便。以后还会再来，也会推荐给朋友的…', '短评打分': 5}
{'短评内容': '酒店干净、卫生、温馨，独栋独院，感觉不错！酒店就在古镇旁边，离酒吧街和烟雨长廊都很近，还有老板人很好，还亲自开车到西塘汽车站去接我们！', '短评打分': 5}
{'短评内容': '酒店干净、卫生、温馨，独栋独院，感觉不错！酒店就在古镇旁边，离酒吧街和烟雨长廊都很近，还有老板人很好，还亲自开车到西塘汽车站去接我们！', '短评打分': 5}
{'短评内容': '厕所小。其它还好', '短评打分': 3}
{'短评内容': '厕所小。其它还好', '短评打分': 3}
{'短评内容': '这家客栈很干净，而且离西塘过一座桥就到了，是非常满意的一家店，老板娘也很热情，开汽车来车站接我们的，看到别人都是开电瓶车来接的，心里有了许多小安慰，因为是独立式的，所以不管你几点回家都可以，我强烈推荐这家客栈，非常好，不会让你们失望的！', '短评打分': 5}
{'短评内容': '这家客栈很干净，而且离西塘过一座桥就到了，是非常满意的一家店，老板娘也很热情，开汽车来车站接我们的，看到别人都是开电瓶车来接的，心里有了许多小安慰，因为是独立式的，所以不管你几点回家都可以，我强烈推荐这家客栈，非常好，不会让你们失望的！', '短评打分': 5}
{'短评内容': '还不错呢……', '短评打分': 3}
{'短评内容': '还不错呢……', '短评打分': 3}
{'短评内容': '住宿条件还挺不错的 老板很热情', '短评打分': 3}
{'短评内容': '住宿条件还挺不错的 老板很热情', '短评打分': 3}
{'短评内容': '还不错，老板娘很热情，在景区后门口。', '短评打分': 3}
{'短评内容': '还不错，老板娘很热情，在景区后门口。', '短评打分': 3}
{'短评内容': '房主很好，我们到了西塘房主去接的。房间也很干净，不错。', '短评打分': 5}
{'短评内容': '房主很好，我们到了西塘房主去接的。房间也很干净，不错。', '短评打分': 5}
{'短评内容': '老板人很好，房间氛围不错', '短评打分': 3}
{'短评内容': '老板人很好，房间氛围不错', '短评打分': 3}
{'短评内容': '老板娘人挺好 在景区外面一点点，就是离热闹的地方稍微选了点儿 不过也正好来个清净 自家的旅馆 干净又舒服 毛巾也比普通的旅馆软 就是掉毛……下次来西塘还去这家！', '短评打分': 5}
{'短评内容': '老板娘人挺好 在景区外面一点点，就是离热闹的地方稍微选了点儿 不过也正好来个清净 自家的旅馆 干净又舒服 毛巾也比普通的旅馆软 就是掉毛……下次来西塘还去这家！', '短评打分': 5}
