{'descr': '一米二的床 一个人入住还可以 空间不是很大 卫生条件干净整洁 温馨型的房间 挺不错的 有俩人或带孩子的建议定3人间 或者大床房', 'star': 4}
{'descr': '就是隔音不太好，房间也不大，环境挺好的，还不错，整体感觉挺好', 'star': 5}
{'descr': '总体来说蛮好的，交通方便，位置好，就是隔音效果差了点', 'star': 5}
{'descr': '不错，虽小但很温馨', 'star': 3}
{'descr': '环境还可以.空调不给力..睡的挺冷的，洗澡的水不热...', 'star': 3}
{'descr': '环境不错 交通非常方便 就是房间有点小和隔音不太好 其他都很好', 'star': 5}
{'descr': '不错的酒店 ，就是停车有不方便，周边娱乐餐饮很丰富！', 'star': 5}
{'descr': '酒店的环境还行，地理位置不错，吃，住，行，都很方便。卫生比较干净。前台的服务还算比较热情的！', 'star': 5}
{'descr': '很好很便捷，不需要打电话只要晚上预定就可以了。一定会介绍给朋友的', 'star': 5}
{'descr': '网上资料与实际差距很大，应该明说所谓“家庭房”就是上下铺的“胶囊旅馆”。', 'star': 1}
{'descr': '地 段 还 行 ， 其 它 很 一 般。', 'star': 1}
{'descr': '房间很小，连最基本的洗漱用品都没有，毛巾也只有一条，，，，隔音效果也很差', 'star': 1}
{'descr': 'ID99酒店也太简陋了。适合一夜情的男女住，不适合我们出差人住啊', 'star': 3}
{'descr': '给朋友定的，不知道怎么样，但是价格他们觉得有点贵了', 'star': 5}
{'descr': '说实话 比想象中的要小很多 卫生间很小 房间也很小 环境不是很好 而且没有洗漱用品提供 虽然一般我都是自带的 可是也很少看到不提供用品的，同行的朋友就很不方便了，还得去超市买牙刷什么的。。。\n优点就是地理位置比较好 离南大街很近 吃喝什么的都比较方便', 'star': 5}
{'descr': '说实话 比想象中的要小很多 卫生间很小 房间也很小 环境不是很好 而且没有洗漱用品提供 虽然一般我都是自带的 可是也很少看到不提供用品的，同行的朋友就很不方便了，还得去超市买牙刷什么的。。。\n优点就是地理位置比较好 离南大街很近 吃喝什么的都比较方便', 'star': 1}
{'descr': '其他不错就是小了点', 'star': 3}
{'descr': '房间小，很挤，任何洗漱东西都没有，早上和前台电话说过要续时，可到中午还是死命的来敲门，总之不推荐。', 'star': 1}
{'descr': '整体还算比较好 性价比还不错 市中心 比较方便 就是没有一次性洗漱用品 其实这个用不了多少成本的', 'star': 5}
{'descr': '酒店相对它定的价格来说，还是蛮合理的，房间内墙壁上有明显污渍，希望店家能改进环境卫生。其他还不错。', 'star': 5}
{'descr': '这是我住过的最差的一次，房间太小，最多5、6平，本来还说给我的大床房，可是床压根不是一米八X2米的。然后房间洗漱用品不是免费提供的，美其名曰提倡环保，我想是变相赚钱的，客人还是要自己掏钱购买。房间设施很差，连烧水的壶都没有，热水得自己出去倒，假如大半夜的渴了，还得费那个神啊，反正这是我有史以来住过的最差的一次酒店。', 'star': 1}
{'descr': '房间有点小，别的都还好。', 'star': 3}
{'descr': '没有洗漱工具，很不方便 不过价格还可以 在市中心这样的地方算是很好了', 'star': 5}
{'descr': '环境比较优雅,确实不', 'star': 3}
{'descr': '很一般，如果可以把走廊里的装饰稍微花点心思在房间里的话，会更好。', 'star': 1}
{'descr': '总体来说还算不错，但是酒店隔音效果不是很好，另外洗梳用品另收费这种情况实在让我费解', 'star': 3}
{'descr': '环境不错.很有特色.服务部错.很低炭环保只供应一次性拖鞋.其余都要自带.来常州旅游推荐住这里.离南大街天宁寺红梅公园很近.交通方便', 'star': 3}
{'descr': '酒店前台服务热情，停车场小，其实就一条弄堂的，还帮忙指挥停车，房间面积不大，搭配合理，住的道也舒服，希望卫生要加强。', 'star': 5}
{'descr': '环境和服务都很好，总的来说是很不错的，就是吹风机和热水在外面，还是很喜欢ID99的', 'star': 5}
{'descr': '内容', 'star': 3}
{'descr': '满意  房间很精致', 'star': 3}
{'descr': '环境不好~房间小的可怜~而且性价比不高~', 'star': 1}
{'descr': '经济实惠，吃饭逛街都比较方便,去常州恐龙园也算方便', 'star': 5}
{'descr': '地理位置优越,我住的是大床房:房间清爽,干净!', 'star': 3}
{'descr': '窗户是坏的，吵得要死，房门隔音太差，虽然房间小得要死，但可以接受，洗浴用具一概没有，觉得很差', 'star': 1}
{'descr': '房间小但是很干净，最关键交通方便，离南大街近？', 'star': 3}
{'descr': '很干净 但隔音效果不好 开水需要去走廊打 不是一次性的物品用起来总感觉不舒服', 'star': 5}
{'descr': '靠近市中心,房间虽然小但是设施齐全,唯一缺憾是不提供一次性生活用品,不过前台可以购买简易装,总体来说性价比较高.', 'star': 5}
{'descr': '还好饿。地段还好的 。。。。。。。恩恩比较热闹。', 'star': 5}
{'descr': '房间虽然小了点，可是，感觉很温馨，很舒服，以后还去这个连锁的酒店住', 'star': 5}
{'descr': '地段还可以，靠近南大街，很方便，但是房间没有电话，洗漱用品也要自己花钱买，隔音不好！', 'star': 3}
{'descr': '住房里面很多方面不齐全，也不能低碳的就是变向收费\n', 'star': 1}
{'descr': '酒店的地理位置还是可以吃饭  购物都还行 如果你是第一次来常州来住该酒店的话那你就要花点时间来找该酒店牌子很不明显 如果不仔细看是找不到的。酒店就提供一双拖鞋和一块方巾别的要花钱在前台买的', 'star': 5}
{'descr': '位置还行 房间比较小 第一次住自己去价格会更便宜', 'star': 5}
{'descr': '一，房间毛巾只有一条小毛巾，问再要一条，酒店都没，其余啥都没，大床房好小啊。二，我花钱买洗漱用品，只给了牙刷，啥都没，这种酒店下次不能住，房间电话都没\n', 'star': 1}
{'descr': '卫生间比较好，淋浴很舒服，虽然房间里设施不多，但是走廊里有，很环保', 'star': 5}
{'descr': '宾馆的设施给人感觉很舒服,区域位置优越.就是停车麻烦,房间隔音差,总的说性价比还行,可以推荐.', 'star': 3}
{'descr': '酒店位置很好，也算闹中取静，就是经济型酒店的隔音都一般般，早上一直被走廊上的声音吵到。\n房间小而精致，蛮干净，床也不错。浴室是整体卫浴设备，热水很快，但是那个洗脸盆实在是太小了，水龙头也占据位置，只能容下半张脸，洗脸很累，水杯只有正常水杯的1/3大小，也是小的可怜。抽水马桶的坐板是方的，这种设计也很奇怪，谁的屁股是方的呢？', 'star': 5}
{'descr': '在市中心，很便捷，楼下就是公交站，去恐龙园去火车站的车都有，房间也干净，蛮好的', 'star': 5}
{'descr': '酒店位置还可以，出门就是公交车站，去火车站和恐龙园都很方便，前台服务很好，房间干净整洁，舒适度蛮好的', 'star': 5}
{'descr': '性价比很好的酒店，当时住的是99元的房间，房间还是比较宽敞的，非常干净整洁，住着很舒服', 'star': 5}
{'descr': '床还可以 就是房间小了点 环境还好 我希望九点可以把房间的大小公布出来 可以为消费者提供更多的选择', 'star': 5}
{'descr': '房间的装修设施都非常不好，服务也不好，所谓的家庭房就是一个上下铺的床。价格是比较低但是和同样价格的酒店真的是没法比。', 'star': 1}
{'descr': '性价比不错，房间比较小，没有一次性洗浴用品都可以接受，但是不太能接受没有浴巾和地巾，洗澡之后很不方便。', 'star': 5}
{'descr': '总体上说还是相当不错的，性价比很高，地点更是非常方便，不过可能是因为之前在上海住的99性价比实在是太高了，所以觉得这个还有不足吧。首先，不提供洗发水、洗手液之类的通用混装液体，另外就是房间里的宽带接口不带网线，得到楼下去拿，不过，貌似是支持无线网络的，这点儿还不错。再有就是空间相对较小，没有独立空间专门放置行李，这点真比不上99在床下预留一小块空间来的人性化。再有就是浴室玻璃是全透明的……', 'star': 5}
{'descr': ' 房间有点小， 但是床很舒服。地理位置很好。 还有就是酒店不配送洗漱用品。拖鞋也要自己买。', 'star': 5}
{'descr': '还不错，地点离市区近，价格也不错，也很干净卫生', 'star': 5}
{'descr': ' 居住环境还可以 比较干净', 'star': 5}
{'descr': '位置不错 在南大街附近很好找 旁边都是吃的  酒店房间没电脑  稍微不方便', 'star': 5}
{'descr': '还不错，就是房间有点小。而且不提供一次性的洗漱用品，也没有拖鞋', 'star': 3}
{'descr': ' 满意 很干净 交通也很方便', 'star': 5}
{'descr': '整体评价，好，不过酒店不提供洗漱用品，大家去的时候不要忘记自己带', 'star': 5}
{'descr': '满意', 'star': 5}
