{'descr': '房间卫生好.服务态度好', 'star': 5}
{'descr': '+酒店不错位置很好房间也很新，性价比之选', 'star': 3}
{'descr': '位置不错，离火车站2公里左右，步行到江边20分钟。\n宾馆很新，卫生条件比预期高。\n不到200的价格，性价比之选。', 'star': 5}
{'descr': '酒店的床太硬了,其它还好吧', 'star': 5}
{'descr': '破床差点被给我咯死 硬 浑身都疼 别的还不错', 'star': 5}
{'descr': '这是少有的三星以下的能够浴室随时有热水的宾馆，这点非常好。到丹东，这是商务与旅游人士的首选。', 'star': 5}
{'descr': '丹东七经店前台服务特别好，这是住的如家快捷，唯一一家真的是为客人考虑的店', 'star': 5}
{'descr': '感觉房间有点味道，但是其他的还过得去 如果是路过丹东 住还是不错', 'star': 5}
{'descr': '值得去住', 'star': 5}
{'descr': '还不错，电视有点小，而且频道不多', 'star': 3}
{'descr': '和所有如家一样，不错，房间比其它城市的如家大', 'star': 5}
{'descr': '干净整洁，服务态度好，就是酒店靠近马路有点吵，而且希望上市能有无线就好了。', 'star': 5}
{'descr': '酒店床铺太硬了，弹簧很明显的感觉到，所以晚上没怎么睡着。隔音超级差，什么声音都好像从自己房间出来的。', 'star': 5}
{'descr': '还不错了，第二次入住', 'star': 5}
{'descr': '和朋友入住了两晚，定的是大床房，大床真的是超级舒适！而且酒店离新玛特只有一步之遥，离吃海鲜的地方也相当的近，所以非常满意！唯一觉得不够好的是，电视太小，而且效果不够好，希望可以改进吧！', 'star': 5}
{'descr': '对不起刚才点评错了~！那个点评时沈阳中街的酒店！！\r\n\r\n丹东的如家是非常不错的~！！干净~~！地理位置好~！！就是一个快捷酒店，要是就是旅行，足够了，还便宜~！推荐', 'star': 3}
{'descr': '还不错', 'star': 5}
{'descr': '环境还可以，就是房间的空间有点小，设施稍微有点简陋', 'star': 5}
{'descr': '总的来说很不错，就是拖鞋小了点', 'star': 5}
{'descr': '位置还是不错的,出行都很方便,房间的卫生和设施方面也非常好,但就是酒店的服务上还需要改进,当时给我安排的是挨着厨房的排烟器旁的,很吵,让前台给我换一间别的房间,服务员让我任一任到晚上11多多就好了,明知道吵还给我安排.', 'star': 3}
{'descr': '店的位置很不错，但是前台态度不好，开始去给我安排了三楼的一个房间，等进去了发现房间外面就是餐厅的排烟机，轰隆轰隆的响的很厉害。到楼下要求调换服务员却说等到了晚上是一点以后就好了。对此我很反感，我是花钱住店的为什么要给我一间条件很不好的房间，而且我要求调换也是合理的为什么要推三阻四？后来我表示生气了，才给我调换。', 'star': 5}
{'descr': '酒店的服务卫生以及设施都很好的，酒店的位置不错的，交通很方便的，性价比不错的酒店', 'star': 5}
{'descr': '以后丹东住这里不错，虽然比不上速8的在断桥边上那么舒服，但也享受到离江边远的干燥\r\n住在这里很干净，很舒服。\r\n周围就有繁华的步行街，可以晚饭之后去走走，很好。\r\n不过赶上旅游季节的话，那个早餐的小房间6桌台，可是有些不够用。', 'star': 5}
{'descr': '酒店的条件环境很好，服务也比较周到，而且交通方便，价格也不是很贵', 'star': 5}
{'descr': '我觉得个方面还都可以了,卫生弄的挺干净的,周边环境也还可以,价格也比较合适的.', 'star': 5}
{'descr': '酒店的提供的早餐挺丰富的，口味也不错，房间的设施条件也很舒适整洁', 'star': 5}
{'descr': '枕头太软，前台太忙。没时间搭理我们', 'star': 5}
{'descr': '酒店很不错,挺舒适的;地理位置也很方便,离火车站也很站;性价比还是比较高的;', 'star': 5}
{'descr': '个人认为还不错！', 'star': 5}
{'descr': '整体来说还是不错的,价格挺实惠的.', 'star': 5}
