{'短评内容': '蛮好', '短评打分': 3}
{'短评内容': '位置一般，找了半天才找到，早餐太一般了，基本没有东西可吃，可能是周末的原因吧', '短评打分': 1}
{'短评内容': '还可以，环境不错，就是广交会期间价格太高', '短评打分': 3}
{'短评内容': '三星级的品质吧，酒店设施还可以，就是广交会期间价格有些高', '短评打分': 5}
{'短评内容': '酒店位置有点偏，要从天河广场走一条小路进去。卫生条件还不错，服务也还行，不过相对于它的价格，性价比有点一般了。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '比连锁酒店要好一些，性价比不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '交通不怎么便利，舒适度还可以！', '短评打分': 5}
{'短评内容': '比较便利', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': ' 一般', '短评打分': 5}
{'短评内容': '地理位置不太理想，在一个小区里面，交通还算方便吧', '短评打分': 5}
{'短评内容': '酒店很实惠&#183;&#183;&#183;就是服务很一般哇～～', '短评打分': 5}
{'短评内容': '很不错啊', '短评打分': 5}
{'短评内容': '价格贵了点', '短评打分': 5}
{'短评内容': '还可以,就是价格高点', '短评打分': 5}
{'短评内容': '入住时酒店房间太味了，晚上休息简直是一种煎熬，要求换房没有，退房也不行。而且最要命的是，晚上三四点钟走道上都有人大声宣晔。下次绝不会选这个酒店。', '短评打分': 1}
{'短评内容': '不错的酒店，性价比真的很高', '短评打分': 5}
{'短评内容': '当时帮客人定的,反应很不好,都没有热水,环境也一般,正好赶上广交会入住,价格也挺贵的.', '短评打分': 3}
{'短评内容': '服务和卫生环境都很一般，房间还比较舒适，也很安静，价格方面也很合理\n', '短评打分': 5}
{'短评内容': '参加广交会有车接送，回来时有水和饼干，果冻，很好。\r\n离高速路口也近', '短评打分': 5}
{'短评内容': '服务和卫生环境都很一般，房间还比较舒适，很安静，价格也比较适中', '短评打分': 5}
{'短评内容': '当时住的房间没有窗户,所以通风不太好,其他方面都还不错,卫生条件还可以,价格比较合理', '短评打分': 5}
