{'短评内容': ' 超棒的啊一定要给个好评 去考试那边还准备了小礼品的哎 住的位置也比较安静 走过去5分钟不到 真的血赚', '短评打分': 5}
{'短评内容': '地方不错，蛮安静的，尤其前面的树很好，停车也很方便。周边生活配套设施较少，不是很方便，有车的话还可以。', '短评打分': 5}
{'短评内容': '商务房房间不错，卫生，但是电视没有体育台。。。', '短评打分': 5}
{'短评内容': '房间太小了一点，不过去机场还是挺方便的，门口就有出租车在等。到2号航站楼大概20分钟，65块钱', '短评打分': 5}
{'短评内容': '过得去了，停车方便。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错，蛮安静的，就是这边没什么配套的东西，开车还行。', '短评打分': 5}
{'短评内容': '整体还好 就是比较偏僻啦 朋友一般不会去那么偏的地方了', '短评打分': 1}
{'短评内容': '为了给其他用户提供更有价值的意见，请您发表20个字以上的点评交通部怎么方便，开车还行，安静周边配套要走很远。', '短评打分': 5}
{'短评内容': '\u3000恩不错~环境挺好的~', '短评打分': 3}
{'短评内容': '不错，。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '不错，不错，到机场坐地铁方便，价格公道，干净，舒适。下次去还是住这个。', '短评打分': 5}
{'短评内容': '虽然有点远，但是蛮安静的\n服务态度也慢慢在起来支持下', '短评打分': 5}
{'短评内容': '酒店很干净，工作人员服务态度很好，以后还是会选择如家', '短评打分': 3}
{'短评内容': '房间整体不错，但是有些地方不尽如人意:没有提供抽纸;洗漱池太小;最大问题是房间里有味道，好像是刚装修后的味道，不知是不是油漆味', '短评打分': 3}
{'短评内容': '很安静不错 性价比搞。就是房间有点小，其他还不错', '短评打分': 5}
{'短评内容': '环境还可以，就是位置有点儿偏，吃饭不方便', '短评打分': 5}
{'短评内容': '还可以，，，就是房间小了一点，，，，，基本满意，，，', '短评打分': 5}
{'短评内容': '还可以。', '短评打分': 3}
{'短评内容': '不好，位置很偏，里面的灯还是坏的。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '很方便，同事很满意，半夜到达酒店的，入住手续办理很快，房间很干净整洁', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '床满舒服的\u3000就隔音不是太好', '短评打分': 3}
{'短评内容': '卫生与服务非常好，但是太偏僻，离川沙镇中心有点距离，但是作为到浦东机场的中转点，住宿一晚还是满方便的。', '短评打分': 5}
{'短评内容': '酒店卫生还可以，就是房间小噪音大，睡觉的时候经常听到工作人员说话和走路声。', '短评打分': 3}
{'短评内容': '还好，方便', '短评打分': 3}
{'短评内容': '酒店的位置不好找，冬季比较冷（空调不太好用），没有餐厅，吃放不方便。房间也许是装修的原因油漆味道比较大。', '短评打分': 1}
{'短评内容': '不错，就是空间小点，不过在寸土寸金的上海是这样的了', '短评打分': 5}
{'短评内容': '总体感觉不错，有家的感觉，唯一的是离机场少远点', '短评打分': 5}
{'短评内容': '工作人员服务很好，很有耐心，很不错的一家连锁酒店。', '短评打分': 5}
{'短评内容': '宾馆还算干净，服务态度也不错，但是不知道为什么，新装修的原因么？一股子油漆味。距离有点远哦，从地铁站过去打车起步价作用，从华夏西路下。到飞机场打车也要45块钱，不过可以坐班车~', '短评打分': 5}
{'短评内容': '已住', '短评打分': 3}
{'短评内容': '周围很安静，酒店服务也好，房间小了点，但是很干净，下次还会来住', '短评打分': 5}
{'短评内容': '还算可以 环境优雅 价格合理', '短评打分': 3}
{'短评内容': '世博期间能订到就不错了，本人没有入住，听朋友说还行。', '短评打分': 5}
{'短评内容': '服务热情周到、和蔼可亲！！！望再接再励。', '短评打分': 5}
{'短评内容': '环境还可以 ，设施也齐全   就是交通不是很方便', '短评打分': 5}
{'短评内容': '服务不错，就是太偏僻了', '短评打分': 3}
{'短评内容': '酒店服务态度很好，房间也蛮干净的，一般机场到酒店的夜间出租车金额在70-90元之间，第一次来不知道被宰了140元，值得注意', '短评打分': 5}
{'短评内容': '不错，态度不错，离机场也比较近........', '短评打分': 5}
{'短评内容': '服务可以，就是房间很小，交通不方便，', '短评打分': 3}
{'短评内容': '虽然环境很一般，距离热闹的川沙街道有点距离，但相对于处在川沙街区的168和锦江安静一些，而且在价格上要便宜很多，性价比很高的地方，前台的服务很负责，很到位，比较欣赏。 如果下次还赶第二天早班飞机，我还会来这边。', '短评打分': 5}
{'短评内容': '很干净', '短评打分': 3}
{'短评内容': '位置很偏，荒凉啊，找了半天，如果去机场的话是可以考虑的', '短评打分': 1}
{'短评内容': '酒店偏远 价格偏贵 房间偏小！不是很方便 都要靠打车  就增家成本', '短评打分': 1}
{'短评内容': '房间干净，周边环境还不错,交通便利。。。。。。。', '短评打分': 3}
{'短评内容': '+太偏，但性价比很高', '短评打分': 5}
{'短评内容': '还可以,离机场不太远，房间不大，性价比还可以', '短评打分': 5}
{'短评内容': '+如家的感觉很温馨，喜欢被子的颜色，但是房间太小了几乎没有多少空隙，比较偏，吃饭要走二十分钟', '短评打分': 5}
{'短评内容': '优点：幽静，水很大累了一天可以好好地洗个热水澡\r\n缺点：交通不便，房间太小', '短评打分': 1}
{'短评内容': '还行。', '短评打分': 5}
{'短评内容': '房间太小，没有晾衣服的地方，晚上睡觉房间里饮水机噪音很大，交通不方便。以后不会来住了。', '短评打分': 1}
{'短评内容': '环境一般，不过挺方便的，价格也挺优惠！以后还会选择！ ', '短评打分': 5}
{'短评内容': '除了房间小点，其他条件还可以  除了房间小点，其他条件还可以除了房间小点，其他条件还可以', '短评打分': 3}
{'短评内容': '各方面都还行，各方面都还行，各方面都还行，各方面都还行，就是房间小点', '短评打分': 5}
{'短评内容': '该酒店客房干净温馨  但是位置偏僻房间很小', '短评打分': 5}
{'短评内容': '环境一般，不过挺方便的，价格也挺优惠！以后还会选择！', '短评打分': 5}
{'短评内容': '地点偏一点，除非你要次日到浦东机场坐飞机。设施和服务一般啦！', '短评打分': 5}
{'短评内容': '住过很多如家，一直印象很 不错，这家是我住过的诸多如家中最差的一家了。房间奇小无比，似一个鸽子笼，进门五十公分正对着洗手间的门，不小心会撞到的，感觉或许还不如街头的旅社。', '短评打分': 1}
{'短评内容': '房间设施状况都还好，但是实在太潮湿了，位置离机场较远，打车50元上下。不如住地铁沿线。', '短评打分': 1}
{'短评内容': '房间里有蚊子，很烦。', '短评打分': 3}
{'短评内容': '女儿和朋友游世博，我帮着定的，还可以，有点偏远，但也算不错，在酒店紧张的情况下，交通还比较方便', '短评打分': 5}
{'短评内容': '服务还可以吧，位置距离我去的地方7公里，离浦东机场15公里。距地铁（川沙站）4-5公里。吃饭不方便。下雨房间有点潮湿。', '短评打分': 5}
{'短评内容': '酒店246元一晚，空间好小好小，现在是梅雨季节，一楼的潮气也很重，被子摸上去都是潮湿湿的', '短评打分': 5}
{'短评内容': '位置还是较机场远些，性价比较好。', '短评打分': 5}
{'短评内容': '有点偏远', '短评打分': 3}
{'短评内容': '一般，还不如住在有地铁的路段到机场还方便', '短评打分': 1}
{'短评内容': '142元的单人房，房间小的吓死人，餐厅吃饭的地方是一个私人的小地方，价格贵的吓死，量还超级少，晕倒的，建议想入住这样的地方，应该选景悦客栈，或者蓝舍快捷酒店。那里给我的感觉像到了乡下的黑点。', '短评打分': 1}
{'短评内容': '挺偏僻的', '短评打分': 3}
{'短评内容': '位置环境一般，但价格公道', '短评打分': 3}
{'短评内容': '太偏僻了', '短评打分': 1}
{'短评内容': '酒店还可以，离机场的距离没有那么近，打的要花五十多', '短评打分': 3}
{'短评内容': '位置环境一般，但价格公道，值得推荐。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店位置比较偏，有点难找，不过离机场还是很近的。房间不错，干净，空调和热水都很好。服务有待改进，1、本来订房时说提供10元一位的早餐，可当天却告知因为厨师过年尚未回来，所以没有早餐；2、入住当晚向总台要求了第二天早上6点半的叫早，因为要赶飞机，但不知是服务员交接的原因还是忘记了，早上没有叫早。', '短评打分': 5}
{'短评内容': '距离机场太远了。。。交通十分不方便。。。', '短评打分': 3}
{'短评内容': '位置稍微差点', '短评打分': 3}
{'短评内容': '在地图上看着貌似离机场很近。。。实际上很远很远。。。而且交通很不便利！！！！', '短评打分': 1}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '室内环境和别的如家一样，但是晚上开车很难找到，建议在酒店门口的水塔上增加灯光便于夜晚寻找', '短评打分': 5}
{'短评内容': '6点下飞机,天已黑,打的去酒店,在酒店周围来回3趟,转了好几圈,酒店也没有灯牌,也没指示标志,又在修路,打的花了120元,到处下车打听!到酒店后问,服务员说灯牌已坏了好几天了,没人修!第二天早餐,10元,简直是太差,稀饭是饭和水分开的,温的,不热,其他除了量少外,还是凉的,我是如家的常客,可以说是忠实客户,没有遇到这么差的,建议要好好整改,不要一颗老鼠屎,坏了一锅汤!!', '短评打分': 1}
{'短评内容': '门前在修路导致找了好久才找到，很不方便', '短评打分': 1}
{'短评内容': '酒店的人员服务态度比较好,不过硬件设施方面还是有待于提高的,价格比较便宜,位置一般.', '短评打分': 3}
{'短评内容': '挺不错 服务挺好~~本来去的时候 打车被出租车司机骗了 绕路了 咨询了酒店的工作人员 很负责任的给我指路 呵呵', '短评打分': 5}
{'短评内容': '内部环境还行房间的卫生和设施还不错,位置还算挺好找的出行也很方便,服务态度也还行,性价比挺不错的.', '短评打分': 3}
{'短评内容': '在桥附近，正在修路、位置太偏，的士找了几次才找到，房间很小，不过139元的价格性价比很高。浦东机场到酒店要50元左右的车费。', '短评打分': 1}
{'短评内容': '有独立的小院，很安静，南北朝向，向南的房子还可以有充分的阳光，这点很难得。只是位置比较偏，周围还在修路，去酒店的路有一小yuanyi段不太好走。', '短评打分': 5}
{'短评内容': '总体来说还将就吧~！就是有点冷空调也不怎么好~！前几天刚才那边住~！不过那边的服务还不错~！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错，很舒服的！！！！', '短评打分': 5}
{'短评内容': '位置较偏僻，附近没什么店的。不过酒店里面还行，服务也不错，态度很好！被子和枕头蛮舒服的，空调声音太大点！', '短评打分': 5}
{'短评内容': '位置不是太好找好几个出租车都不知道这家酒店位置,房间还是挺不错的,服务也还行,价格还是比较合适的,总体感觉都不错.', '短评打分': 3}
{'短评内容': '房间的卫生和设施方面都很不错的,住着很舒适,但就是酒店的位置有点偏,离浦东机场稍微有点远,不是太方便.', '短评打分': 3}
{'短评内容': '酒店地址难找！', '短评打分': 5}
{'短评内容': '总体来说都还好,就是饮食方面太单一了,可以选择的太少了,不过房间的住宿条件还是不错,就是面积比较小,位置稍微有点偏.', '短评打分': 3}
{'短评内容': '酒店附近在修路，交通有影响，不是特别方便，从市区过去比较远，不过去机场打车过去还是挺近的，设施和服务都很一般，价格挺便宜的，如果去机场，住这里不错。', '短评打分': 3}
{'短评内容': '干净舒适', '短评打分': 5}
{'短评内容': '本以为路应该修好了，没想到还在修\r\n估计还得修个好几个月~\r\n虽然在修路，但晚上睡觉还是蛮安静的~', '短评打分': 5}
{'短评内容': '地点太差 商务大床房的卫生间 不怎么 ', '短评打分': 1}
{'短评内容': '优点：位于川沙，离浦东机场比较近；缺点：10点以前退房，无法开发票，这种情况在如家其他连锁店没有遇到过，希望贵店能改进。', '短评打分': 5}
{'短评内容': '旁边在建立交桥,找的时候不是很很好找也没有标志物,当时我订的那个房间太小了后来我自己又换了一个房间价格也就不一样了,但是换的房间里面的设施和卫生还是挺好,总体还是比较不错的.', '短评打分': 3}
{'短评内容': '感觉都还不错，当时住的时候，附近在修路，交通受了点影响，有点不是太便利', '短评打分': 3}
{'短评内容': '附近在修路出行不是很方便,找的时候也不是太好找,不过这都是一些不打紧要的问题,当时我安排了叫醒服务的,但是第二天他们却没有叫醒我,这点就感觉不是很好,设施还挺好的,餐厅也不错,卫生也不错.其他的都挺满意的.', '短评打分': 3}
{'短评内容': '位置有点偏，交通不是很方便，，卫生和设施还是不错的，服务也还算周到热情，除了位置不是很好之外，性价比还是比较高的 值得推荐', '短评打分': 3}
{'短评内容': '这家酒店的服务卫生还是不错的,周边环境一般了,我去的时候正在修路.找了半天才找到的.酒店的价格方面还是比较实惠的.', '短评打分': 3}
{'短评内容': '性价比很高，虽然房间较小，但反正也只是晚上睡个觉而已，没什么要求，比较安静，只是地理位置比较偏，唯一适合第二天去机场的时候入住，酒店有叫车服务，相当不错', '短评打分': 5}
{'短评内容': '房间很小，放了张床后就剩下一两尺宽的走道，洗手台在门后，位置有点偏，唯一就是价格比较低，比较安静', '短评打分': 5}
{'短评内容': '酒店的卫生，设施，位置都非常好，主要是酒店的位置去机场非常便利，现在酒店这边正在修立交桥，开通之后到机场会更加方便，非常值得推荐', '短评打分': 3}
{'短评内容': '飞三亚在上海转机度过了一个夜晚（找上海人问路太不靠谱了，原先早有耳闻，这次算是领教了），酒店地点较偏，地铁2号线张江高科终点出站走路7分钟的样子坐东川专线的终点站（北门XX），向前走1分钟就能看见该酒店，住的是151元的特惠房（房间里有蚂蚁），房间比较小，很经济，有窗，大床，由于地理位置等原因，建议在浦东转机的朋友选择，酒店有叫出租车服务，晚上入住时碰巧一对飞沈阳的情侣也是早上的飞机（我们坐东川专', '短评打分': 5}
{'短评内容': '有点偏僻。离机场还是比较远。', '短评打分': 5}
{'短评内容': '不错~价格便宜', '短评打分': 5}
{'短评内容': '位置偏，周边在修路，交通不便，服务不热情，房间太小。\r\n优点是有个院子，较安静，好停车，距离浦东机场还算近，如果有朋友想开车去机场最好选择机场附近的锦江之星', '短评打分': 1}
{'短评内容': '不错，蛮干净的到处，餐厅也不错', '短评打分': 5}
{'短评内容': '位置有些偏,不好找,只适合到机场的人.', '短评打分': 5}
{'短评内容': '酒店离机场比较近,而且有去机场的班车,很方便,不过酒店附近正在修高架,去市中心的话不太好走.房间里面比较干净,而且热水供应的很好,当时要求叫醒服务,也做到了.', '短评打分': 5}
{'短评内容': '除了地理位置不太好，有点偏了，其它方面还是不错的。', '短评打分': 5}
{'短评内容': '酒店的硬件条件，人员服务，环境卫生条件确实都挺好的，就是离机场太远了，打车也不方便，我们从机场过去酒店打车60块钱，酒店的大巴也要50，太不方便了。', '短评打分': 1}
{'短评内容': '酒店离我要去的地方太远了,一点都不符合我的要求,而且酒店周边的环境也不好,很乱很差；房间面积也是非常小的,住的也不是很舒适；', '短评打分': 1}
{'短评内容': '房间的面积比较小了,不过其他方面都还是可以的,到店的时候也很快的安排入住了,性价比还是可以的.', '短评打分': 5}
{'短评内容': '门前修机场北通道真实不好走，交通不方便，叫出租半天不来。房间比较小，设施一般，价格算是便宜，周围比较安静，但房间隔音不好，走廊里声音好大的', '短评打分': 1}
{'短评内容': '酒店很不好，虽然价格还算优惠，但是我住了一次，就不想再住了，他们的硬件条件，和服务都很不好，而且房间隔音也不行，晚上很晚有客人来很吵，早上一早四五点钟就起来吵吵，他这个位置更不用说了，离机场不近，市区不近，根本就是荒郊野外。', '短评打分': 1}
{'短评内容': '酒店的整体感觉不错，价格合适，服务和卫生条件也不错，离机场近去浦东机场方便\n', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都很不错,位置出行交通都非常方便,位置距离机场比较近,当时入住的时间也比较久,对酒店还是非常满意的,没有什么问题,觉得很值得推荐的酒店.', '短评打分': 5}
{'短评内容': '酒店前台人员服务态度不好,而且当时打电话给酒店问它离机场远不远,酒店回答说很近的,但实际上打车都要花上五十块左右,很不诚实,而且酒店的住宿条件也很差,房间和设备都很简陋', '短评打分': 1}
{'短评内容': '酒店的硬件设施还算可以，服务挺不错的，也比较干净，但是他们的房间过小，其他的也没什么了，选这里主要是离机场近。', '短评打分': 5}
{'短评内容': '上海的物价也是比较贵的，所以他的价格相对比较合适，服务环境包括硬件配备都比较一般，我从酒店打车到机场也要50块钱，不算太近，如果到机场去的话，可能才会考虑这里。', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错,位置距离机场10多公里,当时司机师傅有绕个大湾.环境硬件都还是比较达标的,就是比想象的距离机场更远.', '短评打分': 5}
{'短评内容': '酒店的交通很方便,服务卫生都很好,环境也很好,值得入住的', '短评打分': 5}
{'短评内容': '当时周围在修建路，环境有点吵，不过酒店有接送机场的服务很方便，内部的设施条件也不错', '短评打分': 5}
{'短评内容': '酒店房间比较小，不过环境和服务都很不错，而且离机场近，价位很便宜。', '短评打分': 5}
{'短评内容': '这个店的位置比较特殊，他挨着机场，离机场肯定比较方便，但是离市区远了一点，总体来说他的服务，硬件设施卫生都挺不错的。', '短评打分': 5}
{'短评内容': '酒店服务卫生还是不错的,位置靠近机场,赶飞机都是挺方便的,价格还可以吧.', '短评打分': 5}
{'短评内容': '酒店价格有点贵，不过位置很好，服务，环境也都挺不错的。', '短评打分': 1}
{'短评内容': '承袭如家风格它在地铁2号线与浦东中间线上,去两地打的约40分钟,价格40元左右,因为修新地铁2010前路不好走,赶浦东机场很方便，感觉不太适合游玩。', '短评打分': 5}
{'短评内容': '我以前听说过锦江之星、如家等快捷酒店 从没有住过，上次去北京开发区，星级酒店都没有房间了，就去锦江之星，如住后感觉还不错，只是房间及卫生间太小了，卫生还是比较干净，感觉一般吧。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
