{'短评内容': '不错的。下次还来的', '短评打分': 5}
{'短评内容': '非常好非常干净', '短评打分': 3}
{'短评内容': '总的来说还行吧，就是房间有滴水的声音，吵的一晚没睡好。', '短评打分': 5}
{'短评内容': '很好的条件下次去还会选择这里希望你们越办越好', '短评打分': 5}
{'短评内容': '还不错，就是晚上东面的房间有啪啪的声音不断，', '短评打分': 5}
{'短评内容': '位置不错，停车场稍微小了一点，干净方便，有暖气不需要空调， 冬天比较舒服', '短评打分': 5}
{'短评内容': '这次太不幸运了  早上起来竟然停电  热水也没有  打客服电话没有电也打不通吗  哎哎  不太爽 ', '短评打分': 5}
{'短评内容': '房间很干净，环境不错，入住很舒服，下次还会入住', '短评打分': 5}
{'短评内容': '环境不错  很舒服  网速很快 呵呵   是我住过最满意的连锁快捷了  价格也合适', '短评打分': 5}
{'短评内容': '＋不错，挺舒适', '短评打分': 3}
{'短评内容': '环境挺好的，干净卫生，服务态度挺好的！价格合适，总体挺好的！', '短评打分': 5}
{'短评内容': '服务和酒店设施都很不错，就是位置有点偏，不太容易找，而且门口没有公交站点', '短评打分': 5}
{'短评内容': '什么都好。卫生不错。暖气也可以。服务态度也很好。就是隔音不怎么样。下午到晚上楼上不知装修还是什么。一直有噪音。。半夜外边走廊说话声音很大。吵醒了。虽然这样下次去枣庄还是会选择入住的。', '短评打分': 5}
{'短评内容': '还真是不错 这个价格其他地方还真没住过汉庭', '短评打分': 5}
{'短评内容': '还不错\n签名:From:顾磊', '短评打分': 3}
{'短评内容': '总体来说还行吧，就是工作人员应该说话时小声点，', '短评打分': 5}
{'短评内容': '环境不错，卫生干净…', '短评打分': 3}
{'短评内容': '离汽车总站还算近，走15分钟吧，但路挺烂的，拉杆箱不太好拉。\n吃的在中天步行街有几家，走回解放北路就还有更多的。\n\n房间挺干净的，就窗外丢了一只袜子在外面没处理比较难看。\n\n空调遥控器都收起来，说是开中央暖气了，但我觉得太闷了，我就开了通风。\n送遥控器的跟前台都态度挺好的。\n\n房间还有无线网，电吹风，不错，不错。', '短评打分': 5}
