{'descr': '很有味道的客栈，爱不释手', 'star': 5}
{'descr': '酒店环境非常不错，到店的时候还没有人入住，就到处参观了下，每间房间都有不同的特色，不过自己订的红妆是最实惠的，嘻嘻。房间里要有的一应俱全，唯一遗憾的是到了下午无线网络突然不见了，不过也不是什么不能忍受的问题。房间里的电路有些莫名其妙，开关很多，研究半天才搞清楚那些是什么，建议店家贴下标签，更好。还有一句，酒店在同里里面但是很靠边，走的时候一不小心可能走出去，要小心。', 'star': 5}
{'descr': '整体不错的，房间舒适幽雅，进去后景区不用买票了', 'star': 5}
{'descr': '酒店的门面不大，但是一入店，有种豁然开朗的感觉，园内小景颇多，每个小摆件无不透露出店主人的品味，喜欢！！', 'star': 5}
{'descr': '这个房间的设施还不错,因为临街,一早一晚很吵.怕吵的客人要注意了.', 'star': 5}
{'descr': '这个酒店应该也算是同里的一个景色.很有苏州园林的特点.精致,小巧,服务体贴.很出乎我的意料.', 'star': 5}
{'descr': '在同里算是比较有特色的酒店。古色古香，古朴的中国风。偶尔一住会让人耳目清新。老板说9月底后这里门口的回廊会增设酒吧，希望这里会更好。', 'star': 5}
{'descr': '不一样的感受！离开城市味道，让人回归过去！', 'star': 5}
{'descr': '很有特色的客栈，红妆，洗浴用品是潘婷和OLAY。', 'star': 3}
{'descr': '有特色的一家酒店，设施一般，胜在有特色。下面自家开了个铜香炉店，有点文化味', 'star': 5}
{'descr': '非常有情调的酒店 非常喜欢 就是有点小贵', 'star': 5}
{'descr': '很有味道的客栈，装修很有特色，主人的确花了很多心思，逛古镇很方便。', 'star': 5}
{'descr': '一切OK！下次还会住那里。', 'star': 3}
{'descr': '一切OK！下次还会住那里。', 'star': 5}
{'descr': '老板的态度很好 房内是古时床榻 很怀旧的感觉 但是入住后发现 条件还是差了点 与房价相比 有点小贵  所以习惯了住星级宾馆的朋友 选择时考虑再三 \r\n优点是 地理位置好 进风景区的入口就是 非常方便 ', 'star': 1}
{'descr': '房价有点高，可在这里确实给你一些小资的感觉。房间内卫生间的设计太开放了，门窗都没有安。不过整体感觉还不错，可以来尝试一下！', 'star': 5}
{'descr': '房间很干净，夏天住很凉爽，古典家具，兰草装饰，很舒心。', 'star': 5}
{'descr': '房间很干净，夏天住很凉爽，古典家具，兰草装饰，很舒心。', 'star': 5}
{'descr': '酒店设计复古形式的，房间里古香古色的，打扫的干净，住的很舒适。', 'star': 5}
{'descr': '酒店设计复古形式的，房间里古香古色的，打扫的干净，住的很舒适。', 'star': 5}
{'descr': '非常好，设施都很高级，而且风格独特。', 'star': 5}
{'descr': '非常好，设施都很高级，而且风格独特。', 'star': 5}
{'descr': '周边环境很清静，内部环境很幽静很干净。住在这里整个人都很放松。', 'star': 5}
{'descr': '周边环境很清静，内部环境很幽静很干净。住在这里整个人都很放松。', 'star': 5}
{'descr': '酒店设计的挺别致的，有点古典风格，卫生很好，价格上也比较合理。', 'star': 5}
{'descr': '酒店设计的挺别致的，有点古典风格，卫生很好，价格上也比较合理。', 'star': 5}
{'descr': '酒店是明清式建筑风格在明清街上，配置硬件设施非常好，卫生服务也很达标，价格稍微有些偏高，他附近的客栈都在200多左右。但是这家条件确实不错，值得推荐入住。', 'star': 5}
{'descr': '酒店是明清式建筑风格在明清街上，配置硬件设施非常好，卫生服务也很达标，价格稍微有些偏高，他附近的客栈都在200多左右。但是这家条件确实不错，值得推荐入住。', 'star': 5}
{'descr': '这个草堂，建筑很有特殊，装修很有内涵，需要细细品味。价格虽然高，但是肯定物有所值，不是奢华，而是含蓄，深沉。带着回忆来看看这里，带着希望离开。想到同里玩的朋友可以来住住，肯定会有不一样的收获。退思而进，现代简约生活融入明清生活的忧伤，不得不想多待几天。', 'star': 5}
{'descr': '这个草堂，建筑很有特殊，装修很有内涵，需要细细品味。价格虽然高，但是肯定物有所值，不是奢华，而是含蓄，深沉。带着回忆来看看这里，带着希望离开。想到同里玩的朋友可以来住住，肯定会有不一样的收获。退思而进，现代简约生活融入明清生活的忧伤，不得不想多待几天。', 'star': 5}
{'descr': 'The place does have a traditional feel to it, clean and well-managed. Breakfast is a simple English fare of bread and eggs. One thing to mention though - I requested for them to arrange transport for ', 'star': 5}
{'descr': 'The place does have a traditional feel to it, clean and well-managed. Breakfast is a simple English fare of bread and eggs. One thing to mention though - I requested for them to arrange transport for ', 'star': 5}
{'descr': '下次我还会选这里住', 'star': 5}
{'descr': '下次我还会选这里住', 'star': 5}
{'descr': '值得留恋，到哪里我没有走太多地方，总是在草堂休息喝茶，与老板聊天，日子很是惬意', 'star': 5}
{'descr': '值得留恋，到哪里我没有走太多地方，总是在草堂休息喝茶，与老板聊天，日子很是惬意', 'star': 5}
{'descr': '体验水乡古镇的韵味，要从衣食住行上去体味，样样都要经典，精致，推荐这里，正福草堂', 'star': 5}
{'descr': '体验水乡古镇的韵味，要从衣食住行上去体味，样样都要经典，精致，推荐这里，正福草堂', 'star': 5}
{'descr': '客房里有古典雕花大床，很诗情画意，安逸舒适，现在的记忆中很美', 'star': 5}
{'descr': '客房里有古典雕花大床，很诗情画意，安逸舒适，现在的记忆中很美', 'star': 5}
{'descr': '房间的名字很是独到，古意盎然，真是古色古香的地方，让人诗意大发，充满诗情画意', 'star': 5}
{'descr': '房间的名字很是独到，古意盎然，真是古色古香的地方，让人诗意大发，充满诗情画意', 'star': 5}
