{'短评内容': '挺好的，。', '短评打分': 4}
{'短评内容': '服务优良，房间不错服务优良，房间不错服务优良，房间不错', '短评打分': 5}
{'短评内容': '着实不错，挺干净的，就是停车位太少了点，在路边等了好一会才有车位', '短评打分': 5}
{'短评内容': '酒店卫生条件好，空间大，干净，比较满意。', '短评打分': 5}
{'短评内容': '商务房很大，特惠的很小，反正就是一分钱一分货吧   ', '短评打分': 5}
{'短评内容': '干净、舒适、交通方便！服务很贴心，入住时正好下大暴雨，酒店工作人员主动提供雨伞用；事情孙然很小，心事让我们充分感受到了“如家般的”服务', '短评打分': 5}
{'短评内容': '酒店的环境很不错，服务也很好，酒店周围的交通也很便利，整体感觉很不错！', '短评打分': 5}
{'短评内容': '还不错住了2天，环境挺好周边也还繁华，下次还会住在哪里', '短评打分': 5}
{'短评内容': '挺好的，服务很周到！环境很好，房间也很干净！', '短评打分': 5}
{'短评内容': '房间的设计和颜色搭配很温馨 喜欢 卫生 干净 整洁 打扫卫生的阿姨很热情O(∩_∩)O~', '短评打分': 5}
{'短评内容': '以前入住过一次，记得当时点评说房间里缺少吹风机，然后有工作人员回复说会注意这一点的，结果这次入住就发现房间里已经配置了吹风机了，感觉如家的工作人员还是很为住宿的人着想的。。真的像他们的酒店名字一样，能让人感到一股家的温暖，很好。以后如果有机会还会再次光顾的。', '短评打分': 5}
{'短评内容': '还不错，楼下不远就是公交站，周围吃饭、购物都还算方便。', '短评打分': 5}
{'短评内容': '除了电视陈旧,前台有个老女人服务态度极差,又懒又犟,推拖,找理由不服务,十九号十八点当班的', '短评打分': 1}
{'短评内容': '很不错，位置不错，服务态度也很好，值得推荐，一直是我的首选', '短评打分': 5}
{'短评内容': '第三次入住，干净舒服心情舒畅', '短评打分': 3}
{'短评内容': '这家酒店离着洪楼广场很近、只是这个位置打车不太好打！但是这家酒店的服务很好！我们是4个人订了2个房间连住了2天，房间客服还每天主动给我打扫卫生、换毛巾、每天免费送2平【瓶矿泉水、并不是像其他酒店那样没喝完不给送新的！房间的保洁阿姨人服务很好！如家酒店房间的卫生很好！只是这个酒店的隔音效果实在太差了！我们2个房间中间还隔了个消毒间、竟然都可以不用电话就这么对话听得一清二楚的！这点真的很不好！还希望酒', '短评打分': 5}
{'短评内容': '环境很好，服务不错，房间布置也很好啊', '短评打分': 3}
{'短评内容': '价格合理，服务也不错，环境也很好，', '短评打分': 3}
{'短评内容': '干净整洁，住的挺舒适的，房间稍微小了点，不过也可以接受', '短评打分': 5}
{'短评内容': '房间不错，干净整洁，前台的人员也很有礼貌。', '短评打分': 5}
{'短评内容': '很干净，就是房间小了点，不过卫生很好，也很方便，不错！', '短评打分': 3}
{'短评内容': '非常不错的房间。很大。而且设施都很棒~！！地理位置也很好，离山大的北门南门都近。', '短评打分': 5}
{'短评内容': '失望~~~交通还好~~~但是复杂，服务态度不好~~~不会推荐朋友入住~~~', '短评打分': 1}
{'短评内容': '服务态度非常好\n早晨去得早没有特惠房，就直接给我们升级成了商务的\n服务人员主动和人打招呼，很友善！\n赞一个', '短评打分': 5}
{'短评内容': '如家确实值得信赖，说是特价房会有点吵，但是也并不是很吵，本店前台的服务有点怠慢，但是那位姐姐是刀子嘴豆腐心，入住还是很愉快的！', '短评打分': 5}
{'短评内容': '一直都是如家的忠实客户。这次意外订到特价房非常高兴。还是一如既往的令我满意。舒适干净的房间，热情周到的服务，如家是我不二的选择。。。', '短评打分': 5}
{'短评内容': '总体感觉还不错，服务很好', '短评打分': 3}
{'短评内容': '服务挺周到的，周边环境也很好，免费升级了一个房间。唯一不足的是该房间不向阳', '短评打分': 5}
{'短评内容': '很好，干净舒适，服务很热情', '短评打分': 3}
{'短评内容': '预订的房间没了，升级了一个大点的标准间，环境不错，很满意，下次还会订如家～', '短评打分': 3}
{'短评内容': '态度很好！环境很好！价格公道！下次还来住', '短评打分': 3}
{'短评内容': '不错哦', '短评打分': 3}
{'短评内容': '服务态度很好，酒店不错。就是特价房有点噪音。', '短评打分': 5}
{'短评内容': '酒店环境不错,服务态度相当好!', '短评打分': 3}
{'短评内容': '粉粉的墙 绿绿的被子 很温馨 离洪楼挺近  下次还来', '短评打分': 3}
{'短评内容': '还可以  位置还不错 服务可以\n在山大和百花公园之间 ', '短评打分': 5}
{'短评内容': '服务很到位，很好找，附近有超市银行等，非常方便', '短评打分': 5}
{'短评内容': '好的很，非常值得推荐，可以说无可挑剔，多搞点活动就好了', '短评打分': 5}
{'短评内容': '个方面都很好，位置很好，交通也方便，环境没的说，很舒适', '短评打分': 5}
{'短评内容': '干净，很好', '短评打分': 3}
{'短评内容': '位置不错，很方便，周边超市、饭店等都不错，交通也很方便', '短评打分': 5}
{'短评内容': ' 熟悉的感觉', '短评打分': 3}
{'短评内容': '酒店环境较好。', '短评打分': 3}
{'短评内容': '粉色的被子，彩色的墙面让人感觉很温馨，酒店服务态度也很好。\n虽然地处闹市区，但是晚上很安静，一点都没有吵闹的声音，床软软的，很舒服，房间的布局也很好，总之住的很舒服。。\n可能唯一美中不足的是房间里没有吹风机。。是不是考虑下每个房间配置一个呢？', '短评打分': 5}
{'短评内容': '不错 很干净 服务态度也不错 旁边很方便', '短评打分': 5}
{'短评内容': '挺不错的，价格合适，交通便利，适合参加培训考试！', '短评打分': 5}
{'短评内容': '服务态度超级好，他们会让我先下电梯呢，房间很大很干净，很喜欢', '短评打分': 5}
{'短评内容': '很好，床大，服务好，什么都好，预定的房间没有了，给换了一间更好的！', '短评打分': 5}
{'短评内容': '酒店不错，住的挺舒服。在网上订比较便宜。。。。', '短评打分': 5}
{'短评内容': '很好，以后有机会还会入住的..周围的环境很好，很方便..', '短评打分': 5}
{'短评内容': '周围有商业区，而且交通方便。酒店的服务员态度特别好，房间也很干净。只不过空调的噪音有些大，希望可以的到修缮。', '短评打分': 5}
{'短评内容': ' 很好的酒店，很舒适。', '短评打分': 3}
{'短评内容': '很不错，服务到位，设施齐全，就是隔音效果差些，电梯、电视有些旧，停车位少点。总体很好的', '短评打分': 5}
{'短评内容': '酒店还可以吧，很实惠，就是房间比较小，房间有股怪味', '短评打分': 5}
{'短评内容': '感觉不错。', '短评打分': 3}
{'短评内容': '环境好，卫生条件很不错,交通比较便利，房间面积大。', '短评打分': 5}
{'短评内容': '交通方便，环境很好，服务周到，价格实惠，推荐！', '短评打分': 5}
{'短评内容': '初步感觉不错的', '短评打分': 3}
{'短评内容': '环境很好，很满意', '短评打分': 3}
{'短评内容': '物美价廉', '短评打分': 3}
{'短评内容': '非常不错，靠百花公园，周围居民区，很安静，交通方便。', '短评打分': 3}
{'短评内容': '环境很好，服务周到\n早餐丰盛，空间很大\n服务、卫生都很好。交通也挺方便。建议让电梯开关门再快点。', '短评打分': 5}
{'短评内容': '服务、卫生都很好。交通也挺方便。建议让电梯开关门再快点。', '短评打分': 5}
{'短评内容': '不错，比较干净，也很安静！', '短评打分': 3}
{'短评内容': '环境服务均不错。', '短评打分': 3}
{'短评内容': '典型的如家，不错，值得入住！下次还会住！', '短评打分': 5}
{'短评内容': '不错奥、环境也很好，离洪楼也近，可以去逛夜市，只是隔音不好、', '短评打分': 5}
{'短评内容': '离百花公园非常近，进本上出门走几步就是。离洪家楼广场也不远，1站公交车就到了。', '短评打分': 5}
{'短评内容': '干净、卫生，床单颜色很鲜艳。下次还选如家！', '短评打分': 3}
{'短评内容': '连锁酒店住过好多家，如家是最令我感到温馨与放松的。她的服务就如她的名字，回家一样的感觉。服务员的态度也非常之好。总之，住的舒服且愉悦。', '短评打分': 5}
{'短评内容': '酒店不错，每次来都住这里', '短评打分': 3}
{'短评内容': '隔音效果太差，别的还好。离山东大学也挺近的', '短评打分': 5}
{'短评内容': '不错哦，很干净，房间挺大的，大厅还有免费的电脑。里面的人好客气，见面就你好久笑眯眯的。设施也不错，不用带毛巾牙刷什么的，反正人进去就不用担心什么了', '短评打分': 5}
{'短评内容': '酒店不错，很干净，床也很舒服，值得推进。', '短评打分': 3}
{'短评内容': '酒店不错，标准的如家范儿，干净，舒心，不过距离山大比起来其它几家有点远。', '短评打分': 5}
{'短评内容': '还是不错的，如家全国连锁，还是比较放心的', '短评打分': 5}
{'短评内容': '服务很温馨，房间和不错,美中不足的是房卡，几乎每天都出问题，需要到前台。很多如家都有这个问题', '短评打分': 5}
{'短评内容': '这是第二次入住，第一次入住非常满意，这次住了一个周，还是不错！\n', '短评打分': 5}
{'短评内容': '位置不错，服务还行，饭菜一般。下次可能还会入住', '短评打分': 5}
{'短评内容': '房间不错,干净整洁,服务态度很好', '短评打分': 3}
{'短评内容': '卫生条件不错，挺实惠的。服务态度也挺好的。', '短评打分': 5}
{'短评内容': '挺好的，就是隔音有点不好，能听到隔壁房间的说话声', '短评打分': 5}
{'短评内容': '酒店服务,设施都好,就是房间隔音太差,隔壁说话你听很清,你说话,隔墙有耳随意听', '短评打分': 3}
{'短评内容': '还不错，周围挺便利的，不错，下回还来住这里', '短评打分': 5}
{'短评内容': '位置很好，也很干净，走几步就到商业街了，吃饭、购物都很方便，不错', '短评打分': 5}
{'短评内容': '挺方便的…', '短评打分': 3}
{'短评内容': '还不错，就是隔音效果稍微有点差，不过总的来说还是挺好的。', '短评打分': 5}
{'短评内容': '还可以，房间比较大，交通还算方便，价格也不贵啊，下次还住那里', '短评打分': 5}
{'短评内容': '靠近山大，环境还不错，服务员很热心，离洪楼银座有点距离。', '短评打分': 5}
{'短评内容': '还行，挺好，刚住完。就是隔音不咋地，隔壁有人嘿咻，睡着又吵醒了。', '短评打分': 5}
{'短评内容': '很好。已经第二次入住了。房间很大哟。。。。。。', '短评打分': 5}
{'短评内容': '服务很周到，房间很温馨！出差旅行不错的选择！', '短评打分': 5}
{'短评内容': '酒店设施挺齐全，环境挺好。没有发现不合适的地方', '短评打分': 5}
{'短评内容': '环境不错，价钱还好，就是前台有点像没睡醒的，其他的很有礼貌', '短评打分': 5}
{'短评内容': '去过很多次了，很好，真的有家的感觉，干净温馨', '短评打分': 5}
{'短评内容': '酒店附近交通便利，服务态度好，室内打扫干净，房间舒适，唯一不足的是电视不能点播', '短评打分': 5}
{'短评内容': '服务很好，房间很干净，带有暖气空调，很温馨的。。。', '短评打分': 5}
{'短评内容': '酒店很干净，服务态度相当好。。。离着山东大学洪家楼校区挺近的。。。', '短评打分': 5}
{'短评内容': '如家 值得信赖的连锁酒店 很干净 很完备的硬件', '短评打分': 5}
{'短评内容': '隔音效果太差，隔壁一直看电视，说话，我都听得一清二楚，没办法学习。连隔壁打哈欠都听得到。半夜上厕所，竟然听见哗哗的水声，吓个半死，原来是楼上在洗澡。房间通风差，暖气就是凉的，空调也不管用。', '短评打分': 1}
{'短评内容': '如家的一贯风格！现在只能提供早餐，中餐与晚餐不能提供，有些不方便！对面有一家拉面馆可以果腹之用！', '短评打分': 5}
{'短评内容': '亲戚来了，离家较近，感觉不错！最后退房的时候洗个热水澡，方便', '短评打分': 5}
{'短评内容': '不错,网速特别快.装修业很好,很干净/.....', '短评打分': 5}
{'短评内容': '房间偏冷,不过有空调,椅子有污渍,其他还可以', '短评打分': 3}
{'短评内容': '酒店卫生不错，房间也算宽敞。希望楼下商店物品能及时更新补充，中、晚饭也能提供！', '短评打分': 5}
{'短评内容': '酒店卫生、条件还不错，早餐也可以，离山大也算近，就是停车太不方便，没有停车场', '短评打分': 5}
{'短评内容': '总体感觉很差。1， 入住时身份证没上传成功，要我再出示上传，不专业。2，去食堂吃饭，没人在负责，不敬业.3，刚入住说赠送早餐，又强调是赠送第二天的，也没问题，等入住下来要时，却改口说活动持续到月底，已经结束！晕死！活动结束了，入住时给我说那么多废话干什么？4，去吃饭已经给了餐票，吃到一半，服务生又过来问我有没有给餐票，食欲大减。我不给你们也不让给吃啊，再说我交饭票了，有必要一遍又一遍问吗？第一次也', '短评打分': 1}
{'短评内容': '房间条件不错，服务也很好，值得推荐，价格也十分划算', '短评打分': 5}
{'短评内容': '如家还是一如既往得好，靠近洪楼，方便快捷，不错不错', '短评打分': 3}
{'短评内容': '地方稍小，其他还可以，很安静。服务也挺好的', '短评打分': 5}
{'短评内容': '房间很干净也很安静，不错，有家的感觉', '短评打分': 3}
{'短评内容': '干净卫生,服务很好，但是车位比较紧张，酒店隔音比较好，位置方便，但是酒店提供的早餐不太好吃，希望以后能够增加停车位', '短评打分': 5}
{'短评内容': '酒店服务还不错，就是隔音实在是太差，另外早餐多半也是凉的，需要改进。', '短评打分': 5}
{'短评内容': '还不错，挺干净', '短评打分': 3}
{'短评内容': '不错，挺干净…服务很好…', '短评打分': 3}
{'短评内容': '住宿条件一般，但很干净整齐，房间里基本设施比较齐全，还能上网，挺方便。', '短评打分': 5}
{'短评内容': '酒店那时相当的不错的,相信我没错的.酒店那时相当的不错的酒店那时相当的不错的,相信我没错的.,相信我没错的.酒店那时相当的不错的,相信我没错的.', '短评打分': 5}
{'短评内容': '环境不错，很干净，门口就有公交站，但是离景区车站都远了点儿', '短评打分': 5}
{'短评内容': '不错的酒店   、干净卫生  服务好~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '＋', '短评打分': 3}
{'短评内容': '房间干净、卫生，出行、购物很方便。离山大校园很近。很不错！', '短评打分': 5}
{'短评内容': '不错!房间挺干净的，内饰给人感觉很温馨。有少量的停车位。', '短评打分': 5}
{'短评内容': '环境不错，交通便利，整体的卫生水平不错。住起来比较舒适，另外如家的牌子也是过硬的，其他没有什么大的问题。唯一一点就是面积可能稍微小了点，不过还好，够用。整体来说给以好评。', '短评打分': 5}
{'短评内容': '交通便利，离花园路商业街很近，购物方便，到百花公园只有几百米，免费进入，周围环境挺好，服务很好，早餐还算可以，就是如家的一贯风格。', '短评打分': 5}
{'短评内容': '环境卫生不错，性价比较高，可能会向朋友推荐该酒店，服务周到。已经住过如家快捷酒店好几次，我们投入了大量的资源和人力保证网站内容的真实性', '短评打分': 5}
{'短评内容': '  很好', '短评打分': 3}
{'短评内容': '酒店不错，干净整洁，服务台服好。', '短评打分': 3}
{'短评内容': '酒店很不错，房间干净性价比高。酒店很不错，房间干净性价比高。酒店很不错，房间干净性价比高。', '短评打分': 5}
{'短评内容': '离洪楼挺近，房间不错挺干净~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '不错，晚上也挺安静，住了好几次了已经~~~~`~~`~', '短评打分': 5}
{'短评内容': '挺干净，住的挺舒服，就是没有直接到火车站的公交车', '短评打分': 5}
{'短评内容': '住宿条件不错', '短评打分': 3}
{'短评内容': '住了很多次了，总体不错，不过没有直接去火车站的公交', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': ',酒店设施不错，经济实惠，就是早餐差点。', '短评打分': 3}
{'短评内容': '环境还可以', '短评打分': 3}
{'短评内容': '如家洪楼店的服务态度很好，干净卫生，隔音也很好', '短评打分': 3}
{'短评内容': '干净，服务好，我喜欢，服务人员态度都很好，对我 的种种小疑问都清楚耐心的回答，呵呵', '短评打分': 5}
{'短评内容': '态度很好', '短评打分': 3}
{'短评内容': '房间空间小，性价比不是很高，不过很安静，总体还可以', '短评打分': 5}
{'短评内容': ',酒店经济实惠，房间比较小。', '短评打分': 3}
{'短评内容': '不错不错，整体上还是很好的，还是回去入住的', '短评打分': 5}
{'短评内容': '我住数码房感觉没想象的好 洗手间有点小 电视该换了 别的还可以', '短评打分': 3}
{'短评内容': ' 不错 就是电视有点旧了 恩呀    别的就不错了 我可不是他们的拖', '短评打分': 5}
{'短评内容': '条件很好，设施都很好，推荐 被子 墙壁都是彩色的', '短评打分': 5}
{'短评内容': '服务很好，花的被子，花的墙，很温馨。暖气也很暖和。推荐。离山东大学真的很近，很方便', '短评打分': 5}
{'短评内容': '条件,服务,非常好!', '短评打分': 3}
{'短评内容': ' 很干净，很舒适，服务态度好', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '位置不错，很安静。', '短评打分': 3}
{'短评内容': '非常满意，直接下公交车就可以看到如家，非常方便，离山大老校也不远，唯一的问题是周围餐馆很少，不在市中心，不太繁华。', '短评打分': 3}
{'短评内容': '个人感觉还是不错的，这是如家的一贯作风。', '短评打分': 5}
{'短评内容': '地理位置比较方便，停车免费，房间干净卫生，酒店安全可靠。', '短评打分': 5}
{'短评内容': '环境不错，里面很温馨，房间也比一般标间稍大一些，总体感觉较好，就是隔音稍差了些 \n', '短评打分': 5}
{'短评内容': '环境不错，里面很温馨，房间也比一般标间稍大一些，总体感觉较好，就是隔音稍差了些', '短评打分': 5}
{'短评内容': '环境一般，水龙头有问题，害得晚上没热水洗澡。', '短评打分': 3}
{'短评内容': '门锁是坏的，出一次门就要喊一次开门，网络也不正常，下午四点多居然连网管都没有，电视又升级看不了', '短评打分': 1}
{'短评内容': '还可以吧 就是隔音不好  连隔壁说话声都能听见', '短评打分': 5}
{'短评内容': '位置不错，离洪楼商业街很近，床很舒服，服务一般。', '短评打分': 5}
{'短评内容': '隔音很差、还有苍蝇，饭菜也不好，特别是饭，估计都是陈米了。', '短评打分': 1}
{'短评内容': '隔音不是太好，居然连隔壁打呼声都能听到，一楼的餐馆也很差，实在是有些失望。', '短评打分': 1}
{'短评内容': '酒店有点吵     ', '短评打分': 3}
{'短评内容': '在这住了好些天 总体还可以 会员制度有优惠', '短评打分': 5}
{'短评内容': '当时修路 交通不是特别方便 但总体是可以的', '短评打分': 5}
{'短评内容': '房间很一般，交通也不方便，可能是在修路的原因', '短评打分': 1}
{'短评内容': '住宿的地方是不错的,安静\n价格也合适,就是稍微远了点', '短评打分': 5}
{'短评内容': '交通打车还算方便，周边在修路，有点乱，酒店的客房比较安静', '短评打分': 5}
{'短评内容': '附近修路 ,交通比较不方便 打车都要绕远路 性价比还算可以 ', '短评打分': 1}
{'短评内容': '正赶上修路，但是当时价格比较合适，现在修好路价格有点高了，交通对于外地人来说可能有点不是方便。唯一的好处是还算安静。', '短评打分': 1}
{'短评内容': '不错，虽然门前路没修好，但已经可以通车了。性价比不错，原来准备住一天，结果住了两天。', '短评打分': 5}
{'短评内容': '很舒服，喜欢如家，干净卫生，服务也非常好，每次出去总喜欢住在如家', '短评打分': 3}
{'短评内容': '虽然修路交通不怎么方便 但还是物有所值的 ', '短评打分': 3}
{'短评内容': '位置可能不是很好，门前还在修路，但是可以行驶，房间住的很舒服，很满意', '短评打分': 5}
{'短评内容': '每次出差来济南都住在闵子褰路附近。南边的锦江之星住了无数次了，北边的汉庭也去住过2次，这次朋友说换个如家试试，这一试一个字，悔。第一天办完入驻手续问电梯在哪，总台告之电梯要换，所以最近不开放！&#183;#￥%……是坏到修理不了了等换新设备，还是和物业的纠纷，还是电梯坏了修理不好，不得而知，住了3个晚上结帐时候也没见正常使用，住5F6F的同学们辛苦啊。到了房间，被子还是夏天的，薄的吓人。9月下旬的', '短评打分': 1}
{'短评内容': '这地不好找，且在修路，还停电了一天。', '短评打分': 5}
{'短评内容': '在这住了快一周 虽然修路vbushi很方便 但总体还可以的 酒店还赠送小饮料 ', '短评打分': 3}
{'短评内容': '性价比可以  服务不错 物有所值 以后还会再来', '短评打分': 5}
{'短评内容': '卫生间的卫生状况比较一般，希望清理的能够更加彻底一点', '短评打分': 5}
{'短评内容': '我感到的时候，正在修路，打车不太方便，不过服务非常好。', '短评打分': 5}
{'短评内容': '+挺好很干净', '短评打分': 5}
{'短评内容': '如家，是全国连锁的，卫生，服务都不错，但洪楼南路正在修路，出行特别不方便，一下雨，都是泥，特别不好走。。。', '短评打分': 5}
{'短评内容': '感觉不错 值得推荐 最近修路 路况不好 还有没有热水估计是因为修路没有人入住的原因吧\r\n', '短评打分': 3}
{'短评内容': '感觉不错 问题是我早上用牙刷的时候怎么发现牙刷是旧的呢？？！！！这个问题值得考虑啊', '短评打分': 5}
{'短评内容': '非常中肯的说 除了位置当时在修路 非常泥泞 并且感觉离洪楼和大润发都不近啊 也可能是路非常难走的事情，济南最近都在下雨，路显得更难走了。里面的服务没的说，是我在所有如家酒店中最好的，亲切热情，有什么事情会很尽心的帮你完成。卫生和里面的设施也很贴心，装修很温馨，因为在小区里，所以也很安静。如果路修好了以后一定还会再去并且会推荐朋友住，路在修的时候应该不会再去了。\r\n价格虽然说是在修路期间已经降价了，', '短评打分': 5}
{'短评内容': '在修路，泥泞不堪，交通很不方便5454654', '短评打分': 1}
{'短评内容': '目前门口正在修路，正赶上下雨非常难以进出，位置倒是适合从高速上下来歇脚', '短评打分': 1}
{'短评内容': '住过几次了，不错！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还算不错', '短评打分': 3}
{'短评内容': '住过好多次了，很好。', '短评打分': 5}
{'短评内容': '住过好多次了，每次都很好，支持！', '短评打分': 5}
{'短评内容': '酒店服务态度非常好，房间内很温馨、很安静。', '短评打分': 5}
{'短评内容': '卫生舒适，价廉物美', '短评打分': 3}
{'短评内容': '经济实惠，比较安静', '短评打分': 3}
{'短评内容': '卫生条件不错，就是吃饭不怎么方便。', '短评打分': 5}
{'短评内容': '经济实惠', '短评打分': 5}
{'短评内容': '如家感觉一直很好，服务厚道', '短评打分': 3}
{'短评内容': '在这家店住的感觉比较好，服务很好，也比较干净，餐厅也可以，比较方便。', '短评打分': 5}
{'短评内容': '如家 还是一如既往的好', '短评打分': 5}
{'短评内容': '整体来说，比7天好多了', '短评打分': 5}
{'短评内容': '还好&#183;', '短评打分': 5}
{'短评内容': 'haihao', '短评打分': 5}
{'短评内容': '酒店不错，卫生和服务都很好，', '短评打分': 3}
{'短评内容': '酒店卫生非常好，服务也很好，住进去有一种回家的感觉，不错，下次出差还会去那', '短评打分': 5}
{'短评内容': '唯一的缺点就是隔音比较差，晚上隔壁XXOO还有楼上楼下电视的声音声声入耳', '短评打分': 5}
{'短评内容': '第一次住便捷式酒店，感觉还是不错，设施装修虽然简单，但是感觉上还是很整洁干净的。可能是便捷酒店的缘故吧，很多星级酒店必备的设施，如家都没有配备（如，冰箱，保险箱，电吹风等）。', '短评打分': 5}
{'短评内容': '还是比较不错的酒店,地理位置还可以打车还是挺方便的,卫生和设施也算不错,价格也挺好的,还是比较满意的.', '短评打分': 3}
{'短评内容': '还行，价格还比较合理，出行都是打车，很方便', '短评打分': 3}
{'短评内容': '我很不满意,我当时还在房间里,服务员也有没敲门,就直接用房卡把门开开了,还说这家房间没有登记有人入住,下次不会选择这家酒店了.', '短评打分': 3}
{'短评内容': '我发现在西面安静好多，下次我点名要在西面住！！！不守着街', '短评打分': 5}
{'短评内容': '就是房间的空气不是特别的流通，所以味道感觉不好，其他的服务地理位置都很好很好。', '短评打分': 5}
{'短评内容': '酒店各个方面还是不错的,干净舒适,交通也很方便；性价比还是比较高的；', '短评打分': 5}
{'短评内容': '酒店的服务卫生以及设施都很好的，酒店的位置以及交通都很好的，性价比不错的酒店的', '短评打分': 5}
{'短评内容': '地方确实不大好，上下班时感觉在塞车……其余均好，', '短评打分': 5}
{'短评内容': '老客户应该给点优惠么，嘻嘻', '短评打分': 5}
{'短评内容': '感觉酒店住着还可以，位置还不错，出行挺方便的，而且价格也比较适中。', '短评打分': 5}
{'短评内容': '酒店的性价比不是很高，服务环境也很一般，附近有其他家酒店还是不错', '短评打分': 1}
{'短评内容': '出去玩了一天，等晚上十点回来居然发现房间根本就没打扫，打电话到前台，答复是不通知打扫就不打扫，放下电话，心中惴惴，莫非真的如家一样，自己不管就没人管了？打电话要求换毛巾，问服务员怎么回事，说是早班的事，但是绝对不会不给打扫。顿时气得三花聚顶。再打电话到前台，换人了，说是前面那个服务员没经验，靠！没骗人的经验？\r\n房间隔音很差，旁边的房间叫的百转千回，只能捂着儿子的耳朵陪他睡了。\r\n停车场小，倍小', '短评打分': 1}
{'短评内容': '位置：太繁华了，傍晚我打车回去，司机都不去，后来有一司机告诉我，那在高峰期总堵车。\r\n舒适度：好像传单下就是弹簧床，半夜有点凉（冬天）', '短评打分': 5}
{'短评内容': '服务各方面都不错，就是交通上如果遇到上下班高峰的时候不是很方便，打车，司机都不愿意往前开了', '短评打分': 5}
{'短评内容': '就像其他如家一样，装修卫生条件都算是比较标准化的，我住的是商务大床房，感觉好像比北京如家的房间稍微宽敞一点。这家店周围还算繁华，房间也很安静（至少我没遇到隔音差的问题），服务生态度也不错，询问了一下关于机场大巴的事情，解答的都挺好，入住前打电话咨询路程的时候态度也挺好。我想对这家店印象好，最重要的还是因为房间安排的时候满足了我的要求，很安静。', '短评打分': 5}
