{'短评内容': '很好的酒店', '短评打分': 5}
{'短评内容': '位置有点远，但是还可以，就是地毯不咋干净，但是房间很大', '短评打分': 5}
{'短评内容': '房间里面应该设置小吃吧，放点方便面，饼干之类的食品', '短评打分': 5}
{'短评内容': '总体来说还不错，不过酒店的设施不是很齐全。连风筒都没有。', '短评打分': 5}
{'短评内容': '设施跟房价成正比,交通方便 值得推荐 经济型的酒店', '短评打分': 3}
{'短评内容': '价格合理   交通方便', '短评打分': 5}
{'短评内容': '房间挺大，也很卫生，价格也合适，值得推荐', '短评打分': 5}
{'短评内容': '相当实惠的酒店，淋浴的水也不错，就是服务差一些，楼层都没有服务员，不过这价格也可以了', '短评打分': 5}
{'短评内容': '房间算中规中矩，其中有一个前台态度不怎么样，感觉还是比较一般。', '短评打分': 1}
{'短评内容': '挺好的，既便宜又舒适，就是离南站还是有点距离，走过去差点累死。。。', '短评打分': 5}
{'短评内容': '去上海每次都住这里 性价比很高~', '短评打分': 5}
{'短评内容': '入住时 竟然说找不到我的订单 不知道怎么回事 \r\n还有房间比较小', '短评打分': 1}
{'短评内容': '价格方面确实是很公道的。但是床铺铺的不好。枕头这些都是歪斜放着的 被子也不挺 感觉总象没换一样。\r\n性价比还是满高的。', '短评打分': 5}
{'短评内容': '环境不错，服务态度好，值得推荐！', '短评打分': 5}
{'短评内容': '服务很好~交通方便的', '短评打分': 5}
{'短评内容': '房间的空调是美的的，早晨起来始终开不起来！有点冷，不过有线电视不错', '短评打分': 5}
{'短评内容': '推荐 经济实惠 楼下还有麻辣小龙虾吃 很好', '短评打分': 5}
{'短评内容': '整体感觉一般', '短评打分': 5}
{'短评内容': '经济实惠，比较舒适，最重要的是地段位置比较好离地铁车站比较近。', '短评打分': 5}
{'短评内容': '挺好的~', '短评打分': 5}
{'短评内容': '离华东理工大学特别今，房间环境也可以，挺干净的，价格实惠，值得推荐', '短评打分': 3}
{'短评内容': '只适合一般住住', '短评打分': 1}
{'短评内容': '前台小姐服务态度有待提高,房间里开水器坏掉了,没有人知道.请老总查一下.', '短评打分': 5}
{'短评内容': '138的价位还可以接受，关键是有20元返金，还不错，空间比其他酒店大，但是没有早餐，总之如果加上优惠券，很划算', '短评打分': 5}
{'短评内容': '环境挺好，服务一般，没有早餐，早餐得到外面吃', '短评打分': 5}
{'短评内容': '挺舒服的，卫生服务都挺好的。', '短评打分': 5}
{'短评内容': '位置还行不是太难找也不是很好找,房间的设施比较陈旧了卫生还行,服务态度还不错,性价比还是挺一般的.', '短评打分': 3}
{'短评内容': '这家酒店性价比还是比较高的,房间的卫生和设施方面也都不错,住着很舒适,就是位置不是很方便,到地铁站还要过个桥有点远.', '短评打分': 3}
{'短评内容': '    该酒店的设施很好，感觉非常舒适，就是地理位置有些偏...呵呵！\r\n    我一定会把该酒店推荐给我的朋友们！谢谢！\r\n', '短评打分': 5}
{'短评内容': '地理位置还是不错的,出行很方便,卫生服务也可以,但就是房间设施布局上感觉不太好.', '短评打分': 3}
{'短评内容': '位置还好，交通挺方便的，房间的卫生和设施还不错，服务也还可以，整体感觉我觉得这家酒店的性价比还是比较高的', '短评打分': 3}
{'短评内容': '在上海，它的性价比应该还算可以了的，位置离南站还是有点距离的，走的话要半个多小时。设施较价格来说还算可以，就是一住进的时候，那里的前台态度一般', '短评打分': 5}
{'短评内容': '订了138元的特惠房，本来打算先住一天试试的，不好就换，结果连续住了三天，离南站还是有点距离的，走路好像行不通，从上海南站南广场打的好像是起步费12元，但是我们不熟从北广场出来打的的14元，还行。。。总体感觉不错，稍微走走可到1号线锦江乐园地铁站，去市区也算方便，要是来上海玩几天选择利加达还不错，周边有菜场，小区；要是您出差开会什么的就得熟悉一下周围的路了。', '短评打分': 5}
{'短评内容': '感觉没有现代化管理么，房间都比较潮湿，舒适性一般。服务员倒是挺客气', '短评打分': 1}
{'短评内容': '各方面还可以，已经住过三次了。就是周边有点闹和杂。', '短评打分': 5}
{'短评内容': '整体来讲还是一家很不错的酒店,地理位置很好,离地铁站很近,出行都很方便,房间的硬件设施也比较齐全,住着很舒适.', '短评打分': 3}
{'短评内容': '总体感觉还好', '短评打分': 5}
{'短评内容': '梅陇地区算是性价比非常好的了。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '设施陈旧，服务卫生都不太好，', '短评打分': 3}
{'短评内容': '设施陈旧，服务卫生都不太好，', '短评打分': 1}
{'短评内容': '交通不是很方便，这家酒店都靠近郊区了，枕头不干净，卫生整体来看一般吧，设施和服务都很一般', '短评打分': 3}
{'短评内容': '性价比还蛮高的，也挺干净的，总体来说还比较满意，比预想中的好', '短评打分': 3}
{'短评内容': '感觉还不错，挺干净的，重要的是周围有很多好吃的小吃，晚上可以出去买夜宵~', '短评打分': 5}
{'短评内容': '对酒店的环境不是很满意，整体来讲酒店算是性价比合适的酒店，硬件设施舒适度也很达标，就是卫生打扫的不是很彻底！', '短评打分': 3}
{'短评内容': '以后来上海长住此酒店', '短评打分': 3}
{'短评内容': '酒店的整体不错的，服务卫生以及设施都很好的，酒店的位置不错的，出行很方便的，性价比不错的酒店。以后来上海长住利加达了！', '短评打分': 5}
{'短评内容': '酒店的整体不错的，服务卫生以及设施都很好的，酒店的位置不错的，出行很方便的，性价比不错的酒店。', '短评打分': 3}
{'短评内容': '这家酒店周边环境还不错,感觉挺安静的,适合喜欢安静的人仕入住,房间里的卫生打扫的也蛮干净的,服务方面一般了,一点都热情.价格方面还是比较合适的.', '短评打分': 5}
{'短评内容': '酒店的条件还可以，位置不在市区，交通不是太便利，价格蛮优惠', '短评打分': 5}
{'短评内容': '酒店的条件还可以，位置不在市区，交通不是太便利，价格蛮优惠', '短评打分': 5}
{'短评内容': '这家酒店性价比还是蛮不错的，住起来还是挺舒适的，值得推荐', '短评打分': 5}
{'短评内容': '整体感觉很一般了，设施条件有些陈旧了，周边环境也不是很好，交通不是很方便的。', '短评打分': 1}
{'短评内容': '酒店挺整洁的,位置很好出行很方便,房间里面的水壶是坏的不能用,软硬件设施也还不错.', '短评打分': 5}
{'短评内容': '附近地铁公交都很方便。位置很好，环境硬件设施都很不错，价格合理优惠，服务卫生也很达标，硬件设施舒适度也很不错，性价比很好的酒店值得推荐。', '短评打分': 5}
{'短评内容': '酒店的内部环境不太好,进去之后感觉挺乱,位置还成,卫生条件也很一般,价格倒是不贵,不过整体情况感觉不怎么样', '短评打分': 1}
{'短评内容': '陪我度过最难忘的一天', '短评打分': 5}
{'短评内容': '服务卫生方面还是不错的,价格也不错,就是房间面积小了点,交通不太方便了.', '短评打分': 5}
{'短评内容': '性价比比较高，值得推荐！', '短评打分': 5}
{'短评内容': '酒店卫生挺干净，挺舒服的，价格也适中，位置是稍微有点偏，出行还行挺方便的', '短评打分': 5}
{'短评内容': '觉得酒店的卫生条件还是有待于提高,人员服务还可以,价格也蛮实惠的,交通也还可以, 步行十分钟差不多就能到', '短评打分': 5}
{'短评内容': '酒店的整体环境卫生都很好的,交通也很方便的,', '短评打分': 5}
{'短评内容': '这个酒店外表看起来比较破旧，不过进到里面以后感觉还不错，服务挺好的，而且也干净，就是位置不好，交通也不方便，在这个位置上，我觉得价格应该再便宜一点。', '短评打分': 5}
{'短评内容': '价格好（138），离地铁1号站步行10分钟，但床单感觉没换，洗澡水小', '短评打分': 5}
{'短评内容': '酒店的设施环境都很差当时我带客人过去的客人弄得很不高兴.还不如普通的商务酒店.', '短评打分': 1}
{'短评内容': '最近入住该酒店188元-/晚商务标间，感觉较舒适。离地铁一号线步行十分钟路程，的士到上海南站起步价。服务较热情，房间宽敞明亮，设施也较新，有餐厅就餐方便。房价适中，不足就是不送早餐，大厅显得小点。', '短评打分': 3}
{'短评内容': '如果第一次去的话地方比较难找，路比较绕，当时问前台小姐，解释很简单，所以害我找了半个多小时才找到。但是入住进去以后的总体环境还不错。', '短评打分': 3}
{'短评内容': '这个酒店总体来说是比较好的，下次去还要住这里，唯一的不足之处就是空调的声音比较大，毛巾有点旧。', '短评打分': 3}
{'短评内容': '性价比较好吧', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '地方不錯啊，周邊吃喝玩都有了。以後還會去的', '短评打分': 5}
{'短评内容': '酒店卫生需要再加强.', '短评打分': 3}
{'短评内容': '酒店实施应适时更新，服务应标准化。', '短评打分': 3}
{'短评内容': '经济实惠的酒店，总体感觉不错。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '酒店房间比较干净,价格也比较合理.', '短评打分': 5}
{'短评内容': '唉，夜里真的很乱啊！外面的车声音太大了 ，睡不着啊', '短评打分': 1}
