{'短评内容': '服务很得体安排了安静的房间 位置很好 专业的酒店不错 出差很合适', '短评打分': 5}
{'短评内容': '大爱，周边离小区很近，所以很容易找到超市啊，理发店啊，吃东西的地方。灰常方便，去深圳会展中心也近，以后去的话还是住这里，哈哈\n\n开始还搞错了，因为这个是花园格兰云天，出租司机直接带我们到老的格兰云天了，后来不得不重新再叫了辆车过去，不过值得的~', '短评打分': 5}
{'短评内容': '酒店硬件设备太老化．晚上居然都不供暖气．只提供暖风机，而且没和有住宿的客人说．需要自己打电话问．', '短评打分': 5}
{'短评内容': '酒店很气派，住的很值，交通也方便，酒店服务很好，服务员非常客气', '短评打分': 5}
{'短评内容': '一进门有股烟味，还是无烟楼层，感觉很奇怪', '短评打分': 5}
{'短评内容': '酒店环境不错，就是稍微有一些陈旧的感觉，总算还可以。', '短评打分': 5}
{'短评内容': '中规中矩的酒店。服务也是中规中矩。设施略显陈旧。还会再次光临。', '短评打分': 5}
{'短评内容': '环境很好，舒适', '短评打分': 3}
{'短评内容': '装修新比较舒适 服务周到 就是大厅小气点', '短评打分': 5}
{'短评内容': '比较旧。。。。。。跟照片看起来有差。。。。。。。。', '短评打分': 5}
{'短评内容': '非常好，早餐不错', '短评打分': 3}
{'短评内容': '深圳花园格兰云天大酒店交通方便、设施也不错', '短评打分': 3}
{'短评内容': '酒店环境很好，房间很漂亮很干净，房间也很大。', '短评打分': 5}
{'短评内容': '相对比较老得酒店，周围有几家都叫格兰云天，有时候分不清楚是哪家。', '短评打分': 5}
{'短评内容': '预定的是花园房，到了酒店免费升级行政房，很满意。。。。', '短评打分': 5}
{'短评内容': '各方面条件都比较好．\n地理位置也方便．．．\n下次还会再去', '短评打分': 5}
{'短评内容': '房间干净，也比较安静.价格也比较合理．．．．．．', '短评打分': 5}
{'短评内容': '对格兰云天大酒店的服务态度及硬件设施都很满意。', '短评打分': 3}
{'短评内容': '4', '短评打分': 3}
{'短评内容': 'good', '短评打分': 3}
{'短评内容': '不错的宾馆，同地区两家格兰云天，是花园格兰云天，很难区分', '短评打分': 3}
{'短评内容': '酒店挺好,位置也还行,不过大厅很一般,整体来讲还不错.', '短评打分': 5}
{'短评内容': '环境很好,,但是价格偏高.................', '短评打分': 5}
{'短评内容': '酒店位置不错，但好像有点旧了，而且早餐也一般，应该是4星水平吧，要比圣庭苑稍差一些。', '短评打分': 5}
{'短评内容': ',客户反应酒店设施不错,只是感觉服务灵话稍差。', '短评打分': 3}
{'短评内容': ' 房间干净、整洁，比较安静，浴室、卧室面积不小。', '短评打分': 3}
{'短评内容': '地段不错，酒店的员工也很热情，就是卫生间有点小，值得推荐！                                                                     ', '短评打分': 5}
{'短评内容': '.酒店挺不错,从服务到设施都挺好,准备推荐给更多的朋友。', '短评打分': 3}
{'短评内容': '新的酒店，但是大堂显得不大气，价格适中 就是不带早餐的。周边是居民区，有点显破烂。但是房间还是蛮大的，空调不知道在哪调节 有点热', '短评打分': 5}
{'短评内容': '我觉得这个宾馆很干净，不过它的位置不是很好。打车不是很方便，早餐我没吃不过看起来还可以。服务员的态度也很好，整体的来说还可以，我会向其它的朋友推荐的。', '短评打分': 5}
{'短评内容': '很不错，很新，以后朋友来就会推荐去那住。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '地理位置很好，出行很方便\n价格再优惠点就更好了～', '短评打分': 5}
{'短评内容': '交通方便，位置好，比较新，服务也不错，性价比好', '短评打分': 5}
{'短评内容': '交通便利，还不错，就是价格好像上涨了。贵了', '短评打分': 5}
{'短评内容': '房间总体还不错，但是卫生间小了点，洗澡不是很舒服', '短评打分': 5}
{'短评内容': '十1.根本不是五星酒店。2.再三说要含早餐，结果还要上酒店自己加。', '短评打分': 3}
{'短评内容': '感觉非常棒，性价比非常高的一家酒店！', '短评打分': 3}
{'短评内容': '对于这个价格来说，还算性价比不错，但是我不会再去住了。', '短评打分': 1}
{'短评内容': '酒店离皇岗口岸特别近，环境不错，而且服务态度特别好，帮忙叫的士，提行李', '短评打分': 5}
{'短评内容': '服务还不错，中餐厅的菜品味道也不错。唯一不足的就是房间的卫生间太小了，一不小心就碰到了。', '短评打分': 5}
{'短评内容': '花园格兰云天大酒店位置好，周边交通便利，靠近地铁，商场。性价比高，闹中取近。房间装修档次高，住得舒适。', '短评打分': 3}
{'短评内容': '酒店位置相当不错，离万象城、金光华等购物中心都不算远，设施环境也不错，推荐！', '短评打分': 5}
{'短评内容': '该酒店交通还方便 酒店环境不错 比较安静', '短评打分': 5}
{'短评内容': '帮别人订的房，朋友说还不错，下次有机会还会选择!', '短评打分': 5}
{'短评内容': '正在修建，而且酒店价格偏贵。房间内装修还可以', '短评打分': 1}
{'短评内容': '房间够大，卫生间太小，价格还是偏高了，总体还不错', '短评打分': 5}
{'短评内容': '没有针线包，护发素也没有，洗发水不好用。环境很一般。', '短评打分': 3}
{'短评内容': '酒店环境好，服务周到，客房很舒适，物有所值！', '短评打分': 3}
{'短评内容': '供应商推荐的。还可以吧。只住了一晚也没来得及好好看看就走了。', '短评打分': 5}
{'短评内容': '不错，位置很方便，下次去的话还去这家。。。。', '短评打分': 5}
{'短评内容': '对于这家酒店强烈推荐，一是地理位置特别好，二是酒店服务特别好，三是酒店设施装修好，四是酒店周边环境好，综上所述，下次来深圳还会入住这家酒店', '短评打分': 5}
{'短评内容': '性价比非常高，服务管理一流，值得推荐。二楼西餐厅自助午餐一般般，建议享用自助晚餐，198元/位15%服务费。', '短评打分': 3}
{'短评内容': '感觉很好!', '短评打分': 3}
{'短评内容': '价格一般 环境很不错 值得推荐 不过那个什么70平的套房完全不值得,还不如花蕾花蕊套房呢', '短评打分': 5}
{'短评内容': '不错，方便。', '短评打分': 3}
{'短评内容': '不错，很方便。', '短评打分': 3}
{'短评内容': '不错，周边很方便。', '短评打分': 3}
{'短评内容': '内容 ', '短评打分': 3}
{'短评内容': '如果准备大吃一顿，晚上的海鲜自助餐是不错的，选择也比较多。就是198有点小贵.', '短评打分': 5}
{'短评内容': '不错，就是显得有点老。大堂味道比较大，不过房间设施还算不错', '短评打分': 5}
{'短评内容': '位置不错，服务质量很好，房间设施一般，饭菜质量不错只是早餐花色不多，性价比70%', '短评打分': 5}
{'短评内容': '电视机太小', '短评打分': 3}
{'短评内容': '服务周到', '短评打分': 3}
{'短评内容': '常客常客，管理服务很到位，让人信赖的一家酒店', '短评打分': 5}
{'短评内容': '酒店新，但不靠近市中心，在小区内，较嘈杂，服务好', '短评打分': 5}
{'短评内容': '住了一次不错肯定会住第二次了！！正常选择！！', '短评打分': 5}
{'短评内容': '环境不错 价格公道 挺好的 设施不错 !!!有机会还是住这里！！！！', '短评打分': 5}
{'短评内容': '服务还可以，但是价格有点贵啊！房间里所有的瓶装水都收费。', '短评打分': 5}
{'短评内容': '深圳的酒店,稍微偏一点的地方性价比都挺高的.这个还不错.能健身.', '短评打分': 5}
{'短评内容': '一般性吧.没有图片上看的好.应该不太会来住了.', '短评打分': 5}
{'短评内容': '位置还不错，就是楼下在施工，又靠近马上，所以有点吵\n不过装修还不错', '短评打分': 5}
{'短评内容': 'Chcek in的时候，前台说多加60块可以升级房间，进房间一看，跟以前不加价的房间完全一样，打电话问说搞错了。于是又换房。\n\n以这样的方式多收第一次来的客人60块每晚，我猜应该是酒店的政策，聪明过头了。', '短评打分': 1}
{'短评内容': '性价比非常好，离深圳最大的市政公园非常近，环境优美', '短评打分': 5}
{'短评内容': '有两个格兰云天的，这个感觉一般，和什么大厦一起的，价格有点高，相比起来性价比低了，服务还好，别人推荐的，估计以后有其他选择就不会住了。', '短评打分': 1}
{'短评内容': '上次是朋友要我帮忙订房，马上想到了格兰云天，很不错的。', '短评打分': 5}
{'短评内容': '感觉还不错，毗邻繁华的华强北，很好，以后来这边还会考虑', '短评打分': 5}
{'短评内容': '挺好的酒店，地理位置在市中心。酒店设施也很新，早餐比较丰盛。酒店里还有商场可逛。', '短评打分': 5}
{'短评内容': '酒店地理位置比较好，但是价格偏贵，房间很小，装修也旧，性价比不高。', '短评打分': 1}
{'短评内容': '限时价还算合理。如按平日的价格，就没什么优势了。其实地理位置不算好，自己开车进出就方便了。内部设施不算新颖，凑合吧。虽然不能说满意，但是还是值得推荐。', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 3}
{'短评内容': '酒店还不错~~就是卫生间小了些~，服务还算到位！有机会还会去住~', '短评打分': 5}
{'短评内容': '酒店的地理位置很好，去那里都比较方便。条件一般，性价比不算特别高，只是四星级酒店', '短评打分': 5}
{'短评内容': '好是好，就是老了点，贵了点，建仪改好一尘不染', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '房间不错，就是房间里没表', '短评打分': 3}
{'短评内容': '在深圳5星级酒店中性价比很好，很干净，好舒服的酒店,服务不错，装修豪华，', '短评打分': 5}
{'短评内容': '酒店大堂不大，但是房间还可以的。不过客房部的清扫工作不敢恭维呀。\n早餐还行的。但是觉得价格有点小贵', '短评打分': 5}
{'短评内容': '房间设施太陈旧，并靠近公路，窗户密封不够，不够安静！', '短评打分': 1}
{'短评内容': '非常不错的，很舒适，就是靠马路，晚上有点吵', '短评打分': 5}
{'短评内容': '不错的酒店，位置很好！美中不足的是行政层的早餐太简单。', '短评打分': 3}
{'短评内容': '位置不错，但交通不方便，餐饮不错，比较知名', '短评打分': 5}
{'短评内容': '位置不错，但进入酒店的路不好走，太不方便', '短评打分': 5}
{'短评内容': '非常赞的一个酒店，房间设计很舒服，景观也不错。不过餐厅似乎不怎么样。', '短评打分': 5}
{'短评内容': '地处闹市,周边环境还是不错的,交通方便,推荐一下.', '短评打分': 5}
{'短评内容': '位置不错,价格还算可以,服务一般般,中等的感觉', '短评打分': 5}
{'短评内容': '交通不方便,远离地铁.大厅太小,设施一般,服务未见.', '短评打分': 1}
{'短评内容': '中规中矩的商务酒店。也没什么特别值得称道的。位置不错。离中心区较近。', '短评打分': 5}
{'短评内容': '酒店位置在小区内，交通不太方便。不过房间设施较新，宽带速度较快，早茶还不错。', '短评打分': 5}
{'短评内容': '因为要去会展中心订的，打的只要14元，酒店也很好。周围还有很多小吃店和超市。', '短评打分': 5}
{'短评内容': '位置不错，交通不错，大堂小了点，要更新，餐饮不错', '短评打分': 5}
{'短评内容': '交通很好，位置也不错，大堂小了点，餐饮很好', '短评打分': 5}
{'短评内容': '酒店各方面配套设施都很不错，以后继续推荐朋友入住。', '短评打分': 5}
{'短评内容': '住得比较舒服，景观好，交通方便，客房服务也很好！', '短评打分': 3}
{'短评内容': '性价比还是不错的，而且免费升级到园景房，服务很好，住着也比较舒服', '短评打分': 5}
{'短评内容': '帮人预定的，交通方便，总体还过得去；限时抢购价，不错！', '短评打分': 5}
{'短评内容': '整体来说还不错，主要是位置很好。性价比有点高。', '短评打分': 5}
{'短评内容': '已住在深南路', '短评打分': 5}
{'短评内容': '酒店很新~~ 我住的花园景观房打完这560很实惠~ 就是离地铁站有点远~', '短评打分': 3}
{'短评内容': '安静，舒适，服务不错！还特别安排在行政楼层，180度景观，呼吸深南大道边最美绿色。。。。。', '短评打分': 5}
{'短评内容': '+酒店服务一般，设施也一般！', '短评打分': 5}
{'短评内容': '整体感觉都不错，大堂小了点，但硬件很难改了', '短评打分': 5}
{'短评内容': '这个酒店还可以吧，房间特别大，卫生间大。都是木制的显得有点中规中距。好在窗户大，视野还不错。八十分吧', '短评打分': 5}
{'短评内容': '朋友推荐的，没有想象中的好。不过地理位置和早餐还是不错的。', '短评打分': 3}
{'短评内容': '总体印象还不错，就是周边环境太差了，好像在一个城中村里，乱得不行。另外，酒店的餐厅档次不够，包厢太小', '短评打分': 5}
{'短评内容': '去深圳出差，经朋友推荐住了这家酒店。感觉没有网上说的那么好，房间很小，设施陈旧，地毯也不干净。最重要的是房间味道很大，要开窗吹上一会儿。下次不会入住了。', '短评打分': 1}
{'短评内容': '朋友反映酒店其他都挺好，也很新，但就是交通不是很方便。深南大道上下班高峰期很堵车...经常只有绕道走很远，另外酒店建议可以在顾客有需要时帮顾客叫车。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '如果考虑第二天去机场，可以考虑，因为去机场很方便,服务业不错，值得一住。', '短评打分': 5}
{'短评内容': '帮朋友预定说不错但就是地理位置一般。。。', '短评打分': 5}
{'短评内容': '装修质量、品位一般，无烟房有烟味，位置很好。', '短评打分': 1}
{'短评内容': '已评论过了，替朋友订的，朋友反映不错，位置不错只是要和上海宾馆那个格兰云天区分开来，以免搞错，酒店设施不错，特价房性价比高。', '短评打分': 3}
{'短评内容': '各方面都不错，就是从世界之窗位置开车过去，要到科学馆那边掉头才能过去，比较不是那么方便', '短评打分': 5}
{'短评内容': '替客户订的，客户很满意。位置不错，自驾很好，只是注意从深南大道西往东的话，恐怕不好调头，不如拐往皇岗路北从田面村里面穿过去，从村南面向深南大道方向出去即到', '短评打分': 5}
{'短评内容': '同样的酒店上次入住和这次入住价格怎么会不一样，是旅游季节涨价了吗？', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '地理位置好，但价格较高（周末除外）', '短评打分': 5}
{'短评内容': 'a Chinese hotel, but VERY GOOD, 相当不错的酒店，包括我的外国客人都很喜欢.', '短评打分': 5}
{'短评内容': '很不错的一家酒店。地点很好，性价比很高', '短评打分': 5}
{'短评内容': '不错的商务酒店，下次还住', '短评打分': 5}
{'短评内容': '还不错。很安静', '短评打分': 3}
{'短评内容': '上网需要收费，还挺贵，其他还行', '短评打分': 5}
{'短评内容': '总体来说 非常的不错啊 下次来深圳只要预算够还会选这家', '短评打分': 5}
{'短评内容': '不错的酒店。就是有点贵了。呵呵。', '短评打分': 3}
{'短评内容': '不错的选择', '短评打分': 5}
{'短评内容': '服务不错，但似乎比刚开业时有退步。位置有点偏，进出不太方便。', '短评打分': 1}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '住过好几次了，非常中规中矩的酒店。没有什么不好的地方，也说不出特别优秀的地方。\r\n房间里配有完备的文具，对出差的商务人士来说非常好。\r\n这次比预定的时间晚到大概一刻钟（17;15左右到的），前台居然把我的订单取消了。', '短评打分': 5}
{'短评内容': '虽然是五星级酒店但是里面的设施和卫生一点都不好根本不够档次，服务态度也很一般，特别差的酒店。', '短评打分': 1}
{'短评内容': '凑合吧,还可以.', '短评打分': 3}
{'短评内容': '好,谢谢!下次还住!', '短评打分': 3}
{'短评内容': '早餐品种太少了', '短评打分': 5}
{'短评内容': '自己住过，也帮客户订了几次，反映还是不错的。3楼的中餐厅味道不错。', '短评打分': 5}
{'短评内容': '酒店位置好。房间层高高，住起来宽敞。房内设备维护不够及时，有的开关坏了。', '短评打分': 5}
{'短评内容': '酒店外观是五星级,房间也可以,就是早餐太差,不像五星级的水准,而且没有游泳池和健身设施', '短评打分': 3}
{'短评内容': '早餐比较差。', '短评打分': 1}
{'短评内容': '前台没有挂星，被告知是四星的。早饭不好。有些小贵。', '短评打分': 3}
{'短评内容': '还可以。就是是四星', '短评打分': 3}
{'短评内容': '还可以，就是价格稍稍有些贵', '短评打分': 5}
{'短评内容': '酒店不错,有花园,算是深圳中心区内比较不错的酒店了,可惜价格贵了一点.呵,', '短评打分': 5}
{'短评内容': '位置比较方便,但价格有点贵了.', '短评打分': 5}
{'短评内容': '位置和风景都不错的一家酒店,服务也很不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '酒店给人感觉很舒服', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '非常不错的选择', '短评打分': 3}
{'短评内容': '不错的酒店\r\n设施和服务都不错\r\n价格小贵～', '短评打分': 5}
{'短评内容': '有点贵。其他的都还满意。', '短评打分': 5}
{'短评内容': '深南道酒店。视野非常好。', '短评打分': 5}
{'短评内容': '酒店位置不错，但性价比稍差。服务不错！', '短评打分': 5}
{'短评内容': '因为飞机延误只是晚到了20分钟就将我预定的房间取消了，而且之前并未与我取得任何联系，害得我差一点半夜11点露宿街头，在同行的同事面前丢面子不说还损失了大量积分和现金券，后来没办法又以1160的价格订了一间套房。听过的人都是这种事情在芒果和携程是绝对不可能发生的。', '短评打分': 1}
{'短评内容': '不错。下次还会光临。', '短评打分': 5}
{'短评内容': 'very good', '短评打分': 5}
{'短评内容': '因为飞机延误只是晚到了20分钟就将我预定的房间取消了，而且之前并未与我取得任何联系，害得我差一点半夜11点露宿街头，在同行的同事面前丢面子不说还损失了大量积分和现金券，后来没办法又以1160的价格订了一间套房。听过的人都是这种事情在芒果和携程是绝对不可能发生的。', '短评打分': 3}
{'短评内容': '因为飞机延误只是晚到了20分钟就将我预定的房间取消了，而且之前并未与我取得任何联系，害得我差一点半夜11点露宿街头，最后协商了很久才给了我一间套房……', '短评打分': 1}
{'短评内容': '大堂和房间较小, 周围环境复杂. 房间还好啦.', '短评打分': 1}
{'短评内容': '1.电视质量很差，从来没见过这么差的色彩，全是雪花2.房间内所有灯光的开关都很别扭，总控使用很别扭。3.关闭总控开关之后，居然电源也断电！4.房间窗户夜晚不断发出异响，很恐怖！严重时无法入睡！！这条最恶劣！\r\n', '短评打分': 1}
{'短评内容': '呵，从香港回来时住的，所以觉得太合算了，房间很大，免费上网，去机场40分钟，去海鲜一条街也很方便', '短评打分': 5}
{'短评内容': '非常不错的酒店，特别是服务', '短评打分': 3}
{'短评内容': '酒店太不隔音了.', '短评打分': 1}
{'短评内容': '酒店位置很好，离我工作的地方很近。房间很干净，对得起这个价格。', '短评打分': 5}
{'短评内容': '房间还可以 离市中心有点距离，靠近田面村', '短评打分': 3}
{'短评内容': '房间很宽敞，装修很新，设施也很好。但线路安装尚需改进，夜灯太亮了。', '短评打分': 5}
{'短评内容': '两家格兰云天大酒店，差点走错人家。\r\n这家是新建成的，设施更好。', '短评打分': 5}
{'短评内容': 'very good hotel', '短评打分': 5}
{'短评内容': '距离罗湖口岸有点距离，附近还有另一家格兰云天酒店，可能会跑错\r\n装修中规中矩，没什么特色\r\n附近吃的地方较少', '短评打分': 5}
{'短评内容': '总台一位个子矮、眼睛圆、人也不漂亮的女员工服务态度真的不太好。我就不指明她的工号了，给她留面子。', '短评打分': 5}
{'短评内容': '希望能在进一步完善管理，比如前台服务。', '短评打分': 5}
{'短评内容': '感觉不错。', '短评打分': 5}
{'短评内容': '价格还是有些贵了,房间的卫生和舒适度还行设施也还可以,酒店的位置挺好找的我就住在附近还是挺不错的,但是前台的服务不是很好很一般,要是价格能在低一些那就更好了.', '短评打分': 3}
{'短评内容': '太贵，性价比太低了，而且附近的设施太少', '短评打分': 1}
{'短评内容': '有點貴了覺的不值', '短评打分': 1}
{'短评内容': '很好!', '短评打分': 5}
{'短评内容': '总体来说,是不错的酒店,就是性价比低了点,因为花园景观房现在的景观全是工地,但价钱又不变,而且花园景观房晚上的噪音还是很大.不过满意房间的布置,酒店没有太多的闲杂人员等,如果价钱低点下次还是会考虑的.', '短评打分': 5}
{'短评内容': '酒店房间面积很大,卫生间不仅大而且舒适,但就早餐而言,在同等酒店中显得简单了一些.', '短评打分': 5}
{'短评内容': '非常感谢前台服务人员，特别是大堂韦经理，', '短评打分': 5}
{'短评内容': '卫生服务方面做的非常好,位置也不错,离我办事的地方,很方便,但就是早餐我吃着不太习惯.', '短评打分': 3}
{'短评内容': '酒店是4星级标准，不属于豪华档次，设施比较新，属于不上不下的档次；自助早餐每位55元，比在E-LONG网上订要便宜45元，各位网友可在酒店现场购买；酒店地段挺好，进出也方便；酒店内市内电话也是要收费；酒店内有游泳池，还不错。', '短评打分': 1}
{'短评内容': '还OK，交通比较方便！', '短评打分': 3}
{'短评内容': '还挺好的，就是有点贵！', '短评打分': 5}
{'短评内容': '比较不错的一个酒店,舒服干净,,', '短评打分': 5}
{'短评内容': '周边环境幽雅，且紧邻华强商圈，交通便利。', '短评打分': 5}
{'短评内容': '酒店就是位置好点，卫生条件和服务都不怎么样，设施也很一般，以他的设施条件来说这个价格偏高了，一点都不好。', '短评打分': 3}
{'短评内容': '很新的酒店，设施、卫生都很不错。服务略显不足，前台服务生手忙脚乱的处理入住、退房。整体还不错！', '短评打分': 5}
{'短评内容': '很舒适', '短评打分': 5}
{'短评内容': '从房间的装修来看虽然并没有什么特别和新意，但是看看水龙头和浴缸的品牌就知道装修是花了钱的，算是对得起这个星级的了，只是台子太小了，不方便，房间内没有设置可直接呼叫服务员查看“退房”的功能健就像总开关那样的会更方便，另外夜灯应该更暗点……大堂与星级比显得小气了！订机票的台子前没有凳子就让客人这么站着！周边环境和交通设施没有华联大厦那里的格兰云天大酒店方便！但是进到房间给人的感觉是舒服的，虽然我觉得卫', '短评打分': 5}
{'短评内容': '如到深圳还会再住该酒店.', '短评打分': 5}
{'短评内容': '酒店总体很好,早餐还可改进.', '短评打分': 5}
{'短评内容': '代人预订，反响还不错。', '短评打分': 5}
{'短评内容': '酒店档次挺高的,位置也是在华强北这边交通非常方便,装修,设施这些我很喜欢,卫生服务也很满意.', '短评打分': 3}
{'短评内容': '对酒店服务很满意', '短评打分': 5}
{'短评内容': '各方面条件不错，西餐厅也不错，就是缺白酒。是否可以备些2-5两的小瓶子白酒？', '短评打分': 5}
{'短评内容': '位置好', '短评打分': 5}
{'短评内容': '酒店很干净，很安静！距离商业区也比较近，不错！交通还是很方便的！就是离地铁站稍微远了点！', '短评打分': 5}
{'短评内容': '设施陈旧,服务态度一般.床还是很舒服.', '短评打分': 5}
{'短评内容': '酒店各方面还可以吧,环境挺好的,人员服务也比较到位,就是感觉价格有些贵.', '短评打分': 3}
{'短评内容': '酒店的位置不错，挺方便的，环境也还可以，就是价格有点贵', '短评打分': 3}
{'短评内容': '有点吵，马路旁，空调也吵\r\n景色不错', '短评打分': 1}
{'短评内容': '酒店的设施条件还行，就是我预定的标间，到酒店后却给安排的一张床的房间。我们是两个人去的，没办法住，酒店告诉我可以加钱升级，没办法只有加钱了，酒店的位置还是挺便利的', '短评打分': 5}
{'短评内容': '酒店的位置比较好在市中心去哪都很方便,设施也是比较好很齐全,卫生很干净整洁,服务不错,性价比比较高.', '短评打分': 5}
{'短评内容': '酒店的服务卫生方面还可以，设施方面也比较新比较齐全。价格也比较合适的。', '短评打分': 5}
{'短评内容': '位置不错,酒店里面也很整洁,唯一觉得不舒适的是当时住的不是朝向公园的房间,视野不够好.', '短评打分': 5}
{'短评内容': '酒店很舒适，门童的服务态度让人觉得十分亲切！要是前台的服务也能再提高一些就很完美了!', '短评打分': 5}
{'短评内容': '酒店各方面的住宿条件都挺好的，它地理位置虽然挺好的，但是从机场过来的时候很不方便，需要绕个路，很麻烦，感觉价格也有些偏高', '短评打分': 5}
{'短评内容': '酒店各方面的住宿条件都挺好的，它地理位置虽然挺好的，但是从机场过来的时候很不方便，需要绕个路，很麻烦，感觉价格也有些偏高', '短评打分': 5}
{'短评内容': '地理位置很好,出行比较方便,价格也适中,服务员很热情,设施也很齐全,整体感觉很不错', '短评打分': 5}
{'短评内容': '不错，比之前的好很多，位置也不错，服务（尤其是行李员）很好', '短评打分': 5}
{'短评内容': '酒店的服务，环境，卫生都比较均衡，位置不是很方便，不过综合感觉很不错。', '短评打分': 5}
{'短评内容': '酒店整体感觉一般,位置很不错,在市中心,交通很方便,性价比也可以', '短评打分': 5}
{'短评内容': '此酒店总体还算不错.', '短评打分': 5}
