{'descr': '还不错啊，总的来说还可以', 'star': 4}
{'descr': '+饭店服务不错，靠机场大巴瑞金路也挺近！房间也很干净', 'star': 5}
{'descr': '前台服务员很热心，但是酒店位子比较偏，条件也一般，不过也就这个价格而已', 'star': 1}
{'descr': '酒店人员服务非常细心周到，对咨询服务不厌其烦，很令人感动。住了四天后，都成朋友了！', 'star': 3}
{'descr': '瑞光假日宾馆比我想象中的要好很多，隔壁就是肯德基，还有北京烤鸭。吃饭非常方便，打车去夫子庙也只要10元钱，出门坐17路直达火车站。总之性价比超高，下次去南京肯定还会选择瑞光假日，强烈推荐给大家！', 'star': 5}
{'descr': '周围超市很近，出行方便，服务也不错，挺有家的感觉的。', 'star': 5}
{'descr': '住房条件还可以。只是公路边有点吵', 'star': 5}
{'descr': '这是三星级酒店一星的价格，其他方面我都满意，就是住3天才能上网得1天，要彻底的改造好酒店的网络服务器。网管是上行政班，下班后网络有问题前台和保安都不会弄！酒店附近有许多小吃、KFC24小时营业、北京烤鸭店。去夫子庙也非常方便。值得推荐！', 'star': 5}
{'descr': '还不错，性价比较好，周边很方便，电视机不太好，可惜没早餐', 'star': 5}
{'descr': '性价比挺高的，离夫子庙近，交通很方便，服务很不错。', 'star': 5}
{'descr': '宾馆内的服务人员态度很好，有问题能得到及时解决。客房内干净、卫生，设施齐全，但是晚上有噪音，总体还可以。', 'star': 5}
{'descr': '是给老公和孩子预定的酒店，回来以后说住的很舒服，房间不错，服务员态度也相当好。以后会推荐朋友住。', 'star': 5}
{'descr': '还行吧，只是这家宾馆的所有房间都是对着马路的，虽然窗户是双层玻璃，还是噪音挺大的！', 'star': 3}
{'descr': '还行', 'star': 5}
{'descr': '这个价位，配套算是不错了，服务也蛮好，订了两间大家都满意。', 'star': 5}
{'descr': '酒店内部装修精致，设施齐全，交通便利，性价比较高', 'star': 5}
{'descr': ' 服务态度不错 房间感觉也很好 不输如家等联锁', 'star': 5}
{'descr': '还行，距夫子庙蛮近的', 'star': 5}
{'descr': '地理位置很方便~硬件也不错~', 'star': 5}
{'descr': '床单上面有女人的长头发，有点恐怖，别的都还好', 'star': 5}
{'descr': '酒店距离夫子庙比较近.所以选择了这家.楼下就有KFC.用餐和出行都很便利.往南走就有明故宫遗址公园(免费开放)周边的条件很有优势.', 'star': 5}
{'descr': '跟周边的快捷酒店相比便宜一些，就是入住时一开卫生间门有两只小强跑出来吓了我一跳，另外抽水马桶上有污渍，很恶心……', 'star': 5}
{'descr': '感觉非常不错，条件相当好，价格也合理，前台服务也很好', 'star': 5}
{'descr': '总的来说性价比比较高   服务态度很好    环境虽然有点老了   可还是比较干净整洁   屋子空间比较大', 'star': 5}
{'descr': '还好', 'star': 5}
{'descr': '下次还会去,性价比较高', 'star': 5}
{'descr': '房间干净舒适，被褥看上去也非常整洁。卫生打扫的很好，这点很重要。', 'star': 5}
{'descr': '酒店的价格比较便宜。配置硬件设施都很不错，性价比很好。', 'star': 5}
{'descr': '总体来说很不粗的酒店，房间很干净，设施完善，服务也很到位，下次还会去住。', 'star': 5}
{'descr': '总体来说很不粗的酒店，房间很干净，设施完善，服务也很到位，下次还会去住。', 'star': 5}
{'descr': '性价比很高的一家酒店 胜过那些大的连锁酒店', 'star': 5}
{'descr': '酒店的配置设施都很齐全，像是电吹风啊这些配置都有。', 'star': 5}
{'descr': '各个方面都不错，但地理位置实在有点让我无法忍受，特别是一道晚上，前不着村后不着店的，那叫一个黑啊~~~', 'star': 1}
{'descr': '房间很安静，应该是隔音效果很好，卫生服务也很达标。', 'star': 5}
{'descr': '酒店给人感觉很专业，从服务到配置都很不错，比连锁型酒店要好一些。', 'star': 5}
