{'短评内容': '老酒店，真的很一般。', '短评打分': 3}
{'短评内容': '！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '交通住置不错，附近也没有更好的选择，还是不错的。', '短评打分': 5}
{'短评内容': '虽然空气很好，但是下雨也让人很不舒服，走道全是湿的，好难走啊', '短评打分': 5}
{'短评内容': '环境不错，就是太吵了，应当想办法解决才行，否则会影响酒店形象。', '短评打分': 5}
{'短评内容': '是间不错的酒店。值得推芥。；；；；；；；', '短评打分': 5}
{'短评内容': '最少提供多一些个性化服务，解决每一个客人的合理要求，努力', '短评打分': 5}
{'短评内容': '性价比较高。环境好///////。。。。。。。。。', '短评打分': 5}
{'短评内容': '还可以/////////////////////', '短评打分': 5}
{'短评内容': '交通挺方便的。，。。‘。。。///////', '短评打分': 5}
{'短评内容': '比起真正星级酒店店来讲，还是在配套方面有一些欠缺，想理一下发都没有发地方。其它还好', '短评打分': 5}
{'短评内容': '很好啊，下个月还去///////////////', '短评打分': 5}
{'短评内容': '服务几好的，环境几好，早餐不错。。。。。。。', '短评打分': 5}
{'短评内容': '还好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '服务，环境基本上都算可以，比较简单，朴实。', '短评打分': 5}
{'短评内容': '环境很好，服务也很好，就是安静方面欠点，蚊子也较多', '短评打分': 5}
{'短评内容': '感觉蛮好，好住得比较舒服，有机会还会去的。', '短评打分': 5}
{'短评内容': '一个人说好，那不算好，要众人都说好那才叫好，总之给我的感觉住得还是蛮舒服的', '短评打分': 5}
{'短评内容': '性价比不错，但不够气派。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '硬件可以，服务周到，就是蚊子太多了，这点有些让人接受不了', '短评打分': 5}
{'短评内容': '感觉不错00000000000000000000', '短评打分': 5}
{'短评内容': '外表不起眼，内部一般般，总体感觉一般；；；；', '短评打分': 5}
{'短评内容': '还会去的。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还算可以吧。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很好[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[', '短评打分': 5}
{'短评内容': '几好啊，服务几好，环境也几好。保持下去就好了。', '短评打分': 5}
{'短评内容': '吵吵‘’‘’‘’‘’‘’‘’‘’‘’‘’‘’‘’‘’‘’', '短评打分': 1}
{'短评内容': '就是太吵了。其它还好。但愿能改进，对大家都好。', '短评打分': 5}
{'短评内容': '印像不错‘’‘’‘’‘’‘’‘’‘’‘’‘’‘', '短评打分': 5}
{'短评内容': '环境不错啊，还有免费送两份早餐，虽然品种不是很多，也还是不错了，', '短评打分': 5}
{'短评内容': '蚊子太多，房间太吵，太不爽了。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '不错啊，该有的设备都比较齐全////////////////////////', '短评打分': 5}
{'短评内容': '蛮不错的，下次有机会再去。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '该酒店后面就是一个大工业区，晚上巨大的钢铁加工声音搞的没法入睡，自助餐也很简单。最糟糕的是大床竟然是两个小床拼起来的，太可恶！', '短评打分': 1}
{'短评内容': '为何电脑还要单独收费呢，这是配套嘛，真是奇怪，不过幸好我自己有电脑使用宽带不用收费', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '如果可以远择的千万不要住低楼层的房间，因为晚上实在太吵了，真的没法让人睡觉', '短评打分': 5}
{'短评内容': '唉，春交会住酒店真是贵啊，不过瞎里还算不错了，最起码比广州来说还是便宜了不少', '短评打分': 5}
{'短评内容': '环境不错/服务好较好。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '各方面都还不错，但安静方面是在难恭维！！！！', '短评打分': 5}
{'短评内容': '挺好的！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': 'VERY GOOD！商务之首选酒店，交通方便，设施齐全', '短评打分': 5}
{'短评内容': '虽然入住给我感觉还是蛮好的，但是我不太喜欢让自己的自法左右别人的选择，所以我还是觉得任何东西都要自己尝试了才知道好不好。', '短评打分': 5}
{'短评内容': '感觉良好，不错，下次再去住，不过去之前最好约好的士，这样会更方便', '短评打分': 5}
{'短评内容': '总体感觉不错，各方面都算OK吧。有机会下次还会去', '短评打分': 5}
{'短评内容': '我也是听朋友介绍这酒店不错，我也是以一种尝试的心态去看一看，因为我每次经过那里时都没有进去过，不过看外表并不豪华', '短评打分': 5}
{'短评内容': '我住过不少酒店，这间算是比较有特色的，体现在酒店内部有一个好大的花园，好漂亮哟', '短评打分': 5}
{'短评内容': '交通方便，环境不错，但由于有KTV显得有少许燥音，不过总体感觉不错，下次还住此酒店', '短评打分': 5}
{'短评内容': '之前听朋友说此酒店不错，一入大堂从服务员的问候就已感觉到了，真的OK', '短评打分': 5}
{'短评内容': '此酒店交通方便，前台接待人员很热情，反应灵活，房间舒适', '短评打分': 5}
{'短评内容': '据我朋友了解，此酒店交通便利，环境非常的好，有空中花园等，值得尝试入住', '短评打分': 5}
{'短评内容': '酒店卫生装休饮食可以,周边环境欠佳,购物不便', '短评打分': 3}
{'短评内容': '还可以吧，还可以，下次再来继续尝试！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '除了地处位置外，其他各方面还是比较好的酒店。', '短评打分': 5}
{'短评内容': '环境和设施都不错！推荐入住。', '短评打分': 5}
{'短评内容': '酒店一级的棒，就是价格很贵', '短评打分': 5}
{'短评内容': '总体来说是一间性价比的高级酒店，配套设施齐全，房间装修好，服务态度好，价格如果在230左右就更加好！', '短评打分': 5}
{'短评内容': '环境很好 价格可以接受', '短评打分': 5}
{'短评内容': '酒店不错，性价比高。', '短评打分': 3}
{'短评内容': '这是一间很不错的酒店，性价比很高。', '短评打分': 5}
{'短评内容': '房间设施很好，周边环境也不错，餐厅的食物也挺好，价格适中。晚上楼下K厅的噪音会传上来，希望改善一下。', '短评打分': 5}
{'短评内容': '挺不错 ', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '非常好！！', '短评打分': 3}
{'短评内容': '环境优雅，服务态度非常好', '短评打分': 5}
{'短评内容': '房间很大，性价比比较好。结帐查房速度稍微慢点，周围比较荒凉，无逛街的地方。', '短评打分': 5}
{'短评内容': '酒店比较新，房间也比较干净，服务也不错，要是价格在低30块就更好了', '短评打分': 5}
{'短评内容': '勉强达到四星吧，不过更准确应该说是“超三星”，房间的设施还可以，但是墙壁有水迹，墙纸有点起泡了。\r\n酒店其他设施比较少，但是对面马路的雅居乐雍景豪园有超市、饭馆、沐足等等，也很方便。\r\n280元包双早，还可以免费延到下午2点才退房，性价比不错，有需要的话还会选择。', '短评打分': 5}
