{'短评内容': '房间很不错，这个价位在海宁已经很非常合理了。物超所值。', '短评打分': 5}
{'短评内容': '酒店装修很新！服务也还可以，就是水龙头出来的水有异味', '短评打分': 5}
{'短评内容': '早饭非常简单，房间的空调一点不热，特别是热水更加不热，不能够洗澡，非常遗憾！', '短评打分': 5}
{'短评内容': '房间的空调一点不热，特别是热水更加不热，不能够洗澡，非常遗憾！', '短评打分': 5}
{'短评内容': '最近气温比较低，但是房间空调和热水不热，影响睡眠和个人卫生。', '短评打分': 5}
{'短评内容': '就是距离长途车站近周围都在早楼，位置偏，房间挺大，就是设施比较简陋。', '短评打分': 1}
{'短评内容': '酒店还不错位置是挺好的，房间还是比较新也比较大，价格也是挺不错的，因为我没去是给我父母订的他们感觉是挺好的。', '短评打分': 5}
{'短评内容': '酒店距离皮革城很近，步行仅约十分钟，房间干净，还附有笔记本电脑供住客使用，下次去海宁还会选择入住。', '短评打分': 5}
{'短评内容': '在海宁相对来说比较价廉物美，性价比比较高！总体比较满意，就是早饭比较简单了。', '短评打分': 5}
{'短评内容': '环境不错，离皮革城比较近，酒店性价比比较高，订的是商务单间，床比较舒服。', '短评打分': 5}
{'短评内容': '店里过了晚上九点就不供应晚餐很纳闷，地段很好，值得一住。', '短评打分': 5}
{'短评内容': '酒店还可以装修的还是蛮好的，地理位置第一次去出行还是挺方便的，服务态度价格都还可以。', '短评打分': 5}
{'短评内容': '早餐较差。隔音较差，早上6点客户在走道说话吵了觉。不过200多的酒店这样已经不错了', '短评打分': 5}
{'短评内容': '环境还不错，但怎么是两个小床？', '短评打分': 5}
{'短评内容': '酒店还不错，房间很大', '短评打分': 5}
{'短评内容': '离皮革城很近自驾者首选,但是周围没什么饭店。。', '短评打分': 5}
{'短评内容': '房间较大，床很舒服，淋浴水较小，早餐一般。酒店信价比很好，下次到海宁购物还要住：）', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '地理位置,舒适度都很好好,性价比也比较高,值得推荐.', '短评打分': 5}
{'短评内容': '欧式的建筑风格，环境优雅的酒店。', '短评打分': 5}
{'短评内容': '酒店干净卫生，环境舒适，配置全下次过去还会入住。', '短评打分': 5}
{'短评内容': '酒店很新性价比非常高的一家酒店。', '短评打分': 5}
{'短评内容': '酒店是新开业的，配置硬件设施都非常新。', '短评打分': 5}
{'短评内容': '酒店的服务非常好，员工和领导都非常热情。', '短评打分': 5}
