{'短评内容': '很不错的酒店，性价比很高，服务也很好。', '短评打分': 5}
{'短评内容': '装修的可以，但是豪华房稍微有点小，不错一个人住也足够了，前台服务员服务挺好的', '短评打分': 5}
{'短评内容': '设施不错，也干净。就是晚上每个房间窗户关不上。睡不着', '短评打分': 3}
{'短评内容': '比想象中的好些  就是空间稍显小些  那个椅子不是太舒服', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '非常不错，干净舒适就是有点偏僻', '短评打分': 3}
{'短评内容': '非常不错的酒店。。很干净，而且感觉很好。', '短评打分': 5}
{'短评内容': ',我己入住君庭酒店,还算满意', '短评打分': 3}
{'短评内容': '环境很不错，值得留恋，主要原因是新开的酒店！', '短评打分': 5}
{'短评内容': '硬件非常不错，唯一一点就是临着路，不过晚上还好', '短评打分': 5}
{'短评内容': '——内部环境不错。热水很足。就是临街的房间会比较吵', '短评打分': 3}
{'短评内容': '地理环境不错，交通方便，里市区不远。优雅、清洁。就是小了点！', '短评打分': 5}
{'短评内容': '比较小...装修比较简单...............................', '短评打分': 5}
{'短评内容': '房间小小的但还干净', '短评打分': 3}
{'短评内容': '房间装修的很新颖，暖色调为主，设计的很独特，住着舒服，卫生条件蛮好的，下次还还会考虑的', '短评打分': 5}
{'短评内容': '酒店的服务很到位，房间布置的温馨，舒适度很好，服务员周到热情，住宿环境很不错', '短评打分': 5}
{'短评内容': '看起来不错，离双龙洞挺近。出门就可以坐车。', '短评打分': 5}
{'短评内容': '一般般，卫生不是很干净，有待提高水平啊。不过我老公很喜欢', '短评打分': 5}
{'短评内容': '酒店装修的很高档，价格蛮合适的，早餐丰盛，服务到位，性价比很高', '短评打分': 5}
{'短评内容': '不支持免费网络。。。其他的硬件设施不错，值得推荐。。', '短评打分': 5}
{'短评内容': '硬件一般，软件太差，早饭就一些垃圾，房间里的东西还可以，但是布置太混乱，强烈不推荐', '短评打分': 1}
{'短评内容': '条件真的很不错，里学校也近，交通发达，转两个弯就到高速路口了，设施齐备，', '短评打分': 5}
{'短评内容': '房间不错。。环境安静。。价格合理。。就是他们的饭堂关的太早了。。', '短评打分': 5}
{'短评内容': '其他总体比较满意就是 自助餐种类少了点 而且吃完的也没补充 ~服务态度有待改进', '短评打分': 5}
{'短评内容': '酒店的装潢 设计整体都可以 风格比较温馨 就是在各导航上找不到该酒店 只能找北山路 自助餐吃的东西种类比较少 总体还比较满意~', '短评打分': 5}
{'短评内容': '环境还不错，适合情侣，卫生也还行。就是宽带网速有点慢啊~', '短评打分': 5}
{'短评内容': '服务态度极差..................', '短评打分': 1}
{'短评内容': '环境确实真的不错，可是服务还没完善，态度也不佳！', '短评打分': 5}
