{'descr': '不错的酒店哈', 'star': 5}
{'descr': '房间挺好、干净！！！！！就是有时候房间没窗。', 'star': 5}
{'descr': '还不错，床挺大的，也干净，就是空调不好用         ', 'star': 5}
{'descr': '还不错，床挺大的，也干净，就是空调不好用         ', 'star': 5}
{'descr': '蛮好的，干净，安静。房间蛮大的，服务人员也很耐心。', 'star': 5}
{'descr': '蛮好的，干净，安静。房间蛮大的，服务人员也很耐心。', 'star': 5}
{'descr': '不错  满干净整洁   停车场地也满大  呵呵', 'star': 5}
{'descr': '不错  满干净整洁   停车场地也满大  呵呵', 'star': 5}
{'descr': '蛮不错的，房间蛮大，很干净', 'star': 3}
{'descr': '蛮不错的，房间蛮大，很干净', 'star': 3}
{'descr': '大床房实在太小了，而且还没窗，床还特别小，哪里配得上那个“大”字啊。\n后来实在觉得住在里面太憋屈，要求换房。前台MM态度还行，给调了间商务大床房，说不上好坏，还凑合。\nPS：网上的图片放的是商务大床房的，大床房的条件比商务的差好多。当初就是被网上的图忽悠了。', 'star': 1}
{'descr': '大床房实在太小了，而且还没窗，床还特别小，哪里配得上那个“大”字啊。\n后来实在觉得住在里面太憋屈，要求换房。前台MM态度还行，给调了间商务大床房，说不上好坏，还凑合。\nPS：网上的图片放的是商务大床房的，大床房的条件比商务的差好多。当初就是被网上的图忽悠了。', 'star': 1}
{'descr': '无线上网太慢了，自来水有水锈味。世博期间价格尚可。不推荐。', 'star': 1}
{'descr': '无线上网太慢了，自来水有水锈味。世博期间价格尚可。不推荐。', 'star': 1}
{'descr': '酒店的位置不是特别的方便，卫生设施还行，服务态度还是可以但是价格来说在世博期间还是可以接受。', 'star': 1}
{'descr': '酒店的位置不是特别的方便，卫生设施还行，服务态度还是可以但是价格来说在世博期间还是可以接受。', 'star': 1}
