{'短评内容': '一般，床单被罩枕头都脏脏的', '短评打分': 3}
{'短评内容': '和同城的逸兴比，性价比好，2者之间该选这家，但是如果中卫有类似锦江之星如家等连锁经济型酒店的话，它就没有优势了。\r\n前台服务热情，我们晚9点，咨询前台周围有什么饭店可以果腹时，向我们推荐了强氏喜阿婆粥饼店，很不错。', '短评打分': 5}
{'短评内容': '酒店还行，中规中矩，中卫酒店里不错的选择', '短评打分': 5}
{'短评内容': '环境一流，服务一流，物超所值！尤其是前台服务态度超好！', '短评打分': 5}
{'短评内容': '酒店很新很干净尤其是卫生间反正什么都是新的很不错', '短评打分': 5}
{'短评内容': '位置很好，但是那个该死的马桶盖扫了兴，明显就是后换上去的，质量很差， 被坐出一道裂纹，结果还被赔了50元。', '短评打分': 5}
{'短评内容': '不错挺干净的，可惜楼下有个火锅店，味道有点大', '短评打分': 5}
{'短评内容': '服务态度很好！房间较大，较安静！周边有好吃的香山牛肉。推荐入住！', '短评打分': 3}
{'短评内容': '中卫万瑞大酒店很好！', '短评打分': 5}
{'短评内容': '一般，空调不好\r\n餐厅只供应火锅。没有自己的停车场。停车不方便', '短评打分': 5}
{'短评内容': '酒店地理位置和服务都很不错，卫生状况良好。酒店的餐饮也很好。缺点就是不太隔音。 ', '短评打分': 5}
{'短评内容': '很干净的酒店，总的来说还可以。但就是回民的餐厅', '短评打分': 5}
{'短评内容': '很不错，服务和设施都很好', '短评打分': 3}
{'短评内容': '位置很好，饭店的设施也不错，前台接待员训练有素，给中卫之行加分！', '短评打分': 5}
{'短评内容': '位置好出行方便.其它各方面条件也不错.我个人感觉这是一家不错的酒店,推荐给大家.', '短评打分': 5}
{'短评内容': '因为飞机晚点，到酒店时已经晚上9点多了，手续很快办好，\r\n因为很累，要休息空调制冷效果差，开到16度，还不好，但还凑合\r\n后面的遭遇让人郁闷，大约晚11点，停电达10分钟，酒店的解释，负荷过重，凌晨1点多再次停电约10分钟，到来凌晨2点再次停电时间长达1小时，我郁闷呀，本来空调就不制冷，还频繁停电，严重影响了休息。', '短评打分': 1}
{'短评内容': '万瑞大酒店整体不错，最大的问题就在于用水的问题，楼层高了供不上，住在五楼，水只能用线表示', '短评打分': 5}
{'短评内容': '感觉很差的酒店，号称是准四星的酒店，感觉还不到2星级的酒店，下次不会住了。', '短评打分': 1}
