{'短评内容': '很好 非常满意  确实各方面都好', '短评打分': 5}
{'短评内容': '酒店设施非常完善，装修时尚简约，不落俗套，有茶、咖啡，还有饮水机，上网是网线不是Wifi,但服务到位，有家的感觉。总体感觉非常舒适。', '短评打分': 3}
{'短评内容': '酒店硬件设备很好，服务态度热情，总之一切令人满意', '短评打分': 5}
{'短评内容': '性价比还不错，比较安静，配套的5楼餐厅还行！', '短评打分': 5}
{'短评内容': '性价比还不错！但机场接机服务是没有的。。。', '短评打分': 5}
{'短评内容': '酒店整体不错  早餐也蛮好的。 距离机场也不远 有接机服务 但是要提前告诉他们 打车 18元-20元\n物有所值。', '短评打分': 5}
{'短评内容': '我觉得不错。但稍微陈旧。如果装修一下会更好。性价比不错。饭柴差。', '短评打分': 5}
{'短评内容': '位置不错就是睡觉吵', '短评打分': 3}
{'短评内容': '房间里面环境不错，就是洗手间老是堵水。另外：服务不是一般的差。结帐时，还告知没有发票！请他们前台服务员帮寄，遭到拒绝。', '短评打分': 1}
{'短评内容': '酒店环境一般感觉设施挺简单，服务态度还可以，价格还是比较合理。', '短评打分': 1}
{'短评内容': '卫生间私密性不好。玻璃隔开，但只有一面有帘子，而且在外面。\n其他还不错。较现代气息的装修。退房服务可以下午2点，非常合理。', '短评打分': 1}
{'短评内容': '昆明碧海云天大酒店卫生和服务都不错，性价比还是比较高的，但是卫生间全透明不太习惯，还有就是床头天花的镜子最好取消，因为那样会影响睡眠。 \n', '短评打分': 5}
{'短评内容': '卫生和服务都不错，但是卫生间全透明不太习惯，还有就是床头天花的镜子最好取消，因为那样会影响睡眠。', '短评打分': 5}
{'短评内容': '酒店新装修,明亮漂亮干净,房间大,床单,被子毛巾都很新很柔软.让人有舒适的感.', '短评打分': 3}
{'短评内容': '非常不错，超出了我的想象，装修新颖，安静，价格适中，非常值得!下次还选择住这里！', '短评打分': 5}
{'短评内容': '房间条件不算太差如果和同等级的酒店比不算太好房间还是挺大的，服务质量不高，地理位置还行，价格还是偏高。', '短评打分': 1}
{'短评内容': '蚊子比较多.设施比较不错挺时尚的，卫生条件也好.距离机场比较近.交通出行挺方便.', '短评打分': 5}
{'短评内容': '酒店还可以的，酒店还算挺方便出行，服务态度和价格还是很合适。酒店也没不好的地方住着都还可以。', '短评打分': 5}
{'短评内容': '选择这家酒店是看到它2010年7月刚开张，新嘛自然卫生会相对好些。被褥等果然新，质量不错，卫生间也还算干净。但热水时不时不是很热，对喜欢洗热水澡的我们有些不方便。酒店地理位置不错，但有许多非住客来酒吧桑拿按摩等消费，人有点杂。自助餐挺方便，要是多一些蔬菜水果的选择就更好了。', '短评打分': 5}
{'短评内容': '一般的酒店达不到4星的标准,不过硬件设施还成.比较新一些.出行蛮方便的.', '短评打分': 3}
{'短评内容': ' 非常好', '短评打分': 3}
{'短评内容': '环境不错，安全卫生', '短评打分': 3}
{'短评内容': '酒店还一般今年刚开业的设施也不算太陈旧但是装修也没什么特色，服务也一般，价格还好能接受，整体环境也就一般。', '短评打分': 3}
{'短评内容': '地点與市中心不遠，酒店員工不足，價錢還可以，套房只有一個窗可以打開，令房間空氣流通不足', '短评打分': 1}
{'短评内容': '酒店新，但服务不行', '短评打分': 5}
{'短评内容': '+酒店不错，市区到哪儿都方便，房间也很整洁，设计简约现代，性价比较高。', '短评打分': 3}
{'短评内容': '+新酒店房间很干净，装修也很时尚，唯一问题就是整个卫生间都是玻璃的，如果有朋友来访，上卫生间会很不方便，改成磨砂玻璃可能会好些。', '短评打分': 5}
