{'descr': '什么垃圾地方，千万别来住，房间服务那都差', 'star': 3}
{'descr': '房间还可以，洗手盆设计不合理，房间隔音差，晚间外面马路汽车噪音很大。另外，停车不太方便。', 'star': 1}
{'descr': '九点很不卫生，床单是脏的，采光也不好，地板该修修了，感觉服务员态度不好，唯一欣慰的是有配有电脑，下次不会选择住了', 'star': 1}
{'descr': '九点很不卫生，床单是脏的，采光也不好，地板该修修了，感觉服务员态度不好，唯一欣慰的是有配有电脑，下次不会选择住了', 'star': 1}
{'descr': '距离火车站比较远，紧挨着小山服装市场。宾馆内环境不错，挺安静的。附近农行、工行、中行都有。总体说不错', 'star': 5}
{'descr': '位置有点偏,房间尚可', 'star': 3}
{'descr': '房间小，隔音差。我住的时候，电梯还不能用，把那么多行李走楼梯到4楼，多远多累啊。', 'star': 1}
{'descr': '桌子小', 'star': 3}
{'descr': '房间挺温馨，服务还可以，就是电脑桌小了点', 'star': 5}
{'descr': '房间稍微有点小，桌子上放了电视再放电脑有点不够地方，别的一切都还好。', 'star': 5}
{'descr': ' 服务态度超好', 'star': 3}
{'descr': ' 服务态度超好', 'star': 3}
{'descr': '说实话唐山的酒店无论大小都是比较贵的，从网上顶的相对还是比较便宜。酒店在华严路靠近唐山体育馆，前台服务态度较一般，酒店没有电梯，让帮忙拉下行李都不行！房间倒还行，就是卫生间不太干净，很旧。', 'star': 5}
{'descr': '说实话唐山的酒店无论大小都是比较贵的，从网上顶的相对还是比较便宜。酒店在华严路靠近唐山体育馆，前台服务态度较一般，酒店没有电梯，让帮忙拉下行李都不行！房间倒还行，就是卫生间不太干净，很旧。', 'star': 5}
{'descr': '洗漱用品是一次性的，用一下就没了，窗帘太透光了，白天想暗一下都没法，电视频道太少', 'star': 1}
{'descr': '洗漱用品是一次性的，用一下就没了，窗帘太透光了，白天想暗一下都没法，电视频道太少', 'star': 1}
{'descr': '周围交通比较方便，也很热闹，房间比较简单，隔音稍有点差。', 'star': 5}
{'descr': '房间很小，服务一般。', 'star': 3}
{'descr': '我觉得其实还是一般吧 中规中矩的 可是不是很干净的样子 ……', 'star': 1}
{'descr': '我觉得其实还是一般吧 中规中矩的 可是不是很干净的样子 ……', 'star': 1}
{'descr': '要多差有多差！墙壁斑驳到极点，都是苍蝇蚊子尸体！卫生间门坏的！被子脏得。要换还说是被面其实没事！！！！热水一会有一会没有！空调一直30度，屋子依然冷得不行！', 'star': 1}
{'descr': '要多差有多差！墙壁斑驳到极点，都是苍蝇蚊子尸体！卫生间门坏的！被子脏得。要换还说是被面其实没事！！！！热水一会有一会没有！空调一直30度，屋子依然冷得不行！', 'star': 1}
{'descr': '感觉不方便，可能我要去的地方离这里远，还有就是不是好找，还有隔音效果不好！', 'star': 1}
{'descr': '卫生做得好，不吵闹。下次来还会住这里。服务态度比较热情。', 'star': 5}
{'descr': '环境还行，这个价位也就差不多，配套设施挺全，这个价位的算好的', 'star': 3}
{'descr': '环境还行，这个价位也就差不多，配套设施挺全，这个价位的算好的', 'star': 3}
{'descr': ' 差差差，环境差，设备差，服务差，什么都差，没有一个是好的', 'star': 1}
{'descr': ' 差差差，环境差，设备差，服务差，什么都差，没有一个是好的', 'star': 1}
{'descr': '之前的异味情况已经没有了，证明工作人员还是比较负责的，只是这边比较堵 打车过来需要绕，下雨基本上就堵死了。前台两位美女确实负责，也很和气。', 'star': 5}
{'descr': '还可以，价格还算合理，周边吃饭购物挺方便的', 'star': 5}
{'descr': '＋环境很好，很干净。', 'star': 3}
{'descr': '＋环境很好，很干净。', 'star': 3}
{'descr': '好！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '＋满意', 'star': 3}
{'descr': '＋满意', 'star': 3}
{'descr': '酒店很新，比同样价位的快捷酒店要好很多，只是没有电梯，自己提行李去三楼有点累啊。周边环境也不错的。', 'star': 5}
{'descr': '酒店很新，比同样价位的快捷酒店要好很多，只是没有电梯，自己提行李去三楼有点累啊。周边环境也不错的。', 'star': 5}
{'descr': '环境还可以，就是隔音效果不好。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '环境不错', 'star': 3}
{'descr': '环境不错', 'star': 3}
{'descr': '酒店价格还是比较便宜,酒店也比较干净,就是房间的透气和采光度就不怎么好了,一般出差可以住,快捷就是这样来的,呵呵', 'star': 5}
{'descr': '总体感觉来说还行吧，就是空间小了点，唐山的酒店都太贵了，还真受不了，这样的价位如果换在了别的城市，那肯定会好很多的。', 'star': 5}
{'descr': '地理位置不错.去一些公园,商业街都很方便.\n\n房间有些陈旧,空调噪音大,制冷比较缓慢.网络也时好时坏.\n\n总得来说还不错..对了.没有电梯', 'star': 5}
{'descr': '地理位置不错.去一些公园,商业街都很方便.\n\n房间有些陈旧,空调噪音大,制冷比较缓慢.网络也时好时坏.\n\n总得来说还不错..对了.没有电梯', 'star': 5}
{'descr': '酒店位于商业区，周边交通方便，内部设施简单，隔间不好，但个人入住挺合适的，房间空气不太好。', 'star': 5}
{'descr': 'bucuo........................................', 'star': 5}
{'descr': '这个店整体环境还行 值这个价钱 热水很热不错 就是墙是木板的不太隔音 楼梯上下不太方便 还可以  下次来还选择这里', 'star': 5}
{'descr': '环境服务一般，还不能刷卡.连矿泉水都没给准备', 'star': 1}
{'descr': '说实话，实在是很简陋的酒店。没有窗户，不能刷卡，虽然价格便宜，但是我觉得不太舒适。', 'star': 1}
{'descr': '酒店比较干净，价格也较便宜，适合大多数出差人员暂住', 'star': 5}
{'descr': '房间特别小，条件很不好，连窗户都没有，空间只能容下睡觉，最好别去', 'star': 1}
{'descr': '唐山怡家快捷酒店是我住过最糟糕的酒店，没有电梯，晚上蚊子能吃人，房间床铺潮湿的就像刚洗过似的，卫生间的排风机打开之后声音就像拖拉机，等等不尽人意之处举不胜举。个人认为该酒店的管理有问题，举个例子，服务员见到客人打个招呼，问个你好总不为过吧，可是这边服务员就像傻子似的呆呼呼的连看都不看一眼，前台服务员也冷面相待，总之本人以后没有特殊情况不会再选择该酒店的', 'star': 1}
{'descr': '唐山怡家快捷酒店是我住过最糟糕的酒店，没有电梯，晚上蚊子能吃人，房间床铺潮湿的就像刚洗过似的，卫生间的排风机打开之后声音就像拖拉机，等等不尽人意之处举不胜举。个人认为该酒店的管理有问题，举个例子，服务员见到客人打个招呼，问个你好总不为过吧，可是这边服务员就像傻子似的呆呼呼的连看都不看一眼，前台服务员也冷面相待，总之本人以后没有特殊情况不会再选择该酒店的', 'star': 1}
{'descr': '这家酒店即便宜又干净，我很喜欢，所以我以后还会住，也会介绍我的朋友来住。', 'star': 5}
{'descr': '卫生一塌糊涂！我真的对唐山的快捷酒店无语了', 'star': 1}
{'descr': '卫生一塌糊涂！我真的对唐山的快捷酒店无语了', 'star': 1}
{'descr': '干净', 'star': 3}
{'descr': '挺好价格挺便宜的但水的现烧', 'star': 3}
{'descr': '不怎么样，隔音也不怎么样。', 'star': 3}
{'descr': '酒店周围交通饮食娱乐比较方便 ,房间内卫生比较整洁干净,网速有点慢', 'star': 3}
{'descr': '＋位置很好找，酒店环境也不错', 'star': 3}
{'descr': '非常满意', 'star': 3}
{'descr': '空间太小！价格偏高！周围蛮热闹的！由于晚退房1小时还加收了半天房费，气！！！', 'star': 1}
