{'短评内容': '卫生间很干净，设施完善', '短评打分': 5}
{'短评内容': '去香港两日住了两家酒店，价格差不多，但差距就差太远了。\n逸兰精品酒店小巧而温馨，服务也很好，会再次入住，就连信用卡预付还款都非常快！推荐！\n\n另外一家，真是不敢恭维，不会再去了。', '短评打分': 5}
{'短评内容': '非常棒的家庭式精品酒店，适合喜欢居家旅行的夫妇（因为可以自己在房间里做饭，全套英国式厨房，不过房间相对较小，同样价格可以住很多HONGKONG的五星级酒店，不过我们第一次住还是觉得非常棒，忘记了房间内还有IPOD基站和DVD播放器（可以问酒店租DVD片），还有免费的INTERNET提供（不过我们是通过朋友预定免费升级的豪华房才提供），普通房不知道有没有。', '短评打分': 5}
{'短评内容': '整体来说不错，该酒店距离时代广场不远，但由于所处区域为单行道汇合处，所以标志不显眼，对第一次入住的客人来说，找起来有困难。房间不错，比较干净，有各种炊具，可以自己动手，对自助游的客人来说，很有帮助。可能房间隔音效果差一点，或者是隔壁客人的鼾声太响，能隐约听到一些，但不至于影响睡眠。窗帘关起来比较费劲，没有自动按钮，或者是我没有找到。', '短评打分': 5}
{'短评内容': '很干净，服务也很好，位置也还是不错，距离时代广场和崇光百货只有2分钟的路程。而且楼下的品牌店也很多。', '短评打分': 5}
{'短评内容': '酒店位置和内部布置都很舒服，下次去香港还会订这里。', '短评打分': 5}
{'短评内容': '非常好的服务，非常好的设施，唯一缺点就是离地铁站远了一点。', '短评打分': 5}
{'短评内容': '有点难找。不过后来熟悉了路，就发现离铜锣湾地铁站也不是太远。\n感觉还可以。', '短评打分': 5}
{'短评内容': '铜锣湾F出口，大概走路十分钟左右就可以到了。 酒店很雅致。房间也挺大的，还配有开放式厨房，可以煮东西吃。床很舒服。', '短评打分': 5}
{'短评内容': '非常漂亮的酒店！房间还有厨房！而且周边风景也漂亮！赞！', '短评打分': 3}
{'短评内容': '非常好的酒店！有厨房，可以自己做饭！ 只是价位高了点！', '短评打分': 5}
