{'短评内容': '小套 一 改装的， 就 2个床。。不是 很干净的样子， 楼道很阴森。。', '短评打分': 3}
{'短评内容': '水温问题，时好时坏！水温问题，时好时坏！水温问题，时好时坏！水温问题，时好时坏！水温问题，时好时坏！水温问题，时好时坏！水温问题，时好时坏！水温问题，时好时坏！水温问题，时好时坏！水温问题，时好时坏！水温问题，时好时坏！水温问题，时好时坏！水温问题，时好时坏！水温问题，时好时坏！水温问题，时好时坏！水温问题，时好时坏！', '短评打分': 5}
{'短评内容': '房间较小。但床单很干净，可能是我们居住的房间位子没对，没有看到夜间。\n还有早上得时候，很容易被惊醒，楼道的其他客人，关门声惊醒。。', '短评打分': 5}
{'短评内容': '位置还行，价位很低，卫生一般，门半天刷不开\n\n', '短评打分': 5}
{'短评内容': '\u3000整体条件不好\u3000卫生条件很差\u3000放半天都没得热水\u3000请人上来修差不多又修了一个小时……\u3000反正住的很郁闷……', '短评打分': 3}
{'短评内容': '酒店环境不是很好，不过周边商业挺方便的。', '短评打分': 3}
{'短评内容': '酒店一般，但是交通很方便，初次到成都的朋友，从这游成都或是到成都周边游玩都很方便的！', '短评打分': 5}
{'短评内容': '一般    有点不象酒店       。。。。。', '短评打分': 5}
{'短评内容': '很好~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '环境还好  就是洗澡时冷热水调节有点费事   经济', '短评打分': 3}
{'短评内容': '这次还OK吧。这次还OK吧。这次还OK吧。这次还OK吧。这次还OK吧。', '短评打分': 5}
{'短评内容': '位置在中心。比较好找，去哪里都方便。设施一般，卫生还可以。要求不高的话是不错的选择。', '短评打分': 1}
{'短评内容': '位置不错，交通方便，离汽车站不远，价格也很划算，', '短评打分': 5}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '后悔一辈子的酒店，没住过这么差的酒店。这么说吧，相当于乡镇级别20元一晚的那种，连个门禁都搞了10多分钟才能打开。里面的装修好像有10年历史，根本不是正规酒店，居然2星级，郁闷死了。', '短评打分': 1}
{'短评内容': ':不错,下次还住', '短评打分': 3}
{'短评内容': '套房还不错...套房还不错...套房还不错...套房还不错...套房还不错...套房还不错...套房还不错...套房还不错...套房还不错...套房还不错...套房还不错...套房还不错...', '短评打分': 5}
{'短评内容': '停车方便.地理位置好.总体可以', '短评打分': 3}
{'短评内容': '不怎么样，性价比低，和这个价格不值，房间干净度一般，而且设计不好，应该是租得别的房子改得宾馆，比较好的就是地方挺好找。', '短评打分': 1}
{'短评内容': '条件差面积小……', '短评打分': 3}
{'短评内容': '房间还可以、就是房卡不好使、打不开门', '短评打分': 3}
{'短评内容': '退房比较缓慢,其他还可以吧.退房比较缓慢,其他还可以吧.退房比较缓慢,其他还可以吧退房比较缓慢,其他还可以吧..', '短评打分': 5}
{'短评内容': '今次酒店里宽带插好了用不上,不知何故?其它都还好!', '短评打分': 5}
{'短评内容': '网络比较差，住的高了信号不好，老断线。房间嘛，还算过的去，比叫大，小套房。', '短评打分': 5}
{'短评内容': '硬件不行，空调下摆掉了，居然不修，半夜还见到老鼠。不可思议，还有这样宾馆', '短评打分': 1}
{'短评内容': '酒店还可以 价格在同类档次酒店中很实惠了 位置交通也很方便 但我住的那件空调声音有点大', '短评打分': 5}
{'短评内容': '环境一般。住的是套房，能睡下一家大小五六个人。离春熙路步行街很近，吃完晚饭走过去可以当散步。就是楼下电梯间一股的海鲜腥味，在等电梯的时候很难受。', '短评打分': 5}
{'短评内容': '只能用后悔来形容了，酒店位置确实不错，价格也不错，但那卫生条件。。。。。设施简陋，都不敢再在网上订酒店了，都得了恐惧症了。不是已经交了钱我转身就会走，感觉也不安全，一层楼几个房间，服务员也没有，晚上一家人挤在一张床上睡（主要是家人害怕）！！！反正我这辈子都不会住那家酒店了，不推荐', '短评打分': 1}
{'短评内容': '落脚歇息还不错，停车方便是亮点', '短评打分': 3}
{'短评内容': '感觉不是很理想，入住环境较差，空间较小，前台服务较差', '短评打分': 3}
{'短评内容': '该酒店的沿街柜面很不显眼，房间分布在大楼不同的楼层住房里面，要重新走出店面再到右边3米处进楼坐电梯，没有直达，较难找。找房间时，过道就是居民楼的，乌漆抹黑。酒店设施很陈旧，和楼里其它80块钱左右小旅馆差不多，感觉很差，就象是住宿舍（黑店），家具好像都是别的宾馆淘汰下来的。强烈不建议住它那里！！！', '短评打分': 1}
{'短评内容': '订的是两晚上，145元/晚。可因为老公临时有事，我们只住了一晚上，第二天下午2点后去退的房。前台收了我们218元（这正是标价牌上的普通单间价格），不知道是前台按标价收的费呢还是因为退房超过12点多收了一半房价？我想问清楚，老公没让问。应该是后者吧。至于房间设施嘛，那个价位那个地段可能也只能住那样的房间了。算是将就了吧。', '短评打分': 5}
{'短评内容': '位置好 ，楼层高 安静。面积有点小，房间网线短了点。没地方。卫生间的细节之处没装修包装好', '短评打分': 5}
{'短评内容': '虽地段靠近市中心，双但人房间太小，不像专业酒店，有些失望', '短评打分': 1}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '没住过这间酒店，本来都付了保证金的，结果十二点多下飞机去到那里竟然没有房了，还好那里的经理安排我们住到另一间新开的酒店去了。走了好远，新酒店里面的味道重得要命。总之与这酒店发生很多不愉快的事情了。', '短评打分': 1}
{'短评内容': ' 市中心 交通方便。', '短评打分': 3}
{'短评内容': '酒店设施很陈旧·房间太小了·住着很压抑·电梯也很难等·早知道还是该住如家·', '短评打分': 1}
{'短评内容': '该酒店的柜面很显眼，但是房间确实分布在楼层不同的房间里面，电梯一般不会直达，很难找到。房间里面基本陈设还可以，但是因为电梯的关系，不是很方便。', '短评打分': 1}
{'短评内容': '还好,房间小了点.另外浴室应该设置塑料凉拖.', '短评打分': 5}
{'短评内容': '感觉较好，价格合适，推荐旅游的朋友入住！', '短评打分': 5}
{'短评内容': '住宅改编的，不大不过还算舒服，就是水冷了点', '短评打分': 3}
{'短评内容': '原定普通标间，到店后改为套间A，成功入住。', '短评打分': 3}
{'短评内容': '感觉很差，就是宿舍的简单装修，和80块钱左右小旅馆差不多，家具好像都是别的宾馆淘汰下来的。是所住过的这个价位的最差的了，感觉很不值。只是位置好，如果不是晚上特别晚到，不建议住那儿。', '短评打分': 1}
{'短评内容': '热水放出来一会就没有了，也不知道热水器有什么毛病，空调扎扎的响，都不敢开怕爆，一晚上没怎么睡着，屋外的噪音太大了，唯一好的就是隔机场大巴比较近', '短评打分': 1}
{'短评内容': ' 感觉一般，不如交通饭店', '短评打分': 3}
{'短评内容': '这次入住没有上次的热水问题了,但又出现新一个问题:网速太慢,而且不是一般化的慢.\n连打开网页都十分困难.不晓得下一次这个问题会不会解决?', '短评打分': 5}
{'短评内容': '很好 的服务！在继续坚持！希望让我们感觉到象家一样 ，就更好了！！！', '短评打分': 5}
{'短评内容': '热水有问题,当晚淋浴出的全是冷水!希望下次能改善!', '短评打分': 5}
{'短评内容': '以前的单间宿舍改的，还有个厨房，不太喜欢。不过也算值这个价吧', '短评打分': 3}
{'短评内容': '位置极佳，房间宽敞。但是房间设施比较陈旧。', '短评打分': 3}
{'短评内容': '地处市中心，交通极其方便。唯一美中不足的是浴室没有塑料拖鞋，极其容易滑倒', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '地理位置很好，紧邻成都春熙路、盐市口等地，而且性价比很高，适合中等消费的人群，比较划算.', '短评打分': 5}
{'短评内容': '房间不大，但是挺干净，设施也还好，价格不算贵，住的挺划算。', '短评打分': 5}
{'短评内容': '酒店临着春熙路，位置非常好交通出行很方便，而且服务也不错.', '短评打分': 5}
{'短评内容': '服务挺好，有求必应，卫生打扫也挺及时，房间挺宽敞挺舒适的。', '短评打分': 5}
{'短评内容': '服务态度挺好，房间干净卫生，位置不错，出行交通便利。', '短评打分': 3}
{'短评内容': '位置很好，离春熙路很近，吃饭购物很方便，价格也挺合理的。', '短评打分': 3}
{'短评内容': '酒店服务人员很热情，每天都会帮助打扫，挺周到的.有需要帮助时说声就到，办事效率快.', '短评打分': 5}
{'短评内容': '设施挺好挺齐全，价格挺便宜的，住的挺划算。', '短评打分': 3}
{'短评内容': '周边吃饭挺方便的，房间挺干净，隔音效果也不错，晚上休息的挺好。', '短评打分': 5}
{'短评内容': '繁华地段，交通很便利，环境还是很安静的，就是卫生情况很一般有待提高.', '短评打分': 5}
