{'descr': '有点亏。房间还不隔音。', 'star': 5}
{'descr': '酒店还算干净，服务态度较好，就是房间窗户太小，早餐品种太少…  还有以前能消费30元优惠券，现在只能用15元，变相涨价…', 'star': 5}
{'descr': '主要是价格低 因为没窗户所以房间有点闷 总体来说不错', 'star': 5}
{'descr': '酒店总的来说还可以，就是窗户太小，早餐品种太少…', 'star': 3}
{'descr': ' 华庭快捷酒店鲁谷店，交通便利，内部整洁，服务算可以，周边缺少用餐环境好的餐馆。', 'star': 3}
{'descr': '热水器不好用，环境还可以，价格也可以，服务上可，硬件差些！。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '位置可以，服务挺好；有免费的早餐，挺干净，只是不要误了点，过了9点以后，就没有了；房间隔音效果不好，车不太好打；有机会还会在入住。', 'star': 5}
{'descr': '不错的连锁酒店，价位偏低，环境卫生好，早餐也不错，最重要的是交通便利，离北京西站乘公交才15分钟的路程。在去北京我还选它。', 'star': 5}
{'descr': '服务很好，还有自助早餐，房间也比较宽敞。电视是液晶的', 'star': 5}
{'descr': '服务比较满意，已经评过。但服务确实还应该加强，没有吹风机，毛巾被单也不经常更换。隔音不好恐怕是最让人不满意的，是那种隔板墙。或许这种价格在北京只能这样？', 'star': 5}
{'descr': '服务还可以，关键是万达广场附近找不到其他便宜的连锁酒店。酒店隔音效果很差，窗子很小或没有，没有免费的茶叶、水等...', 'star': 5}
{'descr': '服务还可以，关键是万达广场附近找不到其他便宜的连锁酒店。酒店隔音效果很差，窗子很小或没有，没有免费的茶叶、水等...', 'star': 5}
{'descr': '入住酒店还好，服务也不错，地方也好找，和西站也较近，还会入住的。', 'star': 5}
{'descr': '入住酒店还好，服务也不错，地方也好找，和西站也较近，还会入住的。', 'star': 5}
{'descr': '服务还不错,总的卫生也还可以的.不过就是被子和枕巾上留有污汁,看上去没洗干净,服务员告知那个是干净的,时间长了,洗不掉了.不过对我们旅客来说这样的被枕用起来很不舒服....', 'star': 5}
{'descr': '服务还不错,总的卫生也还可以的.不过就是被子和枕巾上留有污汁,看上去没洗干净,服务员告知那个是干净的,时间长了,洗不掉了.不过对我们旅客来说这样的被枕用起来很不舒服....', 'star': 5}
{'descr': '环境不错 下次还会去 出门也方便  进店感觉就不错 服务人员态度很好 会向朋友推荐', 'star': 5}
{'descr': '环境不错 下次还会去 出门也方便  进店感觉就不错 服务人员态度很好 会向朋友推荐', 'star': 5}
