{'descr': '还可以吧，出差的话，比较干净、安静。', 'star': 4}
{'descr': '环境不怎样，还很吵，只是市中心的出路比较方便而已~', 'star': 1}
{'descr': '酒店舒适,交通比较方便，价格适中，周边环境整洁。', 'star': 5}
{'descr': '服务温馨，位置方便，接待热情，舒适干净，值得推荐。', 'star': 5}
{'descr': '如家是我喜欢住的快捷酒店，但是这次预定的离我要去的地方稍远了些，下次订酒店时，要看好距离。', 'star': 5}
{'descr': '帮朋友订的，朋友讲离办事点近，房间干净！不错！', 'star': 5}
{'descr': '上海的酒店房间本来就小，但是这个价格有点贵', 'star': 1}
{'descr': '酒店很好的，卫生间的干净程度基本上可以与四星级酒店媲美。', 'star': 5}
{'descr': '环境干净整洁，酒店所处地段距徐家汇步行只需十分钟。整体不错，服务员很热情的。', 'star': 3}
{'descr': '环境不错，地段也不错，交通蛮方便的。。。', 'star': 5}
{'descr': '地点还好离办事的地方比较紧，交通还好但地铁不很方便，房间小，不如motel', 'star': 1}
{'descr': '地点位置不错，交通方便。\n房间方面，保持如家的一贯水准，服务不错。', 'star': 5}
{'descr': '就是房间有点小，卫生巾挺大，其他都还好!', 'star': 5}
{'descr': '跟其它地方如家差不多，交通还算方便。有点感觉房间的空气不流通。', 'star': 5}
{'descr': '交通方便，环境还是比较安静，周边设施也比较完善', 'star': 5}
{'descr': '酒店干净卫生，地理位置很好，酒店服务人员也很好，还可以免费停车，就是房间价格有点偏贵，不过下次还会入住。', 'star': 5}
{'descr': '酒店干净服务好\n', 'star': 3}
{'descr': '位置不错，就是房间太小\n\n位置不错，就是房间太小\n\n\n\n\n', 'star': 5}
{'descr': '经济性酒店，干净整洁，总体还是不错的，离徐家汇商业中心很近，很方便。', 'star': 5}
{'descr': '房间还行，价格还算经济的', 'star': 3}
{'descr': '环境很不错！出差经常选择如家的，服务没话会所', 'star': 5}
{'descr': '酒店服务很好，房间干净整洁，位置也很好，如果想到徐家汇商业街逛很方便，价格偏贵.', 'star': 5}
{'descr': '感觉还行，经济实惠', 'star': 3}
{'descr': '酒店里面很干净，可能市装修不久，很新，房间也不错。', 'star': 5}
{'descr': '酒店位置不错，房间干净整洁卫生，挺舒服的，', 'star': 5}
{'descr': '房间不错，大床，一个人住足够了，就是晚上外面有点吵。', 'star': 5}
{'descr': '很方便，离要去办事的地方很近。临近繁华商圈，挺好的。', 'star': 5}
{'descr': '房间挺干净，就是预订的特惠房间无法挑房，只能安排1楼前台旁边的房间。晚上非常吵。', 'star': 5}
{'descr': '位置很好，距离太平洋百货商圈400米，小吃去天钥桥路也非常近，住的是一楼的房间，一贯的干净卫生，但是房间隔音好像是如家的软肋，门开关声音也大，服务热情，如果是去徐家汇购物，推荐这个，性价比高，实惠，早餐15一位，品种不多。', 'star': 5}
{'descr': '设施、条件都还行，就是性价比不是太高。。。。', 'star': 5}
{'descr': '交通很方便，吃饭也比较方便，房间比较小，相对说来价格比较高', 'star': 5}
{'descr': '保留时间是下午六点，但来晚了，还好酒店又帮忙安排的临近另一家如家，还不错啦', 'star': 5}
{'descr': '穿过徐家汇公园就到徐家汇的中心港汇、汇金、美罗城了，还是蛮方便的。', 'star': 5}
{'descr': '交通很方便，吃饭也比较方便，房间比较小，相对说来价格比较高', 'star': 5}
{'descr': '这家酒店的服务满意，因为我飞机晚点入住时间超出预定时间，我电话和他们联系态度很好帮我延迟入住时间，这样我就不用很赶。到达后很顺利入住。谢谢超好的服务。', 'star': 5}
{'descr': '蛮干净的\n附近的交通也很便利\n下回出差培训应该还会选这家的', 'star': 5}
{'descr': '好极了，环境好，网速快 ，服务人员的态度也好，', 'star': 5}
{'descr': '位置还行，房间小，早餐简陋，价格贵，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，', 'star': 1}
{'descr': '酒店服务很好，就是房间很小，离地铁口很远！', 'star': 3}
{'descr': '价格有些高，房间小。不过这次借到长的网线。', 'star': 1}
{'descr': '稍贵，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，', 'star': 5}
{'descr': '酒店服务人员很礼貌，房间卫生还不错，唯一的不足就是房间好小，可能特惠房就这样！', 'star': 5}
{'descr': '酒店服务人员很礼貌，房间卫生还不错，唯一的不足就是房间好小，可能特惠房就这样！', 'star': 5}
{'descr': '环境还好，就是房间好小好小。', 'star': 3}
{'descr': '房间很小，但有网络电视看，早餐还可以。位置不错，很方便。aaaaaaaaaaaaaaaaaaaaaaaa', 'star': 5}
{'descr': '不错，我办事的地方很近、很方便。。。。。。。。不错，我办事的地方很近、很方便。。。。。。。。不错，我办事的地方很近、很方便。。。。。。。。不错，我办事的地方很近、很方便。。。。。。。。不错，我办事的地方很近、很方便。。。。。。。。不错，我办事的地方很近、很方便。。。。。。。。不错，我办事的地方很近、很方便。。。。。。。。不错，我办事的地方很近、很方便。。。。。。。。不错，我办事的地方很近、很方便。', 'star': 5}
{'descr': '不错，我办事的地方很近、很方便。。。。。。。。。。', 'star': 5}
{'descr': '不错，我办事的地方很近、很方便。。。。。。。。。。', 'star': 5}
{'descr': '就像每个如家一样性价比很好，主要是住这里我办事方便', 'star': 5}
{'descr': '一般般啦，就是住1个晚上而已，上海酒店贵', 'star': 5}
{'descr': '地段好，交通方便，比较干净。。。。。。。。。。。。。', 'star': 5}
{'descr': '每次住都来这里，很好很舒服。酒店房间干净，推荐入住。\n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '房间还蛮好的，交通也便利，下次有朋友还会去那里住', 'star': 5}
{'descr': '这种连锁型的宾馆很不错，硬件方面虽然不是最好，但服务标准还是比较高的。', 'star': 5}
{'descr': '感觉不错 离美罗城很近  走路过去不到10分钟  工作人员比较热心', 'star': 5}
{'descr': '一般般啦，就是住1个晚上而已，上海酒店贵', 'star': 5}
{'descr': '酒店很干净，比较方便。', 'star': 3}
{'descr': '虽然交通不是很方便但是环境还是不错的早餐也比较好吃下次介绍朋友去', 'star': 5}
{'descr': '好okokokokokokokokokokokok', 'star': 5}
{'descr': '酒店的地理位置和条件都不错,挺干净的.本次入住唯一不好的一点就是网上显示预约成功,到店时候居然说没有预约上,费了一番周折', 'star': 5}
{'descr': '地点不错，环境卫生，距离徐家汇商业中心5分钟步行', 'star': 5}
{'descr': '已入住', 'star': 3}
{'descr': '整体清洁卫生，设施维护良好\n早餐也还可以', 'star': 5}
{'descr': '经济实惠，离徐家汇比较近,办事比较方便。', 'star': 5}
{'descr': '处于徐家汇商圈，闹中取静，在这个地段能有这样价格的酒店挺值了。', 'star': 5}
{'descr': '还不错。', 'star': 3}
{'descr': '好', 'star': 3}
{'descr': '环境舒适服务周到，早餐供应数量还需改进！', 'star': 3}
{'descr': '信价比很高的酒店，自己在网上搜到的，离徐家汇很近，交通方便。下次还会选择的', 'star': 5}
{'descr': '离商业中心远了点,条件还不错,干净,设施齐全.', 'star': 5}
{'descr': '帮朋友定的，据说还行，就是位置好.  早餐马马虎虎', 'star': 5}
{'descr': '房间宽敞，很新，还不错，值得推荐。没有住过的可以试试。', 'star': 5}
{'descr': '住的很舒服，交通很方便，价格也挺实惠的，以后有机会，我还会去住的', 'star': 5}
{'descr': '酒店很新，房间比较大，价格能便宜点更好了', 'star': 5}
{'descr': '房间隔音差，和隔壁房间之间的墙都是板做的。房间太小，厕所排水太吵。', 'star': 1}
{'descr': '交通很便利，前台服务很好，住的商务房，房间也蛮大的', 'star': 5}
{'descr': '房间真的很小，但是位置不错，价格稍有偏贵', 'star': 5}
{'descr': '位置交通比较，装修很新，也很安静，相当不错', 'star': 5}
{'descr': '位置不错，交通便利，周边也有不错的小饭馆，值得一去。', 'star': 5}
{'descr': '如家的服务确实是好的，服务员都非常有亲和力。', 'star': 5}
{'descr': '可以，如家快捷，全中国都是这个样子，住住还成，算是市中心', 'star': 5}
{'descr': '服务不错，好', 'star': 3}
{'descr': '住的普通大床房，离地铁口步行大约15分钟左右。', 'star': 3}
{'descr': ',满干净的,就是早餐一般', 'star': 3}
{'descr': '还不错，房间不错！！！！\n就是早餐还需要改进！！！！', 'star': 5}
{'descr': '还可以 ', 'star': 5}
{'descr': '还凑合~~~~世博会期间，价格还是有点贵~~~其他合一般的如家快捷没有两样', 'star': 5}
{'descr': '位置好，离中山医院近，价格合适，适合看病人士居住', 'star': 5}
{'descr': '+位置不错交通很方便 服务员态度也很好', 'star': 5}
{'descr': '服务啊，房间舒适度什么的都很好，就一点不是很满意，房间有点小，价格高了些，相比来说性价比就降下来了。', 'star': 5}
{'descr': '服务好，房间真像家里一样。没什么好挑剔的。就晚上有人出入吵了一点。下次还会住这边。', 'star': 5}
{'descr': '很满意', 'star': 5}
{'descr': '＋还不错', 'star': 5}
{'descr': '酒店还是不错的 就是位置稍微有一点点偏 不过在徐家汇能有这样的位置已经算是不错了 离港汇很近 逛街蛮方便的', 'star': 5}
{'descr': '服务不错,交通也方便', 'star': 5}
{'descr': '酒店位于徐家汇商圈但是闹中取静步行可达地铁徐家汇站和家乐福', 'star': 3}
{'descr': '酒店位于徐家汇商圈但是闹中取静步行可达地铁徐家汇站和家乐福', 'star': 5}
{'descr': '酒店不错，就是在世博期间，价格贵了点。早餐不错，15元1人，有我喜欢的油条豆浆。', 'star': 5}
{'descr': '去世博很方便，下了地铁就是入园门口；坐地铁到机场也很方便，出站就是航站楼，免去堵车的麻烦。', 'star': 5}
{'descr': '挺不错的，交通方便，价格实惠！', 'star': 5}
{'descr': '还可以吧，房间小点', 'star': 5}
{'descr': '都不错，但是就是房间小了，比较局促', 'star': 5}
{'descr': '办理手续的小伙服务很好，酒店安静舒适．', 'star': 5}
{'descr': '因事情没有办完，想续住一晚，酒店说不行，必须退房。但是等我在酒店大堂等待退房的时候，我听到别的客人和酒店人员因为入住问题吵架，原来是酒店为了给不能按时退房的外宾继续留房，而让提前一个月预定的中国客人没房住，经过这位客人争取酒店才把这个客人送到火车站的酒店。酒店爱护国际友人无可厚非，可是对于我们这样的中国客人态度和服务就不能稍微好点呢？对于酒店坚决要我退房时的态度很不满。', 'star': 3}
{'descr': '入住的是商务大床房，但是比起以前住的如家同类型房间要小很多，而且设施很简单，房间打扫不是很彻底，打扫以后床单上还有本人的头发，不满意，所以要工作人员换床单，她们反问我是什么原因，我没好意思直接说明，就说你就帮我换一下好了，换完以后她很是不高兴的说可以了吗，还有什么要求吗，我说没有了。\r\n酒店应该对房间卫生格外注意，尤其是我们连续入住的应该跟只住一晚的一视同仁，不是说一定要更换床单，但是最起码也要把', 'star': 5}
{'descr': '出行很方便，离地铁1号和9号线很近。', 'star': 5}
{'descr': '性价比不高', 'star': 1}
{'descr': '地理位置很好，大堂服务比较到位，咨询问题回答情况是有些服务生很好，个别人业务和周边环境不熟，指出的搭车出行路线不清晰。建议如家多招聘当地人做服务生，更好的提供服务。', 'star': 5}
{'descr': '各方面都比来之前想的要好！下次来上海应该还会住这里！', 'star': 5}
{'descr': '温馨舒适的如家，房间不大但五脏俱全，热水充足。前台和打扫房间的阿姨都很和气，尤其是阿姨，总是很热情。地理位置不错，所处宛平南路很安静，但拐过弯去走不多远就是繁华的徐汇区，餐饮购物交通都算比较方便，推荐。', 'star': 5}
{'descr': '这样的位置，这样的价格，设施也不期待了，性价比可以的。。', 'star': 5}
{'descr': '没有茶叶，出门后也不怎么整理房间，感觉很一般', 'star': 1}
{'descr': '不错～以后还会入住的', 'star': 5}
{'descr': 'fuwuhao,verygood', 'star': 5}
{'descr': '地理位置不错，7，9号线很近', 'star': 5}
{'descr': '房间太吵！隔音太差！', 'star': 1}
{'descr': '很好。', 'star': 5}
{'descr': '该酒店还是中午12点退房 不管你昨天是几点入住的 和前台讲讲 有可能推迟到1pm', 'star': 5}
{'descr': 'OK\r\n', 'star': 5}
{'descr': '不错的住宿地，可以推荐', 'star': 5}
{'descr': '干净,会继续安排朋友入住', 'star': 5}
{'descr': '房间不错，很新，下次再光顾', 'star': 3}
{'descr': '因为是新装修的旅店，环境很不错，房间也很舒适，不过在人性化设施上需加强，可增加各类硬件，例如：剃须刀、矿水等', 'star': 5}
{'descr': '该酒店位置很好，很方便，不管是购物还是餐饮。', 'star': 5}
{'descr': '新\r\n交通還算方便', 'star': 3}
{'descr': '新店\r\n還不錯', 'star': 5}
