{'短评内容': 'very good。。。。。。', '短评打分': 5}
{'短评内容': ' 服务很好，交通便利，房价也比较适中，就是房间太小了', '短评打分': 5}
{'短评内容': '环境比较差！', '短评打分': 3}
{'短评内容': '服务挺好，就是停车有点不是太好，整体可以。', '短评打分': 5}
{'短评内容': '在这个价格的酒店中，这个环境还可以，就是地理位置偏僻了点', '短评打分': 3}
{'短评内容': '1. 广交会期间价格提高不少，但是附赠早餐，而且早餐还不错！所以还是可以接受的。\n\n2. 停车位不错，有大门锁上晚上。很放心。\n\n3. 房间设施齐全，有吹风机。\n\n4. 服务态度不错。\n\n总的来说适合节省型人士使用。', '短评打分': 5}
{'短评内容': '离地铁站远些,但服务态度很好', '短评打分': 3}
{'短评内容': '洗手间卫生十分差，还有上一个客人洗漱的遗留包装；床很短，蜷缩睡睡得很痛苦。酒店看上去外表很高档，内里却有点破败的感觉，是住过最差的经济型酒店。', '短评打分': 1}
{'短评内容': '1. 酒店交通方便，门口就有交通大厦站公交车站。\n2. 自驾车住店没有地方停车！要到点很早才可能有位置停。\n3. 房间打扫干净，比什么微八，七天那些好多了！\n4. 床单看上去很温馨。。。你们懂的。。。。\n5. 床睡上去可以感觉到弹簧的存在！！证明厂家没有偷工减料！\n6. 服务员服务没有神马热情，酒店内部感觉很黑暗。。。。\n7. 保持138元的特价的话还是很推荐入住的。可惜没有免费国内长途电话和市话', '短评打分': 5}
{'短评内容': '总体来说不错的、交通方便。。。不过就是觉得早餐对于我来说没用的，但又不能取消早餐的钱', '短评打分': 5}
{'短评内容': '酒店卫生干净，装修不错，很温馨，服务员态度也很好，有免费网络，就是洗澡时花洒的水量很小，怎么也调不到，望改善！', '短评打分': 3}
{'短评内容': '那天找了很久，找到才发现就在交通大夏旁边，交通很方便，可是不知道的时候，走了很多冤枉路，希望商家备注出来在交通大厦旁边。房间很好，很给力', '短评打分': 5}
{'短评内容': '被子都没换，投诉给服务员态度还不好。酒店房间的沐浴液和洗发的是用同一种东西。下次再也不想住这个酒店了', '短评打分': 1}
{'短评内容': '房间的空调位置不好，对着头吹啊！而且房间太小了，床好像很短似得，其他的还好，态度很一般，做事情特别慢', '短评打分': 5}
{'短评内容': '很好,整洁卫生,虽然床垫好象用的比较久,不过还可以接受,如果能换新的就更好了,这就是我的点评,现在字数够了吧,还不够啊,现在呢,现在应该就够了吧', '短评打分': 5}
{'短评内容': '酒店的位置还不错，交通方便，特价房是木有对外窗户的，不过大小还行，卫生情况中等', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '价钱对得住环境吧、但是房间里面的热水壶貌似坏了、打算冲一杯龙井茶都不行呢...冲凉房的热水调节貌似也坏了、调不了的。牙膏刷完跟没刷一个鸟样。。。电灯的开关按钮比较非主流、方向不统一', '短评打分': 5}
{'短评内容': '很好，下次再入住……', '短评打分': 3}
{'短评内容': '很好,干净整洁,就是房子偏小了一点,洗头水跟沐浴露是二合一的', '短评打分': 5}
{'短评内容': '还行吧，就是那床板有点崎岖。其他的都还行', '短评打分': 5}
{'短评内容': '我不知道是我当晚住的房差，还是其它房间也一样。我一进房间就闻到一股霉味，扑鼻而来，房间的凳子脏得很。我所住的那间房靠近公路边，房间隔音很差，感觉就睡在马路旁边。房间的空调还滴水，一整晚听着滴打滴打的，受不了。不知道是不是我要求太高了，还是酒店真的有问题，总之198RMB住这样的房，让我很不爽。', '短评打分': 1}
{'短评内容': '环境不错、价格优惠、已经第4次入住了，值得推荐', '短评打分': 5}
{'短评内容': '价位有点高，离地铁站有点远，但交通还是方便的，环境还是可能的', '短评打分': 5}
{'短评内容': '入住感觉还可以，就是离地铁站的距离有点远，附近的交通还是方便的', '短评打分': 5}
{'短评内容': '该酒店地理位置佳，交通方便，但房间太小，住起较压抑', '短评打分': 5}
{'短评内容': '比较近，方便办事。环境还可以，就是附近噪音有点影响。', '短评打分': 5}
{'短评内容': '总体感觉很好,交通方便.也很好找,酒店内比较安静.', '短评打分': 5}
{'短评内容': '床上能够感觉到弹簧，床该换了。望在这方面有所改进。', '短评打分': 5}
{'短评内容': '特价房很小，隔音也不好，挺干净的，装修有点旧。', '短评打分': 3}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '一般。电视机该换新的了，床也有点不舒服。', '短评打分': 5}
{'短评内容': '还可以！！不是很嘈', '短评打分': 3}
{'短评内容': '环境不错，价格合理，。。。。。。。。。。。服务员热情', '短评打分': 5}
{'短评内容': 'nice hotel. not bad. but the rooms close to the street are with too much noise from the cars on the street. use better noise-prevence -glasses in the windows  please!', '短评打分': 5}
{'短评内容': ' 也太小了吧！我算见识到了，', '短评打分': 3}
{'短评内容': '服务很好，就是噪音大。早点一般。没有停车位。', '短评打分': 3}
{'短评内容': '晚上很吵', '短评打分': 3}
{'短评内容': '就是隔音差了点·经常听到走廊别人的声音·其他都不错··', '短评打分': 5}
{'短评内容': '坐落的离番禺中心的易发街挺远的，不太方便。', '短评打分': 1}
{'短评内容': '房间里的布置和装修还是挺温馨的，但是设施老了点', '短评打分': 1}
{'短评内容': '有时候热水很小，甚至不能达到24小时热水，夏天很麻烦', '短评打分': 1}
{'短评内容': '房间的电话效果不好，强烈建议检修或者更换。', '短评打分': 1}
{'短评内容': '对比同一档次的宾馆，我觉得这一家的价格有点偏高一点了', '短评打分': 1}
{'短评内容': '这家宾馆的网线太短了，客房服务也没有长的备用，挺不方便的', '短评打分': 1}
{'短评内容': '宾馆附近的噪音很大，关了窗户还是一样，晚上睡不太好', '短评打分': 1}
{'短评内容': '这家酒店隔音效果太差了，空调制热也不行。', '短评打分': 1}
{'短评内容': '环境还可以，环境还可以环境还可以环境还可以环境还可以环境还可以', '短评打分': 5}
{'短评内容': '房间比较干净 也比较新  布局好可以  环境不错  而且在那个地方算是比较便宜的   值得推荐', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '房间还可以,床上用品差了点,洗澡水小了点。', '短评打分': 3}
{'短评内容': '价格和房间都还不错。7楼，热水太小，估计是水压不够，住在十楼我真就是无法想象他们如何洗澡了的。隔音效果很差很差！     其它的都还不错～', '短评打分': 5}
{'短评内容': '装修好，干净卫生时尚，房间很精致，但是就是不隔音，有点吵，特别是马路上的车声人声', '短评打分': 5}
{'短评内容': '服务还可以,但条件较差,环境不好,甚至连停车场都没有.', '短评打分': 3}
{'短评内容': '各位\n\n附件是2011年度培训计划，请各位讲师在培训前准备好培训教材。培训时间有所调整，请留意。\n\n贵在执行，希望大家重视。\n\n \n', '短评打分': 5}
{'短评内容': '不好。', '短评打分': 3}
{'短评内容': '房间整洁干净，床虽然小点，但是很舒服，交通方便，门口就是公交车站。略有不足的是被子太薄，我夜里给冻醒几回，空调开了最大不顶用啊，半夜里也懒得喊服务员加被子了。', '短评打分': 5}
{'短评内容': '环境一般，交通比较便利，服务周到，比较卫生干净', '短评打分': 5}
{'短评内容': '服务不错，在广州这个价能住这么档次的也值的', '短评打分': 3}
{'短评内容': '酒店有点设施旧，整体感觉很不爽，除了寄存服务满意，其他的非常不满意，办会员卡可以享受早餐的服务居然在我离开酒店之后才告诉我，早点说明不行吗？而且住了10多天，最后只有4天可以用上券！很生气！', '短评打分': 1}
{'短评内容': '好，方便的交通，齐全的服务。以及待客热情，环境没有问题。', '短评打分': 5}
{'短评内容': '不错哦！嘿嘿！环境好，卫生好！而且幽静，典雅，服务态度好', '短评打分': 5}
{'短评内容': '环境和设施还可以，服务员态度也很好，不过房间小了一点。', '短评打分': 5}
{'短评内容': '不错，环境挺不错，位置方便，一下楼就有停车场', '短评打分': 5}
{'短评内容': '房問整潔, 裝修算好. 地理位置與番禺市橋旺區有点距離. ', '短评打分': 5}
{'短评内容': '很好，只是停车困难', '短评打分': 3}
{'短评内容': '房间很精致，性价比也比较高;交通方便。就是床有些硬，弹簧隐约可以感觉的到，要是用厚点的床点就更好了', '短评打分': 5}
{'短评内容': '房间还不错。蛮干净的。总体上都还好。就是酒店的床不知道是原来就那样，还是坏了。床垫弹簧凹凸不平。睡的很难受。', '短评打分': 5}
{'短评内容': '+房间设施装修太旧了', '短评打分': 5}
{'短评内容': '床太短了，我身高170脚都露在床外面。位置还不错在马路边上，临马路的房间会比较吵。', '短评打分': 5}
{'短评内容': '酒店地理位置非常好，步行十五分钟就可以到步行街，而且交通方便，靠近地铁口，不愧是全国连锁店，环境卫生非常干净', '短评打分': 5}
{'短评内容': '值得推荐的酒店，莫泰168是我出行首选酒店住所，无论是环境、服务、价格，最重要的是酒店的内部设施都非常的舒适！', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '离商业区不远，交通方便，早餐非常好，房间虽小还可以。', '短评打分': 5}
{'短评内容': '服务还行,交通也很方便,附近也有很大的购物街', '短评打分': 3}
{'短评内容': '这个酒店值得推荐，环境及设施还是不错的，还有一点就是性价比较高', '短评打分': 3}
{'短评内容': '此店值得推荐，环境及设施各方面还是不错的，特别是性价比经较好！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '价格可接受，酒店设施也还可以，价廉物美。。。。。。', '短评打分': 5}
{'短评内容': '还可以,就是太小了,位置也不是很方便,但胜在便宜!', '短评打分': 5}
{'短评内容': '住过很多次了，还是觉得这家性价比比较高哈，以后到番禺出差还是到这家住，最主要靠地铁，去机场坐番禺先也很方便哈。', '短评打分': 5}
{'短评内容': '房间有些小，交通比较方便，在番禺还算比较方便，就是靠窗的有些吵', '短评打分': 5}
{'短评内容': '位置还行，酒店只能提供早餐。房间有点吵。还需要进一步改善', '短评打分': 5}
{'短评内容': '感觉蛮好，但退房方面慢，服务态度较不是太好…', '短评打分': 5}
{'短评内容': '服务品质较差，服务员对客人补贴礼貌和热情', '短评打分': 1}
{'短评内容': '房间舒服，不显狭窄，有温情的感觉,服务态度蛮好的。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间有点小，我们住的时候晚上下了雨，第二天蚊子多的恐怖。', '短评打分': 5}
{'短评内容': '各方面都可以，,很干净卫生，性价比比较高，就是靠马路', '短评打分': 5}
{'短评内容': '不错的酒店！给我带来好印象的！为什么要够20字啊....', '短评打分': 5}
{'短评内容': '地方小了一点，但是麻雀虽小，五脏俱全，就是空调有点吵。卫生也可以', '短评打分': 5}
{'短评内容': '位置比较方便，包含早餐挺好吃，但临马路，晚上还是有点车声', '短评打分': 5}
{'短评内容': '+位置不错，就是空调声音有点大', '短评打分': 5}
{'短评内容': '房间有点小，不过特价房，也算是这样了。其他方面都挺干净的，就是空调有点吵！', '短评打分': 5}
{'短评内容': '网络速度比较慢，别的都还一般，没什么特别的', '短评打分': 5}
{'短评内容': '床垫过于硬了，弹簧痕迹明显。\r\n隔音效果太差~~', '短评打分': 1}
{'短评内容': '房间环境较为满意，订的房间不是靠近马路，比较安静。', '短评打分': 5}
{'短评内容': '环境还好，还不错！', '短评打分': 3}
{'短评内容': '服务态度好，环境不错', '短评打分': 3}
{'短评内容': '酒店不错！服务态度也好！', '短评打分': 5}
{'短评内容': '服务态度不够好！设备不够齐全！交通还算是方便！总体过得去…有很多地方有待提升！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '交通也方便', '短评打分': 5}
{'短评内容': '比其它城市的莫泰酒店相比要差！早餐很简陋！没有晚餐和午餐，不方便！', '短评打分': 1}
{'短评内容': '很干净，但实在是有点吵，晚上一直不停地过车，隔音不好', '短评打分': 1}
{'短评内容': '一般一般，', '短评打分': 5}
{'短评内容': '总体还可以', '短评打分': 5}
{'短评内容': '不错，还行！', '短评打分': 5}
{'短评内容': '床 太难睡了！！一条条弹簧都出来了', '短评打分': 3}
{'短评内容': '床 睡得不舒服 因为床垫的弹簧是一条一条的显露出，就好像直接睡在弹簧上！！！还收我148元 气死我', '短评打分': 1}
{'短评内容': '经济型，适合家人旅行选择', '短评打分': 5}
{'短评内容': '这家酒店的位置是有些偏了,内部环境还行,房间的卫生和设施都可以,服务态度还比较不错,性价比还是挺不错的.', '短评打分': 3}
{'短评内容': '离我要去的客户非常非常近，对面有订票的，还是很方便的。', '短评打分': 5}
{'短评内容': '房间简洁干净,性价比不错。\r\n\r\n', '短评打分': 3}
{'短评内容': '还算可以吧，性价比不错。', '短评打分': 5}
{'短评内容': '总体还可以,但服务员的服务态度有待提高!', '短评打分': 5}
{'短评内容': '整体感觉一般，卫生方面不是特别好，床单好像都没有换。交通非常方便。', '短评打分': 3}
{'短评内容': '该酒店服务人员态度不错，这一点我最满意。', '短评打分': 5}
{'短评内容': '房间简洁干净，这个价位，性价算高了。', '短评打分': 5}
{'短评内容': '这个酒店整体来说是比较不错的，无论是硬件条件，还是环境服务都挺好的，价格也挺合适的，所以还是不错的。', '短评打分': 3}
{'短评内容': '要求不高的旅行用.', '短评打分': 5}
{'短评内容': '酒店的房间的设施很一般，没有窗户的，服务卫生还可以的，酒店的位置以及交通都很方便的，价格还可以的酒店，', '短评打分': 5}
{'短评内容': '整体感觉很一般的酒店,没有什么特别的对方；不过位置还可以；还是比较符合我的要求的；就是性价比还是有些偏低；', '短评打分': 5}
{'短评内容': '虽然房间小了点，不过感觉房间很温馨。。。服务态度也还好。\r\n   最重要的是性价比高。比较适合出来旅游滴。离长隆很近。', '短评打分': 5}
{'短评内容': '跟想象中一样，很不错哦，交通很方便，下次肯定还要去。', '短评打分': 5}
{'短评内容': '价格优惠，服务周到，位置也不错', '短评打分': 5}
{'短评内容': '就是一家经济型的酒店，设施啊、服务啊也就那么回事，跟它价格相比还是能符合的。', '短评打分': 5}
{'短评内容': '酒店比较经济实惠，和想象中一样，比较干净整洁', '短评打分': 5}
{'短评内容': '房间虽然不大，但是刚刚好。房间内的用品都很新，但是桌子上有一些杯子的水印，感觉不是很好。&lt;br /&gt;\n我这次全家人旅行，定了4间房间。但是唯独我这件谁有点小，其他都很好，是个经济实惠的选择。&lt;br /&gt;\n自驾车的朋友要注意，车位只有三个，最好到店那天致电酒店要求预留车位（留下车牌号就好）。否则要把车停到步行5-6分钟的地方，虽然报销停车费，但是还是有点不方便。', '短评打分': 3}
{'短评内容': '早餐单调、种类、数量太少、餐台常有小飞虫；\r\n没有中餐、晚餐服务。\r\n房间有小爬虫。', '短评打分': 1}
{'短评内容': '房间门一开就有股刺鼻的味道，似乎是消毒药水味\r\n房间太小，卫生间更小，不过里面的洗澡间还是比较大的，设计及不合理', '短评打分': 3}
{'短评内容': '那请问信用帐单上写着40元的奖励是找谁拿呢？', '短评打分': 5}
{'短评内容': '房间空调没有挡风板', '短评打分': 3}
