{'短评内容': '关注送了口罩，很好', '短评打分': 5}
{'短评内容': '还比较干净交通也还方便', '短评打分': 3}
{'短评内容': '距离火车道太近，晚上通宵得不安宁，房间隔音不好，霉味非常大，请改进', '短评打分': 5}
{'短评内容': '爸爸妈妈说还不错，环境挺好的！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '再也不会定这里了，本来因为离着近，图个方便。 但是朋友很不满意，只住了一晚就退房走了。说是卫生太差了。我真无语了。。。唉...', '短评打分': 1}
{'短评内容': '床太硬,感觉不像真的如家,估计是加盟店', '短评打分': 3}
{'短评内容': '还算附近不错的酒店，符合价位。床有点硬，房间有点太小，商务大床房就真的只能放一张大床，剩下的地方必须要很瘦的人才能适应。其它还好。如果临时找住处，可以选择。反正附近也没什么再好的了。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '比较干净，服务态度不错。但餐厅的位置和提供的餐饮需改善，觉的种类比较单一，口味也一般。', '短评打分': 5}
{'短评内容': '住过多次了，交通方便。安静舒服。', '短评打分': 3}
{'短评内容': '服务员的态度一般，屋子小   有点潮。没有身份证真的不让住', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '没有电梯，进房间后感觉有股发霉的味道。电视很小~环境比较一般吧~隔音非常差~\n位置倒是比较方便，离机场大巴站很近，周围用餐很方便~', '短评打分': 1}
{'短评内容': '交通非常方便，离店5分钟就是机场大巴方庄线总站，酒店门口就是公交车站，可以往各个方向。离店2分钟就是方庄美食街，方庄贵友商厦，家乐福超市，吃饭购物也很方便。缺点就是房间小了点，没有电梯，搬运行李很不方便。', '短评打分': 5}
{'短评内容': '房间有点小，不过这个价格当然不能要求太多。早餐厅有点难找，食物也不多。总的来讲，算是价格实惠。快捷酒店，能做到这样就可以了。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '环境还不错，卫生条件还好，在同等条件的连锁中，所算不错的了', '短评打分': 5}
{'短评内容': '服务态度很好。就是房间太小', '短评打分': 3}
{'短评内容': '酒店位置不错，在方庄餐饮街附近，而且距离方庄贵友机场巴士站很近，离地铁5号线也不远。', '短评打分': 5}
{'短评内容': '选择商务酒店最喜欢订如家快捷酒店，最然房间有点小，价格还行哈。', '短评打分': 5}
{'短评内容': '服务态度还行，地理位置不错。预定要趁早，否则订不上', '短评打分': 5}
{'短评内容': '地理位置不错，但就是房间太小了，而且没有窗户，这个价位这个条件还真是性价比不高啊，不过如果不是太挑剔，住一下倒是也无所谓，毕竟就是睡觉而已啊', '短评打分': 5}
{'短评内容': '到北京出差，我基本上选择住如家。很不错！要是房间能大些就更完美了！', '短评打分': 5}
{'短评内容': '较满意', '短评打分': 5}
{'短评内容': '还可以边上就是餐饮街！', '短评打分': 5}
{'短评内容': '如家快捷酒店（北京方庄店）真的不好.没有电梯,临街房间太吵,如同住马路上.', '短评打分': 1}
{'短评内容': '+还可以，比较干净。', '短评打分': 5}
{'短评内容': '大床房没有窗子很没有人性，隔音极差,价格较其他如家还贵，住过以后不会再来', '短评打分': 3}
{'短评内容': '大床房没有窗子很没有人性，隔音极差,价格较其他如家还贵，住过以后不会再来', '短评打分': 3}
{'短评内容': '方庄店价位稍高,卫生还好,交通便利,大床房没有窗户,要是墙上挂一幅风景画效果会更好', '短评打分': 5}
{'短评内容': '距离机场很近.打车到机场或者坐大巴都比较方便.\r\n\r\n总体感觉还不错', '短评打分': 3}
{'短评内容': '干净，舒适, 性价比还不错.\r\n\r\n值得推荐', '短评打分': 3}
{'短评内容': '还算干净 离机场大巴1号线蛮近的 去机场方便就是网太差', '短评打分': 1}
{'短评内容': '住的房间没有窗，这点不太好。', '短评打分': 5}
{'短评内容': '室外噪音太大', '短评打分': 5}
{'短评内容': '一般般。如家现在已经被一些新的经济型酒店比下去了。比如桔子酒店。因为太老气，管理的比较死板，又比桔子酒店贵。', '短评打分': 3}
{'短评内容': '卫生很差，前台业务不熟练，服务态度一般。', '短评打分': 1}
{'短评内容': '酒店条件比别的如家酒店稍差点', '短评打分': 3}
{'短评内容': '条件比其它住过的如家酒店稍差些，总的来讲还可以\r\n', '短评打分': 3}
{'短评内容': '还可以吧。', '短评打分': 5}
{'短评内容': '酒店还不错', '短评打分': 5}
{'短评内容': '服务员待人热情，服务态度很好', '短评打分': 5}
{'短评内容': '房间有点小，态度可以，服务速度较慢。', '短评打分': 1}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '这是离着蒲黄榆地铁口最近的商务酒店了，还算行吧，假如没有太高要求的话。毕竟这是首都。', '短评打分': 3}
{'短评内容': '这是离着蒲黄榆地铁口最近的商务酒店了，还算行吧，假如没有太高要求的话。毕竟这是首都。', '短评打分': 5}
{'短评内容': '交通较为方便，离机场大巴也很近，楼层不搞，所以没电梯，呵呵，那天拖了个大行李箱，爬楼蛮累的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错的酒店，位置方便，闹中取静', '短评打分': 3}
{'短评内容': '酒店位置很方便，酒店门前的公交线路很多，步行6分钟就到达方庄美食一条街了，公交二站路程就可以到贵友大厦前的机场巴士站了，很方便，下次去北京还住这家。', '短评打分': 5}
{'短评内容': '交通方便，附有餐厅价廉物美，前台服务不错。稍有不足的是暖气不是很足，晚间洗漱时水小。', '短评打分': 5}
{'短评内容': '位置不错，内部楼道入迷宫一般，房间略小，比以前贵了不少，整体感觉不如锦江之星的评价酒店。', '短评打分': 1}
{'短评内容': '酒店的位置离我要的去的地方很近，房间环境也不错，唯一我觉得欠缺的是餐饮方面，品种太少了 ', '短评打分': 3}
{'短评内容': '很舒适', '短评打分': 5}
{'短评内容': '感觉价位偏高，因为有很多没有窗户的房间，感觉就很不舒服，临街的那2个房间又太嘈杂，对睡眠有很大影响。如果对地点有要求的话，也只能将就了。', '短评打分': 1}
{'短评内容': '还行，这个价格看来，确实是很值的。', '短评打分': 5}
{'短评内容': '房间小了些，其它还好。', '短评打分': 5}
{'短评内容': '附近就有美食一条街，办事也很方便，就是临街的房间有点吵', '短评打分': 5}
{'短评内容': '服务态度很，交通也还挺方便的，当时是住临街方向的房间，有点吵，总体上还是不错的，价格也不贵', '短评打分': 3}
{'短评内容': '2009/12/4-12/5 共3间房/4间夜\r\n好：\r\n1. 邻近南二环，出门方便，离火车站、市中心不太远；\r\n2. 早餐好；\r\n3. 附近正餐就餐方便；\r\n4. 有2间暖气足，水热；\r\n\r\n不好：\r\n1. 无正餐；\r\n2. 无电梯；\r\n3. 有1间暖气不足，偏冷，水不热，洗澡偏冷；\r\n4. 房间偏小\r\n\r\n', '短评打分': 3}
{'短评内容': '2009/12/4-12/5\r\n好：\r\n1. 邻近南二环，出门方便，离火车站、市中心不太远；\r\n2. 早餐好；\r\n3. 附近正餐就餐方便；\r\n\r\n不好：\r\n1. 无正餐；\r\n2. 无电梯；\r\n3. 碰巧这间暖气不足，偏冷，水不热，洗澡偏冷；\r\n4. 房间偏小', '短评打分': 5}
{'短评内容': '交通方便就是王道,其他和一般的如家也没区别了,不过位置确实好', '短评打分': 5}
