{'短评内容': '隔音不好', '短评打分': 3}
{'短评内容': '望江的服务态度很不错，早餐也可以，下个月还会入住，只要是酒店地段不错，到我要去的四牌楼仅需7分钟，停车场很大并且晚上有专人看护，是我们能放心停车，安全！', '短评打分': 5}
{'短评内容': '购物方便，停车也方便，卫生很好。但早餐不丰富，小吃种类太少。', '短评打分': 5}
{'短评内容': '江景不错，早餐还可以，环境也可以，缺点是交通不太便利，打车不方便。', '短评打分': 5}
{'短评内容': '酒店位于江北商业区，地理位置还可以，附近就是江边，还有一公园，风景很不错，宾馆的卫生还不错，性价比较高，早餐比较丰富，但房间内设施有点旧了。', '短评打分': 5}
{'短评内容': '不错，                                     就是修路不太好找。', '短评打分': 5}
{'短评内容': '设施比较旧了，地毯也不干净，勉强的老3星。有免费的国内长途可以用，倒是个优点。', '短评打分': 1}
{'短评内容': '老的三星酒店。位置非常好，交通便利。早餐凑活~', '短评打分': 5}
{'短评内容': '价格很不错。地段好，就是设施有些老了。。。。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '各方面条件还可以，不过住的低区根本看不到江面。', '短评打分': 5}
{'短评内容': '干净卫生，交通方便，房间里有免费的国内长途电话，方便商务人士，整体不错。', '短评打分': 5}
{'短评内容': '该酒店设施,环境各方面都不错,出门交通也很方便,以后还会考虑入住', '短评打分': 5}
{'短评内容': '很一般，差不多就是三星级的标准，而且是年代比较远的三星级', '短评打分': 1}
{'短评内容': '很干净 不错 热水很足 \n很干净 不错 热水很足', '短评打分': 5}
{'短评内容': '就是房间有老，主要是周边商场的，建议重新装修', '短评打分': 5}
{'短评内容': '很干净,而且离中心区很近,很方便旅游的人来住', '短评打分': 5}
{'短评内容': '饭店管理水平好，房间卫生干净。酒店位置交通方便，到大商场很近。', '短评打分': 5}
{'短评内容': '不错，值得住，感觉还可以，不错不错，推荐下', '短评打分': 5}
{'短评内容': '虽然老，但是还是很不错的。下次还会住。虽然老，但是还是很不错的。下次还会住。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '感觉还不错，位置不是很好。房间有些老旧 \n', '短评打分': 1}
{'短评内容': '酒店外面挺气派,房间设施陈旧,床很小,身材魁梧的人另考虑.', '短评打分': 5}
{'短评内容': '该店位置非常好，后门出去走3-5分钟就到市中心的商业街，银泰就在那儿。吃饭的地方也很多。前门左转就可到婺江边，再往前，八咏楼和太平天国侍王府也不远。房间不大，但还比较干净。我住的是最边上的房间，窗子下的墙纸已剥落，好像下雨天渗过水，有点脏。电视机小了点。总的来说，整体不错，性价比很好。', '短评打分': 5}
{'短评内容': '服务热情，人性化氛围浓厚，性价比高，地理位置很好，婺江边的环境是散步的好地方。', '短评打分': 5}
{'短评内容': '还不错，挺实惠的！尤其是早餐方面，比较丰盛，生意也不错！', '短评打分': 3}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '典型的三星级宾馆，就是旧了点。 其他到也还可以，价格也实惠。', '短评打分': 5}
{'短评内容': '除了设施有点老以外，其余都很好，特别的二楼餐厅的菜非常家常，又不贵，点菜的时候服务员会提醒你够吃了。非常不错。', '短评打分': 5}
{'短评内容': '地点好，老了，前面盖了个高楼，江景房名不符实。', '短评打分': 1}
{'短评内容': '服务不是很好，没有服务员帮忙搬行李叫出租车之类的', '短评打分': 5}
{'短评内容': '就是楼有点旧！！', '短评打分': 5}
{'短评内容': '位置极佳，装修一般，服务不错，出行方便。', '短评打分': 3}
{'短评内容': '服务员的质素很好，餐厅的饭菜可口，不错。', '短评打分': 3}
{'短评内容': '酒店有些年头了，但设施环境还可以，住的那两天免费打长途很爽的~\r\n地点一般，打车不好打。', '短评打分': 5}
{'短评内容': '位置方便，环境幽雅，目前视线还不错，饭菜质量不错。', '短评打分': 5}
{'短评内容': '交通方便，性价比不错。就是旧了一点，商务正好。', '短评打分': 3}
{'短评内容': '饭店地理位置很好，办事很方便。低楼层的房间性价比很高', '短评打分': 5}
{'短评内容': '还是不错，经济实惠，早餐丰富，房间设施略显简陋，或许高级一点的房间会好些。', '短评打分': 3}
{'短评内容': '别的方面都可以，就是早餐结束的太早了，有一天起来晚了没赶上，希望能够往后延一下。', '短评打分': 3}
{'短评内容': '位置离闹市远了点，广场还不错。水有点小，电梯和办公楼层合用不太好。整体还可以。', '短评打分': 5}
{'短评内容': '别的都还可以，就是早餐结束的太早了，有一天起来晚就没吃上早餐。其他的都还可以。', '短评打分': 5}
{'短评内容': '总体还是不错吧！停车方便，位置好，外观气派，不过里面有点上年纪，另外就是插座较少，早餐也不错！', '短评打分': 5}
{'短评内容': '舒服，方便，适合商务。', '短评打分': 5}
{'短评内容': '位置好.服务也好.性价比高.', '短评打分': 5}
{'短评内容': '我和女朋友订的是江景单间，房间比较大，床很舒服，赞一个', '短评打分': 5}
{'短评内容': '不错的酒店，性价比高', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '房间的卫生和设施方面都很不错,住着很舒适,位置也很好,很方便,但就是酒店的晚餐停的太早了,我们18:00多到酒店就已经没饭了.', '短评打分': 3}
{'短评内容': '景观不错，就是旧了。', '短评打分': 3}
{'短评内容': '一般。', '短评打分': 1}
{'短评内容': '设施陈旧，唯有价格较为优惠', '短评打分': 1}
{'短评内容': '酒店的环境硬件设施都不是很好，价格合理适中。出行交通还是非常方便的，位置很好。还是可以考虑入住的酒店。', '短评打分': 3}
{'短评内容': '设施陈旧,服务一般,地理位置优越.', '短评打分': 5}
{'短评内容': 'good~~~the bed is comfortble.The low price is worth well.  ', '短评打分': 5}
{'短评内容': '位置比较好,不过是家老酒店了,设施有些陈旧,地毯也看着不干净,服务还可以.如果重新装修下,这家还是值得住的.', '短评打分': 5}
{'短评内容': '这个酒店位置很不错，步行到人民广场很近，购物什么都很方便，服务也挺好的，价格也比较优惠，性价比很高，就是房间里电视稍微旧了一点，其他都是不错的。', '短评打分': 5}
{'短评内容': '还不错！早饭很好！', '短评打分': 3}
{'短评内容': '住着蛮舒服的！\r\n第二次来了！\r\n但上次来事有水果送的！\r\n这次好像什么都没有！\r\n觉得没有以前温馨！', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都比较一般，配置硬件设施都比较老旧了。价格合理适中位置出行交通方便，但是以前可以望到江的现在附近盖了很多高楼大厦，酒店完全被挡住了。现在完全没有什么优势了。', '短评打分': 1}
{'短评内容': '酒店房间的卫生虽然不错,但是装修时长比较长了,显得有些陈旧,就显得价格有点高了,不过早餐还是挺好,而且位置十分理想,还是可以推荐的.', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错位置出行交通方便，硬件设施舒适度也很达标，环境挺好的，价格合理优惠，性价比还不错的酒店值得推荐入住。', '短评打分': 5}
{'短评内容': '酒店的设施过于陈旧了,房间里的床很小的,电视机21寸的很古老的,酒店的服务卫生都还可以的,', '短评打分': 1}
{'短评内容': '&amp;lt;P&amp;gt;服务方便有点店大欺客的感觉，前台服务质量不好，楼层的服务人员倒是不错。硬件设施过于死板，没有充分考虑客人的需求&amp;#8212;&amp;#8212;象无烟房的抽水马桶根本不适合男客使用，过小了&amp;#8212;&amp;#8212;但可以肯定也有不吸烟的男性客人入住。&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp', '短评打分': 3}
