{'descr': '服务态度极好，也很热情，卫生也可以，比较满意', 'star': 5}
{'descr': '我是16号入住在有家客栈的,19号离开有家回来后一直没时间上来评价,真抱歉了!\n我是第一次入住有家客栈,可是我的感觉却非常的好!首先有家客栈所有的服务人员的服务质量是相当的好!从一进该旅馆的那一刻起便感受到了很热情的服务,前台的服务人员非常的热情.那天我刚进旅馆办理入住手续时,正好赶上12点前,而此时正好有很多客人在办退房手续,而前台只有一位女服务生(该服务生的姓名可惜我忘记了)在忙着,只见她不慌', 'star': 5}
{'descr': '价格不高，档次不低，服务很好，下次有机会还要住。', 'star': 5}
{'descr': '很舒适 就是电梯有些小哦 地理位置很方便 下次还去', 'star': 5}
{'descr': '听好的。。很干净，就是靠窗有点操。。特价房真是实惠~~下次还在这里', 'star': 5}
{'descr': '比较满意，还行，以后还会再找这家酒店，很实惠。', 'star': 5}
{'descr': '格局简约，实用，设施及日用品齐全，服务态度不错。交通方便。性价比高。唯一不足是房间布局不太合理。床离门和走廊太近，有些影响睡眠休息质量。', 'star': 5}
{'descr': '第三次入住了，性价比很高。服务态度良好。', 'star': 5}
{'descr': '很不错，还会再来', 'star': 3}
{'descr': '还行，服务挺好，附近有小吃街，很方便，但是热水太小', 'star': 5}
{'descr': '服务很周到，价格实惠，很干净，安静。有自助洗衣，对于长期出差的认识来说很方便。有雨伞，地图，叫醒服务等等。', 'star': 5}
{'descr': '整洁,温馨.被罩的花型我喜欢.有机会还会入住.', 'star': 3}
{'descr': '每次入住都会体会到不一样的感觉，酒店真的是将客人当上帝来对待。', 'star': 5}
{'descr': '挺好的', 'star': 3}
{'descr': '又一次入住酒店,不过这一次网络太不给力,慢的出奇,服务态度真的很好', 'star': 3}
{'descr': '挺干净的，价钱也不贵，就是有点小，不过也没关系', 'star': 5}
{'descr': '非常不错，这样性价比高的酒店值得推荐，门面虽然不大但里面的房间很多，也非常宽敞！', 'star': 5}
{'descr': '酒店不错，环境设施挺好！\n', 'star': 3}
{'descr': '还不错，就是房间里面有味，一进门感觉不是很好，但是房间设施还是比较合理', 'star': 5}
{'descr': '干净卫生空间小点,好评', 'star': 3}
{'descr': '性价比很高，以后还会光顾。特价房型和原价房设施相差无几。服务态度很好！', 'star': 5}
{'descr': '交通方便，附近各种档次饭店云集，是商务人士的好去处。', 'star': 5}
{'descr': '优秀', 'star': 3}
{'descr': '温馨而舒适的有家客栈以后都要去那儿住!首选有家!', 'star': 3}
{'descr': '交通挺便利的，而且服务也挺好，价格便宜，强烈推荐了，就是那个洗澡的地好小哦', 'star': 5}
{'descr': '房间有点潮了总体满意！', 'star': 3}
{'descr': '每次都住这!位置好,卫生好!服务也好!满意!', 'star': 3}
{'descr': '各方面都还行 挺物美价廉的 前台人有点少 办理入住有点慢', 'star': 5}
{'descr': '酒店下面就是一条满是小吃的街，宵夜全都是在那买的\n就是定的特惠房没有窗户，味道蛮大的。\n酒店服务很贴心。态度很好', 'star': 5}
{'descr': '挺好的，住的88元特价房，唯一就是没窗户，不知道白天黑夜的， 不过一份价格一分货，总的来说很好', 'star': 5}
{'descr': '感觉挺好的，就是有些房间没有窗户，挺不自然的。', 'star': 5}
{'descr': '住的特价大床，房间设施齐全，干净卫生，很好，经济实惠，以后还会来', 'star': 5}
{'descr': '第二次入住了  感觉没第一次好了  墙上有些鞋印  由于没窗户 房间总有味  而且屋里很暗 灯光也不行  不过对这个价位来说 还不错  就是每次借吹风机都没有。。。。', 'star': 5}
{'descr': '很不错   比如家 7天  什么的都好         。', 'star': 5}
{'descr': '很好，很干净，就是吹风机总是没有。', 'star': 3}
{'descr': '设施和服务都很好，还会再选择有家客栈', 'star': 3}
{'descr': '很好很干净，挺舒服的。。', 'star': 3}
{'descr': '＋房间小点，其他还蛮不错', 'star': 3}
{'descr': '不错  挺干净的 就是楼上洗漱 会影响到楼下休息 ', 'star': 5}
{'descr': '地段不错，价位实惠，适合出差居住，但不适宜长时间居住，房间里还是太潮了。一两天还可以，时间一长就不适宜了。', 'star': 5}
{'descr': '好，很好，非常好，酒店每次入住都有不一样的感觉，服务非常好！', 'star': 5}
{'descr': '酒店很卫生,很干净,以后还来。', 'star': 3}
{'descr': '非常满意!', 'star': 3}
{'descr': '还不错，挺干净的，服务很好，就是被子有点潮', 'star': 5}
{'descr': '房间有味儿。\n床单是脏的，又让服务员换了一次。\n换了的床单上面还有红色的东西。\n', 'star': 1}
{'descr': '服务很周到', 'star': 3}
{'descr': '正题感觉非常不错，交通也很方便。房间应该注意通风，没人居住时利用早间或午间释放下味道。电梯口还是要设置指示牌，虽然地摊上号够大，有些人不习惯看脚底下。', 'star': 5}
{'descr': '环境不错', 'star': 3}
{'descr': '很好.', 'star': 3}
{'descr': '挺好！！！！', 'star': 3}
{'descr': '南通新开的一家汉庭，对面就是金飞达广场，交通、休闲、娱乐都很方便，有自己的专用停车场，而且很大。房间很干净，就是感觉小了点。', 'star': 5}
{'descr': '感觉还不错，挺干净。就是房间有点小，价格比较便宜。以后还会住这边的，电梯有点慢。走廊地毯很好，上面有房间号码。走起来很舒服', 'star': 5}
{'descr': '不错,很温馨的酒店', 'star': 3}
{'descr': '整体还是不错的，前台服务也不错，因为人多等了一会还给找了个有窗子的房间，另外还有月饼相送，就是卫生打扫的不够及时，可能是各个酒店不一样吧，住两天都没有给打扫。。。。整体还不错', 'star': 5}
{'descr': '我7月份去住了好几天觉得还挺好的。前几天我就推荐给了朋友，结果当时订的时候中间那一天没了，就订了119的房间。10号和12号都是88的特价房，朋友说住着还可以，但是存在一个中间差价的问题，订的119的住的还是88的。我很郁闷，你们店绕着弯呢？', 'star': 1}
{'descr': '便宜又干净，虽然没有窗户，不过感觉很温馨，以后还会来。不过就是有点潮，我能理解，挺好的。以前住过有家，就是喜欢这里', 'star': 5}
{'descr': '环境很好，很干净，很温馨，不过前台貌似人手不够，总需要等。', 'star': 3}
{'descr': '＋很不错的，干净卫生，交通方便，经济实惠，下次还定它！', 'star': 3}
{'descr': '环境很好', 'star': 3}
{'descr': '感觉还可以，住过好多次了，不过这次的房间家具有很大的气味，发霉了！下次不想再住这里了，那个味道很难闻的，一个晚上没有睡好！', 'star': 1}
{'descr': '住的不错…环境很好', 'star': 3}
{'descr': ':酒店位置好,门公交直达火车站和民航售票处,附近食街。服务态度好,房间新整,但有点酸臭味。', 'star': 3}
{'descr': '总体环境不错！就是被子有些潮，不太舒服，希望可以改善！灯光有点暗，希望温馨些的灯光，服务态度挺不错的！', 'star': 5}
{'descr': '房间太潮！管理不错', 'star': 3}
{'descr': '性价比超高的，很不错，就是房间没有窗户（特价房），感觉有点潮湿，不知道是不是被子没晒干的问题，总体很好。。。', 'star': 5}
{'descr': '房间很干净,服务也不错,价格也较合适,还比较满意', 'star': 3}
{'descr': '环境不错，服务也很好，就是没早餐。。。', 'star': 3}
{'descr': '不错，建议入住，是我入住的汉庭中最好的，才投入使用的，全新的酒店，有免费咖啡喝，停车场够大，酒店位于工农路上，地理位置不错。', 'star': 5}
{'descr': '房间很好很干净……虽然很小，但很温馨，我很喜欢……', 'star': 3}
{'descr': ' 服务态度不错，环境比较干净，交通方便，旁边有小吃街，很满意，就是房间有点小，而且网线短，想抱着笔记本在床上上网可不行', 'star': 3}
{'descr': '有家客栈（石家庄省二院店）房间特别特别潮，感觉掉进水窖里一样，被子也特别潮，空气也不流通，但是价钱还行，实惠，', 'star': 5}
{'descr': '挺好的，服务也不错', 'star': 3}
{'descr': '很温馨~~~唯一不足就是屋子有点潮~   价格上可以', 'star': 5}
{'descr': '很满意，如果房间是窗子的就更好了，不过已经很好了', 'star': 5}
{'descr': '面积小，没有窗户', 'star': 3}
{'descr': '服务态度好，房间环境也很干净，真的是物有所值', 'star': 5}
{'descr': '交通方便，价格便宜！就是门面看着不起眼！', 'star': 5}
{'descr': '非常好，非常满意', 'star': 3}
{'descr': '不错，很实惠，经济，房间感觉不错，石家庄很少有这样的酒店。', 'star': 5}
{'descr': '觉得还不错，环境服务都还可以，以后可以继续支持', 'star': 5}
{'descr': '还不错  可以选择  希望服务态度再好点', 'star': 5}
{'descr': '第一次住这个酒店 ，房间确实不大而且有点潮，其他基本满意。', 'star': 5}
{'descr': '酒店服务态度很好，很干净，隔音效果很好，房间特别安静。', 'star': 5}
{'descr': '很不错，正在入住，虽然小点，但是感觉非常的温馨！！！', 'star': 5}
{'descr': '屋子很潮，服务态度不好，卫生倒是不错的！', 'star': 1}
{'descr': '已经第二次来，价格便宜，环境安静。最主要的问题是潮，太潮了。进门摸被子都很潮~', 'star': 5}
{'descr': '酒店服务不错，交通便利，只是特价间有点潮湿。。。下次还来这里', 'star': 5}
{'descr': '房间很干净，无忧所值，服务也很好，酒店描述跟网上描述一致', 'star': 5}
{'descr': '酒店刚开业不久，卫生，环境各方面都不错，价格相对较为便宜', 'star': 5}
{'descr': '新开的一家有家，房间还不错，虽然有点小但是布局很好  下次还会入住', 'star': 5}
{'descr': '很喜欢很干净整洁，下次还住这', 'star': 3}
{'descr': '房间很干净，我住的那间没有窗户，有点闷，不过设施都很干净整洁。服务态度很好，价格优惠', 'star': 5}
{'descr': '价格是优惠许多，交通也比较便利，距离北站与石家庄站都比较近。但是屋内太潮湿，建议如果长住的话还是算了吧，一两天的暂住还是可以的。', 'star': 5}
{'descr': '住了三天，希望下次入住时打扫卫生可以彻底一些。环境很好。最方便的是有自助洗衣服务。交通便利。', 'star': 5}
{'descr': '价格很实惠，主要问题是房间太潮了，空调温度和模式都不可以调节。', 'star': 5}
{'descr': '都挺好，价钱合适，就是没有窗户，屋里装修的味道大点~', 'star': 5}
{'descr': '整体还行，就是没窗子，有点闷的慌。中央空调，挺凉快的。在石家庄88元的酒店，很值了，下次还住那……', 'star': 5}
{'descr': '房间整齐，潮了点，地理位置方便，其他的没什么特色就是快捷', 'star': 5}
{'descr': '不错的酒店，我喜欢！下次还会来，价位和房间都很不错！', 'star': 5}
{'descr': '不错，下次还住，干净，舒适，稍微有些潮，空调不是特别凉快，呵呵。总体很好！给满分。', 'star': 5}
{'descr': '88元无窗大床房。优点：房间整洁干净，大床很舒服，服务很好，交通很方便，到火车站打车5块钱。缺点：房间小，也就12平米。无窗。', 'star': 5}
{'descr': '酒店很好，下次还会住，前提是不涨价。', 'star': 3}
{'descr': '房间很好,服务周到,就是潮了点,顶一下!', 'star': 3}
{'descr': '没有窗的房间比较潮。\n没有免费停车场停车不方便，停到二院里面一晚上是9块。\n不过便宜。以后还会住的。', 'star': 5}
{'descr': '新开酒店，里面还有稍许味道，夏天开空调还可以，关键是性价比比较高', 'star': 5}
{'descr': '这个价位的房间可以啦！', 'star': 3}
{'descr': '服务周到 环境优雅  干净卫生 真的不错啊  超大优惠 不错不错', 'star': 5}
{'descr': '房间灯光太暗  盥洗室如果有遮挡就好了  屋里因为没窗户 有点潮味，不过性价比蛮高的 不错', 'star': 5}
{'descr': '房间干净整洁 交通便利 适合旅友', 'star': 3}
{'descr': '还行还行还行还行还行还行还行还行还行还行', 'star': 5}
{'descr': '环境还行，就是有点潮，不过性价比还是很好的', 'star': 3}
{'descr': '很好！', 'star': 3}
{'descr': '不错，挺人性化的，太潮了，被子床还有屋子里潮，', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '都挺好的，除了有点潮湿以外，性价比挺高，房间稍微小了点点啊', 'star': 5}
{'descr': '挺干净的，但浴室里没有洗发液，而且标示不清楚。', 'star': 5}
{'descr': '这个价格 很不错了    下次还住这儿', 'star': 3}
{'descr': '不错，就是空调不太好用，没有窗子不太舒服', 'star': 5}
{'descr': '房间有点潮，别的还可以 ', 'star': 3}
{'descr': '卫生还好,服务态度也不错,特价的房有点小,走廊过人传会颤.', 'star': 5}
{'descr': '除了中央空调有点郁闷，无窗的房间有些潮湿以外，非常的好。设施完备，服务态度相当好，性价比超高，入住的两天非常开心，谢谢', 'star': 5}
{'descr': '新开业很不错', 'star': 3}
{'descr': '除了没有窗户以外，这价位，在石家庄绝对是值了！！！下次还是它。', 'star': 3}
{'descr': '环境挺好，干净，就是房间稍微小了点，然后买东西吃饭都挺方便的', 'star': 5}
{'descr': '性价比不错，就是没有窗，不过价格合适，对于临时住一下，没有什么要求的来说，除了有点潮，服务，环境都不错', 'star': 5}
{'descr': '价钱经济，房间设施齐全，就是没有窗户，夏天有些闷。不过空调很好。推荐', 'star': 5}
{'descr': '环境还不错，要是有窗户就好了。希望卫生间有遮挡措施。', 'star': 5}
{'descr': '很不错的宾馆，能够做到人性化的管理，这一点本人很欣赏！下次还会入住！', 'star': 5}
{'descr': '不错，挺干净', 'star': 3}
{'descr': '有家客栈是非常不错的出差居住地。店性价比高而且是新店。在我住的这么多酒店里是性价比比较高的，服务也不错，希望有多一些连锁。支持！！！！', 'star': 5}
{'descr': '环境不错,物美价廉.谢谢贵网站.', 'star': 3}
{'descr': '还可以，就是没有单独的空调，中央空调貌似不能制热，这个时候有点冷', 'star': 5}
{'descr': '酒店性价比可以，就是新店，店员经验不足，不能刷卡。在我住的这么多酒店里是性价比比较高的，比锦江之星的百事快捷那个实惠多了，面积大多了，比汉庭、七天、速8、禧龙都合适，希望有多一些连锁。', 'star': 5}
{'descr': '设施新卫生好服务周到，尽快解决停车问题和结算刷卡问题', 'star': 5}
