{'descr': '环境好不错，服务也好', 'star': 5}
{'descr': '赶早班飞机或接晚班班飞机的好选择。距候机楼很近，有免费接送。', 'star': 5}
{'descr': '宾馆设施很一般', 'star': 3}
{'descr': '感觉还行！服务态度也好…继续入住', 'star': 3}
{'descr': '第二次入住了，感觉挺方便。只是没有电梯，因为行李过多，所以每次都要求住一楼。对于第二天赶造飞机的乘客，是个很好的选择', 'star': 5}
{'descr': '洒店内环境还是比较干净的,就是机场内洒店接送车不光光只有浙江假日之星酒店洒店接送车，还有一个杭州萧港假日洒店，二个洒店的名字后面都是假日洒店所以坐车的时候要当心不要上错车了，特别是晚上的时候天黑黑的在加上眼睛有近视的朋友们，要不然你又得从回机场很不方便的。一定要注意不要坐错洒店接送车。', 'star': 5}
{'descr': '房间是标准的如家配置，早餐太差了。两天后我又去呼市住的是石羊桥店，请本店的经理去石羊桥看看早餐吧！以便改善！', 'star': 1}
{'descr': '离大召很近，走路10分钟就到了。 只是酒店旁边有家迪吧有点吵！', 'star': 5}
{'descr': '不错，如家的服务。靠街的有点吵，另外附近好象有个迪厅，咚咚地有点震，楼层高一点好一点', 'star': 5}
{'descr': '还不错，相对来说比较干净。早餐不错，相对于价格来说已经很实惠了。不过铺盖和浴巾之类的布类稍显旧，开始以没洗干净。希望能更换就更换一些吧。', 'star': 5}
{'descr': '很干净，就是打扫卫生的人员少了一点，总体不错，有家的感觉，很温馨', 'star': 5}
{'descr': '很干净 服务也不错 出来旅游么 干净为主了 设施也蛮新的 物有所值哦', 'star': 5}
{'descr': '房间面积小了点，不过很干净。比较舒服又经济。', 'star': 5}
{'descr': '服务还不错，早餐味道挺好的，要是早餐时间再能提前点就好了\n\n', 'star': 5}
{'descr': '服务还不错，早餐味道挺好的，要是早餐时间再能提前点就好了', 'star': 5}
{'descr': '如家大召寺店很好,位置好,去哪儿都方便,服务及房间大小,设施都不错. \n', 'star': 5}
{'descr': '如家大召寺店很好,位置好,去哪儿都方便,服务及房间大小,设施都不错.', 'star': 3}
{'descr': '虽然酒店位置在呼市的旧城区，但是交通方便，多趟公交车到达市区景点及火车站。环境卫生，干净。', 'star': 5}
{'descr': '位置好 房间有点小', 'star': 3}
{'descr': '酒店环境不错。就是不太隔音，前台服务员态度不是很友好，希望改进。', 'star': 5}
{'descr': '服务很好，服务员都很客气，退房时间在下午1点前，也非常方便。周边旅游景点很多，很好~', 'star': 5}
{'descr': '非常好，服务很周到，房间也很舒服。物美价廉！', 'star': 5}
{'descr': '虽然离机场貌似还有点远，不过好像可以接来着，除了飞机起落的噪声外，别的都很好', 'star': 5}
{'descr': '赶早班机蛮方便的～～～～～～～～～～～～～～～～～～～～～～', 'star': 5}
{'descr': '就地理位置方便，其它的真的没什么值得说的了~', 'star': 5}
{'descr': '次次来，次次好评，啥也不说了，强烈推荐！强烈推荐！强烈推荐！强烈推荐！', 'star': 5}
{'descr': '不错不错不错不错不错不错不错不错不错不错不错不错不错', 'star': 5}
{'descr': '出差经常来这里，感觉很不错，就是隔音不太好，希望改善', 'star': 5}
{'descr': '拥有如家一贯的温馨，服务人员态度良好，值得入住，就是自助早餐不丰富！', 'star': 5}
{'descr': '门缝太大，晚上能看见楼道的灯光，再加上空调时常启动停机，导致我彻夜未眠', 'star': 1}
{'descr': '不错就是隔音一般，旁边住了两对傻逼狗男女，吵的睡不着', 'star': 5}
{'descr': '很粗糙的酒店，洗手盆下水道漏水都没人察觉。\n唯一的优点：确实离机场很近。', 'star': 1}
{'descr': '酒店离机场七八分钟路程，很近。设施是一般快捷酒店那种中规中矩。因太近机场，晚上有点吵，但不是太利害。适合赶早班飞机的人住。', 'star': 3}
{'descr': '房间干净整洁，有专车接送候机楼，挺方便的，就是房间空间比较小，不过住这里主要是为候机方便，这就不是那么重要了，呵呵!', 'star': 5}
{'descr': '饭店离机场比较近，登记方便，房间还可以，总台服务不怎么样。', 'star': 5}
{'descr': '这个假日之星宾馆的前身就是机场宾馆，应该算是离杭州萧山机场最近的一个宾馆了。因为是商务酒店，当然在豪华程度上并没有很高，但是由于住该宾馆不是为了赶飞机就是晚上来不及回市区才住的，所以卫生度上过的去也就行了。对于很多商务人士是个不错的选择。', 'star': 5}
{'descr': '很干净，很近，来回有车接送，推荐！', 'star': 3}
{'descr': '，比较满意，还是蛮干净的。', 'star': 3}
{'descr': '交通方便，距离机场近，服务到位', 'star': 3}
{'descr': '房间一般，房间较冷，服务还可以。', 'star': 3}
{'descr': '房间比较大，干净，但是缺点是车位比较少。', 'star': 5}
{'descr': '很干净，比较适合赶早班飞。', 'star': 3}
{'descr': '满意', 'star': 3}
{'descr': '环境还好。蛮干净。', 'star': 3}
{'descr': '一般般 就是离机场近。。。没得选择的。。。。。', 'star': 1}
{'descr': 'goodgoodgoodgoodgood', 'star': 5}
{'descr': '要是赶机预定这家酒店不错，机场接送服务挺好的。', 'star': 5}
{'descr': '离机场近，转机方便，设施一般。转机住这里还可以，边上有个华联超市', 'star': 1}
{'descr': ' 酒店客房小，设备简陋，优点是可以接送机。因为生意好，所以价格不便宜。', 'star': 3}
{'descr': '离机场近是很方便,早餐还可以', 'star': 3}
{'descr': '房间很大，很漂亮，很干净，隔音也很好，机场接送很及时，很好。', 'star': 5}
{'descr': '酒店一般', 'star': 3}
{'descr': '谢谢', 'star': 3}
{'descr': '临街的房间有点吵，睡眠质量不高的慎选。其他服务和如家其他地方的连锁店一样，干净整洁。', 'star': 5}
{'descr': '服务态度好，内部环境较好，总体还不错，就是周围没什么好的餐馆，酒店的早点还不错。', 'star': 5}
{'descr': '不错,房间很干净，关键是不管多晚到达机场，酒店都有免费接车的。\n当然也有缺点，没有电梯，早餐是机场的员工餐厅，而且只有8：00-8:30对外', 'star': 5}
{'descr': '隔音不好，房间太小', 'star': 3}
{'descr': '为到机场方便，只有选这家酒店，总体上还是不错，只是价格与市区的经济型酒店相比偏高，如果在200元以内就更好。', 'star': 5}
{'descr': '这个位置还不错，酒店卫生还行，门市价158', 'star': 3}
{'descr': '综合地理位置的因素，可以入住，但因为机场，飞机起飞降落可以听到\n该有的都有了，一个晚上还是可以忍受的，哈哈', 'star': 5}
{'descr': '＋还比较满意', 'star': 3}
{'descr': '位置不错', 'star': 3}
{'descr': '有夜间接机服务，尤其是半夜2点、还下着大雨，非常感动。', 'star': 5}
{'descr': '如果到达杭州太晚，这家酒店真是个短暂休息的不二选择！', 'star': 5}
{'descr': '酒店比想象的干净，机场接送方便，就是没有电梯，但为了赶早班飞机还是不错的选择', 'star': 5}
{'descr': '交通很方便，就是房间小了点．价格方面还可以．', 'star': 5}
{'descr': '基本满意', 'star': 5}
{'descr': '房间很温馨,可惜设备有点差,墙纸都掉了一层皮', 'star': 5}
{'descr': '还可以，早上免费送机', 'star': 5}
{'descr': ' 离大召寺很近 周围分布着商业街 游玩购物都很方便', 'star': 5}
{'descr': '房间不错，离机场很近方便', 'star': 5}
{'descr': '非常非常好，入住很方便，离机场很近，但我在房间里看到了小强，希望能提高。', 'star': 5}
{'descr': ',设施很新,服务也不错,就是空气味道不是很好!', 'star': 5}
{'descr': '离机场很近，接送服务很方便！向要很早乘飞机的旅客推荐！虽然经常有飞机飞过，但晚上还算安静！', 'star': 5}
{'descr': '房间近马路，晚上也挺吵，睡眠不好的谨慎选择', 'star': 5}
{'descr': '离出发大厅真是近,房间和类似价格的比稍现旧', 'star': 5}
{'descr': '经常出门在外，一直比较信赖如家，环境服务都非常到位', 'star': 5}
{'descr': '： the hotel is nice and clean. u do not have other options anyway', 'star': 5}
{'descr': '店面很小，我们住2楼，开窗有些吵，还好玻璃是两层的，所以整体还可以吧，由于在当地报了个2日游，第二天住草原，我们第一天和第三天在如家住的，但不知为什么，两次住的都是商务大床房，价钱也一样，但是房间大小差很多，第二次住的房间明显要大出一张床的空间，感觉被骗了似的，还好不影响睡觉，也没追究，离大昭寺很近，游玩方便，服务员的态度很好，总面带微笑，总体感觉这里还可以吧', 'star': 5}
{'descr': '卫生方便还可以，只是晚上睡觉外面环境有些吵，床有些硬，适合经济旅游的朋友们。', 'star': 5}
{'descr': '一般', 'star': 5}
{'descr': '较安静的标间窗户小，床也比其他小', 'star': 5}
{'descr': '周边的地理位置很不错，离大昭寺差不多两站地，但一路走着也不觉得远，因为一路都是很有特色的内蒙少数风情的建筑，酒店住的也很舒适，自助早餐12元，味道还凑合。总之酒店的性价比还很不错，推荐入住。', 'star': 5}
{'descr': '位置离办事的地方很近，性价比和服务都不错。马路对面就是维多利超市和KTV，现在时节每晚门口就是地摊儿了，和朋友喝酒不错！～～', 'star': 3}
{'descr': '每次来都住在这儿，没得说。对面是维多利超市，到了这个季节，每晚楼下还有地摊儿，好！呵呵', 'star': 5}
{'descr': '我住了3天，总体还可以！这家店的位置很好，离大召等景点很近，不过它周围环境也的确有些吵闹，好在我的睡眠质量很高，影响不大。在住宿期间，也遇到了一些小问题，不过也都算解决了。', 'star': 5}
{'descr': '这家店住了三四次\r\n感觉一次比一次差！\r\n性价比还行吧，毕竟还算便宜\r\n左边是KTV和迪吧，右边是马路\r\n晚上稍微有点吵！\r\n要是很强调舒适度的朋友的话，不推荐入住', 'star': 5}
{'descr': '酒店非常不错，离大召寺也比较近，前台服务小姐态度不错！', 'star': 5}
{'descr': 'OK', 'star': 5}
{'descr': '如家的一贯风格。', 'star': 5}
{'descr': '位置很好，从窗口可以看到大昭寺。但是设施有些旧了，临街稍微有点吵。', 'star': 5}
{'descr': '其他的都还行！最要命的是旁边有酒吧和歌厅\r\n晚上路边很乱，靠近酒吧和歌厅那面的晚上睡觉有点吵！\r\n其他都还行吧！', 'star': 5}
{'descr': '酒店总体感觉比较不错,卫生及舒适度都比较符合我的要求.', 'star': 3}
{'descr': '离我办事处所在楼盘——新天地广场很近，就在马路对面。以前来这边要住在如家石羊桥店，步行10分钟左右。这家应该是今年才开的？对面就是维多利超市，应该也是呼市比较大的一个商场/超市连锁，不错。至于治安方面建议大家入住后不要晚上出去，维多利超市楼上的那家KTV现在好像是个什么renyao酒吧，这个如家旁边是个舞厅，每晚打 架 闹 事的人很多。至于停车还不错，对面新天地广场的楼下，也就是维多利超市前面和旁', 'star': 5}
{'descr': '我和老婆一起住的，感觉还行！服务挺不错的。对面有维多利超市，就是吃的有点不太方便\r\n其他的都还行吧！', 'star': 5}
