{'短评内容': '老旧，不行！天花板脱落，阳台门变形', '短评打分': 2}
{'短评内容': '上次住得还可以，可是这次选的还是花苑房，还贵些，可是感觉都不是很好，床刚好对着风口，没有开空调都风嗖嗖的。。。都没有敢睡好', '短评打分': 1}
{'短评内容': '房间整体不错，靠近高尔夫场，室内还有灶具，只是没有厨具，建议放上消毒柜和厨具。', '短评打分': 5}
{'短评内容': '卫生间及淋浴间有去水及漏水问题，导致地面和墙壁发霉点，不卫生。沐浴巾有潮湿味，外观旧，也不卫生。房间硬件陈旧，需要更新，酒店介绍图片与事实不符。性价比低，浪费金钱。', '短评打分': 1}
{'短评内容': '非常接近会展中心，交通便利！！！建议有需要去会展的住这个酒店，不错', '短评打分': 5}
{'短评内容': '木地板的感觉不错，视野很开阔，夜景也很漂亮！只是卫生方面要更加强些。。。。', '短评打分': 5}
{'短评内容': '虽然最先安排的房间不满意，但是酒店人员听说不满意后马上更换成以前常住的房间，很喜欢阳台外的高尔夫球场风景，一切都不错。值得推荐！', '短评打分': 5}
{'短评内容': '位置稍偏，交通还算便利；景观一流，服务还需改进。', '短评打分': 5}
{'短评内容': '本次住的房型跟上周一样（花蕾套房），但是里面设施两码事。上次阳台有浴缸，有大餐桌，有麻将台，有长沙发，床天花有镜子。。虽然很拥挤罗嗦但是还能住人。\n这次什么都没有，除了床就是一个小沙发，小茶几。。没有电话，没有窗帘，没有镜子，只有一根钢管竖在房间里（跳钢管舞乎？）跟一个毛坯房差无几，而且淋浴排水道塞洗澡排不到水。。除了有高球场绝美景观外真的一无是处。入住的太晚，第二天去投诉前台虽然有道歉，但是根本', '短评打分': 1}
{'短评内容': '位置环境很清幽，房间很大，不过有两大问题。1）人手严重不够入住时房间还没有打扫收拾好，三催四请才有人来清洁。2）房间设施奇怪，明明是一个单身公寓，有个吧台沙发，但床上天花装了镜子搞成情侣公寓感觉；阳台外面不是全私密的空间，但又搞个浴缸。。同时房间大片空间给个麻将台，还有个四人餐桌占了。。单身公寓，度假酒店，情侣公寓，家庭旅馆的元素集中一身变成四不像。。。', '短评打分': 5}
{'短评内容': '视野很好 不过价格不合适,70多平的那个套房太不值得了,还不如300多盒400多的一般套房', '短评打分': 5}
{'短评内容': ' 还不错，房间很大，阳台的浴缸很有特色，就是装修的痕迹到处都是，不是很注重细节。', '短评打分': 3}
{'短评内容': '风景不错 房间里还有麻将机 适合几个朋友来休闲', '短评打分': 3}
{'短评内容': '推荐', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '位置虽然不算很好 但胜在每间房都有超大无敌高尔夫球场景观 市内非常难得', '短评打分': 5}
{'短评内容': '酒店挺好的，就是交通上不是很方便。装修的很有感觉', '短评打分': 5}
{'短评内容': '景色不错,位置比较偏.\n房间设施有的很好有的比较旧.\n总的说来,还是可以的.', '短评打分': 5}
{'短评内容': '房間夠大物超所值  隱密性很高  全部房都朝高爾夫球場景觀很棒最好要高點樓層  有各陽台有洗衣機房等設備非常棒', '短评打分': 5}
{'短评内容': '除了地點不是在商業區  但在濱河大道上鬧中取靜  全部房都朝高爾夫球場景觀很棒最好要高點樓層', '短评打分': 5}
{'短评内容': '这个酒店管理很差,卫生一定要大力提高,另外周边买东西太不方便,', '短评打分': 1}
{'短评内容': '前台服务一般.观景很好,浴池小了点,地点也有点不方便.不过物有所值!', '短评打分': 3}
{'短评内容': '哈哈很好的酒店啊， 180度高爾夫球場。', '短评打分': 5}
{'短评内容': '床太小！一般', '短评打分': 3}
{'短评内容': '对需要青山绿水空旷视野来提高思考激荡，写作或设计的人，这是一个理想的环境，面对市中心的高尔夫球场，远山近水（球场人工湖）。在阳台上泡杯咖啡抽根烟，思维清醒。家具是有点旧了，不过整理的很干净。', '短评打分': 5}
{'短评内容': '设施比起前两年有点陈旧，但还是推荐，毕竟环境舒适。', '短评打分': 5}
{'短评内容': '总体印象不错。不过不含早这点不是很贴心。\n', '短评打分': 5}
{'短评内容': '酒店房间不错，挺宽敞的！但是洗手间就太小了，冲凉房的间隔也奇小无比、浴巾小的就像一条面巾！\n一大早楼上就在搞维修，怎么这点常识都没有的！？\n窗外风景值得一看！', '短评打分': 5}
{'短评内容': '很不错的酒店，安全、安静、温馨。唯一不足之处是我所住房间，淋浴后卫生间地板上会有积水。', '短评打分': 5}
{'短评内容': '经常去住，服务很好，感觉有回家的感觉，环境比较好，无敌高尔夫绿色景观。。。', '短评打分': 5}
{'短评内容': '公寓环境比较安静。性价比好，交通便利，贯穿深圳南山区和福田区。。。', '短评打分': 3}
{'短评内容': '酒店可看到高尔夫球场。。。非常美的绿色景观，深圳贯穿福田区和南山区，交通很方便。。。会继续关注！', '短评打分': 5}
{'短评内容': '帮朋友订的，看中的是周围高尔夫球场的环境，和酒店闹中取静的独院环境。唯一遗憾的是没有早餐送。整体来说性价比还不错。朋友路途劳顿入住后感觉也非常满意。', '短评打分': 5}
{'短评内容': '电梯很久，位置不好找。前台的服务态度很差', '短评打分': 5}
{'短评内容': '酒店房间有小型厨房，还有无敌高尔夫绿色景观。。。 还会入住！', '短评打分': 3}
{'短评内容': '酒店地理位置很好，出入很方便，安全隐秘性很好! 还会入住！', '短评打分': 5}
{'短评内容': '景观不错，高尔夫加分，服务态度也很好，但档次方面还可以提升', '短评打分': 3}
{'短评内容': '位置不错，很方便，整体环境比较舒心，尤其是高尔夫景观。', '短评打分': 3}
{'短评内容': '位置稍微有点偏，房型及布局不错，面对高尔夫景观，坐下喝杯咖啡感觉很好！性价比相对不错了！', '短评打分': 5}
{'短评内容': '价格适中环境也可以就是购物不方便大厅不够好', '短评打分': 5}
{'短评内容': '优点：房间格局很新颖，很大的阳台，面向高尔夫球场；\r\n缺点：设施稍微旧了些，而且比较吵。', '短评打分': 5}
{'短评内容': '对于不是公款消费的人来说，这里的环境，价位都挺不错的，位置也很好。', '短评打分': 5}
{'短评内容': '很干净很舒服.服务也很热情.环境相当不错', '短评打分': 5}
{'短评内容': '对脑力工作的人，面对市区内的一座森林氧吧，渡个周末假期，充电满格。\r\n交通对没车的人有点不便，最近的便利店要走到快两公里外的天安小区。\r\n女宾可要多准备些月用品。做老公的可有机会表现体贴，半夜跑步4公里帮老婆买东西。里面的餐厅中菜做的很好吃。会再去。', '短评打分': 5}
{'短评内容': '窗外是无遮挡的高尔夫球场，视野好的没话说。\r\n但设施有些旧了。', '短评打分': 5}
{'短评内容': '卫生不是太好，可以看到高尔夫球场，其他一般', '短评打分': 1}
{'短评内容': '给客户订的，看来他是很满意。看着高尔夫球馆，心情也应该差不到哪里去吧', '短评打分': 5}
{'短评内容': '很窝心的酒店，厨房里还有全自动洗衣机很方便，刚好几天的衣服可以洗一下，窗外的风景很美，因为楼层高，下面又是一片高尔夫球场所以望出去很舒服，难得在繁华的都市里有这种地方。下次还会选择入住。', '短评打分': 5}
{'短评内容': "The swimming pool broken, can't be used until ........! No schedule! Shuttle bus no available all the time. But they will find the taxi for you!\nFood is good, Some room been remodel, some still old! B", '短评打分': 5}
{'短评内容': '环境非常幽静，卫生比较干净，服务也还可以！不错，下次还住这里了！', '短评打分': 5}
{'短评内容': '很舒适的环境，和老婆一同前往的，视野开阔，环境也好。值得推荐！', '短评打分': 3}
{'短评内容': '房间面向高尔夫球场，风景一流，但床小了点。如果说400元这样的设施，稍贵了一点点，如果便宜一点就好了', '短评打分': 5}
{'短评内容': '性价比高，环境很喜欢，下面的高尔夫球场让视野很开阔，很喜欢这里。这次住在花蕾房，唯一一点小小的不满是淋浴房的排水比较差些，其他的是相当的OK的。', '短评打分': 5}
{'短评内容': '卫生差，地毯很脏。设施有点旧。', '短评打分': 1}
{'短评内容': '不错.', '短评打分': 5}
{'短评内容': '最大的特点，就是对这高尔夫球场，视野开阔，对球场的景色一览无遗。可能由于是酒店公寓，所以大堂比较简单，从楼层的走廊到房门的感觉比较陈旧，入到房间，乍看还可以，但细看就有不少问题。最让我不满的是，地毯脏得要命，可以说是我记忆中住过的酒店中最脏的！感觉n年没有清洁过。我想要服务员换房，但服务员说所有房间都差不多，无言！！ 洗手盆的水龙头非常松动，几乎要脱落似的。洗手间毫无私密性，如果有别人在房间，你都', '短评打分': 1}
{'短评内容': '来深圳比较常住的地方，卫生、服务、价格都还好，不豪华但很舒适。', '短评打分': 5}
{'短评内容': '环境很好，舒适', '短评打分': 5}
{'短评内容': '很不错的酒店，有大阳台，大玻璃窗外高尔夫景观很漂亮。地毯有点脏，晚上回来，走道灯不亮。总体很不错~', '短评打分': 5}
{'短评内容': '我喜欢这地方，就是不好打车和吃饭', '短评打分': 5}
{'短评内容': '帮老公订的，说感觉非常好。外面的高尔夫球场让人很有FEEL哦。', '短评打分': 3}
{'短评内容': '非常有特色的酒店，唯一的不足是晚上有些冷的时候空调没有办法制热。', '短评打分': 3}
{'短评内容': '一个月内第二次来这个酒店，很喜欢后面高尔夫球场的大片草地', '短评打分': 5}
{'短评内容': '酒店不错，环境服务设施都不错。只是订的时候，写的床型是大/双。当时去了两个人，结果前台说没有双床，加了床被子两个人一个床挺郁闷的。。。', '短评打分': 3}
{'短评内容': '很不错，景观好，设施齐。尤其适合长期住宿。', '短评打分': 5}
{'短评内容': '早上起来看着楼下高尔夫球场的大片草地，给人一种悠闲的感觉。', '短评打分': 5}
{'短评内容': '景色一流,就是第二天早上楼上一直有人在敲打,比较煞风景', '短评打分': 5}
{'短评内容': '地处深圳市中心，闹中取静，面对一片高尔夫球场，一眼望去，满眼绿色很是惬意。就是出行外出不是太方便，要走到门口拦车或让酒店帮忙叫车。如果房价能含早餐就更好了。', '短评打分': 5}
{'短评内容': '这是一个相当于2星级的饭店。我住的是最靠东的房间，很吵。房间没有暖气，很冷。借被子也不愿意给，说没有了。半夜走廊里几次有人大声说话也没有人管。498元的价格实在太不值了。', '短评打分': 1}
{'短评内容': '地毯巨恶心，阳台得地也不好好擦，赚那么多钱不能把地毯换换么', '短评打分': 5}
{'短评内容': '这家酒店没有网上介绍的好，房间的卫生和设施一般，服务很不专业，有待提高，位置还行，出行还是比较方便的，性价比不高', '短评打分': 3}
{'短评内容': '在深高球场的边上，早上起来面对绿色的球场，心旷神怡，设施服务过得去，公寓嘛，就这样。', '短评打分': 5}
{'短评内容': '环境非常好，空气清新。', '短评打分': 5}
{'短评内容': '酒店非常不错，确实景色很好，房间下面就是深圳市内唯一的高尔夫球场。也不知道这个球场是谁的，能在这里建已经不是钱的事情了。很多司机不知道这里还有一个酒店的，你就直接和司机说去趣园，基本上都知道。基本上是一个封闭的小区，安全的很。房间很大，看的出来酒店下了功夫，很多设施都是世界名牌的，不错。坐车交通一般吧，不算很好也不算很坏，基本上能打上车，要等一会。总之还是推荐的。', '短评打分': 5}
{'短评内容': '这个价格来说还不错，是公寓不是酒店，有差别，入住要注意', '短评打分': 5}
{'短评内容': '環境不錯的酒店', '短评打分': 5}
{'短评内容': '酒店环境比较特别，环境挺好的，服务方面很一般，性价比不够高，偶尔住住还可以', '短评打分': 3}
{'短评内容': '酒店位置交通方便.服务设施都很一般的酒店.', '短评打分': 1}
{'短评内容': '缺少其他相关服务，比如酒吧；\n另外早餐的种类太少。', '短评打分': 5}
{'短评内容': '水压太小，冲凉差不多没有水，超差劲！煮食的工具不全，又不好用，快晕死了！以后不会再入住！', '短评打分': 1}
{'短评内容': '酒店的服务卫生很好,环境硬件设施也很不错,位置出行交通方便.', '短评打分': 5}
{'短评内容': '還有...&lt;br /&gt;\n&lt;br /&gt;\n3. 字庫問題, 我登記單為怪字, 點知服務員又用返我個怪字名來為我登記! 我還要簽字作實! 本這樣做是件保障, 不過連我的房咭都竟然寫上那怪字作為紀錄!~~ 不曉變通嗎?&lt;br /&gt;\n&lt;br /&gt;\n4. check out房那位打電話落前台問間房有乜, 叫前台續個讀比佢知, 令人驚嚇! 佢仲要話我食左佢個包x塔', '短评打分': 3}
{'短评内容': '刚刚先住过呢间酒店, 没错呢家酒店个view的确好!但服务及配套&amp;#32118;对可用 &amp;quot;吾掂&amp;quot; 同 &amp;quot;吾该你乜都要发火先有服务&amp;quot; 加&amp;quot;九流&amp;quot; 来形容! 真系有个句讲个句!!! why? &lt;br /&gt;\n&lt;br /&gt;\n1. 我因为有kitchen先住, &amp', '短评打分': 3}
