{'短评内容': '性价比很高   停车方便   地理位置优越', '短评打分': 5}
{'短评内容': '1、经济实惠：作为非遂宁本地人士，在网上搜索并预订酒店之前从未到过遂宁，本人对比了网上能查到的几家遂宁的宾馆酒店，虽然这家只有2星级，但确实价格是最便宜的。如果你是属于“不差钱”人士，大可不必参考本条。\n\n2、还算整洁：本人虽算不上酷爱“洁癖”，但还不至于神经大条到对“邋遢”没有知觉，虽然这里某些细节确实有小的瑕疵（补充说一下：我是住的“主题大床房”啦），比如：我住的这间有些对“氛围”很有帮助的灯', '短评打分': 5}
{'短评内容': '酒店还可以', '短评打分': 3}
{'短评内容': '房间还行，玫瑰主题的房间床边的灯是坏的。\n遂宁这样的城市 收费还是偏高，主题单间要200。', '短评打分': 5}
{'短评内容': '服务态度还好，就是酒店设施有点老化了。', '短评打分': 3}
{'短评内容': '推荐这家酒店，但不推荐商务大床房，还是玫瑰主题的相当配置比较好些！', '短评打分': 5}
{'短评内容': '1、环境整环境还是不错的\n2、网站上图片的墙面背景是玫瑰红，但是实际房间里面是银色的。个人认为有点不是很协调\n3、床头是两个都是坏的，没有电吹风,只有一床空调被，由于是外界温度在0-5度所以四五点的时候感觉有点冷。\n4、前台的服务还有待于改进、网速还算可以。\n5、在遂宁这个小城市价位还是有点偏高建议在100~150\n6、其它设施非常齐全，看来酒店在这一块还是很费心的！\n7、一觉睡到12点，所以为没', '短评打分': 5}
{'短评内容': '房间小，陈旧，用品烂，环境差。交通较好。', '短评打分': 1}
{'短评内容': '网线应提前放到房间里。', '短评打分': 3}
{'短评内容': '房间太小了，感觉不如另一家广来福。', '短评打分': 3}
{'短评内容': '地处热闹街区，自助早餐挺好，装修有特色，维护不周到。入住的房间电源插座太少，镜子破了、淋浴头漏水、没有厕纸，后两项及时解决了。\n\n', '短评打分': 5}
{'短评内容': '位置很方便，就是房间比较小，床不是很好睡，洗手间也很简陋。。。不过比商都店感觉好一些，价格也要便宜很多', '短评打分': 5}
{'短评内容': '140块的单间，说实话贵了点。早餐也不好，品种很少。在下面餐厅叫了个送餐服务，等了2个小时才送上来，晚上9点多过来收餐盘，哎。不过前台服务还是不错的，这个值得赞扬', '短评打分': 1}
{'短评内容': '位置不错，算是在遂宁市的中心地带，从火车站可以坐公交车直接到达，只是网站上没有介绍。房间设施蛮齐全，还不错', '短评打分': 5}
{'短评内容': '性价比比较高，房间比较大，但有点潮的感觉', '短评打分': 5}
{'短评内容': '虽然个方面都一般，交通还可以，如果没什么特别要求的话还是可以', '短评打分': 5}
{'短评内容': '非常好  眼镜落在酒店 她们也找到了  态度很好  但是没有送早餐卷哦  我们也没问~  ', '短评打分': 1}
{'短评内容': '位置很好，出行很方便，卫生服务方面也不错，设施也完善，住的很满意。', '短评打分': 5}
{'短评内容': '酒店还不错，服务挺热情的，房间挺干净，离商业区很近，交通很方便的。', '短评打分': 5}
{'短评内容': '很不错的环境及服务', '短评打分': 5}
{'短评内容': '房间挺干净，设施挺齐全，质量也挺好，住的很舒适。', '短评打分': 5}
{'短评内容': '酒店住过几次，感觉挺好，服务、卫生、设施都很到位，值得推荐一下。', '短评打分': 5}
{'短评内容': '卫生这些宾馆必须的硬件都不错，服务态度很好，不管是总台还是厨房还是服务员，坐公交到遂宁的几个景点都很方便，出门右拐就有公交车站，总体上来说不错啊。\r\n住的时候还有个小插曲，自己不小心没关窗，于是一只小壁虎居然爬到厕所了，打电话给总台之后，不到三分钟来了一位拿着工具箱的师傅，关上厕所门不到一分钟，夹钳夹着那只小壁虎淡定地出来了，佩服之……', '短评打分': 5}
{'短评内容': '优点：电话免费打，网速还行。比较安静。\r\n不足：墙上上网的电源插座少且不说还是劣质的，插头插上去老是掉。插上笔记本电源适配器插头就没法看电视，看电视就没法给电脑充电。二者只能选择一个。（这是我第一次住店遇到这种情况）衣架只有一个。我不可能就穿着一件衣服在外面跑吧？！\r\n总体印象：一般', '短评打分': 1}
{'短评内容': '酒店位置较好，但早餐太差，服务一般，140的性价比不是很好在地级市。', '短评打分': 5}
{'短评内容': ' 環境還行只是空調效果待加強.', '短评打分': 5}
{'短评内容': '性价比不错的一家旅馆，服务态度不错。', '短评打分': 3}
{'短评内容': '位置不错，距离步行街比较近，但是感觉性价比不算高，房间小，电视也小，140的价钱在遂宁这个城市感觉高了点，不过总体还算可以的了', '短评打分': 5}
{'短评内容': '离开步行街还算近，服务不错，性价比高。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '房间也太小了点，其他都还行。', '短评打分': 5}
{'短评内容': '地板感觉太暗，被子有点薄，冬天不开空调有点冷，服务态度还不错，环境比较幽雅而且价格也很公道合理', '短评打分': 3}
{'短评内容': '环境不错，幽静，到遂宁的步行街也很方便，下次来肯定还选择住', '短评打分': 5}
{'短评内容': '可以。干净。', '短评打分': 5}
{'短评内容': '我感到还满意吧', '短评打分': 5}
{'短评内容': '无', '短评打分': 1}
