{'短评内容': '不错不错，值得一住！', '短评打分': 5}
{'短评内容': '非常好的一家酒店！早餐品种多样不说，环境还舒服！离海港城非常的近，本人觉得和马可波罗不相上下！下次返港还住那儿！', '短评打分': 5}
{'短评内容': '每次去都住这家酒店，附近就是海港城，购物非常方便', '短评打分': 5}
{'短评内容': '酒店服务非常好，地理位置非常适合购物，海港城就在旁边，下次去还要订朗廷', '短评打分': 5}
{'短评内容': '上次去上海，选择了新天地旁的朗廷，感觉蛮温馨的，床很大很舒服，所以这次去香港也选择了朗廷。酒店的服务很好，还免费给我们升级到行政套房，呵呵，还蛮幸运的。地理位置也好，出了地铁口就看到了，购物也很方便，楼下就是DFS，对面就是海港城，总之，很不错，下次还会选择朗廷。', '短评打分': 5}
{'短评内容': '尖沙咀很不错的一家五星酒店，酒店虽然不是特别豪华，但是在香港寸土寸金的地界上，它的性价比还是很高的。逛街超级方便，各种大牌下楼即是。烧钱的地方。', '短评打分': 5}
{'短评内容': '位置好，价格高，还是住铜锣湾那边好些，吃饭也不方便！', '短评打分': 1}
{'短评内容': '购物方便，欧式风格， 房间一般般，但还可以吧\n', '短评打分': 5}
{'短评内容': '在香港来说，这家酒店的房间还算比较宽敞的，定的是新装修的房间，设计比较新潮。楼下的cafe东西很不错，自助餐非常不错，推荐！另外，这家酒店的地理位置还是比较理想的，如果是来购物旅游的朋友比较方便，距离海港城等商场都比较近。附近也有地铁口，可以去到中环，金钟，铜锣湾，还是比较不错的。前台的服务也非常好，入住结帐都比较快。', '短评打分': 5}
{'短评内容': '满意啦', '短评打分': 3}
{'短评内容': '朋友都说非常好，下次还会入住。酒店房间也够大。', '短评打分': 5}
{'短评内容': '厅比较小，房间也不大，不过东西都挺雅致，粉红色调；只有厅里一个吧；还是去别的高层酒吧去看的夜景。\n订了两晚，由于行程突然变更，头天晚上没入住，照交房费，这点有点血腥。以后住香港酒店要注意了。。。', '短评打分': 5}
{'短评内容': '现代的酒店非常不错，地理位置也好，非常有自己的风格，强力推荐', '短评打分': 5}
{'短评内容': '这家酒店位置非常好，周边逛街购物都很近.有些星级酒店的标准.就是价格略高.', '短评打分': 5}
{'短评内容': '一进门就好喜欢这家酒店，服务生很热情，关键是酒店的房间真的很大。床特别舒服，像逛街出门也很方便，不行不到5分钟就能到海港城购物，步行10分钟就能到码头做天星小轮。真的好喜欢这家酒店，下次去还会选择这家酒店！', '短评打分': 5}
{'短评内容': '去香港旅游的，行程也比较紧张，整体感觉还不错，住着挺舒服的，而且性价比很高.', '短评打分': 5}
{'短评内容': '环境舒适', '短评打分': 3}
{'短评内容': '还不错，地理位置很好，离海洋中心很近，床很舒服', '短评打分': 5}
{'短评内容': '酒店的整体条件还是不错的，因为在香港价格都会偏高，不过服务确实很到位，整体水平是非常棒的.', '短评打分': 5}
{'短评内容': '购物方便 服务也很好', '短评打分': 3}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '服务很周到~~', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店设施非常好，服务也很好，位置也不错，逛街很方便。会象其它客户推荐', '短评打分': 1}
{'短评内容': '内部环境还是挺不错的设施和卫生都很好,我每次去都是住这家酒店的感觉还不错,酒店的服务态度也还可以,位置是非常好的,性价比挺不错的.', '短评打分': 3}
{'短评内容': '酒店的环境不错，内部的服务很周到，整体感觉性价比可以', '短评打分': 5}
{'短评内容': '酒店没有客人授权就擅自追加了信用卡预留款额度，给人印象委琐。要求的中文报纸一直没有送来，怠慢客人的要求。大堂经理态度冷淡，礼宾部人员态度傲慢。。该酒店欧洲人较多，可能酒店习惯于服务洋人，不屑服务大陆客？总之，给我的感觉很不舒服。酒店周边道路施工，去很多地方、坐地铁都不方便。再不会选择该酒店了。', '短评打分': 1}
{'短评内容': '酒店就是价格有点贵，环境设施都很不错，而且交通很方便。', '短评打分': 5}
{'短评内容': '他们的服务还不错，环境设施也挺好的，尤其是他们位置不错，交通很方便，价格适中。', '短评打分': 5}
