{'短评内容': '很好的酒店，推荐', '短评打分': 5}
{'短评内容': '入住当天13时2人去酒店用餐，被告知；大厅有包场，包厢880元起。可见酒店的管理水平与其硬件不匹配。', '短评打分': 5}
{'短评内容': '非常不错，值得推荐', '短评打分': 5}
{'短评内容': '这家酒店的硬件配置设施都很好，没有问题。我要求酒店给我安排可以看到江面的房间，酒店给我安排了一个正对江面环境非常好的房间，对这家酒店还是非常满意的，有一点闹得很不愉快，酒店称房间里面有两桶茶叶不见了，我们没有拿到酒店的时候就没有看到，我觉得管理流程细节上要加强。', '短评打分': 5}
{'短评内容': '酒店位置不错。离土菜一条街也不远', '短评打分': 3}
{'短评内容': '很好找。当地最高的、最豪华的楼。毗邻富春江，位置好、空气好', '短评打分': 3}
{'短评内容': '沿江位置。江景房，绝对一揽江景。挂牌五星，房间设施不错，还有招待水果。感觉很好', '短评打分': 5}
{'短评内容': '  5月7日住过一晚，是江景大床房。相对558元性价比差，一是早餐不够丰富，比方说基本的还缺油条、肉包等；二是晚上从电梯出来竟发现本层的走道乌黑，摸进房间，才发现没有停电，立即打电话到服务中心提醒，过会儿走廊亮了。\n   江景房位置挺好，正对江面。中餐厅点了几个菜，味道不错。自带的电脑的插头与插座不匹配，服务中心接电话后很快送来了。', '短评打分': 1}
{'短评内容': '房间不错，可以看见富春江，就是太里面了，我住的已经是19层了，要是不再住高点，酒店两边的办公楼裙楼会挡住观江景色的。', '短评打分': 5}
{'短评内容': '硬件设施和服务都不错。不太满意的是房间的隔音，半夜可以很清楚的听到隔壁开关水龙头的声音，仿佛就在自己房间。另外门童看见有重的行李也没有主动帮忙，有待培训。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店的各个方面做得都非常好，对面就是富春江，超赞的5星，而且价格非常合适。同行的外籍总裁非常喜欢这个酒店！', '短评打分': 5}
{'短评内容': '不错的酒店，设施很新。', '短评打分': 5}
{'短评内容': '酒店有陈旧感，下面的卡拉OK太贵。', '短评打分': 3}
