{'短评内容': '很喜欢！风格小清新啊！', '短评打分': 5}
{'短评内容': '出来旅游背气到真是•••本来房间又小，地理位置也是•••房间电视又坏了，前台说还没修好，那我们想换房，又说今天客满，但明明在他店门口写着＂今日有房＂！想骗人也得把慌先编圆啊！一句＂那我们没办法＂就把责任推了，这种态度做事，唉•••！权大家慎入！', '短评打分': 1}
{'短评内容': '泉州路小巷里，很安静。虽然没有那些有名的地点外观看起来有鼓浪屿的味道，但是价钱很容易接受。房子干净，整洁。3楼是顶层，晚上有时店家洗衣服，有点吵。。3楼的标间是改造后的，2张床位之间有个柱子。。本来定的3晚大床，网站告知第一天没有，调到标间。后两天都很好。喜欢3楼大床间的颜色。还会考虑住，推荐。', '短评打分': 5}
{'短评内容': '地方好难找，不过很温馨，非常干净很喜欢。', '短评打分': 5}
{'短评内容': '不要期待过高！优点：位置好，不吵！卫生条件一般！缺点：开窗见墙，装修配置简易，价格不便宜！', '短评打分': 1}
{'短评内容': '呃....貌似除了便宜没啥太大的特色，而且位居闹市区~吃饭啥的倒是挺方便，不过关键还是没太大特色。', '短评打分': 1}
{'短评内容': '鼓浪屿柔软时光度假洋房，酒店的名字起得很洋气，网友的评价也都好，不免会有较高的期望。可是到了一看，房间小得简直不能用语言来形容，网络还只有一楼有信号，在淡季这个价钱也不算便宜啊！唯一的优点只有离码头近这一点了', '短评打分': 1}
{'短评内容': '酒店离繁华路段很近，位置还不错,就是蚊子多了一点', '短评打分': 5}
{'短评内容': '很不错的酒店，我基本都住这家的连锁酒店，很温馨，很不错，早餐也很不错。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '感觉就是一个私人小旅馆，没发票，但是政府什么基金一分不少收\n\n\n除了房间无其他配套设施，房间超级小，我订的是豪华大床房，面积上面写了25平方\n\n米，一入住就知道上当了。\n\n其他蚊子超多，洗澡有时有水，有时没水。。个人觉得性价比超低，不值得入住\n\n\n\n', '短评打分': 1}
{'短评内容': '老板人很不错，很热情哦。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '离码头比较近，很适合我们这种大包小裹的游客', '短评打分': 5}
{'短评内容': '挺不错的 安静 干净 在鼓浪屿的中心 也挺方便的', '短评打分': 5}
{'短评内容': '处于闹市的安静小客栈，有无线网络，但是二楼的话信号就很弱了。有点难找，在一条很小的巷子里。', '短评打分': 3}
{'短评内容': '家庭式旅店，房间小了点，没有毛巾和浴巾，整体感觉还是蛮不错', '短评打分': 5}
{'短评内容': '位置很好，到龙头路和码头都很近便。价格在鼓浪屿上还算合理吧，新装修的，感觉还不错', '短评打分': 5}
{'短评内容': '房间真的很小很小，放了行李箱，走路都困难了！价格也真的比较贵，没有性价比，不过因为是新开的吧，房间还算干净，唯一好的是，地理位置很好，出行方便！', '短评打分': 5}
{'短评内容': '还不错.比较干净.就是房间太小了!地理位置很好!', '短评打分': 5}
{'短评内容': '旅馆设施比较新,位置也很方便游龙头路(鼓浪屿著名商业街),但价格太高，性价比不高。入住第一晚腿上被蚊子咬了20多个包，很伤心，回家还有好多人问腿上怎么了，成了鼓浪屿的旅游纪念。', '短评打分': 1}
{'短评内容': '房间太小，与网上不符，没电话，没网络（只有无线上网），价格太贵！', '短评打分': 1}
{'短评内容': '地点不错，房间太小，没有网络，价位对比偏高。\n', '短评打分': 1}
{'短评内容': '不错，特别是晾衣服很方便，就是房间有点小。', '短评打分': 5}
{'短评内容': '位置不错，是家新店，比较干净，美中不足的是与鼓浪屿上其他特色店相比，特色不足，需要改进的细节很多。', '短评打分': 5}
{'短评内容': '地点不错，很好找，老板也蛮热心的，房间小巧，但是价位和边上一些咖啡酒吧差不多，就是一个住宿，没有其他附属设施，价位对比偏高。', '短评打分': 5}
