{'短评内容': '性价比可以，酒店卫生还有提升空间', '短评打分': 5}
{'短评内容': '酒店位置不错，铜锣湾中心地带，对面就是时代广场，地下就是港岛线，香港酒店贵是出名的，寸土寸金。房价干净舒适，面积稍小，但床不错，空调力气大，休息很不错。提醒大家，前台登记时，不要留下Email，前台让我留了Email，过了几天竟然被注册了一个优悦会的会员，这种不经别人授权就助人为乐的做法，不赞同。', '短评打分': 5}
{'短评内容': '房间很小，但五脏六腑俱全，房间也很干净，周围交通，外出购物都很方便，只是房价贵了点，房价加10%的服务费差不多要两千港币。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '1700多港币一天的酒店，其程度也只相当于国内锦江之星的水平。无语', '短评打分': 3}
{'短评内容': '地理位置十分便利，出门就是铜锣湾时代广场，楼下还有一间十分好吃的甜品店，叫聪嫂，非常不错', '短评打分': 5}
{'短评内容': '逛街很方便，值得推荐·····在铜锣湾时代广场···酒店环境还不错··服务态度不错··三楼早餐也还行··其他都不错··去香港在本岛住那和方便··', '短评打分': 5}
{'短评内容': '酒店靠近闹市铜锣湾，吃的、购物、交通都很方便，酒店新，干净，就是洗手间空间小了点。去酒店挺方便的，坐地铁到铜锣湾站时代广场出口，正门后面那条街（霎东街33号）就是酒店的大楼，酒店的标志不是很大，不过知道大概方向问一下就很容易找到的。噢，还有早餐的分量好像少了点，吃不饱耶，要加点。', '短评打分': 5}
{'短评内容': '很好，房间设施干净。地理位置很好，不管是来公干或是购物都很方便。酒店吃的也很不错。如果不想在酒店吃，这里离一些茶楼都很近，如果有时间可以到处常常本地的小吃。', '短评打分': 5}
{'短评内容': '这酒店唯一的优点就是位置很方便，在时代广场后面，但除此之外就没什么好的了。电梯很混乱的，房间虽然比较大，但设施挺简陋的，是典型美式的2星级“莫泰儿”。二楼的餐厅不是自身经营的，是出租给第三方经营的，口味和价格倒是不错的。', '短评打分': 1}
{'短评内容': '地点非常好，房间也非常干净，大小也可以，毕竟寸土寸金的地方，早餐就一般而已，可能饭量大一点的就吃不饱。其他值得推荐。', '短评打分': 5}
{'短评内容': '位置非常方便，与时代广场只有咫尺之遥。购物、吃饭都很方便。\n旁边就是地铁铜锣湾出口，去其他地方也容易。', '短评打分': 5}
{'短评内容': '干净，面积大。。就是太贵，在summer sales的时候，和铜锣湾其他的酒店一起狮子大开口', '短评打分': 5}
{'短评内容': '房间大小还行，人爆多。都是上海人。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '位置很方便,在时代广场后身.购物很方便,服务态度特别好', '短评打分': 5}
{'短评内容': 'good', '短评打分': 3}
{'短评内容': '地理位置非常优越，是香港购物的首选理想酒店，酒店的整体感觉是简约、时尚和温馨，卫生环境也是非常的不错。办理入住和退房的速度非常的快，是国内酒店甚至五星酒店都是无法比拟的，值得国内同行业学习！', '短评打分': 5}
{'短评内容': '交通便利，靠近铜锣湾地铁站，周边都是商业街。服务还好啦。房间有点小。', '短评打分': 5}
{'短评内容': '酒店还不错，地理位置方便，房间面积在寸土寸金的香港也算还可以了。就是我们这次住的这间有股很难闻的腐臭霉味，一个晚上没睡好，鼻子里都是这个怪味道。住我隔壁的同事的房间里就没这个味道。这次运气真不好！', '短评打分': 5}
{'短评内容': '酒店地理位置比较好，就在时代广场旁边，购物、交通都方便。\n总台服务人员态度很好，客房也很干净。\n就是早餐一般，品种有点单调。\n总体还不错，下次会再去。', '短评打分': 5}
{'短评内容': '房间挺舒适，还有沙发，颜色也很不错，周边购物很方便。唯一不足的是早餐比较简单。', '短评打分': 5}
{'短评内容': '位置好 房间还好啦 早餐有时人比较集中 打车到机场320港币                                       ', '短评打分': 5}
{'短评内容': '酒店就在时代广场后面，房间算是不错的啦，服务也好。', '短评打分': 5}
{'短评内容': '交通方便！服务很好！住得很满意！下次还会推荐入住这间酒店！', '短评打分': 5}
{'短评内容': '如果是去香港购物.住这里很方便.不足的是没有浴袍.', '短评打分': 5}
{'短评内容': '酒店旁边就是时代广场、SOGO百货，地铁站。交通购物挺方便的。房间不大，但是很干净，酒店服务人员态度很好，还有免费的早餐和宽带。总的来说，在香港寸土寸金的地方已经很不错了，下次来香港，还住这里。', '短评打分': 5}
{'短评内容': ' good service.', '短评打分': 3}
{'短评内容': '酒店的地理位置真的不错，而且服务也很好，我是全家去香港玩，前台的服务人员为我们安排了双标间，还有一个沙发床，住起来很舒适；酒店的房间也不算小，洗手间也一应俱全。结账的速度也超快。总之我很满意！！！', '短评打分': 5}
{'短评内容': '就在时代广场旁边，很方便，地铁站也近，购物很好，距离SOHO也很近，楼下还有甜嫂甜品店，很有名的，早餐也不错，而且酒店的沙发可以当床用，很实惠，我们三个人就住一间房，非常划算，唯一的缺点就是酒店通风不好，房间有点味道，窗户打不开', '短评打分': 5}
{'短评内容': '酒店地理位置相当好，和地铁站为邻，交通四通八达。设施不错，价格也不错。', '短评打分': 5}
{'短评内容': '第一次入住这家酒店，比想象的要好得多。', '短评打分': 3}
{'短评内容': '房间也算的的！地理位置优越！服务非常好！早餐有多项选择！真的很不错！', '短评打分': 5}
{'短评内容': ' 酒店房较陈旧, 设施一般, 主要地点方便, 附近什么都有, 适合想大购物的朋友', '短评打分': 3}
{'短评内容': '位置极佳，紧靠时代广场。环境安静，卫生条件好，房间大小够用，上网免费。与国内三星级酒店类似。就是早餐份量少。', '短评打分': 5}
{'短评内容': '酒店位置超级好，就在时代广场后门，购物时可以随时回去放东西，然后再继续逛，非常方便。广场地下就是地铁站，四通八达。酒店免费早餐也还行，有六种套餐选择，很人性化。唯一的缺点是房间的卫生间隔音设施不太好，隔壁房间用水就好像自己房间在用一样，声音很大，怕吵的朋友要留意这点。', '短评打分': 5}
{'短评内容': '关键是方便，地点优势明显，购物可以中途回酒店放东西\n另外最吸引人的就是房间里的沙发可以打开，拼出一张双人床，香港酒店这么贵，能增加入住的容量，这可是千金难买的呀！', '短评打分': 5}
{'短评内容': '位于香港铜锣湾的中心位置，是个购物居住的好地方，且服务很好，设施也不错。', '短评打分': 5}
{'短评内容': '就在时代广场后门对面，离铜锣湾地铁站很近，而且上网免费，带一份简单的早餐套餐，十分方便。最近1楼新开了家日本餐厅。', '短评打分': 5}
{'短评内容': '中规中矩的express酒店，不能和豪华酒店比，相应的设施和服务比较简单，早餐较差，位置就在时代广场旁边，很近。', '短评打分': 3}
{'短评内容': '中规中矩的酒店，如果去铜锣湾的客人住在这里是很方便的。', '短评打分': 5}
{'短评内容': '酒店的位置是挺好就在时代广场的后面很好找，酒店也挺不错的，卫生设施都挺好的，价格也很便宜，服务也挺好的。', '短评打分': 5}
{'短评内容': '装修上面新一些但是环境房间都不是很好，而且房间也很小，价格也很一般，服务态度还行但是前台办理的时候手续太慢了。', '短评打分': 1}
{'短评内容': '位置很理想，就在铜锣湾，购物相当方便，交通也很便利，离地铁站也很近。', '短评打分': 5}
{'短评内容': '挺喜欢这家酒店，觉得性价比很高。下次来港还会住这里，也会向朋友同事推荐。', '短评打分': 5}
{'短评内容': '还不错，比想象的好得多。值得！', '短评打分': 5}
{'短评内容': '卫生和地理位置很不错，态度也很好。', '短评打分': 5}
{'短评内容': '前台服務生服務態度良好, 推薦 ~ ~', '短评打分': 5}
{'短评内容': '前台服务人员态度很好，收费在香港也不算低也不算高，HK$881。位置不太好找，在时代广场背后的一条小路里，霎东街，好像才一条车道单行。酒店招牌不起眼，没有伸到街上，所以从路口不太好发现。住客零零散散的来，哪里人都有，韩国、泰国、印尼或马来西亚、澳大利亚，我只看到这些，应该还有别的吧。&lt;br /&gt;\n&lt;br /&gt;\n听说离地铁站近，真到去时才发现应该叫做离地铁站出口近，实际上从时', '短评打分': 3}
