{'descr': '房间有点小，不过价格还可以，床单什么，一般', 'star': 5}
{'descr': '＋国信酒店在我办事地点附近，价格实惠，我就选它了！不过手机、相机充电不方便，我初步找了下没找到插口。我主要是图办事方便价格实惠就好', 'star': 3}
{'descr': '设施和服务不是一般的差.其他酒店都可以1点退房,这里12点一定要退房否则每小时20元.洗手间狭小的稍微身高一点的就坐不下.', 'star': 1}
{'descr': '大床房非常一般。设计很不合理。有点失望。', 'star': 3}
{'descr': ' 环境较差  床头坏了 室内蚊子多', 'star': 3}
{'descr': '地理位置不错，离地铁4号线很近，到各景点都很方便，服务态度也不错。顺便说一下，要是去上海旅游的话可以报当地的一日游，去附近城市也有好多团，都可以上门接，很方便。', 'star': 5}
{'descr': '房间也挺干净的，交通也很方便。价格也适中，服务员阿姨也很热情。对于我们去上海是看病的人来说，整个宾馆环境还不错。希望酒店生意蒸蒸日上，也希望我们全家身体健康。', 'star': 5}
{'descr': '非常满意，还会再来的。', 'star': 3}
{'descr': '我订的是138元的大床房，环境不好，屋子很小，还没有窗户。一进屋就一股厕所的味道。', 'star': 1}
{'descr': '我住的是大床房，房间特别小，几乎无法走动，后来我才知道原来房间有大有小，工作人员看我是一个人可能就给我开的这间房吧，比较不满意。加上那天说停水，只有热水没有冷水，没法洗澡。房间很潮，床很硬，总之不是很好。', 'star': 1}
{'descr': '  房间太拥挤，卫生间布局也不好，桌上、床头柜上摆放杂物太多，显得乱七八糟。', 'star': 1}
{'descr': '有几个最可以概括我的感觉：\n1、最不具性价比酒店。称不上酒店，用旅馆合适点\n2、装修最破旧酒店！桌子是断的，底下用东西垫起来的！墙都是泛黄的，床很难受、卫生间门都是坏的。。。\n3、最抠门酒店。用的是快捷酒店最劣质的牙刷、拖鞋。。。\n评价：永不住！这个只值50块的大旅馆', 'star': 1}
{'descr': '房间有点小 卫生间洗澡时没有挡水的 洗完澡像发水了一样。。。。其他的还好吧', 'star': 1}
{'descr': '.已入住', 'star': 3}
{'descr': ' 以价格来看宾馆的标准，还算可以！不过有些单独收费的物品，收费标示不明显！', 'star': 3}
{'descr': ' 比较干净，交通方便，环境清净。', 'star': 3}
{'descr': '条件一般,床不是很舒服,房间也比较小,硬件条件有些陈旧,但价格比较便宜.', 'star': 5}
{'descr': '  速8给安排的房间位置不好  而且停水', 'star': 3}
{'descr': '房间 枕头 不干净  洗浴用品 太次 不好', 'star': 1}
{'descr': '还行，就是设施有点陈旧，别的还行的，地段也挺方便', 'star': 5}
{'descr': '房间不太大，卫生间比较简陋，喷头漏水，洗澡洗的一点都不爽', 'star': 1}
{'descr': '房间小，卫生间没灯！', 'star': 3}
{'descr': '还行，服务也还可以，关键是离办事地点比较近。', 'star': 5}
{'descr': '超恶心的酒店，房间就那么大点，热水要放个十分钟才会有。哎', 'star': 1}
{'descr': '软件不错 硬件要跟上啊\n施工有点脏 电视频道挺给力', 'star': 5}
{'descr': '  方便,环境整洁,服务态度好,赞一个.', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '酒店的设施比较陈旧，也比较简陋，有点像小旅馆的感觉。', 'star': 1}
{'descr': '一般，还凑合吧，不是特别满意，但是性价比还可以', 'star': 5}
{'descr': '位置好，价格低，只是房间太小了点。电视虽然不大但是节目很丰富。床头桌太小了。', 'star': 5}
{'descr': '屋里总是有一股味道。不知道为什么不能去掉。房间设施不是太好。但是价格在那呢，所以也不能要求太高了。总的来说一般吧。', 'star': 1}
{'descr': '不错，位置不错，价格不错，反正都不错不错，位置不错，价格不错，反正都不错', 'star': 3}
{'descr': '酒店的床实在是太硬了，躺上去都能感受到里边的弹簧，咯的我一宿没睡好', 'star': 1}
{'descr': '帮朋友定的，据说各方面都还可以吧，主要是离她要去办事的沈阳军区总医院比较近，并且刚好旁边的如家没有房间。。。。。', 'star': 1}
{'descr': '房间是我预订的但不是我自己住的，回来听家人说大体还不错。', 'star': 5}
{'descr': '这家酒店就不行了，条件很一般，阴暗，空间小。', 'star': 1}
{'descr': '总体就是干净 实惠 服务好，适合出游选择', 'star': 5}
{'descr': '交通方便，周围生活设施齐全，房间也挺好，价格实惠', 'star': 5}
{'descr': '地段还行，出门挺方便，周围饭店医院都有，银行就在旁边，公交也方便', 'star': 5}
{'descr': '有内部停车场 倒是比较安全 定了两间房 其中一间墙上发霉 屋内潮湿 有异味 当即办理了换房就在我办手续的时候听见服务员再向别的旅客推销这间有问题的屋子', 'star': 1}
{'descr': '还不错,同事说住的还好,挺经济的,就是离办事的地方远点,但是没办法,这个已经是最近的选择了', 'star': 3}
{'descr': '还可以,同事入住的,说还不错,经济实惠吧', 'star': 5}
{'descr': '某些房间室内确实有味道，不知啥原因。网上预订的还便宜些。', 'star': 3}
{'descr': '某些房间室内确实有味道，不知啥原因。网上预订的还便宜些。', 'star': 1}
{'descr': '洗澡的花洒可以用滴水来形容', 'star': 3}
{'descr': ' 环境一般，但毕竟这价格了', 'star': 5}
{'descr': '价格合适但服务太差  不推荐', 'star': 5}
{'descr': '该酒店麻雀虽小，五脏俱全！期望太高，失望太大，一进电梯就发霉气味扑鼻，房间潮湿，气味难耐，让人难以入睡。价格不贵。但却连那价格都不值！勉强度过一夜，速逃！', 'star': 1}
{'descr': '订的三人间是临时改造的，一张双人床加一张单人床，根本不是正规三人间标准，房间没脱鞋，打电话给前台要送了过来，牙刷不够打了两次电话才送，有灭蚊器没灭蚊片，晚上被蚊子咬的半死，服务也很一般的标准，哎，晚上被蚊子咬的都没睡好，再也不住速8了，很不好！', 'star': 1}
{'descr': '作为一种快捷酒店，作为短期的旅居感觉还不错。就是房间比较小，朝马路的房间隔音效果一般。', 'star': 5}
{'descr': '因为这家酒店离学校比较近，相对于“酒店”来说，价格还算便宜，所以朋友来玩的时候就选择了这家。结果，太让我失望了！！！房间小的简直了……然后卫生间里的设施也很陈旧，一点看不出刚开业不到一年的样子！说是可以上网，结果不能上，打电话问前台，说不知道怎么回事，只有明天问经理了……我晕！！马桶反味老大了！我知道是什么原因！座便器都应该有蓄水的，结果他那个纯粹是蹲便器的排水方式，没有蓄水，所以反味很大！都有那', 'star': 1}
{'descr': '卫生是真的一般，毛巾浴巾我在那住了4天左右，就第一天干净的，后面几天我都没用那里毛巾浴巾，都不更换，吹风机么拿来一个坏的，而且不愿意去调剂。我是等头发都风干了才睡觉。。。这服务态度，诶！', 'star': 5}
{'descr': '酒店客房设施太差，实在是凑合住了一夜。', 'star': 1}
{'descr': '位置太远了，开车过去不太好找。服务台有个女士态度还可以。其他的没什么好评价，看电视他们用的网络电视，换台很是麻烦。', 'star': 1}
{'descr': '屋里异味太大~', 'star': 1}
{'descr': '很干净。', 'star': 5}
{'descr': '位置还可以，不过和室内设施比较，价格要是再便宜点就更好了，当天住的房间没窗，不过也不影响什么，关键是夜里12多去的，能有房就不错了！', 'star': 5}
{'descr': '总之非常好，住了就知道了', 'star': 5}
{'descr': '没热水 窗户漏雨 网络老不正常 实在是失望', 'star': 1}
{'descr': '理想的经济型酒店', 'star': 5}
{'descr': '下水道的空气都反在房间里面，比较难闻。。', 'star': 1}
{'descr': '暖气没效果，空调开着也没用，冻死了！！！！房间也很小', 'star': 1}
{'descr': '宾馆设施较差，房间内只有一盏灯，招待所水平', 'star': 1}
{'descr': '房间太小，临街很吵，隔音不好', 'star': 5}
{'descr': '交通还行，其他一般', 'star': 1}
{'descr': '建议朋友们夏天去 冬天去太冷了', 'star': 1}
