{'短评内容': '设施齐备', '短评打分': 5}
{'短评内容': '卫生条件好，周围环境不错，很安静，交通也便利。', '短评打分': 5}
{'短评内容': '三星级宾馆，卫生条件好，早餐简单，交通便利，推荐', '短评打分': 3}
{'短评内容': '环境硬件都还不错', '短评打分': 3}
{'短评内容': '酒店的地理位置、服务等综合条件不错，值得推荐。', '短评打分': 5}
{'短评内容': '机关招待所，各方面跟正规宾馆有差距。', '短评打分': 3}
{'短评内容': '酒店位置、服务、住宿条件都不错，向各位推荐。', '短评打分': 5}
{'短评内容': '十一期间去的北京，400元的房价。也就和想象中的差不多。好在有早餐，酒店地理位置还算可以，自己开车就不太好找。非长假期房价应该在250元差不多。2011-10-2.晚上8点左右在前台当班的服务员态度极其不好。其他的还算马马虎虎。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '  环境好，服务佷周到，热情，期待下次到北京再次入住。', '短评打分': 5}
{'短评内容': '酒店离北京火车站还算近，走走大概15分钟就能到，但是拖着大箱子过天桥有点吃力。房间不够大，整体感觉还达不到四星的标准，原本看中该酒店有游泳池，可以让孩子游游泳的，没想到入住期间正好在维修，所以有点失望。总体来说还行，但性价比一般。', '短评打分': 5}
{'短评内容': '虽然对帝都的食物一向不敢有过高期待，但京都苑还是绝对地把我的底限向下推了一个数量级。顺便说一句，所谓的游泳池是“曾经有过”。', '短评打分': 1}
{'短评内容': '，我们已在下午顺利入住京都苑宾馆，谢谢合作！', '短评打分': 3}
{'短评内容': '该酒店还凑合， 地点比较好， 市中心， 70% 都是老外或者旅行团， 早餐不怎么样。', '短评打分': 5}
{'短评内容': '服务很好，环境也好', '短评打分': 3}
{'短评内容': '我住了一天，还好交通不是太方便。', '短评打分': 3}
{'短评内容': '入住两天后因为觉得环境不错又延住了两天，地理位置很方便，性价比很高。', '短评打分': 5}
{'短评内容': '酒店性价比很高，从北京站步行到酒店只需要10分钟左右。酒店环境很安静，卫生也不错，因为没有预定到赛特本打算只临时住两天但感觉不错就又延住了3天。感觉不足的地方是酒店的无线网络好像很差，上网不是很方便。', '短评打分': 5}
{'短评内容': '不是四星的服务设施，入主以后才知是个三星。一般般的环境', '短评打分': 3}
{'短评内容': '酒店位置看上去比较中心，但是打车绕些路才能到', '短评打分': 3}
{'短评内容': '交通比较方便，周围有地铁，\n住宿条件尚可，安静，服务基本符合要求', '短评打分': 5}
{'短评内容': '地点还不错，就是内部设施比较旧。居然没有叫车服务，早晨7点的时候，前台的人叫我自己去外面叫车。', '短评打分': 1}
{'短评内容': '该酒店房间设施很是老旧如房间的钥匙插入后许要敲几下才能接同，但是地理位置没的说', '短评打分': 5}
{'短评内容': '服务态度一般，前台服务态度不是很好，设施不完善，便利店都没有，到晚上买东西都没有，很是不方便，酒店附近也没有便利店，卫生条件还可以吧，', '短评打分': 5}
{'短评内容': '价位还行。还可以就是前台服务态度不太好，带早餐的诱惑还比较大', '短评打分': 5}
{'短评内容': '价格和设施可算是匹配，交通方便，其实是招待所，设施不算新，性价比可以', '短评打分': 5}
{'短评内容': '感觉不错,安静暖和', '短评打分': 3}
{'短评内容': '整體來說還算不差...只是打出租車時比較不好說...\n\n每次我都是打到附近的萬豪酒店然後自己再過天橋回酒店....', '短评打分': 5}
{'短评内容': '地段一般,出得酒店门口没有可逛街的去处,早餐太简单,设施家具已阵旧,发票机刚好坏了,说好是邮寄过来,但始终未收到', '短评打分': 3}
{'短评内容': '前台服务太差，居然说贷记卡不是信用卡，没文化害死人', '短评打分': 1}
{'短评内容': '酒店在二环旁边，虽然有很多车，但是房间里很安静，隔音效果很不错，酒店员工非常乐于助人，服务态度很好，感觉物超所值，住宿环境很好', '短评打分': 5}
{'短评内容': '房间舒适度还可以，整体感觉对这个酒店印象还是不错的，房间硬件设施很齐全，服务一般。住宿条件还可以', '短评打分': 3}
{'短评内容': '酒店配套设施不错，很喜欢酒店的游泳池，虽然不大，但是感觉很温馨，卫生条件很好，另外早餐很好吃，蛮可口的，前台也很到位', '短评打分': 5}
{'短评内容': '酒店价位合理不是很贵，周边交通非常方便，环境很好，有很多高大建筑，买东西很方便，房间硬件设施很齐全，卫生条件很好', '短评打分': 5}
{'短评内容': '酒店的性价比很高的，房间硬件设施很齐全，卫生条件不错，打扫的很干净，周边出行很方便，住宿环境很好', '短评打分': 5}
{'短评内容': '房间价格还可以，都还不错，周边环境很好，早餐很丰盛，口味也很好，附近交通出行还是很方便的。', '短评打分': 3}
{'短评内容': '酒店位置不错，交通出行还是很方便的，周边有很多吃饭的地方。酒店在北京旅游局旁边，长富宫酒店的侧面，房间硬件设施比较齐全，卫生还可以，环境比较安静，其他一般', '短评打分': 3}
{'短评内容': '房间硬件社会很齐全，卫生情况挺好的，蛮干净的，服务水平一般，酒店周边环境不错，住着还可以', '短评打分': 3}
{'短评内容': '这家酒店相当不错，性价比很高，卫生条件很好，前台服务员热情周到，酒店距离建国门地铁站和北京站蛮近的，周边吃东西的地蛮多的，住着比较舒适', '短评打分': 5}
{'短评内容': '地点有些不太好找，总体感觉还可以，电视太小了！！！', '短评打分': 5}
{'短评内容': '房间舒适度还可以，服务一般，卫生打扫的比较干净，周边出行比较方便，其他都还可以', '短评打分': 3}
{'短评内容': '条件很不错，位置优越，在建国门地铁很近。', '短评打分': 5}
