{'短评内容': '新桃园酒店，服务、配套和性价比超高！', '短评打分': 5}
{'短评内容': '很好的环境，但早餐一般，交通方便。很好的环境，但早餐一般，交通方便。', '短评打分': 5}
{'短评内容': '整体不错，但早餐比以前差了！!!!!!!', '短评打分': 5}
{'短评内容': '酒店设施陈旧，有异味，隔音效果不好。就交通还算方便。', '短评打分': 1}
{'短评内容': '太破了， 这价格不值啊！以后不来了，不会再住了。', '短评打分': 1}
{'短评内容': '离蛇口码头近，交通方便，房间设施新，不错！', '短评打分': 5}
{'短评内容': '条件还行，基本比较干净，交通比较方便，邻居地铁口', '短评打分': 5}
{'短评内容': '还不错，干净，价格合理。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '周邊環境不錯了，交通也好。地鐵修好了，到機場方便。', '短评打分': 5}
{'短评内容': '房間OK，早餐還行，交通便利；樓下K歌廳，有點嘈。', '短评打分': 5}
{'短评内容': '門口就是地鐵口，旁邊有公園，不錯了；早餐單調了些。', '短评打分': 5}
{'短评内容': '房间还行，早餐单调了些。', '短评打分': 3}
{'短评内容': '交通便利，门口就是地铁，靠近公园，早餐不够好。', '短评打分': 3}
{'短评内容': '设备太老旧，入住时房卡就刷不开门卡，只是位置很好，出门就是地铁站，交通方便。 \n', '短评打分': 1}
{'短评内容': '设施非常一般，早餐也难吃得很--广东啊。推荐这家酒店？给个理由先。', '短评打分': 1}
{'短评内容': '很不错的酒店', '短评打分': 3}
{'短评内容': '一直住这个酒店，环境不错。下次还会住。一直住这个酒店，环境不错。下次还会住。', '短评打分': 5}
{'短评内容': '交通非常方便，出地铁就是。\n装修有点旧，不过很干净。\n总之感觉不错，价格高了点，但是这个地段，对于公务繁忙的人来说，也值了。', '短评打分': 5}
{'短评内容': '酒店紧临地铁，出行方便', '短评打分': 3}
{'短评内容': '房间还可以，有早餐比较方便。价格能再优惠点就更好了。。。。。。。。。', '短评打分': 5}
{'短评内容': '位置好，交通方便；楼下KTV会有点嘈。', '短评打分': 3}
{'短评内容': '交通方便，门口就是地铁站', '短评打分': 3}
{'短评内容': 'OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO', '短评打分': 5}
{'短评内容': '设备太老旧，入住时房卡就刷不开门卡，只是位置很好，出门就是地铁站，交通方便，早餐也很一般，性价比不是很高。', '短评打分': 1}
{'短评内容': '除了早餐略显单薄外，酒店整体不错，值得住。希望能改进下早餐', '短评打分': 5}
{'短评内容': '深圳科技园附近知名酒店，到科技园打车10分钟以内。', '短评打分': 5}
{'短评内容': '帮同事订的酒店,说还不错!帮同事订的酒店,说还不错!', '短评打分': 5}
{'短评内容': '其他都还好,就是希望预订时间能保留到晚上9点', '短评打分': 5}
{'短评内容': '其他各方面都好,就是希望网上预订酒店能保留到晚上22:00', '短评打分': 5}
{'短评内容': '就是旧了点，其他的还行，和海岸城店比，性价比就不高了', '短评打分': 1}
{'短评内容': '旧了点，其他还行。', '短评打分': 3}
{'短评内容': '交通较便利，就在地铁口。早餐挺好，房间感觉比较旧。', '短评打分': 5}
{'短评内容': '门口就有地铁站，交通方便。', '短评打分': 3}
{'短评内容': '酒店位置不错，服务也不错！交通方便，出门就是地铁口，离天虹商场也非常近，交通购物都十分方便。下次来还会住。', '短评打分': 5}
{'短评内容': '交通方便出门就是地铁口，施设太旧价格高啦', '短评打分': 1}
{'短评内容': '房间的设施和地理位置不值428这个价位，太高了点', '短评打分': 5}
{'短评内容': '以前来吃过饭, 今天入住, 感觉不错, 交通方便, 地铁站零距离. 周围环境也不错, 值得推荐', '短评打分': 5}
{'短评内容': '出了地铁就是酒店，房间干净，舒适，早餐凑合。', '短评打分': 5}
{'短评内容': '交通方便,出门不远即有地铁. 但性价比不高, 房间较挤,似乎不象所说的那么大,前台接待人员较冷漠.早餐质量不好.', '短评打分': 1}
{'短评内容': '交通非常方便，附近有好多吃野的地方！！！！！！！！！', '短评打分': 5}
{'短评内容': '总店的环境非常不错，靠近深大，不知道大运会来的时候会不会涨价了？', '短评打分': 5}
{'短评内容': '酒店配套设施不错，交通很便利，很方便就找到海岸城啦', '短评打分': 5}
{'短评内容': '是给同事订的酒店,他们说还不错,下次还会订这家酒店!', '短评打分': 5}
{'短评内容': '地点品质都是很不错的~~就是地铁站还没正式修好一片工地比较不方便。。', '短评打分': 5}
{'短评内容': '自助餐不错，海鲜食材比较新鲜。房间对得起价格，设施也较信。就是电视可以换一换了。', '短评打分': 5}
{'短评内容': '酒店位置交通方便，酒店房间舒适，安静。只是在一楼乘电梯时有一不明昆虫（疑似蟑螂物），及其令人不爽。', '短评打分': 5}
{'短评内容': '就近地铁站，方便出行，但周边吃饭的地方离酒店较远！', '短评打分': 5}
{'短评内容': '安静舒适卫生还会选择', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '住得舒服，附近饮食出行都比较方便，在建的桃园地铁站还在对面！', '短评打分': 5}
{'短评内容': '酒店年代比较久了，不过房间还算干净，房间空间有点儿小；前台入住和结款速度都不快，希望改进；早餐不算好。', '短评打分': 5}
{'短评内容': ':新桃园酒店房间隔音效果不好，比较吵，周边装修，环境不好。', '短评打分': 3}
{'短评内容': '房间还行，电梯过忙！', '短评打分': 3}
{'短评内容': '因为我订了四间标间,一间单间,等我带着客人按点到店的时候,竟然只有二间标间,一间套间,二个单间给我了,太无良了,价格还是和原来的一样,没见少,我严重抗议,这么无良的酒店大家别订他们的,服务态度又差', '短评打分': 1}
{'短评内容': '因为我订了四间标间,一间单间,等我带着客人按点到店的时候,竟然只有二间标间,一间套间,二个单间给我了,太无良了,价格还是和原来的一样,没见少,我严重抗议,这么无良的酒店大家别订他们的', '短评打分': 1}
{'短评内容': '房间设施比较新。感觉都不错。离客户公司比较近。下次出差还入住。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '酒店内部这么多年保养得还可以，现在外面又乱有吵', '短评打分': 5}
{'短评内容': '算不错了，可惜外面在修地铁，有点吵，也有点脏。', '短评打分': 5}
{'短评内容': '位置不错的酒店，楼下在修地铁，将来会更方便', '短评打分': 3}
{'短评内容': '酒店卫生不错，设施有点旧；位置好，方便！ \r\n', '短评打分': 3}
{'短评内容': '\r\n深圳新桃园酒店不错，就是出门一个大坡，正在修地铁，感觉有点不方便。', '短评打分': 5}
{'短评内容': '修网络的人太不专业了，明明换根网线就好，还非说我的电脑坏了，前台还拒不换房，后来到别的房间试了确实是网络的问题才最后解决。', '短评打分': 1}
{'短评内容': '酒店不错，就是出门一个大坡，正在修地铁，感觉有点不方便。', '短评打分': 5}
{'短评内容': '酒店卫生不错，设施有点旧；位置好，方便！', '短评打分': 5}
{'短评内容': '酒店四周是建筑工地，进出交通和夜晚噪音是最大的问题。自助早餐也是非常一般。', '短评打分': 1}
{'短评内容': '感觉一般 有点旧,希望一次性的拖鞋换大一点，穿不下。', '短评打分': 5}
{'短评内容': '还好,现在修地铁所以便宜', '短评打分': 3}
{'短评内容': '停車位不足，晚上回來只能停旁邊的漢唐大廈了，過夜18大元啊', '短评打分': 3}
{'短评内容': '房間比較舊了，等新樓開業就好了', '短评打分': 3}
{'短评内容': '酒店較舊，房間也不大，就是位置好，性價比不好；不過同一區域選擇不多。', '短评打分': 5}
{'短评内容': '客房还不错，早餐比较简单。', '短评打分': 1}
{'短评内容': '酒店前面在修路，开车不方便，因为有个很大的斜坡\r\n不过，酒店一楼的自助餐还是不错的\r\n设施有些旧', '短评打分': 1}
{'短评内容': '性价比不错，已经住了很多次，酒店的餐饮很好\r\n\r\n', '短评打分': 3}
{'短评内容': '已经住了很多次，酒店的餐饮很好', '短评打分': 3}
{'短评内容': '酒店不错，现在地铁快修好了，将来交通会很方便\r\n', '短评打分': 5}
{'短评内容': '就是修地铁影响了他们生意。不过这样就不会难订了，而且他们价格才会做到优惠\r\n\r\n', '短评打分': 3}
{'短评内容': '就是修地铁影响了他们生意。不过这样就不会难订了，而且他们价格才会做到优惠\r\n\r\n', '短评打分': 5}
{'短评内容': '就是修地铁，要不挺好', '短评打分': 3}
{'短评内容': '总体还不错，只是目前地铁修建造成一定的不便。', '短评打分': 3}
{'短评内容': '位置不错，服务不错，性价比不错。', '短评打分': 5}
{'短评内容': '就是修地铁影响了他们生意。不过这样就不会难订了，而且他们价格才会做到优惠', '短评打分': 5}
{'短评内容': '很好，出门很方便', '短评打分': 3}
{'短评内容': '不错，一直住这酒店', '短评打分': 5}
{'短评内容': '虽然说是四星级的酒店，确有五星级的感觉。虽然看得出是很老的酒店，设计风格也老，但是确实可以给人非常舒适的感觉。可能是房间比较高的缘故吧。我住过很满意的酒店之一。性价比也算很高', '短评打分': 5}
{'短评内容': '这酒店住了很多次了，很好', '短评打分': 3}
{'短评内容': '酒店不错，餐饮很好！', '短评打分': 5}
{'短评内容': '整体来讲还可以，但性价比一般，在南山区还是可以的。', '短评打分': 5}
{'短评内容': '酒店设施还不错，就是四周的餐饮不怎么方便，都是酒店内直接叫吃的了', '短评打分': 5}
{'短评内容': '酒店服务很周到，环境也不错，地理位置也很好，交通也很便捷', '短评打分': 5}
