{'短评内容': '很好很好，满意', '短评打分': 5}
{'短评内容': '十分不错，很中心~~去哪都方便~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '如家一直都是很温馨的感觉。和父母一起去住了家庭房，房间非常大，而且很干净，很满意', '短评打分': 5}
{'短评内容': '全国都差不多，，，，，建议住4楼以上，，，，', '短评打分': 5}
{'短评内容': '整体环境不错，交通方便，感觉好，下次会继续入住。', '短评打分': 5}
{'短评内容': '很好啊，很喜欢，一如既往的如家品质。下次还来。哈哈', '短评打分': 5}
{'短评内容': '下面有夜市，后面的房间还算安静，前面的有些郁闷了-呵呵，周边环境不错的，吃的东西不少，距离中山公园也很近，去厦门有拼车，30块--1，5小时就到机场，服务还行，冷气不错，热水有点不给力。', '短评打分': 5}
{'短评内容': '   房间还不错，就是靠近停车场的房间有点吵。   ', '短评打分': 5}
{'短评内容': '环境还行··停车比较麻烦。态度还可以··', '短评打分': 5}
{'短评内容': '好吵啊好吵啊好吵啊，半夜2点还乒乒乓乓的搬啤酒瓶。这个房间不好啊，上次住的顶多11点就安静下来了。', '短评打分': 5}
{'短评内容': ' 房间小 有点吵 挺干净', '短评打分': 3}
{'短评内容': '房间有味道，但不是很严重，条件还行，楼下夜市，很热闹，也相对较吵。', '短评打分': 5}
{'短评内容': '酒店环境还不错，很温馨，浴室也很干净，就是房间有点小，隔音有点不好，睡觉的时候走廊上服务员讲话声音都听见了。', '短评打分': 5}
{'短评内容': '环境很好，干净卫生，总台办理速度快，方便快捷。服务员也随叫随到，是出行的首选。', '短评打分': 3}
{'短评内容': '很好很不错，闹中取静，非常满意，性价比很高，有机会还是会入住的，', '短评打分': 5}
{'短评内容': '入住后感觉酒店卫生环境不错，在漳州市此地理位置属性价比较高的酒店。美中不足的就是房内无小茶几，就两张椅子；无网络。', '短评打分': 5}
{'短评内容': ' 环境不错！', '短评打分': 3}
{'短评内容': '新开不久，酒店干净，地理位置较好，房间也比较大。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '地点不错，环境也不错，就是房间内没有wifi是缺点，因为大堂较小，不能老在那里上网。退房时间建议不要区分等级。', '短评打分': 5}
{'短评内容': '新装修的，大床房可以，安静，早餐不错。。。。。', '短评打分': 5}
{'短评内容': '是不错，挺干净的，交通也方便下次去漳州出差还住这里.', '短评打分': 5}
{'短评内容': '在巿中心 很方便。房间非常干净整洁', '短评打分': 3}
{'短评内容': '不错，满干净的,很热闹，出门即是漳州夜市。KTV，酒吧很多。。。。', '短评打分': 5}
{'短评内容': '因为天气原因，房间稍微有点潮，电视台少了点。其他还不错。', '短评打分': 5}
{'短评内容': '不错，卫生做得非常好，给个好评。', '短评打分': 3}
{'短评内容': '很不错的地方，离汽车站很近，下次来还住这里。', '短评打分': 5}
{'短评内容': '比较的安静，但是午餐和晚餐没有。。。。。。。', '短评打分': 5}
{'短评内容': '很好不错真的可以大家可以考虑去那家真的好\n', '短评打分': 5}
{'短评内容': '上次住的房间好潮湿， 房间在一楼，位置不是很好，希望这次不要把我排在一楼。。谢谢', '短评打分': 5}
{'短评内容': '还不错，附近貌似吃的地方比较多。不过刚进房间的时候，有种怪怪的味道不大好闻。', '短评打分': 5}
{'短评内容': '位置位于夜市，挺热闹的。客房很整洁，很不错。唯独不喜欢的是上午九点左右就有服务员来敲门问需不需要卫生服务。把我吵醒了，两天都是这样。总体是不错。值得推荐。', '短评打分': 5}
{'短评内容': '酒店很干净，卫生条件不错。床很大哦，喜欢！', '短评打分': 3}
{'短评内容': '  还行，被子白色更好了', '短评打分': 3}
{'短评内容': '环境还不错，有家的感觉，服务态度也不错，值得去住。', '短评打分': 5}
{'短评内容': '在这住了两晚上，还有一晚。总体来说不错。房间的环境很好，整洁、干净。地理位置也好。就是房间隔音效果实在是很差。下面有夜市和酒吧。会很吵。总体来说值得入住。', '短评打分': 5}
{'短评内容': '还不错哦。嘿嘿~门口就是夜市，吃饭什么都方便，车也好打。', '短评打分': 5}
{'短评内容': '服务态度很好..房间不错 干净而且很多细节都照顾到了..就是晚上有点吵。。', '短评打分': 5}
{'短评内容': '地理位置还不错 交通方便 门口是夜市 半夜饿了也有吃的 ', '短评打分': 5}
{'短评内容': '位置不错，新店，装修比较新，依然很如家哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '设备很如家，但环境不好，停车场要绕很远，而且还和一KTV共用一个院子，下半夜KTV下班后就像菜市场一样，根本没法睡。还不如之前旁边住的鑫如家。', '短评打分': 1}
{'短评内容': '停车场在街后要绕一大圈才找到，旁边是发电机房 劲响！晚上厕所还停水，等到10点多才能冲厕所 差点熏死！网络不稳定，前台回复是电信年底检修造成，这回答有点牵强。最惨就是开放和退房时都是停电的，提着行李爬楼梯，锻炼身体。', '短评打分': 1}
{'短评内容': '可以，品牌酒店就是不一样,可以，品牌酒店就是不一样', '短评打分': 5}
