{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '酒店是三星级的，在紫阳路与首义路之间算是性价比比较高的酒店，房间面积大，缺点就是酒店比较老，房间基本设置相对陈旧。', '短评打分': 5}
{'短评内容': '酒店蛮不错的，环境还可以，与这个价格比较符合。。。', '短评打分': 5}
{'短评内容': '还可以，不功不过吧，就是房间的窗帘不够厚，早上有点透光', '短评打分': 1}
{'短评内容': '还不错，如果有早餐送就更好了！环境很好的感觉！', '短评打分': 5}
{'短评内容': '酒店位置不错，也还干净，就是定的豪华大床房看不出一点豪华的样子，说是最近装修的，怎么样也看不出什么特殊。床品还算舒服，这个价格还合适。', '短评打分': 5}
{'短评内容': '干净，舒适，服务也可以。建议再接再厉为我们提供更好的服务', '短评打分': 5}
{'短评内容': '非常好！', '短评打分': 3}
{'短评内容': '我住过几次了，感觉挺好的，下次还会住的。', '短评打分': 5}
{'短评内容': '服务不错，就是装修一般，其他的都还可以，下次的时候可能会再去住', '短评打分': 5}
{'短评内容': '感觉很一般~~卫生间的面积过过过小了！  但是服务态度不错~~', '短评打分': 5}
{'短评内容': '基本就是因为离黄鹤楼近，价格较低才选择这家酒店的，卫生一般，浴缸小，而且不能充满水。第一天住的时候发现水也不是很热。最离谱是普通房没有吊灯。', '短评打分': 5}
{'短评内容': '距离武昌火车站非常近,入住方便.公交车站不远,出行较方便', '短评打分': 5}
{'短评内容': ' 房间够大', '短评打分': 5}
{'短评内容': '还可以。', '短评打分': 5}
{'短评内容': '卧室还不错，但是浴室真是太太太小了！只有大概1.2*1.2的空间，而且地板不坚固！地里位置好找，服务态度也很好！', '短评打分': 1}
{'短评内容': '好!', '短评打分': 5}
{'短评内容': '    酒店服务特好，我们一家三口是早上入住的，服务人员二话没说就同意入住了，还给我们安排了家庭套房，值得推荐！', '短评打分': 5}
{'短评内容': '三星级酒店，还可以，房间设备齐全，只是设施稍微陈旧了一些！', '短评打分': 5}
{'短评内容': '卫生不是很好，没有电视遥控器，打了几遍电话，等了N久都没人送过来。楼下有桑拿，有人从门缝发传单。其它跟一般便捷旅店差不多。', '短评打分': 1}
{'短评内容': '酒店太旧了，环境比较差', '短评打分': 1}
{'短评内容': '整体印象还不错，服务令人满意。如果有无线网的覆盖，笔记本能直接通过wifi上网，就更好了。', '短评打分': 5}
{'短评内容': '整体感觉还可以，离武昌火车站比较近，挺方便的，环境也还可以，就是房间有点小，价格要是在低点就更合适了', '短评打分': 3}
{'短评内容': '供应热水都比较的及时，而且交通也很便利，整体感觉性价比可以', '短评打分': 3}
{'短评内容': '服务态度上还是不错的,但是酒店周围的环境很差不太好,房间的设施也有些陈旧,达不到3星级的标准,也就是离我办事的地方近点.', '短评打分': 3}
{'短评内容': '订房时间的服务态度有待提高', '短评打分': 3}
{'短评内容': '还可以，就是吃饭的地方可吃的东西少', '短评打分': 3}
{'短评内容': '位置非常方便，设施老了点。和同价的酒店差点', '短评打分': 5}
{'短评内容': '服务很热情，包括美容美发不厌其烦的电话', '短评打分': 5}
{'短评内容': '位置还是挺方便,服务和卫生做的还是挺好的,挺满意的.', '短评打分': 3}
{'短评内容': '地板不太干净，服务员态度不太好', '短评打分': 1}
