{'短评内容': '环境和服务都挺好的，就是收拾房间声音太大，早晨容易被吵醒', '短评打分': 3}
{'短评内容': '前台比较热情，有问题反映了马上找人帮忙处理，房间也比较干净，价格算是比较实惠的了！只是11月20日入住得时候空调只能制冷，房间温度稍有些低！当然晚上盖被睡觉是不会冷的了！枕头有点高，个人感觉。呵呵', '短评打分': 5}
{'短评内容': '酒店位于繁华商业中心,交通、购物和就餐都十分方便，承坐隧道1路汽车可直达青岛火车站，方便换乘火车，汽车票价仅2元。酒店条件不错，提供自助早餐：水果、蔬菜一应俱全，主食有精致面点和炒饭。炒菜保留天然色泽和味道，并且每天有所变化，还有稀饭、蛋汤、牛奶和咖啡。餐厅服务员也很热情，遗憾的是楼道内有餐厅的味道。', '短评打分': 5}
{'短评内容': '房间比以前干净舒适，位置比方便', '短评打分': 3}
{'短评内容': '条件不错，价格优惠', '短评打分': 3}
{'短评内容': ' 环境可以，房间大，上网不方便，老酒店重新装修的，有些东西还是旧的，属于利群集团', '短评打分': 3}
{'短评内容': '服务很好，环境很好，很干净，就是停车场太小', '短评打分': 5}
{'短评内容': '酒店很好，服务很好，环境很好，美中不足就是停车场太小', '短评打分': 5}
{'短评内容': '客观地讲还是比较满意的。很新，经理很热情。待改进的地方：酒店大门不好找；停车场待改进，床有点高，害怕掉下来哈。', '短评打分': 5}
{'短评内容': '酒店软件服务还可以就是硬件跟不上,不过周围购物吃饭还是很方便的，希望可以整体可以越来越好！\n', '短评打分': 5}
{'短评内容': '酒店软件服务还可以就是硬件跟不上。周围购物吃饭包括旅游还是很方便的，希望可以整体可以越来越好！\n', '短评打分': 5}
{'短评内容': '酒店软件服务还可以就是硬件跟不上，房间水一会冷一会热,吃饭的地方太混乱，不过服务员倒是蛮客气的，东西不够他们会帮你再去弄吃的。周围购物吃饭还是很方便的，希望可以整体可以越来越好！\n', '短评打分': 5}
{'短评内容': '只能说是凑合吧，比较好的地方是该酒店床品是新的，比较舒服，其他设施都比较陈旧了，特别是卫生间，酒店走廊与餐厅是通的，味道比较混乱，就餐时间也比较吵。楼下没有专用的停车位，就停在楼后面，有点不放心。服务态度都比较好，但不是很规范的样子。综合起来，可能算是2星的标准吧，价格比较实惠，水平不是太高。', '短评打分': 5}
{'短评内容': '酒店软件服务还可以就是硬件跟不上，房间水一会冷一会热。不过周围购物吃饭还是很方便的，希望可以整体可以越来越好！', '短评打分': 5}
{'短评内容': '我们是7月22日住的，相当的气氛，房间在8楼，楼下就是餐厅，而且是餐厅中间有个大厅和8楼通着，什么味道也有啊！！房间内一股难闻的相识刚装修的味道，最可气得是没看车的！！！晚上放到酒店门口不知被哪个该死的东西把轮胎划了下，车漆也被人划了一道，（酒店正门在大楼的后面一条小道上），还没完，早上去吃早餐，拿饭相识喂猪的！！客人吃完不打扫，东西也不上新的，我们说明不是团队的，才上了盘鸡蛋和稀饭，太烂了，经常', '短评打分': 1}
