{'短评内容': '酒店设施老一些，服务很好。', '短评打分': 5}
{'短评内容': '比较安净，靠近南湖', '短评打分': 3}
{'短评内容': '比较干净，性价比不错', '短评打分': 3}
{'短评内容': '酒店硬件够五星，大堂豪华，房间面积很大，床也舒适，卫生间整洁。但是除了餐厅之外，其他的服务真的让人失望：1、前台效率很低，有时候甚至讲地方方言  2、门童站在那里聊天，既不帮客人开车门拿行李，进出也从不问好  3、housekeeper看见客人都跟看见空气一样 4、出门打车非常不容易，酒店也没有叫车服务    不过总的来说，这样的价格，性价比还是不错的，再怎么说也是当地最好的九点了。', '短评打分': 5}
{'短评内容': '房间灰常大 唯一的一点就是电视怎么不是液晶的', '短评打分': 5}
{'短评内容': '红河地区的首选酒店，\n五星级酒店，房间超大，早餐不错。软硬件俱佳。\n酒店附近有一家叫哈尼人家的当地菜，价格公道，人气很旺。\n入住该酒店还可以免费看飞机训练，具体什么型号自己去看，呵呵。', '短评打分': 5}
{'短评内容': '谢谢！', '短评打分': 3}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '这个酒店应该是蒙自最高档的酒店了，酒店设施齐全，我们入住商务房，连窗帘都是遥控的。酒店两面房间风景都不错，一面是南湖，一面是大片别墅区。但酒店前台的服务感觉不够热情，冷冷的。总体感觉不错，下次去买石榴还住这里。', '短评打分': 5}
{'短评内容': '还不错，位置挺方便，价格还算适中，下次还会住哪儿 \n', '短评打分': 5}
{'短评内容': '酒店很不错  就是电视让人有点小小的不满意  不是液晶的 而且电视台也很少  希望可以改进   其他的都很不错', '短评打分': 5}
{'短评内容': '床很软~卫生间灰常大~早餐灰常丰富~大家去蒙自值得一住~', '短评打分': 5}
{'短评内容': '说实在的，住五星的酒店就是想舒服和体现酒店客服的层次，但酒店桑拿和泡脚都要额外付费，有些不解。。。自助餐厅感觉也小了点，一般吧!', '短评打分': 3}
{'短评内容': '很好，这个价格能住到准五星级觉得很不错！', '短评打分': 5}
{'短评内容': '非常好的一家酒店，靠着水，也很安静。离南湖公园很近，晚上可以到湖边散步。总体非常棒', '短评打分': 5}
{'短评内容': '很一般', '短评打分': 5}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '在云南出差住官房是我的首选', '短评打分': 5}
{'短评内容': '红河州最好的酒店', '短评打分': 5}
{'短评内容': '环境优美，软件设施好', '短评打分': 5}
{'短评内容': '一年之后再次入住红河官房，还是原来的那间房间，一年的时间好像一点也没在房间里反映出来，说明酒店设施的维护做的很到位。临近除夕住店，客人不算很多，服务生也是一如既往的微笑服务，入住退房都很快。继续推荐。', '短评打分': 5}
{'短评内容': '其实这家酒店在当地算是最好的酒店了,位置还是挺好找的,房间的卫生和设施都还可以,酒店的服务态度挺不错的,性价比也很好.', '短评打分': 3}
{'短评内容': '   最近又住在那里，已经是满满的圣诞气息。每次住的房价都是朝着南湖，拉开窗帘，透过落地窗就看到几近整个的南湖。大床很大，房间也很大。整体的服务还是非常好啊，价格又合理，环境还好~~~~~真是个好酒店！以后还会来的。', '短评打分': 5}
{'短评内容': '环境很好，价格也不贵，关键房间挺宽敞的，舒适', '短评打分': 3}
{'短评内容': '官房的品牌值得信赖！', '短评打分': 5}
{'短评内容': '这酒店够五星级服务设施都好以后再去还住哪儿', '短评打分': 5}
{'短评内容': '酒店的早餐品种虽然不少，但是味道却不怎么好，不过服务还挺不错的，而且位置交通很方便，我觉得很值。', '短评打分': 3}
{'短评内容': '是个很不错的酒店了，很适合度假的，前面就是南湖，客房若在那一侧的话风景自然没的说，房间相当大，各类设施也很齐全。早餐很丰富，什么都有。总之感觉相当好，下次来应该还会是这里。', '短评打分': 5}
{'短评内容': '一个非常不错的酒店!由于当地消费不高,而且相对大城市来说客源少些,所以房间物超所值!下次还会入住!', '短评打分': 5}
{'短评内容': '愿意再次入住,因为当地没有更好的酒店,而且真的很便宜.它的缺点主要是服务,比如说,送餐服务我要了冻啤酒,可送来的却是不冻的,等等,服务细节完全算不上五星.', '短评打分': 5}
