{'descr': '对面就是两来风，吃个豪华早餐！', 'star': 4}
{'descr': '相对于这个价格来说，性价比还是不错的，干净', 'star': 5}
{'descr': '环境很一般，服务态度也不好，卫生间就更不用说了，被子还是湿的', 'star': 3}
{'descr': '这次住的是2楼，感觉很暗，不是很舒服，屋里很闷！还是四楼舒服些', 'star': 3}
{'descr': '条件不错，比较满意。', 'star': 3}
{'descr': '之前一直找没有找到合适的，无意中看到这家酒店，酒店很不错哦，比较干净，位置也不错，下次还会来住，喜欢酒店的电脑电视一体，服务员态度也很好，就是隔音效果不好', 'star': 5}
{'descr': '环境不错，交通方便。给个好评！', 'star': 3}
{'descr': '环境很好，干净舒适，大床房还有电脑，有早餐，下次要是到徐州还要在这家酒店入住！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '地段不错，交通也很方便，酒店的服务人员也特别热情。下回去还会住的', 'star': 5}
{'descr': '没什么特别要求，毕竟这个价格呢\n附近打车还可以   不过吹风机也没有的', 'star': 5}
{'descr': '便宜干净,位置也还不错,离火车站近.\n\n!!!!', 'star': 5}
{'descr': '干净便宜,地点也不错,离火车站近.我都当自己房子了.', 'star': 5}
{'descr': '还好，也很安静，就是早餐不怎么样。电话也不能打长途了。', 'star': 5}
{'descr': '牙刷太硬 牙膏不好挤出 毛巾破了一个洞  屋子淋浴水挺大 早餐挺好 就是种类有点少 服务态度也不错 屋子隔音效果不好 床睡着不是很舒服 离火车站较近 挺好买票', 'star': 5}
{'descr': '＋房间还可以，有点小！', 'star': 3}
{'descr': '房间不大', 'star': 3}
{'descr': '环境不错,就是没有一次性拖鞋,很不舒服.', 'star': 3}
{'descr': '前台有一个女招待服务态度很不好，打电话问地址说话很冲，很没礼貌。预定的是大床房到了以后跟我说没有，最后也是拼的标间床，卫生还可以，算干净。说是可以上网，桌上摆着一个显示屏，没安键盘，闭路线就扔在地上，没接口。临走的时候还多算我一天房费，让他们好好计算一下，才最后告诉我是4天3夜，应该是三天，是他们算错了。综合打分最多给70.', 'star': 1}
{'descr': '房间环境还可以，不过位置有点偏，周围环境比较差', 'star': 5}
{'descr': '环境一般，服务一般，就是旅馆的拖鞋穿着不舒服 ', 'star': 3}
{'descr': '房间还算一般，来不及吃早餐，性价比适中', 'star': 3}
{'descr': '看说明特价房有电脑，结果没有，加钱换到普通房，其实房间都是一样，就是想多赚钱！而且外边临街噪声很大！', 'star': 1}
{'descr': '很不错，干净整齐，就是有点不好找。整体感觉很好，下次还会去住。', 'star': 5}
{'descr': '地理位置不错，街对面的徐州市委大院正在拆迁，显得很乱。房间里干净整洁，但有异味。服务员很热情。', 'star': 1}
{'descr': '房间不是太大，但还算比较干净，地理位置也不错，服务人员态度也不错，总的来说还是不错的，就是有点不隔音', 'star': 5}
{'descr': '干净清爽 交通比较方便 前台服务态度较好 感觉很温馨', 'star': 5}
{'descr': '很不错，住的挺舒服的，房间干净，格局很不错', 'star': 5}
{'descr': '徐州百惠家美酒店 位置不错，离火车站较近，周围小吃多，还有很多购物的地方', 'star': 5}
{'descr': '0000000000000000000000000', 'star': 1}
{'descr': '卫生很好 服务很好', 'star': 3}
{'descr': '整体来说很一般，房间比较小，还算安静，房间里的电脑电视一体机太卡，只能用来看电视，不能上网。给我印象比较的是早餐厅，非常干净，早餐虽然种类不多，味道也一般，但是都是热气腾腾的，感觉还算新鲜', 'star': 5}
{'descr': '整体感觉还是不错的，性价比还行，电脑和电视可以同时使用，就是我那间房的电脑有雪花，其他都不错！', 'star': 5}
{'descr': '不错，挺干净的，可以上网，早点也还可以，我住的是大床房', 'star': 5}
{'descr': '除了空调有点冷之外    其他都很OK        光纤速度很给力的', 'star': 5}
{'descr': '希望有“中、晚点餐套餐”和“提供地方口味家常菜”。', 'star': 1}
{'descr': '已经没有“中、晚点餐套餐”和“提供地方口味家常菜”了，仅早餐而已。', 'star': 1}
{'descr': ' 很好，环境不错！就是空调不好，打一晚上最高温度，还是冻了一晚上…', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '已入住', 'star': 3}
{'descr': '太冷，被子薄，空调不热，房间布局不好', 'star': 3}
{'descr': '环境不会,房间整洁，有电脑.', 'star': 3}
{'descr': '这家酒店价格很合适，主要是这个价钱又电脑的房间不好找。', 'star': 5}
{'descr': '房间稍微有点小，但是的确很干净，而且位置相对来说在城市的中心，交通比较方便！', 'star': 5}
{'descr': '很不好停车，酒店大堂与餐厅连在一起，吃饭的人又很没有规矩，搞得很脏，进门就很不舒服。我想我下次肯定不会去住了。', 'star': 1}
{'descr': '价钱适中，但是酒店房间的隔音条件不好，休息会受影响。', 'star': 1}
{'descr': '比较干净，虽然设施不是很好，但对出差的已经可以了。只是早餐要7点半才开始，明天要赶车就不能就餐了。', 'star': 5}
{'descr': '不错的！值的呢！新装修呢.............................', 'star': 5}
{'descr': '还是很不错的，比较新，还有就是比较干净，但是房间有点小，如果下次来，还是会选择入住的', 'star': 5}
{'descr': '酒店非常的好，我订的是大床房，135元一天，还有电脑，和早餐，早餐很多吃的种类也多，一点也不胡弄人。我也经常去旅行，住的酒店也不少，这个酒店真的不错，交通方便，离火车站和市中心都特别近，火车站直线走五分钟吧。出门就有公交车可以坐，更适合自游行的客人，更主要的是大床特别舒服，枕头也好，让人累了一下子就会进入梦香。离酒店不远还有一条小吃街。什么的都有。又便宜又好吃。服务人员也不错。热情，得体。总之如果', 'star': 5}
{'descr': '卫生间挺大的，不错，还有免费的早餐，也还行', 'star': 5}
{'descr': '嗯！还是个不错的店！就是退房晚了半小时就硬让我再加半天，好在我反正也没地方去就留了！', 'star': 3}
{'descr': '酒店可以，就是房间太小', 'star': 5}
{'descr': '卫生啥都不错，不错的地方，以后都还会再去。', 'star': 5}
{'descr': 'this hotel is very recomended to whom will stay in xuzhou', 'star': 5}
{'descr': '相当便宜的酒店 ,位置也不错.不错!我会向朋友推荐的', 'star': 5}
{'descr': '我9/22-9/24住宿。\r\n說說缺點：(前台都標示有下面這些服務)\r\n1.9/23早上詢問有無代購機票、火車票，沒有這項服務。\r\n2.9/23下午要借針線包，竟然說沒有。\r\n3.9/24早上要借吹風機，前台說只有一台但故障了，開什麼玩笑...\r\n4.9/24吃早餐，粥裡面有棉沙線(有照片為證)，服務員竟然在離我四米處跟我叫說：換一碗就好啦！這就是服務....\r\n說說優點：\r\n1.早餐免費，免強可', 'star': 1}
{'descr': '环境安静，距离火车站比较近，就是晚上吃夜宵不是很方便。', 'star': 5}
{'descr': '酒店在一个小街上，不好停车。房间超级小，电视电脑二合一，还不错。', 'star': 5}
{'descr': '什么都还好，就是床太硬了，好像没有床褥。', 'star': 5}
{'descr': '房间还算舒服！卫生还不错,就是房间稍微小了一点！早餐没什么东西吃,不过也是免费的就是...', 'star': 5}
{'descr': '除了房间的确小了点，不过要那么大的地也是浪费，其他一切堪称完美！', 'star': 5}
{'descr': '呵呵最近老住啦，当成月租房！离火车站近，相当方便的啦！', 'star': 5}
{'descr': '整体还不错，就是新装修的有些味道，卫生还可以，服务也行', 'star': 3}
{'descr': '房间还算舒服！卫生还可以！就是早餐没什么东西吃！', 'star': 5}
{'descr': '这是一家我住过的性价比最差的快捷酒店了，没有停车场，大堂兼餐厅，脏乱差，到徐州不能住这样的酒店的。', 'star': 1}
{'descr': '离车站很近，步行10分钟。很便宜的一家小酒店！长住的话有考虑', 'star': 3}
{'descr': '蛮干净的 就是房间小了点 蛮经济实惠的 下次来徐州还会住这', 'star': 5}
{'descr': '便宜，干净，离车站近！我已经住了好几次，上周又带朋友来的', 'star': 5}
{'descr': '便宜', 'star': 5}
{'descr': '从汽车站出来还是挺远的，肯定不止５００米，宾馆的位置不是很好，但是室内装潢的不错，很新。就是房型有点小了。下次去徐州，我还是会选择这家的。性价比高', 'star': 5}
{'descr': '房间很简陋\r\n，便宜呀！', 'star': 3}
{'descr': '干净~~整洁~~', 'star': 5}
{'descr': '离火车站,汽车站比较近,但是周围环境好.', 'star': 5}
{'descr': '感觉还不错啊 \r\n价格合理啊 ，卫生什么都还可以啊 ，挺干净的 啊\r\n挺啊 ', 'star': 5}
{'descr': '便宜呀', 'star': 5}
{'descr': '床单被套最好能柔软些', 'star': 5}
{'descr': '刚刚装修，性价比还是不错的', 'star': 3}
{'descr': '房间干净，床垫强度适合，空调不错，隔壁是超市—方便。房间有蚊子，停车要到后面院子—不方便。', 'star': 5}
{'descr': '整体不错!可以给88分', 'star': 3}
{'descr': '刚刚装修，整体性价比还是不错，不过距离火车站走路5分钟可不行，得10分钟左右吧。', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '下次去徐州我还会住那里的 不错', 'star': 5}
{'descr': '打个80分吧。', 'star': 5}
{'descr': '退房太慢，就一个人，早餐8点半就没东西吃了，比较差', 'star': 5}
{'descr': '很满意!干净', 'star': 5}
{'descr': '酒店各方面服务都很到位，我比较喜欢.而且酒店的位置也不错，挺方便出行的.整体水平还不错.', 'star': 5}
{'descr': '卫生什么都蛮好的，而且还赠送早餐，这些很满意，但是去市区，那个距离比较纠结，虽然酒店位于市区，但偏偏还有段距离，打的浪费，不打的话又不认识路', 'star': 5}
{'descr': '酒店是新开的，不错，服务满好的，直的推荐。\r\n房间的隔音效果略差些。', 'star': 5}
{'descr': '我建议二楼的窗户上应该装遮蔽的东西。', 'star': 5}
{'descr': '酒店的环境硬件设施都很好，位置出行交通方便，价格很优惠，性价比很好的酒店，再去那边的话还是会入住这家酒店。', 'star': 5}
{'descr': '还是不错的一个酒店，下次我还会去住。', 'star': 5}
{'descr': '地方很新很干净，值得一住，下次还会来的！', 'star': 5}
{'descr': '价格偏高', 'star': 5}
