{'短评内容': '酒店位置不错', '短评打分': 5}
{'短评内容': '非常好，就如大家介绍的一样，经济实惠，优点：房间空间较大，床也大，灯多，明亮，办公区域大，宽敞。尤其是卫生间竟然会是干湿分离的，赞一个。如果还能再便宜些会更好。喜欢，如果下次有机会还会再去。', '短评打分': 5}
{'短评内容': '房间整洁干净，床铺很舒服，很喜欢那个枕头，房间隔音不好，靠马路边晚上睡觉比较吵', '短评打分': 3}
{'短评内容': '房间内饰挺温馨，就是房间隔音效果太差了', '短评打分': 3}
{'短评内容': '还可以，各方面都算满意吧，性价也还好了，下次扔会考虑入住', '短评打分': 5}
{'短评内容': '标准的商务酒店，延街的房间开窗的话比较吵\n借着开会，房价爆涨，有点不厚道', '短评打分': 5}
{'短评内容': '入住时，前台的服务人员很热情。\n楼道里遇见工作人员都会打招呼。\n早上吃饭回来，赶上房间已经被工作人员打开，打扫卫生，于是就进去拿东西，工作人员很礼貌的问了我的情况，以及跟我要了门卡，以防误入别人房间，这份负责的态度值得表扬！当我们反应房间有东西已经损坏后，立即通知后勤进行维修。\n总之点点滴滴都能感觉到他们是用心想做好，凭着这份用心，相信他们能做好。\n在这里提个小建议：就是浴室的两个清洁液没有标注（', '短评打分': 5}
{'短评内容': '听我爸妈说早餐品种比较少，希望多增加一点福州当地特色佳肴。', '短评打分': 5}
{'短评内容': '酒店蛮干净的。就是从火车站过来不能直达，要坐K1在于山下，转125路在钢材市场下才能到。', '短评打分': 3}
{'短评内容': '酒店可以，离车站远了点', '短评打分': 3}
{'短评内容': '因为离我们住的地方比较近，所以帮我的家人定的这家，旅馆比较干净，就是小了点。挺好的，要是再优惠点就更好了。', '短评打分': 5}
{'短评内容': '前台服务不是很好。解答问题不耐烦。', '短评打分': 3}
{'短评内容': '还不错,交通便利,卫生整洁.下次去福州,还会定这家.', '短评打分': 5}
{'短评内容': '服务好，位置好，安静，干净。每次去福州都住这里，感觉很舒服，周围吃饭的地方也很多。大家还是多多捧场。如果下次去福州还会选择这里', '短评打分': 5}
{'短评内容': '如果你不喜欢太吵的地方，这里是个不错的选择，酒店蛮干净的，服务不错，早餐我很喜欢，不繁杂，清清淡淡的。', '短评打分': 5}
{'短评内容': '住了两天，觉得房间很大，床铺也很干净，打车很便利，对面就大超市，购物很方便。下回还会再来，早餐简单了点，也对得起这价', '短评打分': 5}
{'短评内容': '很不错，干净，安静，早餐也很实在。离酒店不远有个家乐福，购物还挺方便。缺点是卫生间全是玻璃间隔，太透明了，有点囧。', '短评打分': 5}
{'短评内容': '性价比还是很合理的，房间蛮干净，早餐还马马虎虎，服务也还可以', '短评打分': 5}
{'短评内容': '帮同事出差定的酒店，同事说还不错，干净卫生，服务热情，早餐也很好，就是不太好找，出租车司机绕了好几圈才找到，', '短评打分': 5}
{'短评内容': '位置不是很好找，价位很合理。酒店蛮干净，早餐不错，房间也很宽敞', '短评打分': 5}
{'短评内容': '地理位置不错，做为一家商务酒店，还是不错的。', '短评打分': 5}
{'短评内容': '福州比较干净的酒店了，床也相对五一店软，就是地方不够繁华', '短评打分': 5}
{'短评内容': '  酒店地段好，卫生也好，装修不错，房间也比较大。不过价格稍贵一些，经济型酒店的价位在福州基本都只要在200元以内的。', '短评打分': 5}
{'短评内容': '酒店各项还不错!但是价格稍贵!房间稍小。隔音不好，吵', '短评打分': 3}
{'短评内容': '酒店环境还是非常好的，房间设施也很新，性价比还是蛮高的，地理位置出行都很方便。', '短评打分': 5}
{'短评内容': '不错的环境和服务，价格也适中，下次还来8888', '短评打分': 5}
{'短评内容': '不错的环境和服务，价格也适中，下次还来7777', '短评打分': 5}
{'短评内容': '＋不孬', '短评打分': 3}
{'短评内容': '房间很舒适，服务很好，可以到到2点退房，很不错', '短评打分': 5}
{'短评内容': '  新开的 干净整洁  不错', '短评打分': 3}
{'短评内容': '    酒店很新空间够大，床单很干净，选料也很讲究，喜欢荞麦枕头，长写字台设计方便，可移动双标床很适合全家入住，32寸液晶电视机，老婆说很喜欢酒店的牙刷 梳子，员工服务周到。\n    床有点软，淋浴房全玻璃设计虽然中间有磨砂但是留了好多图案，全家住不方便，餐厅在7楼电梯不能直达，早餐档次低但还算干净，性用品摆放在床头柜上太显眼小孩看到不好，不敢恭维当地的治安，早上起来门脚有几张小卡片，然后看到走廊', '短评打分': 5}
{'短评内容': '新的，总体不错，又在闹市，干净，下次还会住', '短评打分': 5}
{'短评内容': '感觉不错，很新很干净。', '短评打分': 3}
{'短评内容': '感觉不错', '短评打分': 3}
{'短评内容': '+好，第二次入住了。', '短评打分': 5}
{'短评内容': '地点有点偏，酒店在试营业，服务态度可以,发票还没准备好.等寄.不知要不要催', '短评打分': 5}
{'短评内容': '+干净，厕所与浴室分隔。交通方便。下次还会选择。', '短评打分': 5}
{'短评内容': '房间还可以，就是床太软了。', '短评打分': 5}
{'短评内容': '硬件真的很不错，不得不提新开的就是不一样哦。可是软件许多没跟上哦，扑克牌没有，要送瓶绿茶上来既然打了四次电话才拿上来哦。 总体还是蛮喜欢的哦...', '短评打分': 5}
{'短评内容': '新开业的酒店，跟他们宣传的差不多，特别喜欢里面的荞麦枕，值得一住，下次来福州还会选择这家酒店。', '短评打分': 5}
