{'短评内容': '价格还好，房间设施比较老旧', '短评打分': 5}
{'短评内容': '总而言之从设施到服务都由明显的退步，看来在激烈竞争中处于下风。不够早餐很好。', '短评打分': 5}
{'短评内容': '酒店设施略显陈旧，服务水平有所下降。总体基本满意', '短评打分': 5}
{'短评内容': '出了贵没感觉享受到的服务值这个价格，硬件没货说，但软件真的名不副实。', '短评打分': 1}
{'短评内容': '酒店比较旧，估计隔音不是很好，不过另一面一马平川，不是很碍眼，没有景色也是一种舒心的景色吧', '短评打分': 1}
{'短评内容': '酒店其他方面都不错，只是洗手盆不太好用。', '短评打分': 3}
{'短评内容': '酒店服务很到位，不愧是国际知名品牌酒店。', '短评打分': 5}
{'短评内容': '真是可惜了这么好的地方，设备太陈旧了，服务态度不错。', '短评打分': 5}
{'短评内容': '天津5星涉外酒店之一，很老的5星级（资历）停车方便，有花园，是一家休闲涉外酒店，天津市应该排在前5位，推荐入住！！', '短评打分': 5}
{'短评内容': '相当不错的酒店，环境、位置都可以，会推荐这家酒店的\n虽然有点旧了', '短评打分': 5}
{'短评内容': '房间很安静，设施有些老，周边环境很好。性价比不错。', '短评打分': 5}
{'短评内容': '相当不错的酒店，环境、位置都可以，会推荐这家酒店的', '短评打分': 5}
{'短评内容': '环境相对安静，价格可以，但是怎么没有送卷也没有现金返还呢？美中不足~~~', '短评打分': 5}
{'短评内容': '房间很大，早餐丰富,周边环境也不错。就是价格高些。', '短评打分': 5}
{'短评内容': '服务态度,速度都还不错', '短评打分': 3}
{'短评内容': '房间有些发旧，不能理解的是订的双床房却只含单早。', '短评打分': 3}
{'短评内容': '入住有点慢', '短评打分': 3}
{'短评内容': '123', '短评打分': 3}
{'短评内容': '酒店地理位置优越，交通便利，服务很好，就是价格有些贵，打折的时候比较划算', '短评打分': 5}
{'短评内容': '酒店位置不错，装修气派，推荐！下次还会光临！推荐！价位有些偏高，提议上网免费，自助早餐很丰盛！推荐！！', '短评打分': 5}
{'短评内容': '房间好只是酒店大堂太吵影响大堂上方房间客人休息，', '短评打分': 3}
{'短评内容': '房间气味太重，设施太老，', '短评打分': 3}
{'短评内容': '太老了！处处体现着陈旧的痕迹，客房通风不够，客房服务员将客房车并排横在路中央，太一般了。同等价位的可选择万丽天津宾馆！', '短评打分': 1}
{'短评内容': '很好，我觉得是天津最好的酒店了。就是感觉结账时间有点长', '短评打分': 5}
{'短评内容': '毕竟是五星级酒店，虽说酒店陈旧了点但住着很舒服，环境也很好，喜欢，还会在下榻该酒店', '短评打分': 5}
{'短评内容': '性价比一般，酒店内部很有特点，有种到了东南亚酒店的感觉。还有就是自助早餐挺丰富的，喝到了久违的小米粥，感动一记', '短评打分': 5}
{'短评内容': '设施较老，服务不错，如果把酒店大门改成大一点更好，现在的门与五星级酒店太不相称', '短评打分': 5}
{'短评内容': '不愧为五星级酒店，很舒服，显见管理有水平。', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '非常舒适的一家饭店，干净、整洁、服务规范。', '短评打分': 5}
{'短评内容': '早餐种类很丰富，也很合胃口。就是check in和结账时的速度不敢恭维，至少等了5分钟。而且赶上天津下雨，雨伞都借光了。', '短评打分': 5}
{'短评内容': 'good！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '还行....................', '短评打分': 5}
{'短评内容': '环境优雅，设施齐备，价格合理，饮食卫生，服务良好。', '短评打分': 5}
{'短评内容': '凑合把.........................', '短评打分': 5}
{'短评内容': '酒店不错 位置优越 装修很气派 就是价格有点小贵', '短评打分': 5}
{'短评内容': '觉得房间有些味道很步适应！', '短评打分': 3}
{'短评内容': '位置有点偏,离火车站有点远,不过交通还算方便!服务热情周到,环境幽雅!', '短评打分': 5}
{'短评内容': '没有想像中的喜来登好，上网还要额外费用。', '短评打分': 3}
{'短评内容': '位置还是不错的设施很新，里会展中心比较近，开会方便', '短评打分': 5}
{'短评内容': '酒店环境优越，服务员服务态度很好，就是建议网费应该免收！', '短评打分': 5}
{'短评内容': '酒店地理位置不错，装修大方，就是价位偏高！！！', '短评打分': 5}
{'短评内容': '酒店地理位置优越 装修气派 就是价格偏高', '短评打分': 5}
{'短评内容': '酒店大厅装修的很气派 地理位置优越 就是价格有些贵 缺乏竞争力', '短评打分': 1}
{'短评内容': '酒店不错 地理位置优越 促销时很超值 没有活动有些小贵', '短评打分': 5}
{'短评内容': '这个是帮3个日本人定的，总体感觉不错，他们还是满意的', '短评打分': 5}
{'短评内容': '楼层不是很高，外面看上去很普通，但进去后发现还是很有5星酒店的感觉的。房间设施齐全，服务也不错，是个不错的酒店', '短评打分': 5}
{'短评内容': '不愧是喜来登，服务的确一流，唯一的缺点就是附近吃饭的地方太少了，走了三条街才找到一个吃饭的地方', '短评打分': 5}
{'短评内容': '很气派，适合大型会议的举办，服务也很棒，不过感觉不如日系酒店温馨', '短评打分': 5}
{'短评内容': '酒店条件一般', '短评打分': 3}
{'短评内容': '酒店不错，装修豪华，地理位置优越，推荐！', '短评打分': 5}
{'短评内容': '很好，还有小点心也很好吃哦。环境不错，干净整洁，很给力哦', '短评打分': 5}
{'短评内容': '位置不错，环境也很好，打折的时候非常合适！下次还会光临！', '短评打分': 5}
{'短评内容': '服务很贴心', '短评打分': 3}
{'短评内容': ' 酒店服务很好 设施也很高端 如果能配备加湿器就完美了', '短评打分': 3}
{'短评内容': '地理位置优越，装修豪华，酒店前台接待服务态度很好!', '短评打分': 5}
{'短评内容': '酒店不错 ，因为新春促销活动，超值，服务态度很好！', '短评打分': 5}
{'短评内容': '酒店最近在搞半价促销活动 很超值! 酒店地理位置优越，环境不错！', '短评打分': 5}
{'短评内容': '环境还不错 ，装修有点老气了 \n服务还不错。基本满意', '短评打分': 5}
{'短评内容': '环境很好,地理位置优越，最近在搞促销，很超值！', '短评打分': 5}
{'短评内容': '价格较和理，环境也不错，只是前台的服务不如人意，出租车难等。 \n', '短评打分': 5}
{'短评内容': '产品和价格不对等，早餐太普通，上网还要收费', '短评打分': 1}
{'短评内容': '前台没有大床后的处理方式还算可以接受。虽然，加了钱，但是总算是可以接受的方案。\n', '短评打分': 5}
{'短评内容': '位置不在繁华区，价格太高，不适合普通民众消费，只适合高级消费和公费', '短评打分': 1}
{'短评内容': '房间小', '短评打分': 5}
{'短评内容': '设施旧了,建议酒店重新装修;酒店位置还不错,如适当搞些促销活动就好了', '短评打分': 1}
{'短评内容': '在全国相同档次的宾馆中,该店不错.只是它办婚礼时太吵了.', '短评打分': 5}
{'短评内容': '可能也建起来有点时间了，有点旧。。服务嘛有点说不上的感觉。。', '短评打分': 5}
{'短评内容': '酒店很好，位置也很好，正门行李员职业素质在提高一下。', '短评打分': 5}
{'短评内容': '+酒店太老了', '短评打分': 5}
{'短评内容': ' 喜来登好是好，就是有房价有些贵，天津这里的设施久了点，但毕竟是知名的酒店，卫生情况还是不错，这里的自助早餐也是有些贵的，', '短评打分': 3}
{'短评内容': '还不错,很干净,服务也很好的经常搞些活动促销就好了~', '短评打分': 5}
{'短评内容': '该酒店是天津最老的一个五星级酒店了,价格也是一直在四位数以上\r\n设施比较老了,但总体还是不错的', '短评打分': 1}
{'短评内容': '还可以，设施有点旧', '短评打分': 3}
{'短评内容': 'good', '短评打分': 3}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '酒店时间长了，感觉房间设施老旧了点，不过地理位置不错。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很氣派,但是一樓自助餐海鮮不新鮮,麵包類倒是很好吃;外場維修美中不足', '短评打分': 1}
{'短评内容': '喜来登一般都是这个样子的，没有什么多说的。', '短评打分': 5}
{'短评内容': '总体不错', '短评打分': 5}
{'短评内容': 'good', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '总体还可以', '短评打分': 5}
{'短评内容': '环境很不错的酒店\r\n就是房间太小了\r\n也就30平吧\r\n没办法 老酒店了', '短评打分': 5}
{'短评内容': '酒店的年份有些久远，稍微显的陈旧一些。', '短评打分': 3}
{'短评内容': '总的来说还算不错', '短评打分': 5}
{'短评内容': '2元/分钟的网络收费，怎一个黑字了得呀！', '短评打分': 1}
{'短评内容': '不错的酒店', '短评打分': 3}
{'短评内容': '服务管理很好，环境优雅，卫生好。设施好。', '短评打分': 5}
{'短评内容': '店大欺客', '短评打分': 1}
{'短评内容': '一分钱一分货！\r\n行政套和普标的设施就是不一样。\r\n总的还说还不错。', '短评打分': 5}
{'短评内容': '位置很好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '作为一家老酒店，设施维护还是蛮不错的，服务和卫生也很好，尤其是餐饮服务，各式餐饮很齐全，口味也很不错。尤其喜欢他的日本料理，很纯正。', '短评打分': 5}
{'短评内容': '一进门看到地毯很脏，墙面又花花的，房间暖气太热，洗澡时水笼头特不好用，洗手间设备非常老化，一点都不像五星级酒店，客房服务态服也特别的不好，在我住过的喜来登中天津的是最差最旧的一家。买东西也不方便出行等出租车还得等非常久。非常的不满意。', '短评打分': 1}
{'短评内容': '很好，我很满意', '短评打分': 5}
{'短评内容': '总的来说还算不错，行政房的面积就是稍微小了点。\r\n地毯稍微有点脏。', '短评打分': 5}
{'短评内容': '行政酒廊服务可以，但是比较狭小。房价不错。中餐厅价格偏高，但是菜的品格不错。大堂豪华，作为老酒店，相当不错。', '短评打分': 5}
{'短评内容': '性价比还可以', '短评打分': 3}
{'短评内容': '设施比较陈旧，性价比一般。要是有早餐就好了', '短评打分': 1}
{'短评内容': '性价比在天津是可以的', '短评打分': 5}
{'短评内容': '酒店内还不错，房间小了些。外观就不怎么样了。服务挺好。', '短评打分': 3}
{'短评内容': '含早餐就更好了', '短评打分': 1}
{'短评内容': '太老了，该装修了', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': 'henhao', '短评打分': 5}
{'短评内容': '房间小了些，住着倒是挺舒服，早餐一般。', '短评打分': 5}
{'短评内容': '地理位置比较好,但是空调声音大,服务一般.', '短评打分': 1}
{'短评内容': '酒店的硬件不错，五星级的价钱，可是跟以前比起来整个服务水平下降了很多，最近内部正在局部装修，很吵，感觉乱哄哄的，比起其它城市的喜来登，该酒店真的是有很多地方需要改进。', '短评打分': 1}
{'短评内容': '早餐太一般了，还有吵人的装修声。', '短评打分': 1}
{'短评内容': '价格偏高，感觉不值，设施条件还算可以', '短评打分': 3}
{'短评内容': '位置不错，但早餐一般', '短评打分': 1}
{'短评内容': '设施老化，收费太高', '短评打分': 5}
{'短评内容': '性价比很差，愧对喜来登的品牌。', '短评打分': 3}
{'短评内容': '价格非常昂贵，设施老化，门都关不拢，感觉性价比非常差', '短评打分': 1}
{'短评内容': '作为喜来登的品牌所以才价格高，无论城市环境到酒店设施到服务水准完全不够这样的收费，虽然1000多一天，但是住着觉得不值，但是在天津也只能这样了，……', '短评打分': 5}
{'短评内容': '酒店设施设备都很陈旧,服务不是很周全,房间蛮干净的,位置也还可以', '短评打分': 1}
{'短评内容': '怎么又涨价了？', '短评打分': 5}
{'短评内容': '找前台太难！', '短评打分': 5}
{'短评内容': '不知春节还是否打折，准确说在元月26-28日是否打折，因为这次去还想住喜来登 。请尽快回复我好订房。谢谢！&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': '呵呵，对喜来登的早餐最有兴趣，去了三次，条件也不错，而且价格也不高，天津的消费就是不高，放到北京，上海房价就不止这些了。', '短评打分': 3}
{'短评内容': '天津的喜来登是我最爱的人工作的地方，怎么会只是一般呢？请大家多多捧场哦！', '短评打分': 3}
{'短评内容': '天津的喜来登我住过几次，还可以不过饭店的门童的服务态度一般，客房服务员的态度很不错，房间的设施还可以吧，就是有点旧了，酒店的设施很不错，好像天津酒店的服务态度都很一般，不过可以再住。', '短评打分': 3}
