{'短评内容': '客户很满意！', '短评打分': 3}
{'短评内容': ' 环境还不错！很干净，就是离旅游区稍远点！还算满意！', '短评打分': 3}
{'短评内容': '房间很大，但卫生间居然设计的没有淋浴头，很郁闷》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》》', '短评打分': 1}
{'短评内容': 'The hotel is very clean and room is big. The food at the restaurant on the second floor is very tasty.  Just make sure to call the front desk to arrange for a taxi if you need one.\n', '短评打分': 5}
{'短评内容': ' ALLISON SHEN 8633', '短评打分': 3}
{'短评内容': '石祥路上，位子有点偏，里面还算不错，对得起这个价钱，卫生服务都还可以....（什么时候才能到50字啊啊 啊 啊啊啊啊啊）', '短评打分': 5}
{'短评内容': '很舒适，酒店的餐饮做的也可口。在这家酒店度过了周末，和同事一起在客房打理工作事务。很满意哦，价格也实惠。', '短评打分': 5}
{'短评内容': '和办事地点近才住那里的，房间好大，浴室好大，走廊好像迷宫。还行吧，确实满足一部分客人的需求，但我觉得还是住市区吧，不在附近办事的话。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '太好了  服务也不错    但是前台人说话声音好小', '短评打分': 5}
{'短评内容': '这个酒店的设施和环境还不错    就是交通不是很方便  而且杭州有好几家名字和这个差不多的酒店  容易走错', '短评打分': 5}
{'短评内容': '和办事地点近才住那里的，房间好大，浴室好大，走廊好像迷宫。还行吧，确实满足一部分客人的需求，但我觉得还是住市区吧，不在附近办事的话。', '短评打分': 3}
{'短评内容': '地处城北繁华的商业地段石祥路，毗邻汽车城，服务好，性价比高', '短评打分': 5}
{'短评内容': '这家酒店在杭州来说是属于性价比很高的酒店，交通不太方便，房间大！酒店服务态度好！ \n', '短评打分': 5}
{'短评内容': '不到四星级标准', '短评打分': 3}
{'短评内容': '很不错 早餐很丰富 房间也很大 厕所尤其壮观', '短评打分': 5}
{'短评内容': '早点太差，住宿条件尚可。', '短评打分': 3}
{'短评内容': '房间性价比较高,但是位置相对靠近杭州北.', '短评打分': 5}
{'短评内容': '虽然离市区远了点，中间还有收费站，但酒店环境还行', '短评打分': 5}
{'短评内容': '住得是还不错，可就是离城区太远，出入不太方便。', '短评打分': 5}
{'短评内容': '虽然离市区远了点，不过自己开车，也还方便，大厅不错，房间也很干净，尤其卫浴间，可以泡澡，可以淋浴，只是我住的房间是靠近马路的一侧，晚上10点前比较吵，朋友住在另外一侧的，就没有这样的情况。我订的商务大床，前台帮我开了件商务标间，我跟前台说换，前台把我换到5楼，5楼的大床房间比较小，而且电视机还是老式的，我不满意，因为和另外2对朋友一起订的房间，他们在8楼，房间比5楼的大了很多，卫浴也比较大，看起来', '短评打分': 5}
{'短评内容': '\r\n好', '短评打分': 3}
{'短评内容': '外型还行，房间凑合，电视竟然还不是数字的，多是雪花点，空 调失效，房务态度欠佳，总体来说对不起这个价格！', '短评打分': 3}
{'短评内容': '很不错，性价比高！', '短评打分': 3}
{'短评内容': '房价不错', '短评打分': 3}
{'短评内容': '酒店不错，下次有机会还会入住', '短评打分': 3}
{'短评内容': '条件好', '短评打分': 3}
{'短评内容': '综合而言，给人的感觉不错，卫生间洗浴设施齐全，有淋浴房还有浴缸，对于喜欢泡澡的人来说，很不错。早餐的品种略显少了些。', '短评打分': 5}
{'短评内容': '偏僻了点，走廊像迷宫，找不道安全通道，而且非常不隔音，不过住着还舒服', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '可以房间的装修很也好，性价比很好，服务也很好', '短评打分': 5}
{'短评内容': '酒店房间很好，服务态度也还可以，就是晚上不顾客人的休息，强制施工噪音太大，没有考虑到客人的休息，经投诉有改观，但是没有给客人一个赔偿的说法', '短评打分': 5}
{'短评内容': '很不错的酒店,房间大卫生好,性价比很高,只是稍微有点远.', '短评打分': 5}
{'短评内容': '旅店倒是很好找，位置稍偏行，客服态度也挺好。房间不错干净卫生，比较超值', '短评打分': 5}
{'短评内容': '酒店新建的 很干净 房间也很大 就是电视旧了点 不是液晶电视 还是老式电视机', '短评打分': 5}
{'短评内容': '可以，就是离市区偏了点  总体来说过得去', '短评打分': 5}
{'短评内容': ' 房间舒适度还不错 酒店位置偏些 房价略显偏高', '短评打分': 3}
{'短评内容': '非常满意，各项设施非常好。只是地理位置有些偏。', '短评打分': 5}
{'短评内容': '位置很偏出行也不是很方便，房间卫生也就是一般，价格还是有些偏贵装修也是一般，大堂也比较小，早餐也不是太好种类也比较少。', '短评打分': 1}
{'短评内容': '位置还是有些远，房间设施还可以比较新，服务也没怎么接触，价格还是挺贵的。', '短评打分': 1}
{'短评内容': '服务还不错，下次旅行会考虑这间酒店，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '非常好！很干净，很大，而且每天都会清扫，前台的服务态度非常好。美中不足的是位置有些偏远，但是楼下就有公交车站，还是挺方便的。', '短评打分': 5}
{'短评内容': '房间还是没问题设施 服务态度还可以，位置稍微有些偏离市区还有些距离不过打车还是挺方便，价格和环境挺匹配的。', '短评打分': 5}
{'短评内容': '酒店还是挺不错的，自己开车还是挺方便的，价格还是能接受还是蛮合适的，服务态度是挺好的。', '短评打分': 5}
{'短评内容': '硬件和服务都不错，就是位置不太好，离商业区太远', '短评打分': 5}
{'短评内容': '新装修的酒店，跟二手家具场是同一栋楼，好像没有地下停车场的，晚回酒店时要把车停在家具场的停车场，第二天出来时给大货车给堵住了半天才找到人让出位来，早餐很少品种、9点30分就撤场没有吃了，看来是做旅行团习惯了、、、、、', '短评打分': 5}
{'短评内容': '酒店距离西湖较远且无直达公交，从游玩的角度说稍不方便；豪华双人房的硬件设施尚可，但服务就只是一般了；第一晚入住就发现淋浴间下水道堵塞，联系了服务员才得以解决；电视是较老的电视而且只能收不到30个台；晚上9点半回酒店到二楼餐厅被告知厨师快下班了，菜单上的多数菜都不能点了，而比我们晚十分钟左右到的客人则直接被告知营业时间已结束。', '短评打分': 5}
{'短评内容': '位置不太好找。酒店前台服务人员也太不清楚确切的位置。', '短评打分': 5}
{'短评内容': '晚上很久和早上大概5点开始吧，我们窗户外不知道是锅炉房还是什么，噪音非常的大！', '短评打分': 1}
{'短评内容': '除了入住登记时出的问题，其它OK!', '短评打分': 5}
{'短评内容': '酒店装修还可以就是隔音太差，房间里还有蚊子。', '短评打分': 5}
{'短评内容': '+酒店环境很好', '短评打分': 5}
{'短评内容': '新装修的酒店，房间设施看起来蛮新的，还可以上网，很方便，卫生间很宽敞，卫生条件很好，打扫的很干净，整体住宿环境还可以', '短评打分': 5}
{'短评内容': '酒店服务人员态度很好，蛮周到热情的，地理位置不错，离着商场都不远，路不用拐弯抹角的，比较顺', '短评打分': 5}
{'短评内容': '这家酒店靠近杭州北站，如果不是为了去北站搭车。住这里就很不方便。价钱稍贵了点。靠近马路边的房间太吵。早餐遇得到旅游团就惨了。那些人像抢的一样，特别是东北人，吃不完，盘子还打得很满。有个居然还端着吃剩的盘子去打自助餐。要命，好酒店就给旅游团糟蹋了。', '短评打分': 5}
{'短评内容': '性价比 不是很好，价格偏高，最主要是交通太偏了，还有一点 房间设施不怎么好，感觉和四星有点差距，希望酒店改进', '短评打分': 5}
