{'短评内容': '很遗憾因为临时有事没有去入住，嫌麻烦也没有办理退款', '短评打分': 5}
{'短评内容': '因为客人少，竟然要从小摊上买包子给客人当早餐。', '短评打分': 1}
{'短评内容': '这家酒店还不错，最好的一点就是干净，地理位置好， 吃饭逛街方便 我们住的是普通套房。缺点是停车场太小；服务人员的态度还可以， 但是缺乏培训， 例如我们订房时专门电话询问过酒店，套房的客厅沙发可不可以睡人， 得到的回答是“可以。’可是到了酒店一看客厅里的沙发是四张沙发椅，只好电话前台叫了一张加床，电话了得知加床的费用是150元人民币， 没问题，等我们出去吃饭回来发现加床还没放好就又电话问前台， 得到', '短评打分': 5}
{'短评内容': '承德的酒店就这样，性价比很差。地理位置挺好，装修一般。', '短评打分': 1}
{'短评内容': '很干净，就是房价太贵了，去景点有公交车可以坐，去火车站也能坐公交，出去玩很方便', '短评打分': 5}
{'短评内容': '前台服务还行，客房和餐厅服务较差，硬件环境与酒店等次不符', '短评打分': 1}
{'短评内容': '酒店地理位置不错，但卫生状况不佳，与准四星级酒店的标准相去甚远，酒店服务态度尤为恶劣，与旅游城市的服务水准严重不符，绝对不会再入住该酒店。', '短评打分': 1}
{'短评内容': '下水管道稍微差些，每次洗澡地上都会小溪一段时间。服务还可以。地点不错。', '短评打分': 5}
{'短评内容': '服务一般，卫生条件还行。酒店位置在老城区，并且略显偏僻。价格适中。', '短评打分': 5}
{'短评内容': '还可以吧，价格不低呢！', '短评打分': 3}
{'短评内容': '比价格外观较失望', '短评打分': 3}
{'短评内容': '就是一般商务酒店，比较干净。', '短评打分': 3}
{'短评内容': '酒店地理位置很好，在市中心，相当于北京的王府井。距离避暑山庄路程很近，开车5分钟就到，便于游玩。酒店设施不错，洁具都是箭牌的，卫生很干净，服务也不错，楼下的餐厅很适合北方人，这次选的酒店大家很满意。成功！', '短评打分': 5}
{'短评内容': '感觉不错，设施也很好，服务态度也很好，应该是有四星级的标准。虽然价格上高点，但是对于旅游城市的旅游季节来说，还是物有所值的。建议，可以把门面做得再大点。', '短评打分': 5}
{'短评内容': '在承德人民医院旁边，离避暑山庄还比较近，酒店门不太好找绕了一圈才找到，停车场有点小，旁边小巷就是小市场，买点西瓜黄瓜西红柿的挺方便，挺干净的，就是贵了点，大概旅游城市都这样。', '短评打分': 5}
{'短评内容': '酒店一般，门面比较小，车子进出不是很方面。房间设施有点旧，服务态度还可以。', '短评打分': 5}
{'短评内容': '环境一般,性价比太低,觉得还不如如家。唯独就是离景点近一些。', '短评打分': 1}
{'短评内容': '还算干净，就是不带早餐，网络太差，前台素质一般，退房太慢！退了半个小时，晕！', '短评打分': 5}
{'短评内容': '环境很好，地理位置也很符合我的要求，周边配套也蛮好的，会推荐给朋友！', '短评打分': 5}
{'短评内容': '入住的是套间，在承德这种地方，总的来说还凑活了，在市中心，周边比较繁华，吃饭方便，就是酒店门脸小了点，在边上绕了一圈才找到入口', '短评打分': 5}
{'短评内容': '停车位太少，前厅太小。房间还可以，位置比较好。', '短评打分': 5}
{'短评内容': '条件一般,价格性能比不匹配,达不到准四星的硬件和软件水平', '短评打分': 1}
{'短评内容': '房间无蚊香,不是24小时热水----早6点30分至7点30分无法洗澡,问客房中心,被告之使用客人多,请放水等候,放了一个小时,我都心疼着浪费掉的水,依然没热,耽误事!停车是露天,小且拥挤,地处三大医院附近,人多车多商贩多,感觉烦躁,有失休闲度假的好心情,依据480元的房价,真觉地不值.', '短评打分': 1}
{'短评内容': '交通方便，设备不错，装修好，服务也不错，早餐差点。', '短评打分': 5}
{'短评内容': '设施很不错，服务也好，周围环境好，交通方便。', '短评打分': 5}
{'短评内容': '酒店条件一般，但是很干净，也很舒服。停车场有点小，服务还算可以吧。价格显的贵一些。', '短评打分': 5}
{'短评内容': '酒店还不错!', '短评打分': 3}
{'短评内容': '差', '短评打分': 3}
{'短评内容': '房间不大，整体比较干净，细节方面不是很好，比如杯子上面有茶渍。总体上海不错，挺方便的地方', '短评打分': 5}
{'短评内容': '设施老旧，收费高，是承德的普遍现象了，不合理！', '短评打分': 1}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '还可以，酒店位置不错，对面是一家医院。路边都是小商店。\n', '短评打分': 5}
{'短评内容': '酒店还可以,比较干净,但有点潮.', '短评打分': 3}
{'短评内容': '酒店购物很方便,距离避暑山庄很近,但酒店噪音太大不能很好的休息,设施陈旧,疏散走道有异味,卫生一般服务一般,价格贵不值!', '短评打分': 3}
{'短评内容': '周边环境差，大堂太小，入口不临大街，没有浴盆，不象四星酒店', '短评打分': 3}
{'短评内容': '房间清洁不错 周围吃饭 休闲 都可以 服务也不错 。', '短评打分': 5}
{'短评内容': '房间挺干净，地理位置不错。', '短评打分': 3}
{'短评内容': ' 酒店销售和预定网站系统有问题 ， 让客人在前台等很久!!!', '短评打分': 3}
{'短评内容': '房间不错，市区交通方便，但有装修的噪音，总体给个好评吧!', '短评打分': 3}
{'短评内容': '房间不错,但有不好问的气味.', '短评打分': 3}
{'短评内容': '已经入住，不错', '短评打分': 3}
{'短评内容': '一晚上480，要不是清明，平时也就100的水平。这个价钱，这个品质，太不值了！', '短评打分': 1}
{'短评内容': '感觉和3星酒店差不多，比较感觉，不潮湿。价格吗，旅游景点都这样吧。', '短评打分': 5}
{'短评内容': '五一价钱有点高，卫生还可以，位置也不错。', '短评打分': 5}
{'短评内容': '各方面都还不错，作为三星级算是达标的。就是早饭略差，周边环境不是很好，早上边上的工地在盖楼很吵。', '短评打分': 5}
{'短评内容': '酒店作为3星级还是达标的，设施齐全，房间也很干净，唯一的不足就是早饭较差。', '短评打分': 5}
{'短评内容': '酒店设施和服务都不错，尤其是早餐的服务人员特别热情，就是周边环境有点乱，价格稍微有点高。', '短评打分': 5}
{'短评内容': '环境一般，洗澡热水断了n次！', '短评打分': 3}
{'短评内容': ' 华成保留了老式宾馆的感觉，房间很大，很干净。', '短评打分': 3}
{'短评内容': '卫生、服务较好，餐厅不错。供暖需要改善，有点冷呀！', '短评打分': 5}
{'短评内容': '不值当, 性价比太差. 旺季时挨了一把宰. 早餐太差, 房间太小.', '短评打分': 1}
{'短评内容': '环境很好！服务也可以，价格较贵，离车站很近，以后准备出差常驻此酒店。', '短评打分': 5}
{'短评内容': '非常一般，除了地段还可以在繁华地段，价格也不便宜', '短评打分': 1}
{'短评内容': '位置不错。房间还算干净。前台服务很热情。整体感觉不错。', '短评打分': 5}
{'短评内容': '很不错，酒店很豪华，服务也很好，就是价格略高', '短评打分': 5}
{'短评内容': '还可以，住的很舒服，订的是标间，到店升级为套间，很舒服', '短评打分': 5}
{'短评内容': '相当一般餐饮相当一般房间相当一般位置相当一般', '短评打分': 3}
{'短评内容': '+分別在10／3及7入住，酒店挺干淨的，可惜洗浴的地方不太好，洗完地很湿，其他都好。', '短评打分': 5}
{'短评内容': '酒店的装修比较老旧，但位置可以，停车位比较少', '短评打分': 5}
{'短评内容': '+好', '短评打分': 5}
{'短评内容': '我很满意。免费升级了普通套房。谢谢您。', '短评打分': 5}
{'短评内容': '酒店位置一般 卫生很好 条件还可以酒店位置一般 卫生很好 条件还可以', '短评打分': 5}
{'短评内容': '离闹市比较近，离闹市比较近，离闹市比较近，离闹市比较近', '短评打分': 5}
{'短评内容': '很破旧的一个酒店，有股很恶心的味道', '短评打分': 5}
{'短评内容': '酒店早餐很差', '短评打分': 3}
{'短评内容': '这个酒店非常好，设施完备，功能齐全。很适合老年人居住', '短评打分': 5}
{'短评内容': '周边环境太乱了，楼的外观和对面的天宝假日酒店简直是天壤之别，但房间内卫生不错。', '短评打分': 1}
{'短评内容': '+酒店一般', '短评打分': 5}
{'短评内容': '从楼的外观看,也就是经济性商务酒店的外观,紧邻十字路口,不太安静,酒店旁边在建新楼有工地,比较杂乱。酒店大堂很小，挂牌三星，整个酒店里边没有看到ELONG介绍的四星表准装修的影子。酒店的走廊装修一般，房间里边应该说是三星的水平。床单和被子还比较干净，服务员态度也不错，这是值得欣慰的地方。不知道承德这地方的酒店是不是也都就这样的水平。相对于400多的价格，个人认为在承德还可以选一个更好的酒店。酒店的', '短评打分': 1}
{'短评内容': '在一笼上号称4星级，到店第一眼就看见挂着3星的牌子。\r\n再次声明：本人原则是除非逼不得已，绝对不用一笼、邪城这样的垃圾中介订酒店。\r\n公平地讲按照三星级标准评价这里还是相当可以的（如果按4星级看，简直是狗矢）：房间和床铺还较整洁、桌椅柜子很老，各种物品上时时可见“金泰酒店”字样（好像是老东家的名号）。位置在核心商街南营子大街上，离避暑山庄4站地。但比起其400多的价格而言，觉得挺宰人的。不过承德本', '短评打分': 1}
{'短评内容': '位置很好但酒店入住太麻烦卫生间水很小不够4星标准只向北京2星标准下次不住了\r\n', '短评打分': 1}
{'短评内容': '承德的酒店都有点麻烦\r\n这酒店服务员少', '短评打分': 5}
{'短评内容': '酒店位置一般 卫生很好 条件还可以，只是一楼餐厅较贵 而且不可以与房间挂帐，不方便。', '短评打分': 5}
{'短评内容': '环境不错，房间还挺新的，卫生很好，离景点也不远。', '短评打分': 5}
{'短评内容': '位置、服务都还不错，酒店设施还比较新，与承德众多的老酒店相比的话，只是卫生淋浴设施简陋了一些。\r\n\r\n总的来讲，相当于大城市的3星酒店，价格相对贵了一些，可能是旅游城市的关系吧。', '短评打分': 5}
{'短评内容': '酒店很小，不像四星级，在北京也就二三星吧。位置不错，在市中心，比较方便。楼下摊点多，环境有点脏乱，买水果倒方便了哈。房间设施还算新，卫生可以。只是卫生间里的盥洗盘与镜子居然不是对着的，成90度排列，很不方便。如此设计，百思不得其解！早餐很丰富，味道不错，家人比较满意，就是人多找位置等半天，也许是旅游旺季的缘故。带小孩（13岁），没有强行规定加床。服务不错！', '短评打分': 5}
{'短评内容': '价格太贵了，顶多一个两星', '短评打分': 1}
{'短评内容': '唯一欠缺 车位少，其他都不错，下次还住这里。', '短评打分': 5}
{'短评内容': '服务不错就是前台比较小，停车场比较小.其它各方面条件都不错.', '短评打分': 5}
{'短评内容': '环境还行，设施挺新的，位置相当好找在市中心的位置，服务态度一般，价格还是算比较能接受。', '短评打分': 5}
{'短评内容': '环境还行，设施挺新的，位置相当好找在市中心的位置，服务态度一般，价格还是算比较能接受。', '短评打分': 5}
{'短评内容': '说是按四星建造的酒店，感觉连3星都不到，规模小，不上档次，早餐也差，其他都一般。', '短评打分': 1}
{'短评内容': '说是按四星建造的酒店，感觉连3星都不到，规模小，不上档次，早餐也差，其他都一般。', '短评打分': 1}
{'短评内容': '离避暑山庄走路差不多半小时，因为途径承德市中心南营子大街，周围有许多小店难免耽误走路速度。住的原价600打折后398一晚的标间，里面电视是液晶的。床很干净，就是两大枕头太大睡的脖子疼。卫生间很大装修也很好。房内会配备承德自助游手册，对出行很有帮助。总的来说房价偏贵！', '短评打分': 1}
{'短评内容': '太差了，要是在北京，二星级也不够的。要这么高的房价，实在说不过去。', '短评打分': 1}
{'短评内容': '我觉得这家酒店不是很好，价格不是很实惠，服务也很一般，每天还要到前台办理房卡续住，很麻烦。 大堂抽烟的人太多了，酒店应该建议客人不要在大堂抽烟，房间里也很一般了，设施很简陋， 床太硬，感觉睡的很不舒适，整体感觉不是很好。', '短评打分': 1}
{'短评内容': '酒店提供的服务与价格不成正比，而且硬件设施也不是很好.', '短评打分': 1}
{'短评内容': '酒店的设施很陈旧了,性价比很不好,而且十一期间入住,就这样连经济型酒店都比不上的酒店价格都赶上5星级酒店的价格了.', '短评打分': 3}
{'短评内容': '这家硬件设施和服务都达不到4星级标准,就是一栋独楼,顶多算是商务型酒店,价格也贵,下次要选择更好的酒店了', '短评打分': 3}
{'短评内容': '酒店各个方面我比较满意的，环境不错，位置也方便，就是价格有点贵', '短评打分': 3}
{'短评内容': '我当时定的是4星级酒店但是这个酒店远远达不到4行标准,餐厅也和酒店不是一体的,酒店也正在装修,性价比很差.也没有停车场,有一个和其他共享的要走400米.', '短评打分': 3}
