{'descr': '不错 为了考试而住的 这个价格能这样已经很不错了  周边超级超级便利 连市场都有', 'star': 5}
{'descr': '很小，很脏，很冷，但是前台带眼睛的服务员服务很好，态度不错。。', 'star': 1}
{'descr': '＋ 酒店不错，挺时尚的，装修也不错，去过很多次，性价比比较好，服务周到', 'star': 3}
{'descr': '非常方便快捷 省时间！！不用害怕会没有房间   就是一个字 好。。。。', 'star': 5}
{'descr': '电视信号出现点小毛病，但是很快修好了，其他方面较为满意。', 'star': 5}
{'descr': '挺好的酒店。方便安全，安静。。。。。。。。。。。。。', 'star': 5}
{'descr': '很好。挺干净。经常去~GOOD·······', 'star': 5}
{'descr': '挺好的。干净舒适', 'star': 3}
{'descr': '酒店房间非常不错，大床大窗户，价格很合理', 'star': 3}
{'descr': '环境比较清静，价格合理，服务较好，工作人员态度也不错。', 'star': 5}
{'descr': '电话就是打不通,前台的态度也很一般.希望尽快改善.', 'star': 1}
{'descr': '酒店还好，挺安静的，就是空调开关的屏幕坏了', 'star': 5}
{'descr': '简单，干净，适合普通消费人群！已向几位去大连旅游的同事推荐了四季时尚酒店', 'star': 5}
{'descr': '不错哦，挺好的，圆床很有情调。卫生也挺干净的', 'star': 5}
{'descr': '酒店设施还可以，环境也较好，服务员很热情，价格相对合理，只是网速实在太慢！', 'star': 3}
{'descr': '整体还可以 卫生条件有点差 设施有些已经坏掉 没有及时的去修理', 'star': 5}
{'descr': '整体感觉挺好的。话说估计是我有点太路痴了。找了很久才找到。枕头很舒服。然后就是浴室有必要改进下喔。没有放衣服的地方也没有可以放洗浴用品的地方。其他地方都不错了。', 'star': 5}
{'descr': '环境还不错，就是不好找，酒店小了点，但服务态度挺好的，如果下次去的话也许还会选择这里，呵呵                                               ', 'star': 5}
{'descr': '很好 浴室应该有个帘  有点不方便 。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。其他不错', 'star': 5}
{'descr': '住的 阳光特价房  卫生间味儿很大  还没有网线 房间却是很小啊 很小啊  感觉门脸要不里面好很多啊  ', 'star': 1}
{'descr': '预定的119房间，到了之后添加50换的169房间，房间还不错，总体来说挺好。就是价格有点高而已，办理会员8.8折。附近交通还是蛮方便的。', 'star': 5}
{'descr': '格局不错，也很干净，服务态度好，附近有便利店和饭馆，离市中心也不远，搭计程车12块吧，性价比还是比较高的', 'star': 3}
{'descr': '位置有点不好找，房间还可以，大连的酒店普遍价格偏高，性价比不高，特价房根本无法住，墙面都是发霉的，后来又加钱升级了房间', 'star': 5}
{'descr': '＋地方较偏，出门感觉不是很方便，网上订的特价房非常狭窄…总之性价比不高', 'star': 3}
{'descr': '有的房间不错…不过有的房间需要小心了…', 'star': 3}
{'descr': '这个酒店整体来说还不错 拖鞋应该用一次性的 卫生间的洗澡水不是很旺 水流很细 希望多多改善', 'star': 5}
{'descr': '价格位置都较好，但房屋需修缮，墙面有水渍，卫生间也有返味。网速慢', 'star': 5}
{'descr': '我认为四季时尚酒店气氛非常浪漫，服务态度非常好，我非常喜欢这个酒店', 'star': 3}
{'descr': '房间的圆床很吸引人，除此之处卫生间很干净漂亮，但是房间床单什么的有污迹，还有破损，床帘也不是很干净，总之布草什么的应该更换了', 'star': 5}
{'descr': '都还不错，环境也挺好，但就是蚊子多了，我这一个晚上打了3个。', 'star': 5}
{'descr': '看来评价不代表事实耶，看了网评入住的，事实却不如想象的好。地地毯打扫的不干净，灰尘很大。洗手间入住时马桶没打扫彻底，屋内气味很大，我还有自己买净味用品，入住五天每天就有给换垃圾袋，毛巾，就没打扫过卫生，例如吸吸地毯之类的。总之不满意。', 'star': 1}
{'descr': '酒店在三八商场附近，交通还算方便，服务态度一般，热水很足，我入住前15天左右订的特价房，所以很划得来。', 'star': 3}
{'descr': '房间还不错。服务态度也不错。设施有一点旧、', 'star': 5}
{'descr': '很干净也很舒服~不错  推荐大家去住 ··', 'star': 5}
{'descr': '在三八广场附近，但是离广场有些远，交通不是很方便。酒店里味道比较重，通风状况不佳。\n吹风机的数量较少，先到先借。\n洗手间里用的是电热水器，要插了房卡才能开始烧水，所以如果回去晚了，洗澡会比较麻烦。', 'star': 1}
{'descr': '服务和设施都一般般，有些遗憾', 'star': 3}
{'descr': '房间好小啊  ，跟图片相差太远了 ，卫生间只够一个人站立，打了半宿蚊子。', 'star': 1}
{'descr': '订的是大床间。房间空间挺小的，桌椅比较少，不够地方放东西，洗手间设计得不错只是卫生纸不是新弄上去的。服务态度很好。总体上不错！', 'star': 3}
{'descr': '环境不错。挺干净的，服务也很好。', 'star': 3}
{'descr': '环境不错，卫生条件良好，挺干净的，不远有市场，去景点和火车站也较方便！', 'star': 5}
{'descr': '还好比较不容易找到', 'star': 3}
{'descr': '环境不错，很干净，很安静', 'star': 3}
{'descr': '环境很好很舒适', 'star': 3}
{'descr': '酒店内部环境还不错， 卫生也很干净。管理很好。', 'star': 5}
{'descr': '环境还不错的，以后出差还会选择的，卫生还可以', 'star': 5}
{'descr': '酒店整体感觉很不错，干净明朗，设施齐全，房间布置也很温馨。酒店附近配套设施齐全，吃饭购物选择不少，交通也算方便，个人感觉性价比挺高的。', 'star': 5}
{'descr': '挺好的，粉色的床，紫色的窗帘很漂亮。水也不错。', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '环境安静，经济方便，就是房间有点小，还不错！', 'star': 3}
{'descr': '宾馆卫生环境挺好，住的特价大床房，空间有点小，前台态度挺好。这个价位性价比还是不错的', 'star': 5}
{'descr': ' 还行吧，就是没有其他房了，只有标间', 'star': 3}
{'descr': '我们住的位置在朝阳街50号，从火车站打车到酒店8元起步价就够了，由于是单行道回火车站就贵几块钱，总体来说离火车站不算太远，酒店位置司机一般找得到，只要跟司机说去朝阳街的大连四季时尚酒店，一般就能找到。关于酒店的条件，卫生间独立，24小时热水，是自动烧的那种，还算不错，房间还有电视机，网线，带笔记本的朋友可以上个网，最大的不足就是空间有点小，感觉有一点小小的拥挤，总体感觉还是不错的，值得推荐。', 'star': 5}
{'descr': '房间太小，卫生状况一般。空调声音太大。就装饰还行。不知道是不是我住的是特价大床房缘故。', 'star': 1}
{'descr': '酒店还算干净，超级难找，不过服务人员太度很好。下次会考虑再次入住。', 'star': 3}
{'descr': '干净整洁，方便', 'star': 3}
{'descr': '酒店的服务不是很周到，基础服务不是很规范。但态度还不错。', 'star': 5}
{'descr': '＋还可以一般的商务宾馆', 'star': 3}
{'descr': '离各景点都较近，坐车也方便，自己旅游的话很划算。', 'star': 5}
{'descr': '我入住的时候住的是双标间，挺舒服的，里面还有浴室，晚间挺安静的，还有电视和电热壶，可以加热水，距离火车站也挺近的，旁边就有家乐福，坐车也挺方便的\n', 'star': 5}
{'descr': '酒店的位置有点偏。但服务员的态度还不错。酒店内的设施一般，但价格还算合理。', 'star': 5}
{'descr': '很满意', 'star': 3}
{'descr': '环境很一般 没有想象那么干净！', 'star': 3}
{'descr': '  酒店位置挺好  很方便  房间很符合这个价钱', 'star': 3}
{'descr': '酒店位置好，交通方便，价格实惠，但在房间发现了“小强”，下次不敢住了。 \n', 'star': 1}
{'descr': '酒店还可以，就是位置有些偏，洗澡的水不热，确切说是忽冷忽热，像大多数客人点评的那样，卫生间是直接截出来的，显得很拥挤，而且玻璃也是透明的，适合夫妻情侣住，我住的靠着电梯，屋子特别小，不太爽················', 'star': 5}
{'descr': '位置，风景，服务，都很好！只是没有暖气，冬天去的话有点冷', 'star': 5}
{'descr': '满意', 'star': 3}
{'descr': '很不错，位置也挺好，卫生也说得过去，环境也很安静，交通比较便利！', 'star': 5}
{'descr': '还不错 挺安静  空间也不算小 价格很公道  就是坐车不大方便  而且到了晚上 附近也没什么可以兜兜玩玩的地方', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '挺好的 挺干净啊 就是顶棚有点掉皮 设备齐全', 'star': 5}
{'descr': '还算可以，就是房间感觉太小，而且位置有点偏僻', 'star': 5}
{'descr': '酒店的位置挺方便，近三八广场，去各个酒店都挺方便，性价比不错', 'star': 5}
{'descr': '性价比蛮高的，就是卫生间的味道太大。要开一夜的排风才好点的，希望改善！', 'star': 5}
{'descr': '房间虽然不大，但也不是特别小，跟普通的旅店差不多，20平米左右，但是相比之下价格非常便宜。卫生条件很好，卫生间不会像七天如家那些店似的存在下水道返味的问题，这一点非常好。位置不是很偏，但由于不对着马路，所以出租车可能会找不到，但是非常安静，是个休息的好地方。', 'star': 5}
{'descr': '不错， 装潢很特别，感觉也算干净， 就是附近没什么吃的~', 'star': 5}
{'descr': '比较满意.。环境不错。以后会继续在四季预定房间的。', 'star': 5}
{'descr': '+没有想象中的好，凑合住吧', 'star': 5}
{'descr': '总体挺不错的  床很大  价格适宜  就是荒凉了一点  ', 'star': 5}
{'descr': '比较一般，隔音效果不算好，地点也很不好找，要有心里准备，有的司机师傅找不到地方，', 'star': 3}
{'descr': '位置还不错，周围好吃的地方比较多，最主要是价格很合适，性价比比较高', 'star': 5}
{'descr': '还不错，比我想的好，就是难找一点,也挺干净的，房间很漂亮', 'star': 3}
{'descr': '我住的大床房太小了，网速超级慢，其它服务还不错。', 'star': 5}
{'descr': '位置尚好，硬件设施一般，房间不大，比较潮湿。', 'star': 1}
{'descr': '308网络不好,一直就没有什么很大改善，不过可能价格在那', 'star': 5}
{'descr': '地理位置不错 服务也很好 要求工作人员都会满足 就是没有早饭有所欠缺', 'star': 3}
{'descr': '服务比较周到，一般合理的要求都会被满足。不过没有早餐 呵呵 有待改进', 'star': 5}
{'descr': '挺好 服务也不错！宾馆帮找的大连的黑车MM真漂亮啊！！！！！！！！', 'star': 3}
{'descr': '超级不好，环境很差。服务一般。而且很不方便的一个位置', 'star': 3}
{'descr': '环境比我想象的好多了，不错', 'star': 5}
{'descr': '机械有些陈旧，不过服务挺好\r\n不妨尝试入住\r\n', 'star': 5}
{'descr': '房间比想象的小，不过很温馨，全透明的卫生间，好还是不好，就看大家爱好了', 'star': 5}
{'descr': '一般般，卫生间门坏了一直没有修理，即使是向酒店反映也是这样~\r\n没有纱窗，有很多蚊子；\r\n感觉不卫生，床单被罩都没换\r\n网速无比的慢，根本不是宽带\r\n前台服务也一般', 'star': 3}
{'descr': '标准间空间大，有液晶电视，房间打扫得比较干净，性价比高。', 'star': 5}
{'descr': '设备算是齐全 地点不是很好找 吃饭方便 屋子比较小 ', 'star': 3}
{'descr': '＋酒店房间很小，还算干净，相对价位还算一般，地点不算好找，附近吃饭较为方便。', 'star': 5}
{'descr': '比较干净，颜色和设施让人比较舒服，就是卫生间小点。总的来说还不错，值得推荐。', 'star': 5}
{'descr': '很舒服的酒店，虽然门口是单行线，但是真的很舒服！', 'star': 5}
{'descr': '环境一般，房间太小，设施有点旧。', 'star': 5}
{'descr': '房间有点小，将近200的价格有点贵~也可能是旅游旺季的原因！', 'star': 3}
{'descr': '+看着还行！', 'star': 5}
{'descr': '装饰时尚,价格实惠,推荐入住.', 'star': 5}
{'descr': '地理位置好，周边环境很好，很安静，酒店内环境，卫生，服务都不错，外出也方便，交通很便利。', 'star': 5}
{'descr': '性价比很高，服务也很好。                                                                       ', 'star': 5}
{'descr': '酒店很不错 已经是第二次入住了 工作人员的态度非常好 酒店周围很安静 推荐', 'star': 5}
{'descr': '位置还不错，去老虎滩、大连港都挺近的\r\n唯一的遗憾是房间很小，洗手间有点异味，但服务不错！', 'star': 5}
{'descr': '酒店价格大起大落 不明白酒店管理层怎么样想的，为了赚钱而不要客源。房间有明显霉味，通气比较差，进入房间需要开窗开空调10多分钟 味道才会散去 房间墙壁有明显水印 防水没有做好 ，总体来说房间比较有创意 但是其他硬件没有跟上', 'star': 1}
{'descr': '位置不太好找', 'star': 5}
{'descr': '房间内地毯脏，旧。卫生间设施不够便捷。', 'star': 1}
{'descr': '总体还不错，就是到旺季价格涨了呵呵', 'star': 5}
{'descr': '除了旺季的性价比很高，其余真的很一般。。。', 'star': 1}
{'descr': '酒店整体还不错，夏天很凉快，就是房间小一点，我预定的家庭型房间适合一家三口居住！酒店位置还算方便，附近比较肃静，适合居住！下次来还会预定这里！', 'star': 5}
{'descr': '真不敢恭维。。。', 'star': 1}
{'descr': '位置不错', 'star': 5}
{'descr': '酒店所处位置安静，交通便利，我住的时尚大床房，房间干净整洁，前台服务态度也不错，如果再去大连，还会是我的首选~！', 'star': 5}
{'descr': '前台服务员态度不是很好', 'star': 5}
{'descr': '酒店位置不错，设施也不错。看着还蛮新。特别安全。每次进出前台小姐都会问是哪个房间的。朋友来访必须用身份证登记，有点麻烦但确实让人感觉比较安全。', 'star': 5}
{'descr': '1、房间小，显得很拥挤；\n2、卫生间是用玻璃隔出来的，相当简陋；\n3、除了被套较整洁以外，其他的诸如床罩、枕罩等都是很脏很旧的颜色。', 'star': 5}
{'descr': '在大连的旅游旺季 这个价格已经可以了\r\n窗户应该弄个纱窗 厕所晚上总有滴水声', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '服务态度极烂，房间很小，浴室透明', 'star': 1}
{'descr': '和一般快捷酒店的房间、服务、装修等感觉都差不多，但是价格要便宜很多，真的很惊喜。地理位置非常好，出行很方便，住得我都不想回家啦~', 'star': 5}
{'descr': '服务态度很不错，价格合理，环境干净舒适整洁。距离火车站比较近，很方便。', 'star': 5}
{'descr': '地方不是很好找，但是房间布置不错。而且房间内的食物不算太贵', 'star': 5}
{'descr': '还有没说，就是网速很慢，要急死人了。去老虎滩去三八广场坐30路。大部分景点都不需要打车。但是公交站牌比较难找，因为三八广场四个角都有站牌。需要问。', 'star': 3}
{'descr': '机场坐710到三八广场下车，往南走800米左右，看到六千馆就到了。\r\n打车从机场到酒店要30多块钱，比较远，周围交通还算不错，但是要到三八广场，而且很难找站牌，那边公交车实在太多了。\r\n而且单独给司机说朝阳街50号，好多司机都不知道，比较郁闷，而且朝阳街还是单行道，所以会很绕。\r\n酒店热水器不是很好用，洗澡基本不热，而且房间没有吹风机。但是服务还是很不错的，总体来说还算可以吧。在大连的老城区可以感', 'star': 3}
{'descr': '非常安静，酒店周围的环境很不错，空气清新，地理位置也比较好，交通方便,女朋友很喜欢', 'star': 5}
{'descr': '机场坐710到三八广场下车，往南走800米左右，看到六千馆就到了。\r\n打车从机场到酒店要30多块钱，比较远，周围交通还算不错，但是要到三八广场才能坐公交。打车说朝阳街50号，司机都不知道，而且朝阳街还是单行道，所以会很绕，比较郁闷。\r\n酒店热水器不好用，洗澡基本都是凉水，而且房间没有吹风机。\r\n但是服务还是不错的，总体来说还算可以吧。\r\n\r\n', 'star': 5}
{'descr': '服务态度较差，设施一般，房间空气混浊，位置出行方便，性价比一般', 'star': 1}
{'descr': '还可以！服务也不错！', 'star': 3}
{'descr': '位置还行！打车到火车站10元   星海广场20元  老虎滩10元  楼下的饭店也不错！价格也不高！到三八广场家乐福步行约7分钟.  出去玩回来打车到路口一定向左转！因为朝阳街是单行线！', 'star': 5}
{'descr': '不错，值得入住', 'star': 3}
{'descr': '整体不错，就是网速太慢', 'star': 5}
{'descr': '非常好的酒店，性价比非常高！', 'star': 3}
{'descr': '非常好的酒店，性价比非常高！', 'star': 3}
{'descr': '非常好的酒店，性价比非常高！', 'star': 5}
{'descr': '我觉得不错。房间干净。但是，此次热水器的调子不好了。', 'star': 5}
{'descr': '在这家店住了四天感觉很不错，对这家店很满意，以后去大连会一直选择这个店！', 'star': 5}
{'descr': '房间的装修一般，但设施还比较齐全。\r\n我入住的是顶楼的全景玻璃房，白天的时候暖洋洋的。\r\n总而言之，对的起这个价格，性价比比较高', 'star': 5}
{'descr': '挺好的~就是房间感觉稍微有点简陋，不过还是挺舒服', 'star': 5}
{'descr': '很无语，房间很小\r\n地方也比较偏\r\n感觉不是宾馆而是小旅店', 'star': 1}
{'descr': '地理位置还不错，交通方便。\r\n客房设施简单，通风效果不太好哦', 'star': 3}
{'descr': '交通比较方便，但是房间的设施不太好，隔音效果差，通风不太好', 'star': 5}
{'descr': '下次去我还会住那里~~~~~~~~~~性价比特别高~~~~~~~有别的地体会不到的热情。', 'star': 5}
{'descr': '隔音差而且偏僻！', 'star': 1}
{'descr': '房间有点小，但是用品还是挺干净的。网速慢~~但是，浴室的门怎么少了一扇呢？？？？？', 'star': 5}
{'descr': '房间小,没热水', 'star': 1}
{'descr': '酒店比较干净,但我住的房间淋浴房的门是坏的...还有就是酒店没有餐厅!其他的都还好,在大连这个价位的酒店还可以...下次还会入住...', 'star': 5}
{'descr': '酒店位置不错，游玩出行很方便，但网上预订的房间，与前台直接订的房间，相差很大。虽然网上预订便宜10元，但房间没直接去前台订的好', 'star': 5}
{'descr': '不错 比想象的要好', 'star': 5}
{'descr': '位置是在交通很方便的三八广场，但因为酒店招牌不临街，不是很好找。\r\n\r\n早上六点多入住的，前台说特价大床房当时只有七楼的一间，酒店电梯只到六楼，感觉七楼像是后来加出来的。房间挺干净的，但隔音效果不好。\r\n\r\n房间的一面是大落地窗，光线超好。\r\n\r\n房间里放电视的桌子很小，如果自己带的东西多很不好放。卫生间是在房间里隔出来的一块，全透明，如果是两个人住肯定有点别扭。\r\n\r\n要是能有把椅子在屋里就好了', 'star': 5}
{'descr': '卫生条件还可以，就是位置太偏，不过价钱实惠。', 'star': 3}
{'descr': '房间小，位置很偏，空调好像打不开。卫生还可以，挺实惠。', 'star': 5}
{'descr': '挺好的！', 'star': 5}
{'descr': '感觉房间有些冷，不过比较安静。', 'star': 5}
{'descr': '除了房间没有吹风机都挺好。。 向服务员要 告诉我说 得等别的房间退房了才行。。那我也退房了额。。我们是湿着头发离开酒店的。。  刚到的时候屋子里的电水壶里还有一个草莓、、、无语', 'star': 5}
{'descr': '不是特别冷 可以加被子的 ', 'star': 5}
{'descr': '我喜欢这个宾馆。因为，很舒服和价格便宜。\r\n如果要去玩儿的话，坐公共汽车或者出租车吧。\r\n', 'star': 5}
{'descr': '圆床的确很诱人. 很适合情侣开房使用.', 'star': 5}
{'descr': '这家酒店非常冷，空调不好用，热水器的水没洗几分钟就没热水了，后来服务员拿了个电暖气给我们，可见酒店房间一直是这么冷！早上退房电话拼命催，晚五分钟就要加收半天房费！非常不人性化！总之住着非常不舒适！', 'star': 1}
{'descr': '房间倒是还可以 就是里面感觉冷了一点 没有暖气 靠空调的的气温更本不起作用 ', 'star': 5}
{'descr': '其实凭良心说``他家的环境还算不错``只是房间空间稍稍小了一点还有点不隔音``但是不影响什么````比较让我生气的是``我当天去住``是因为要去大连办事``行李放在房间就出去了``2点入住``没想到事情办的那么快``4点办完了``所以决定马上回家``就像把房间退了```我觉得至少可以按照白天房的计费方式来算钱吧``服务员就说必须得按一天的房费来算``我为了着急赶车`没办法``只好给钱```无限郁闷', 'star': 5}
{'descr': '卫生条件还可以，很干净，设施完善，地理位置交通方便，服务热情周到，性价比不错的酒店，值得推荐', 'star': 3}
{'descr': '注意：有时出租车的司机迷路。\n', 'star': 3}
{'descr': '距离远从大连市内。但是，很干净，很舒服。\n我的女朋友觉得很开心！', 'star': 5}
{'descr': '卫生非常好，整体感觉非常不错', 'star': 5}
{'descr': '酒店室内面积稍有一些小,卫生和设施条件还是不错的.位置很好很方便出行.其它各方面也是比较符合我的标准', 'star': 3}
{'descr': '环境很不错', 'star': 5}
{'descr': '房间的设施和卫生都挺好的,服务态度挺热情的,就是位置还是有些偏了不是太好找但是性价比挺高的,非常满意这家酒店.', 'star': 3}
{'descr': '卫生和设施挺不错的,服务也挺好的.就是酒店里面没餐厅吃饭不是很方便,好在出去之后附近有饭店不是很远,交通还是很方便的.总体感觉还不错.', 'star': 3}
{'descr': '酒店地理位置交通方便，住宿舒服，已经推荐过给朋友啦！', 'star': 3}
{'descr': '性价比很高，酒店很干净、卫生，实际图片和网上照片一模一样', 'star': 5}
{'descr': '我定价格很便宜,用这个价格来衡量这家酒店性价比还是很不错的,也是比较干净舒适,位置也比较方便.', 'star': 3}
{'descr': '整体感觉很好，就是感觉服务员有点太凶了。酒店位置比较好，交通方便，值得推荐！', 'star': 3}
{'descr': '总体来说，不错，就是没有衣柜、行李柜，性价比挺高的', 'star': 5}
{'descr': '位置闹中取静 基本上不错', 'star': 5}
{'descr': '总体很满意！\r\n优点：\r\n1.卫生条件不错，卫生间很干净，估计是新装修的~\r\n2.交通确实方便，就是初次寻找得费点劲，可能是标识不到位吧~\r\n3.装修时尚温馨，服务周到\r\n缺点：\r\n1.灯光不够明亮\r\n2.设施略简单，但必备的都齐全了\r\n3.包门，包镜子没做好\r\n', 'star': 3}
{'descr': '总的来说还不错,就是卫生间水池有反潮的味道,希望改进,下次还准备住那', 'star': 5}
{'descr': '干净舒适，装修时尚，通风好光线好，浴室也宽敞舒适，配有维达的纸。就是网线短了点，网速不快。', 'star': 5}
{'descr': '个人认为不错！ \r\n好像是刚开的酒店 设施都很新 很干净~\r\n气氛温馨 不是白白的窗帘白白的墙 死楞四楞的~\r\n美中不足就是门没有包好~', 'star': 5}
