{'短评内容': '还不错，就是停车要收费', '短评打分': 4}
{'短评内容': '老酒店装修了一下，但是装修的不彻底；浴缸部分好像没装修，墙面和花洒还是老的，水比较小；早餐也好像没有以前好。价格比以前贵了好多。对于温州来说还可以。', '短评打分': 5}
{'短评内容': '酒店设施还不错。。交通比较方便，在温州算得上性价比比较高的酒店了。。。', '短评打分': 5}
{'短评内容': '酒店室内还挺好的。', '短评打分': 3}
{'短评内容': ' 有点老，配置还可以，早餐一般', '短评打分': 3}
{'短评内容': '豪华单间设施不错哦，就是火车有点吵', '短评打分': 3}
{'短评内容': '性价比高方便快捷', '短评打分': 3}
{'短评内容': '出行方便，离火车站比较近，而且居住条件很好，感觉还是很舒服的！', '短评打分': 5}
{'短评内容': '干净 整洁 \n大堂挺豪华\n就是面临大马路有点吵', '短评打分': 5}
{'短评内容': '位置，服务，硬软件都不错。每次朋友来都住这家！', '短评打分': 5}
{'短评内容': '酒店正在装修，住的地方太吵，到市区去的士都不愿意去，因为到哪里都很堵车。要是赶火车的可以建议入住。', '短评打分': 1}
{'短评内容': '还是一样的好，就是遗憾的是没有电脑,每次自己带笔电有点不方便', '短评打分': 5}
{'短评内容': '感觉挺不错的，服务比较周到，早餐也还可以。\n唯一不足的地方，靠近火车站，早上能听到火车鸣笛声，被吵醒了，建议窗户安装双层玻璃，这样比较隔音。', '短评打分': 5}
{'短评内容': '位置不错，很方便，房间也很舒服，就是隔音不太好。', '短评打分': 5}
{'短评内容': '4星酒店，房间比较大，感觉好，服务不错，交通方便，早餐丰富！', '短评打分': 5}
{'短评内容': '该酒店硬件设施还可以，早餐和晚餐自助餐比较丰富。', '短评打分': 5}
{'短评内容': '酒店还不错，一楼的自助餐很不错，交通也很方便。', '短评打分': 5}
{'短评内容': '前台服務惡劣 還不如小旅館評價差差差太差', '短评打分': 1}
{'短评内容': '位置靠近火车站，出行方便，房间比较干净，还有水果赠送，别叫贴心。总体很好', '短评打分': 5}
{'短评内容': '价格也涨了 350以下还是可以\n400还不含早 ，性价比差的', '短评打分': 1}
{'短评内容': '很好,就是酒店外有点乱', '短评打分': 3}
{'短评内容': '一如以前，非常满意。可以算是目前温州性价比最高的酒店了。\n不过早餐质量似乎有一点下降，品种不如以前丰富了。', '短评打分': 5}
{'短评内容': '每次都会带客人入住此酒店，觉得非常满意，而且还有水果拼盘送，早餐也很好', '短评打分': 5}
{'短评内容': '酒店交通方便、停车免费；酒店装潢讲究，环境卫生优良，特别是大床床垫舒适，容易安睡；值得一提的是，酒店还免费赠送水果篮一份，倍感温馨。', '短评打分': 5}
{'短评内容': '很好，每次客人過來都是指定還是要住這裡，價位和交通都很方便，我自己也是比較喜歡，以後還是會繼續支持萬豪酒店', '短评打分': 5}
{'短评内容': '还是一如既往的好，非常满意，下次还会光顾-----台湾客人', '短评打分': 5}
{'短评内容': '靠火车站比较近，周边环境不太好，酒店服务也不是太好，下次不会住了', '短评打分': 1}
{'短评内容': '该酒店的设施都比较齐全，餐饮方面也比较好，就是有时候吃饭的时候人很多，都要预定。不过服务还是很好，一直都会支持万豪。以后会继续入住', '短评打分': 5}
{'短评内容': '不是每天都送水果。只有入住当晚送。总体表现还行', '短评打分': 5}
{'短评内容': '火车站就在下面, 方便但很吵.\n总台接待很不专业, 入住/退房手续办的很慢很慢.', '短评打分': 1}
{'短评内容': '去年装修过一次，感觉还可以。早餐不错。在温州一直是住这里', '短评打分': 5}
{'短评内容': '靠近温州老火车站，楼下又是邮局，有点吵，火车鸣笛，汽车喇叭，我们住的9楼的房间都觉着吵。晚餐7点半西餐厅就不加菜了，都没啥吃的，还98一位。酒店也有一点老，本人感觉，仅供各位参考', '短评打分': 1}
{'短评内容': '房间的空调根本不听你使唤，酒店前台退房和入住超级的慢！好像根本没有上岗培训！', '短评打分': 1}
{'短评内容': '挺好的，现在这个酒店挺安静了。 晚上有送水果。', '短评打分': 5}
{'短评内容': '靠近火车站， 地理位置过得去。 价格比较合理。 服务还算可以', '短评打分': 5}
{'短评内容': '装修比较新，性价比还可以，到火车站比较近，下次还会住', '短评打分': 5}
{'短评内容': '一如以前的素质，很满意。只是早餐的品种似乎比以前少了。', '短评打分': 5}
{'短评内容': '很干净的酒店。。。房间很大。。。交通也方便。。。下次还会来住~', '短评打分': 5}
{'短评内容': '推荐的理由是服务不错。但是酒店装修老旧，价格偏高，就是位置还行', '短评打分': 5}
{'短评内容': '性价比不是很高，早餐太差！服务，设施，位置等都还可以！', '短评打分': 5}
{'短评内容': '价格合理。交通方便。 但我定的是大床房。 去了却告知没大床，没有任何解释。 只是说满了。 ', '短评打分': 5}
{'短评内容': '很不错的酒店，干净明亮，交通方便，下次还会来入住～', '短评打分': 3}
{'短评内容': '已经住过好几次了，觉得是温州市区内性价比较高的一间酒店了。', '短评打分': 5}
{'短评内容': '已经住过好几次了，觉得是温州市区性价比较高的一间酒店。', '短评打分': 5}
{'短评内容': '房间很大，很不错\n早餐西瓜也蛮甜\n性价比不错哦~推荐', '短评打分': 5}
{'短评内容': '之前住过，这次新装修后感觉好多了，也较安静，就是卫生间的洗澡区有点不人性化。', '短评打分': 5}
{'短评内容': '.hao xi haohao xi haohao xi haohao xi haohao xi haohao xi haohao xi haohao xi haohao xi haohao xi haohao xi haohao xi haohao xi haohao xi haohao xi haohao xi haohao xi hao', '短评打分': 5}
{'短评内容': '设施还可以。如果能跟上服务素质就很好了。\n客人要上楼，保洁还挡住电梯不理会。', '短评打分': 5}
{'短评内容': '位置在火车站东出站口，隔音不行（我入住时在装修），设备还可以，只是客户服务跟不上，客服电话声音挺甜美的。\n1.早上让客服送一瓶润肤乳，等了十分钟没来就去洗澡，听到敲门声赶紧往外跑，服务员隔着门说放地上了，我拉开门就看到她一边讲电话一边往休息室走，走到走进去了还在抱怨“1108的人敲门没应你还说她要润肤乳”，这句话话起码重复了三遍，非常不高兴。可是上帝啊我发誓我听到声音答应的时候她敲门没超过三声，何', '短评打分': 5}
{'短评内容': '非常不错的酒店，物有所值，值得推荐。\n特别值得一提的是，早餐味道不错，不过要是品种再多点就更好了。', '短评打分': 5}
{'短评内容': '一切都很好,服务也好,会推荐朋友来住的,保持呀', '短评打分': 5}
{'短评内容': '酒店位置不错，靠近火车站。\n硬件基本达到真正的万豪水平。', '短评打分': 5}
{'短评内容': '就在火车站旁边，旁边也有很多汽车站，地理位置比较好。酒店内部环境也不错。', '短评打分': 5}
{'短评内容': '一般化，温州好的酒店不错，基本上能够接受，早餐不行', '短评打分': 1}
{'短评内容': '环境优雅，房间干净舒适，早餐丰富，服务人员态度友好和善 ', '短评打分': 5}
{'短评内容': '还不错，价格不贵。早餐很简单。 大堂有点简陋。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '我住的时候碰到这家饭店的14和15楼在装修，噪音有点大，早餐不好', '短评打分': 5}
{'短评内容': '·····································', '短评打分': 5}
{'短评内容': '还不错,早饭简单.', '短评打分': 3}
{'短评内容': '很好的酒店，干净，服务不错，早餐也很好。', '短评打分': 5}
{'短评内容': '........................................................', '短评打分': 5}
{'短评内容': 'Good hotel, I may recommend to live in. But subject to if you may afford the price.', '短评打分': 5}
{'短评内容': '在这里住了几次了吧。在ELONG订比我朋友去订要贵一些，只是不想麻烦朋友，温州也没有其他熟悉的酒店就住这里咯！', '短评打分': 5}
{'短评内容': '位置相当不错 就是价格偏贵 打折不怎么厉害', '短评打分': 5}
{'短评内容': '+总体不错，电视节目少了点。', '短评打分': 5}
{'短评内容': '+还算满意', '短评打分': 5}
{'短评内容': '房间还不错。早餐比较简单的中餐，且吃完的菜很少及时补足。', '短评打分': 3}
{'短评内容': '+不错', '短评打分': 5}
{'短评内容': '比前几次感觉好些.以前感觉房间比较旧。价格比较有竞争力。', '短评打分': 3}
{'短评内容': '+还不错', '短评打分': 5}
{'短评内容': 'average', '短评打分': 5}
{'短评内容': '贵，就是离火车站近', '短评打分': 1}
{'短评内容': '酒店正装修，白天有楼层比较吵。', '短评打分': 5}
{'短评内容': '很不错，就在火车站边，方便，设施不错', '短评打分': 5}
{'短评内容': '就在火车站边上，交通很方便', '短评打分': 5}
{'短评内容': '装修有点旧，火车站边上，交通方便，但饭店和超市比较少！', '短评打分': 5}
{'短评内容': '价格还不错，就是靠近火车站，有点吵', '短评打分': 3}
{'短评内容': '价格不错，但服务人员相对较少', '短评打分': 5}
{'短评内容': '性价比尚好. 早餐人多时菜供应不上, 且种类还不够多，似乎不够四星的水平.', '短评打分': 5}
{'短评内容': '陈旧 服务员有点自以为是 我说的是楼层的男服 ', '短评打分': 5}
{'短评内容': '还不错，出行方便，晚上稍微有点吵', '短评打分': 5}
{'短评内容': '房间设施不错，离火车站很近，非常吵。\r\n', '短评打分': 5}
{'短评内容': '这家酒店之前也有住过,各方面条件都还是比较不错的,房间环境也比较干净舒适,还是比较满意的.', '短评打分': 3}
{'短评内容': '交通方便，整洁卫生、服务优良、性价比尚可，对于短时间出差办事的旅客是一个不错的选择。', '短评打分': 5}
{'短评内容': '酒店感觉还可以,位置很不错,离火车站很近,只是浴室里热水不够用', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '酒店一般，就是旁边火车站太吵，凌晨4,5点就被火车汽笛吵醒，而且持续时间很长，没法睡好，我只住了一天就搬了。', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;I think the hotel is my first selection in Wenzhou.&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;价格还行，设施还算凑合，但是下次绝对不会在去住了，晚上火车声实在受不了。。。&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;不错的一家酒店&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '就在火车站边上，环境不错，。', '短评打分': 5}
{'短评内容': '酒店还可以，我住的是标A，398元。值得推荐。免费宽带上网。', '短评打分': 5}
{'短评内容': '这家酒店不错，我是临时改定了这家酒店，入住前还可以看房间，而且房间很大，虽然在火车站旁边，但是并不吵，环境不错，我住的是豪华标准房A，房价398，一切都很满意。', '短评打分': 3}
{'短评内容': '在温州也算不错的酒店，行政房很干净，比标间干净多了，就是隔音较差，半夜会有被隔壁房间吵醒的可能。', '短评打分': 3}
{'短评内容': '有钟点吗？评分住了以后再给吧！', '短评打分': 3}
{'短评内容': '除了地点距离繁华市区远一些，其余都不错，只要肯打车，这不算是缺陷。', '短评打分': 3}
{'短评内容': '这个酒店是我所经历中感受最好的一个，环境、设施已经达到四星标准。最可贵的是服务质量好，我入住期间，母亲身体不适，得到了酒店员工细心的照顾，很是感激。据观察，酒店管理很有序，各项服务都是一流的，推荐大家到温州都入住该酒店。', '短评打分': 5}
