{'短评内容': '位置好，设施好！', '短评打分': 5}
{'短评内容': '软硬件差别很大：\n硬件没得说 -\n离会展中心那么近，非常方便！\n房间大小不错，我住的房型还带独立书房，\n软件有些问题不得不说：\n管理很差，大堂经理管理不了礼宾部的人和那些门童，令人诧异？？？？？？？？？\n据说连总经理都管不了他们，真是服了！\n如果不是参展，绝对不会再回来！', '短评打分': 5}
{'短评内容': '早餐很不错，而且价格超值', '短评打分': 3}
{'短评内容': '非常不错，走路5分钟到展馆', '短评打分': 3}
{'短评内容': '不错~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 1}
{'短评内容': '不错~~~~~~~~~~~~~~~··~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 1}
{'短评内容': '鹏远凯莱大酒店很好，比普通的四星好，床很舒服，电视机很大，住的很开心', '短评打分': 5}
{'短评内容': '这次住的是8楼的客房，房间设施都不错。周围吃饭也很方便。', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '这家酒店经常会去住住，觉得安静方便，设施服务都挺好的，上下高架很方便，以后会经常去住的，如果停车场更大就好了', '短评打分': 5}
{'短评内容': '挺好的酒店，房间不小，整洁舒适。位置也不是问题，因为合肥比较小。', '短评打分': 5}
{'短评内容': '设施很好，很新，房间还另带书房。性价比很高。', '短评打分': 5}
{'短评内容': '住过3，4次了，早餐丰富，就是离市中心有点远', '短评打分': 5}
{'短评内容': '干净，床很舒服，噪音有点，服务还可以。位置稍微有点偏，门口没有什么饭店。', '短评打分': 5}
{'短评内容': '比较新的酒店，进入房间后感觉很好，房间非常明亮，卫生间很干净，花洒水很大。早餐不错。除了位置比较偏，离火车站汽车站比较远，还有房间里的闹钟没电了以外没什么缺点。', '短评打分': 5}
{'短评内容': '除了环境不理想外其他都还挺好的，服务、设施、夜霄啊什么的都挺好的，早餐品种似乎不多，九点多去时食物似乎有点凉了。', '短评打分': 5}
{'短评内容': '酒店交通比较方便，设施还不错，性价比也可以，不足之处为周围环境不太好。', '短评打分': 5}
{'短评内容': '酒店位置在经开区，周边配套相当成熟，房间舒适，时尚，精致，但送餐不好吃，最头疼的是房间装修味很刺鼻，淋浴开关坏。', '短评打分': 5}
{'短评内容': '一个人的话订不含早的可以省10块钱，哈哈', '短评打分': 5}
{'短评内容': '新装修，价格合理，刚开始味道有点，后面几次住，好多了。明珠广场很近。', '短评打分': 5}
{'短评内容': '房间很大,还有独立的小书房. 装修很现代,感觉不错.', '短评打分': 5}
{'短评内容': '合肥鹏远凯莱大酒店非常好，就是不在市中心，不过离我办事的地方很近，酒店房间很好，床很大很舒适，下次还会住', '短评打分': 3}
{'短评内容': '在开发区，交通停车方便，附近比较繁华，酒店各方面很不错', '短评打分': 5}
{'短评内容': '总体服务不错，房间床有点软，而且不管冬夏都用羽绒被，很不环保（夏天很热的），空调面板有点问题。', '短评打分': 5}
{'短评内容': '还不错，不过偶尔还有乌龙发生，整体还好，可以入住。', '短评打分': 5}
{'短评内容': '住过几次，总体还不错，晚上比较吵，临近马路，早饭OK，', '短评打分': 5}
{'短评内容': '总体还不错，床太软了，稍微硬一些也好，早餐OK，', '短评打分': 5}
{'短评内容': '房间还不错啊，床很宽，可以横着睡，就是早餐一般，选择比较少，酸奶也改成散装的了，晚上的自助晚餐选择也不多，可能是口味不同吧！', '短评打分': 5}
{'短评内容': '条件不错，环境好，而且性价比高，整体舒适度也很不错，住着特别舒服.', '短评打分': 5}
{'短评内容': '服务和设施都不错。不过，个人感觉床偏软，被子是羽绒的，夏天要把空凋打的低才行，不够以人为本。', '短评打分': 5}
{'短评内容': '很好！服务真诚周到，设施也不错，住了不少次感觉挺亲切的…', '短评打分': 5}
{'短评内容': '硬件设施很不错，服务态度也很好！我已经住过好几次，只是这一次住的时候，晚上洗澡热水不热，打电话给客房服务中心，说是洗澡高峰期的原因，很不解，只好第二天早晨起床洗的澡', '短评打分': 5}
{'短评内容': '房间很新.感觉不错.早饭一般', '短评打分': 3}
{'短评内容': '内部设施齐全，装修华丽中透着简约，早餐种类丰富，服务员态度很好。', '短评打分': 3}
{'短评内容': '酒店很親切 乾淨 到徽園 歡樂園也很近 是很方便的值得酒店', '短评打分': 5}
{'短评内容': '性价比很不错。入住的豪华房有独立书房。服务好，设施新，离高速路口近。非常值得推荐。', '短评打分': 5}
{'短评内容': '饭店的设施和服务都不错，价格也比较实惠。早餐再丰富点就更好了。', '短评打分': 5}
{'短评内容': '再次入住鹏远凯莱，春节淡季连住两晚的优惠价的性价比还是不错的，虽然刚入住时卫生间下水管漏水，但报修后很快就维修好,维修师傅还提醒可以换块脚垫，不错', '短评打分': 5}
{'短评内容': '设施、卫生、服务、价位都蛮好，好酒店！唯房间稍小，又没行李架。', '短评打分': 5}
{'短评内容': '不好打车，服务一般，服务一般，服务一般，服务一般，服务一般，', '短评打分': 1}
{'短评内容': '这家酒店总体来说还是不错，因为酒店开业时间不长所以房间设施还好，我住的是行政高级间，卫生间很大，花洒水流很多，但也有一些小细节做得不够好，烧水壶周围没有插座，在插座旁边又没有小桌可以放热水壶，淋浴房没有放洗浴用品的地方，房间关门的声音太大，电梯很多，但电梯里的地毯不够干净，希望贵酒店能够注意细节和服务，越来越好，有机会还会关顾的！在这里提一下行政酒廊服务员服务态度很好！谢谢！', '短评打分': 5}
{'短评内容': '硬件设施很不错，酒店的服务也不错，就是停车位有些不足', '短评打分': 5}
{'短评内容': '新酒店设备很新服务还算可以，第二次入住。', '短评打分': 5}
{'短评内容': '酒店很干净，环境很好，交通也很便利，下次去合肥首选酒店', '短评打分': 5}
{'短评内容': '整体设施不错，比较新，就是空调声音大了些，电源白天会自动断电，可能是为了节能。', '短评打分': 5}
{'短评内容': '不错，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '无论是交通还是周边的购物吃饭的便捷度，三百多的价格住这样四星级的酒店，总体可以打95分', '短评打分': 5}
{'短评内容': '酒店设施很不错，床铺、洗浴都很舒适，上网很快，就是早晨总有服务员敲门问有没有衣服洗很打扰休息', '短评打分': 5}
{'短评内容': '酒店设施不错 作为四星的饭店已经很不错了 下次还会入住', '短评打分': 3}
{'短评内容': '酒店挺干净，位置也不错，以后再住', '短评打分': 3}
{'短评内容': '四星级，果真不一样\n新建的，后来来了两次还是住在这里，很喜欢，性价比高！', '短评打分': 5}
{'短评内容': '已经是第二次入住，感觉依然不错，不过这次没上次含早餐的促销价格了，希望以后还能继续有促销价', '短评打分': 5}
{'短评内容': '环境很好，干净整洁，给人一种回家的舒适感，会再次入住的！！！', '短评打分': 5}
{'短评内容': '酒店设施还不错，毕竟新开业，因为含了早餐券赠送，性价比还可以，毕竟4星标准，早餐还是挺不错的', '短评打分': 5}
{'短评内容': '比较新，位置稍微差了点，离长途汽车站比较远', '短评打分': 5}
{'短评内容': '套房,超大,还会再来.', '短评打分': 5}
{'短评内容': '新开酒店，条件不错，值得一住。', '短评打分': 5}
