{'短评内容': '不错哦！！！', '短评打分': 5}
{'短评内容': '空调坏了 电话坏了 把线拔掉才行 哎 我不知道咋说了', '短评打分': 1}
{'短评内容': '房间卫生还不错，设施太陈旧，卫生间漏水等…', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '环境价格都可以，就是有点小味道，总得来说还行！', '短评打分': 5}
{'短评内容': '前台服务还行，房间不错，很好，推荐！', '短评打分': 3}
{'短评内容': '环境有点差，一个人有点怕哈。环境有点差，一个人有点怕哈。环境有点差，一个人有点怕哈。环境有点差，一个人有点怕哈。环境有点差，一个人有点怕哈。环境有点差，一个人有点怕哈。', '短评打分': 1}
{'短评内容': '有点旧呢 不过价格挺划算的 服务挺好的 总的来说 适合外出居住吧 提前订 挺方便的 往上走就是春熙路了  算是离市中心挺近的吧 ', '短评打分': 5}
{'短评内容': '酒店的位置不错，距离春熙路挺近的，去宽窄巷子也有公交。住的也很方便，设施挺不错的~一共在那里住了三个晚上，值得推荐住宿。', '短评打分': 5}
{'短评内容': '一个字就是脏 可能是宾馆比较老了的缘故 但是这个价格也是没有办法的事情··11111111111111111111111111111111111', '短评打分': 1}
{'短评内容': '住宿什么的都挺好的 服务态度也挺好的 就是有一个缺点 隔音效果不好哦 嘿嘿 总的来说 不错的呢', '短评打分': 5}
{'短评内容': '  己入住,不错!', '短评打分': 3}
{'短评内容': '＋挺好的条件 服务也挺好的', '短评打分': 3}
{'短评内容': '还好拉，不过位置还是有点偏，房间没有吹风，不过前台服务还是挺周到的，觉得价有所值', '短评打分': 5}
{'短评内容': '还可以，洗澡的空间小了点。就是空调不给力。', '短评打分': 5}
{'短评内容': '酒店位置挺好，门口就有公交站牌“天祥寺站”，离春熙路三站就到了。\n住的特价无窗房，有点儿闷，不过还是可以接受的。\n前台服务很好，很热情。', '短评打分': 5}
{'短评内容': '不错不错~ 刚开始预定的时候看到其他客人有写酒店不好的，但是到了之后很出乎意外。要的是118的无窗的房间， 刚到的时候觉得被子有点潮 ，但是空调热水器什么的都是很好的， 过几天还要去成都一次，就住这儿了。', '短评打分': 5}
{'短评内容': '卫生条件还不错，就是被子太潮湿，睡的难受，这是成都天气的原因吧。但是，席梦思的床垫钢丝太咯得慌了。还有，108的价格还不给发票，竟然还说是国家规定，真敢说啊。其他都还好。', '短评打分': 1}
{'短评内容': '地理位置比较好，但是房间由于是无窗房比较潮湿和闷。', '短评打分': 1}
{'短评内容': '价格实惠，但个别房间窗户外卫生不是很好。入住着建议多看几个房间。', '短评打分': 3}
{'短评内容': '交通挺便利的。房间条件也不错，大床房还是很舒服的', '短评打分': 5}
{'短评内容': ' 房间还成，公交不是很方便，楼下好多好吃的', '短评打分': 3}
{'短评内容': ' good', '短评打分': 3}
{'短评内容': '房间隔音太差了，晚上睡觉居然很清晰听到隔壁的打鼾声，大清早而且特别吵', '短评打分': 1}
{'短评内容': '  已入住成都资蓉商务酒店.', '短评打分': 3}
{'短评内容': '己入住', '短评打分': 3}
{'短评内容': '超高的性价比，离商业中心很近，一个起步价就到了，就是没有吹风比较恼火。', '短评打分': 3}
{'短评内容': '还不错,就是不含发票', '短评打分': 3}
{'短评内容': '不错\u3000比想象中好很多', '短评打分': 3}
{'短评内容': '定了98元的特价房 还算蛮超值的 在一环边 房间有点潮味 晚上有骚扰电话  公交车方便 就是打车司机都不知道这个酒店的位置', '短评打分': 5}
{'短评内容': '特价房无窗有霉味，郁闷了', '短评打分': 3}
{'短评内容': '挺好的，服务员态度很好，房间也比较大；就是灯光不大亮，空调比较旧', '短评打分': 5}
{'短评内容': '酒店设施有些旧，但是性价比很高，下次有机会还会再选择。', '短评打分': 5}
{'短评内容': '位置相当好，周边餐饮也很多，老妈兔头是必去的地方，周边的火锅也很多的', '短评打分': 5}
{'短评内容': '酒店卫生条件不错，环境好，离春熙路有点远，但是前台服务很好，待人很热情，唯一不足就是房间隔音不是很好。总之是性价比不错的酒店！？', '短评打分': 3}
{'短评内容': '酒店不错，交通便利，上网宽带很快，服务也周到，性价比高。', '短评打分': 5}
{'短评内容': '位置不错！卫生还行，就是地毯有点脏。就是晚上有电话骚扰。', '短评打分': 5}
{'短评内容': '98元的性价比不错，当然，隔音效果不好，空调效果稍差，但还能用，卫生间面积还不错。这个价格，行了！', '短评打分': 5}
{'短评内容': '房间看起来老旧,壁纸很脏甚至脱落,浴室很不好,光线不好,', '短评打分': 1}
{'短评内容': '不错的宾馆', '短评打分': 3}
{'短评内容': '除了晚上会有骚扰电话外，总体还不错。周围餐饮比较多，也比较繁华。', '短评打分': 5}
{'短评内容': '位置还行，门口有公交，饭店，银行什么的，房间设施一般', '短评打分': 5}
{'短评内容': '房间下水有点不畅，酒店位置还是不错的，交通方便', '短评打分': 5}
{'短评内容': '交通不错，离市中心不远，出门就是公交车站，宾馆门口路上有不少饭店', '短评打分': 5}
{'短评内容': '地段好，卫生条件不错，比较整洁，订的98元特价房，没有窗户，空调比较老，换气不好，其余都还不错，性价比很高。', '短评打分': 5}
{'短评内容': '总体来说不错，遗憾的是晚上不停地有骚扰电话打来，一怒之下把电话线拔了。', '短评打分': 1}
{'短评内容': '，这家酒店一般，卫生间居然不下水，腌得到处都是，希望今后不再发生。', '短评打分': 3}
{'短评内容': '这个价位还算可以，设施还算新，服务态度好，推荐！', '短评打分': 5}
{'短评内容': '其实酒店的位置价格还是不错，但是我昨天去入住，觉得问题很大。先是入住309，进去后发现空调是坏了，前台不知道，服务员也不知道。尝试后发现确实坏了然后给我换了411房。但是房卡需要自己去前台更换，没有人帮你换。\n早上起来去退房，前台说，请查房309.我汗ing，我不知道如果309有客人的话会怎么办。还好我及时给了更正。\n最离谱的是，早上去洗手间的时候，竟然给反锁到里面了，那个门锁莫名的坏掉，幸亏有朋', '短评打分': 1}
{'短评内容': '\r\n环境不错，98元能抢到，很划算哦，很干净哦', '短评打分': 3}
{'短评内容': '位置不错吃饭购物方便', '短评打分': 3}
{'短评内容': '总体还不做 主要是我住的特价房没有窗户！但还是很好啦！地毯稍微有点点脏哈！白天水不是很热！但是服务态度相当不错！总体很满意', '短评打分': 5}
