{'短评内容': '很好，安静，干净', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '总体环境还可以，酒店窗外夜景不错，不过电视机的位置有点不舒服，还有就是插线板比较少，位置也不是很好，实用起来不是很方便。', '短评打分': 5}
{'短评内容': '不便宜，但是不怎么的。房间小，老，有味道。\n早饭一般般。 \n', '短评打分': 1}
{'短评内容': '不便宜，但是不怎么的。房间小，老，有味道。\n早饭一般般。', '短评打分': 1}
{'短评内容': ' 地段不错', '短评打分': 3}
{'短评内容': '为老外订的。有个客户一直住的这家，应该是个不错的酒店。', '短评打分': 5}
{'短评内容': '离展会很近，方便，帮客人定的，客人反映不错。换名字了，但是服务和房间一如既往。不错。以后还会定该酒店的。', '短评打分': 5}
{'短评内容': '服务不错。交通还算方便，从浦东机场过来，再加上离展会场所近，所以客人每次都指定住这里。因预定的标间少了一间，还通通升级到club。以后还会来的。', '短评打分': 5}
{'短评内容': '酒店不错，环境很好。 就是太大了，走起来很累，另外就是早餐太差了', '短评打分': 5}
{'短评内容': '以前是索菲特就很不错，位置性价比很高。现在新修了东楼，东楼更豪华。', '短评打分': 5}
{'短评内容': '硬件不错，位置不好，周围没有吃饭的地方，', '短评打分': 5}
{'短评内容': '房间不错，但是因为楼有两座，开始自己走错了，而且我还带了一位年纪比较大的朋友，前台竟然都没有提醒，希望以后加强这方面。\n', '短评打分': 5}
{'短评内容': '就是找到房间要走好多好多路,环境什么都挺好的,赫赫赫赫赫赫和  ', '短评打分': 5}
{'短评内容': '环境不错。。。下次还会入住！推荐。就是早餐可以再丰富点。', '短评打分': 5}
{'短评内容': '感觉挺好的。因为是帮客户预定的，虽然没有实地入住，但是听客户反响不错。。', '短评打分': 5}
{'短评内容': '酒店高级房蛮宽敞的，很舒适。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': 'Nice hotel......................', '短评打分': 5}
{'短评内容': '性价比较高，交通方便，值得推荐入住！东楼的装潢有特色，房间宽敞。\n', '短评打分': 5}
{'短评内容': '很喜欢这家酒店，距离展览中心很近，游泳池是我的最爱：）', '短评打分': 5}
{'短评内容': '大堂宏偉，距 SNIEC 展覽中心 只 16 RMB 計程車费', '短评打分': 5}
{'短评内容': '酒店不错，服务一般。前台都跟欠了八百吊似的，站半天都没人主动询问要什么服务。', '短评打分': 5}
{'短评内容': ' 行政楼层景色不错', '短评打分': 3}
{'短评内容': '满意!', '短评打分': 3}
{'短评内容': '酒店换了名称，但是并不影响酒店的服务和运营，依旧是浦东五星级酒店当中的性价比很高的。', '短评打分': 5}
{'短评内容': '东楼的豪华间比西楼的豪华间大，而且布局合理。这个价格比较值。', '短评打分': 5}
{'短评内容': '好长时间没去住，没想到酒店名称换了，酒店新楼也开了。\n这次住的新楼（东楼），感觉很好。', '短评打分': 5}
{'短评内容': '性价比较高，交通方便，值得推荐入住！！！！', '短评打分': 5}
{'短评内容': '老牌的酒店了，还是不错滴。下次还是会住的。', '短评打分': 5}
{'短评内容': '开始就知道这家酒店,口碑很好,然后交通很方便，距离上海国际展览中心很近,酒店环境很好,很干净!', '短评打分': 5}
{'短评内容': '非常不错的酒店，环境和交通都很不错。打车至乘磁悬的地点仅有10分钟左右。', '短评打分': 5}
{'短评内容': '交通、装潢、服务均不错。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '性价比较高,交通计程车\\地铁出行都很方便,周边还有蓝村商业中心,去陆家嘴以及新天地都相对方便!', '短评打分': 5}
{'短评内容': '档次很高，，装潢很好~~~真的很不错...客人点名这家', '短评打分': 5}
{'短评内容': '酒店环境还不错，装修也不错，到底是原来的索菲特，不过两栋楼之间不太方便。', '短评打分': 5}
{'短评内容': '一开始就知道这家酒店,口碑很好,然后交通很方便，距离上海国际展览中心很近,酒店环境很好,很干净!', '短评打分': 5}
{'短评内容': '海东锦江大酒店(原东锦江索菲特大酒店)索菲特的品牌足够说明一切，非常不错的酒店', '短评打分': 5}
{'短评内容': '为了方便赶第二天早上在浦东机场的飞机，所以定在机场边上这个位置。很满意。', '短评打分': 5}
{'短评内容': '索菲特的品牌足够说明一切，非常不错的酒店', '短评打分': 5}
{'短评内容': '房间很好，客人特别喜欢。但是空调噪音太大，与酒店的档次太不搭了。还有餐饮的价格高的离谱，建议改进。', '短评打分': 5}
{'短评内容': '房间面积还不错，设施中规中矩，大堂比较大，早餐、客房服务就很一般，前台可恶，居然懒得接电话', '短评打分': 5}
{'短评内容': '酒店整体感觉还不错，毕竟是新装修的。…………', '短评打分': 5}
{'短评内容': '地理位置很好，交通方便；住宿条件较好。只是餐费价格较高。', '短评打分': 5}
{'短评内容': '酒店还挺新的，不错', '短评打分': 3}
{'短评内容': '房间比较小，电视机居然还是老式的，管理还行，五星级酒店中属于比较便宜的', '短评打分': 5}
{'短评内容': '还行。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '蛮喜欢那个大堂的，挺宽阔，位置也很好找。就是自助餐一般性了一点，just so so.', '短评打分': 5}
{'短评内容': '设备较老，价格便宜，出入方便，离世纪大道很近', '短评打分': 5}
{'短评内容': '时间过去很久了但是服务态度实在是不好！特别是一楼西餐厅像是谁欠他们钱！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '还不错啦，世博期间，性价比还算不错啦，观博也算比较方便的', '短评打分': 5}
{'短评内容': '还不错,大堂不错,房间一般。世博期间算好的了。', '短评打分': 5}
{'短评内容': '对于看世博会，地理位置还不错，反正五星级无功无过。', '短评打分': 5}
{'短评内容': '地理位置有局限性，但是总体上来说，酒店质量，服务还是比例较令人满意的，对于这个价位也是可以接受的。', '短评打分': 5}
{'短评内容': '我已入住酒店', '短评打分': 5}
{'短评内容': '挺好，干净，舒适，服务也很好，希望继续保持，有机会还会住。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店外观不错，但是内部配套和服务就很一般', '短评打分': 3}
{'短评内容': '酒店的外观和大堂做得挺气派，但是房间却成反比，之前住过准四星的也跟这差不多了，服务员速度慢，态度也不好，还有那房卡也有很大问题，总是坏掉，每次都要在房门口等3~5分钟服务员才来开门。房间也不配早餐，去1楼吃个早餐每位还要170多，东西一般，达不到这个价钱，B1的中餐厅没什么生意，去吃了两次，每次都超不过4桌客人总之，就是有上当的感觉！', '短评打分': 1}
{'短评内容': '酒店服务不错', '短评打分': 5}
{'短评内容': '酒店非常气派，酒店服务人员训练有素。酒店位于居民区，不方便就近餐饮娱乐，不过对于浦东商务公干还是很值得推荐', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '这几天住在高层的，很不错！~空气很好!~                                              ', '短评打分': 3}
{'短评内容': '酒店位置不错！~很舒适，卫生很好，服务也很好！~\r\n', '短评打分': 3}
{'短评内容': '不错的酒店！~服务也很好！~卫生也不错！~', '短评打分': 5}
{'短评内容': '房间非常干净和舒适！可是服务就。。。特别是东楼一楼的西餐厅，我们1点40分去点的菜，那个小姑娘就像是欠她钱一样板着脸！！！2点05分上的菜！主食吃完了薯条还没有上来！问了一下说忘了！！！！！至始至终也没有人来加水。。。这种服务实在是比沙县小吃还差！300多元吃了个不值！！！所以建议大家去这家饭店就光住就好了！别去吃饭！', '短评打分': 5}
{'短评内容': '酒店很不错！~住的也很舒适                                                                                                           ', '短评打分': 3}
{'短评内容': '整体评价不错的一个酒店，离地铁站10分钟路程，还算比较方便。东楼的是新装修的，比较舒服。', '短评打分': 5}
{'短评内容': '不错，下次还要去。', '短评打分': 5}
{'短评内容': '下次一定还去索菲特住', '短评打分': 5}
{'短评内容': '没有什莫特殊的地方，早餐一般，取款机也不能用，结账速度太慢，态度也不热情。', '短评打分': 1}
{'短评内容': '总的来说还不错！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '4/25約四點左右入住,當天房間一直有很大的噪音從沒間斷,飯店還發嘞一張清洗外窗抱歉之類的卡片,但那聲音聽起就像在自己房間內ㄉ空調鋁管發出ㄉ清脆聲響,不是在外面歐,直到11點多很累又無入睡才反映換房,飯店才告知我樓上在施工', '短评打分': 1}
{'短评内容': '酒店硬件各方面还是不错,房间也很大.但是位置一般了.离市中心,就是陆家嘴中心也有一定距离,周边也很一般.', '短评打分': 5}
{'短评内容': '价格偏贵,服务可以', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '帮客人预订的房间，应该还是很满意的吧', '短评打分': 5}
{'短评内容': '总体还不错', '短评打分': 5}
{'短评内容': '酒店很好，领导喜欢住那里 ', '短评打分': 5}
{'短评内容': '房间设施不错，交通也挺方便 就是贵了点 性价比嘛不高', '短评打分': 1}
{'短评内容': '这家酒店很不错，房间的卫生和设施还行，服务很专业，位置也还好，出行是很方便的，我觉得性价比还是比较高的 值得推荐', '短评打分': 3}
{'短评内容': '酒店交通方便，去机场，新国际展览中心都可以坐地铁４号线转２号线，\r\n卫生、服务都非常好', '短评打分': 5}
{'短评内容': '房间设施虽然有些陈旧，但也算保养得不错，房间够大！早餐好贵！', '短评打分': 5}
{'短评内容': '卫生和服务方面还是不错的,很热情,交通上也还比较方便,就是酒店建造时间太久了,房间的设施太陈旧了,下次我会选择新一点的酒店.', '短评打分': 3}
{'短评内容': '酒店紧靠世纪公司，景观不错，就是购物吃饭不方便，要做车去陆家嘴。', '短评打分': 5}
{'短评内容': '酒店的服务卫生以及设施都很好的，酒店的位置不错的，交通很方便的，性价比不错的酒店。', '短评打分': 3}
{'短评内容': '酒店房间比较偏小,电视还是比较老的那种应该更新了,位置还不错总体感觉酒店很一般.', '短评打分': 5}
{'短评内容': '酒店不错 客户比较满意', '短评打分': 5}
{'短评内容': '酒店服务不错,态度很好,早餐也很丰富.', '短评打分': 5}
