{'短评内容': '服务很好 床也很舒服  如果可以提供早餐就更完美了 ', '短评打分': 5}
{'短评内容': '位置好,房间干净舒适，下次还会选择。', '短评打分': 5}
{'短评内容': '这个酒店位置很好,房间设施很新,但是房间比较小,酒店对面就是百年老字号建新园的分店。', '短评打分': 5}
{'短评内容': '到机场打车16元，酒店对面有个百年老店米线的，价格很便宜！很干净，打车到西部客运站要20多！', '短评打分': 5}
{'短评内容': '酒店房间外环境不错，房间内空间较小', '短评打分': 5}
{'短评内容': '前台接待人员态度和蔼可亲 个人认为还是不错的 比较热心 还主动帮忙拿行李 总体不错 就是门面太小 不是很好找 司机找了蛮久的 ', '短评打分': 5}
{'短评内容': '还可以，挺好的，在昆明很多宾馆设施都不是很好，但这个酒店总体还不错', '短评打分': 5}
{'短评内容': '性价比很高的快捷酒店，设施很好，环境很好。云南的连锁品牌。我觉得比7天连锁、如家好，和锦江之星的的设施、舒适度相当，甚至好一些。离市中心很近。昆明机场本来就离市区近，这个酒店到机场出租车5.9KM，15元，离昆明机场主干道春城路和拓东路的交叉十字路口只有200米的距离，非常好找。而且地方很好找。下午下班高峰打车去机场也不过25分钟。于是第二次在昆明转机还是选择的这个酒店。满意！！！\r\n唯一不爽的是', '短评打分': 5}
{'短评内容': '  OK ', '短评打分': 5}
{'短评内容': '家庭房住着非常舒适，各方面设施都很不错，离市中心很近，购物比较方面', '短评打分': 5}
{'短评内容': '设施很好，很干净，服务员打扫卫生超级认真。', '短评打分': 3}
{'短评内容': '酒店地理位置很好，到火车站、机场都有直达公交车，房间装饰很新，很温馨，床头也有网络接口，很方便，总之，性价比较高，下次还会入住。', '短评打分': 5}
{'短评内容': '非常好，值得推荐。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '，非常不错', '短评打分': 5}
{'短评内容': '很好的，位置也好找，对面就是米线馆，很好吃。', '短评打分': 3}
{'短评内容': '宾馆的服务很好，有问题都能及时答复，并且很耐心，只是宾馆内有蚊子，睡觉时路边的房间有些吵～', '短评打分': 5}
{'短评内容': '就是房间小了点，其他的也还过得去。挺方便的。', '短评打分': 5}
{'短评内容': '+ 住的家庭房，唯一感觉不方便的地方是卫生间太透明', '短评打分': 5}
{'短评内容': '其它都不错 比较有特色的酒店 房间稍小 隔音稍差些。', '短评打分': 5}
{'短评内容': '环境不错，可是设施需要加强维护，淋浴蓬头有问题，勉强可以用，服务态度不错。', '短评打分': 5}
{'短评内容': '清潔, 新, 簡約, 性价好! 服務員也很用心解答問題!', '短评打分': 5}
{'短评内容': '酒店干净，位置方便，服务一般。', '短评打分': 3}
{'短评内容': '酒店干净，位置交通方便，房间紧张，入住很满。', '短评打分': 1}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '挺干净的，床很舒服，如果窗户能够不对着通道就很完美了', '短评打分': 5}
{'短评内容': '很不错，性价比非常高，交通也方便，门口就有A2路可以坐到机场', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '云上四季，真的像它的名字，入住后感觉比较舒适。位置也好找，周边购物也不远。唯一不足就是房间隔音不好，夜里再有入住的声音就有些嘈杂。', '短评打分': 5}
{'短评内容': '除了房间稍有点小，其他还是蛮不错的', '短评打分': 5}
{'短评内容': 'very goood budget hotel. Definitely will stay again if visit Kunming next time.', '短评打分': 5}
{'短评内容': '住过一次,感觉舒心交通便利,服务态度好.', '短评打分': 5}
{'短评内容': '很好，是我住过最好的经济型商务酒店。就是饭菜太贵了，希望调整。', '短评打分': 5}
{'短评内容': '酒店位置不错，客人比较少的时候，餐厅下班也早，不过对面就有建新园过桥米线的分店，也算方便，主要里办事的地方比较近，环境还可以。', '短评打分': 5}
{'短评内容': '作为经济型酒店，各个方面都不错了！感觉价格稍微贵了一点点。另外，周围吃的不是太方便。', '短评打分': 5}
{'短评内容': '地处闹市之间，周围有很多购物中心，酒店适合自己出去玩的朋友入住。不足在于酒店的小商品像日常用得上的牙膏牙刷没有销售。 ', '短评打分': 3}
{'短评内容': '酒店干净整洁，出行交通也比较方便，酒店配置齐全，有网络，性价比较高。', '短评打分': 5}
{'短评内容': '该酒店非常好，给人感觉比较温馨，在昆明是非常不错的连锁酒店。', '短评打分': 3}
{'短评内容': '地处闹市之间，周围有很多购物中心，酒店适合自己出去玩的朋友入住。不足在于酒店的小商品像日常用得上的牙膏牙刷没有销售。', '短评打分': 5}
{'短评内容': '这家酒店的位置很好，在小西门旁边，离沃尔玛仅一二百米，旁边还有佳华饼屋和粥皇，还有水果店，公交车站，特别方便。只是酒店条件一般，里面的用具看起来有点旧。', '短评打分': 5}
{'短评内容': '方便/干净/整洁', '短评打分': 5}
{'短评内容': '酒店性价比很高', '短评打分': 5}
{'短评内容': '氛围非常好，只是分店外地很少', '短评打分': 5}
{'短评内容': '临街太吵，早餐待改进，其他还好', '短评打分': 5}
{'短评内容': '此次住的比去年住的同样的房间要小，非常紧凑。不太适合有人来访。\r\n无停车场。', '短评打分': 5}
{'短评内容': '房间不错，早餐一般', '短评打分': 5}
{'短评内容': '比较中规中矩的一家酒店，应该属于是快捷酒店吧，感觉还可以。', '短评打分': 5}
{'短评内容': '房间也太小嘛、就是一般的家庭旅馆、可能是才装修的、成色还是不错、比起我们成都就差多了、这样的设施在成都也就是100元左右', '短评打分': 1}
{'短评内容': '设施很到位，商务大床的面积也足够分量，服务人员热情，然后里面的走道设计很有特点。就是酒店外面被几棵大树挡住了，不太好找，昆明司机老趁这个带我们绕路！', '短评打分': 5}
{'短评内容': '方便快捷，干净卫生，推荐入住', '短评打分': 5}
{'短评内容': '位置不錯，但性價比不高', '短评打分': 3}
{'短评内容': '還可以，但性价比確實不高！', '短评打分': 1}
{'短评内容': '综合不错', '短评打分': 5}
{'短评内容': '前台的服务态度很好，卫生也不错，很安静，不吵', '短评打分': 5}
{'短评内容': '酒店是新开的，离市中心、机场等很近，办事方便。不过房间隔音效果不佳。', '短评打分': 5}
{'短评内容': '还可以,交通方便,不过周围没有吃饭的地方,要走30分钟.', '短评打分': 5}
{'短评内容': '卫生不错,感觉整体设施方便,干净,整洁.', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '就酒店的价格和地段来讲,性价比不错的,舒适度也是可以的.是比较好的经济型酒店.下次还是会住这家酒店,也会向朋友推荐.', '短评打分': 5}
{'短评内容': '各方面条件都不错，对面就有一家每年过桥米线店。只是房间隔音效果不好、家庭房的卫浴是透明的。如能改进，将更好。', '短评打分': 5}
{'短评内容': '房間清潔,地點方便,下次還會續住.', '短评打分': 3}
{'短评内容': 'clean,comfortable and convenience. recommended', '短评打分': 5}
{'短评内容': '地段还行，房间也不错，就是价钱贵，还没有早餐。最最要命的就是没有标间。所以就只好定了个家庭房，一个大床一个小床。进去才发现，洗手间是透明的！！ 老天，就算一家人住，爸爸妈妈也不希望当着儿子的面拉屎吧！！！好歹你也弄个帘子吧。就因为这一点，我是不会再住了', '短评打分': 1}
{'短评内容': '非常好。。。下次还会住', '短评打分': 3}
{'短评内容': '之前看了网站上面的评价不错就选了这一家。。。结果。。。确实不错！！非常干净，非常安静。。。住了三天晚上，非常满意。。。向大家都推荐！', '短评打分': 5}
{'短评内容': '干净卫生，位置也很方便，除了餐厅的菜品稍显一般外，很好的酒店', '短评打分': 5}
{'短评内容': '推荐 不错的酒店', '短评打分': 5}
{'短评内容': '酒店总体来说不错，就是有一个问题：空调声音太吵，望改善', '短评打分': 5}
{'短评内容': '地理位置挺不错的,酒店的餐厅没有吃的就是有菜也很难吃,而且我住的那个房间的空调是坏的当时我还因为这个问题调了一次但是还是坏的而且这家酒店的服务员的素质也不是很高态度挺差的,卫生和舒适度还行但是房间挺小的,性价比挺一般的.', '短评打分': 3}
{'短评内容': '软件服务不够灵活，餐厅烹调技术不好。', '短评打分': 5}
{'短评内容': '第一次住云上四季，比其他快捷酒店的设施都要好一些，卫生和服务都很不错，住起来很舒适。只是酒店楼下没有什么可以吃东西的店，每次都要步行去金碧方向，虽不远也并不是很近，走路10多分钟，个人感觉并不算位置特别好。但总体性价比还是很高的。', '短评打分': 5}
{'短评内容': '酒店总体性价比很高,位置很好交通便利,房间很干净舒适,设施齐全,非常满意的酒店.', '短评打分': 3}
{'短评内容': '酒店对面有个老字号的云南米线店，名字忘了，如果是没有在酒店订早餐，可以去对面吃。\r\n酒店的床上用品比较舒服，尤其是枕头，1个是软的，另外一个是中间是硬心的，对于我这种颈椎不太好的人用着非常舒服。\r\n酒店的楼道里面有个天井，走在楼道里面阳光充沛感觉很舒服。\r\n前台服务不错，结帐速度快。\r\n虽说是金碧地区的酒店，但是走路过去还是要10多20分钟。', '短评打分': 5}
{'短评内容': '酒店非常好，前台态度非常热情，早餐非常不错。中餐也很有特色，下次来一定会再住这个地方。', '短评打分': 5}
{'短评内容': '离市区近', '短评打分': 5}
{'短评内容': '服务很好热情周到,卫生很干净,设施完善,地理位置交通方便,性价比不错的酒店,值得推荐', '短评打分': 3}
{'短评内容': '酒店的房间显得比较拥挤.设施比较紧凑.房间也有点像暗房类似,没有阳光摄入.不过酒店的卫生间有一个静水器这点比较好.可以直接出饮用水.前台有一些水果准备给客人,服务倒是挺体贴的.距离机场比较近差不多10多块钱就可以到.', '短评打分': 3}
{'短评内容': '很多房间没有窗，必须开空调、通风设备', '短评打分': 5}
{'短评内容': '房间挺干净的,位置也挺不错,很好找,里面的设施也挺不错的,满意.', '短评打分': 3}
{'短评内容': '地理位置比较好，离机场及市中心都较近，离花市也很近，缺点是我们去的时候有人施工，略吵些。上次住的是家庭房，还不错，适合出去玩的时候住，价格较能让人接收，如果能房费含早餐就更好了，呵呵', '短评打分': 3}
{'短评内容': '酒店较干净，服务人员的态度很好，里机场还有花市很近，离金马碧鸡坊也较近，但是卫生间内的设施希望能改善，入住的时候，淋浴的花洒好像坏了，不能固定，希望下次去的时候不会遇到这种情况。', '短评打分': 5}
{'短评内容': 'ss', '短评打分': 1}
{'短评内容': '酒店的服务卫生以及设施都很好的，酒店的位置不错的，出行很方便的，性价比不错的酒店', '短评打分': 3}
{'短评内容': '酒店地理位置比较好,房间比较小,舒适度不够,设施还不错,卫生和服务还都可以,性价比不错.已经推荐给朋友们选择了.', '短评打分': 5}
{'短评内容': '酒店很一般，没有什么特色，住起来也不太舒服。不值得推荐', '短评打分': 1}
{'短评内容': '很干净,就是有点贵', '短评打分': 5}
{'短评内容': '酒店位置很好，离花市很近，设施很新。挺值得推荐的。', '短评打分': 5}
{'短评内容': '很好的酒店..无论是房间设施 还是服务..包括早餐性价比很好', '短评打分': 5}
{'短评内容': '酒店较新、到机场、车站交通较方便，', '短评打分': 5}
{'短评内容': '我觉得拓东店确实挺不错的，无论是他的地理位置，价格设施和服务环境都是很好的，性价比很不错。', '短评打分': 5}
{'短评内容': '这家酒店是个新酒店，设施环境都不错，酒店的服务也挺好的，也很干净', '短评打分': 5}
{'短评内容': '原来是订178的大床房，因为旁边的工地施工太吵，所以只好换成208的商务大床房，因为是新店所以设施都新，很舒服，但是208的房费居然不含早，是过贵了。而且我的评分是对商务大床房的，对于一般的大床房就有些折扣了，所以还是价格决定一切', '短评打分': 5}
{'短评内容': '这家酒店刚开业的时候住过一次，一直没有时间点评，这次一定要点评一下，因为酒店在市中心去飞机场火车站很方便，两次过来酒店的服务和其他方面都保持的很好，没想到这次接待我的还是上次的那个小姑娘，更没想到她居然还记得我的名字，感觉很亲切。卫生和客房设施没话说，对于这样价位的酒店物超所值，床很舒服，上网很快，化妆镜很大，其他具体就不说了，建议去昆明的朋友试试。', '短评打分': 5}
