{'短评内容': '。活该粗江河湖海', '短评打分': 4}
{'短评内容': '房间挺大的。床根本就不能睡。弹簧异常明显，夜晚被子铺一半盖一半睡的。要不然根本没法睡觉。', '短评打分': 1}
{'短评内容': '虽处繁华之地，但不觉吵闹。唯一感觉不便的是，无处停车，还好酒店有变通措施。\n推荐一下！', '短评打分': 5}
{'短评内容': '还不错，比想象中好很多~\n服务也挺好，就是退房速度慢些，可能因为是中午人比较多，可是查房的怎么就一个人呢？耽误了点时间！', '短评打分': 5}
{'短评内容': '房间小不能上网没有早餐', '短评打分': 3}
{'短评内容': '在步行街上，比较热闹。应该说性价比比较高，因为茶叶节所以房价都是客满的。', '短评打分': 5}
{'短评内容': '还可以把           地方有点小     一个人差不多 ', '短评打分': 5}
{'短评内容': '服务态度和价位都还不错，下次还会继续入住，周围环境各方面还不错', '短评打分': 5}
{'短评内容': '前台态度冷淡，房间狭小，淋雨龙头是坏的、且设施简陋，是我住过的莫泰中最差的一家连锁酒店，在也不会去了。', '短评打分': 1}
{'短评内容': '价格不错 环境还行', '短评打分': 3}
{'短评内容': '吃饭、买东西都挺方便，也挺干净的，价格也不贵，值得推荐！', '短评打分': 5}
{'短评内容': '真是达不到快捷酒店的标准，希望提高服务水平、改善卫生条件、丰富早餐品种。', '短评打分': 1}
{'短评内容': ' 热水不是很好。其他的还行吧。相对而言是偏贵的。', '短评打分': 3}
{'短评内容': '房间小.卫生很差，被褥等不干净.服务态度不好\n', '短评打分': 1}
{'短评内容': '环境还可以，就是有些冷，没有暖气空调要打到最大，还加了床被子，服务态度还行。', '短评打分': 3}
{'短评内容': '住的不错环境卫生情况也好的。', '短评打分': 3}
{'短评内容': '酒店位置离火车站比较近，步行就可以到达很方便，房间中还有电脑上网,一般吧!', '短评打分': 5}
{'短评内容': '位于商业步行街，购物很方便，很好，就是毛巾有点旧。', '短评打分': 5}
{'短评内容': '挺一般的，说实话出差要住，去玩就不住了，位于繁华地段，但没有什么觉得便利的', '短评打分': 1}
{'短评内容': '感觉很好', '短评打分': 3}
{'短评内容': '位置较好,出行方便,房间中还有电脑上网,性价比较好', '短评打分': 5}
{'短评内容': '我已入住信阳莫泰了.陈秋初', '短评打分': 3}
{'短评内容': '一般吧，逛街还挺合适，早餐太差。卫生还行，最好的是淋浴，洗澡真舒服。', '短评打分': 5}
{'短评内容': '房间的桌子上有2瓶矿泉水，还有其他的一些物品比如可以购买的毛巾。避孕套什么的，在桌子上有张贴的价目表，但是没有任何可以显示矿泉水价格的标示，我结账的时候他们要收我3块钱一瓶，当我说你没任何价格标示，我拒绝付钱。但是酒店的服务员竟然后在我喝剩的瓶子上临时贴了个标签，以表示他们有价格提示，做法太龌龊了，我在喝水之前检查过有收费提示吗，有标签的话我不可能看不到，他们竟然用一个错误的做法去掩饰自己的错误，', '短评打分': 1}
{'短评内容': '酒店位置离火车站比较近，步行就可以到达很方便，该店比较新，环境还可以。', '短评打分': 5}
{'短评内容': '服务很好，因为在步行街就是白天吵了点。', '短评打分': 3}
