{'短评内容': '一般一般', '短评打分': 5}
{'短评内容': '三人间很给力啊，房间超大，装饰也很有特色很温馨，双人间就稍逊了', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '酒店整体说来还可以，服务员的态度也挺好，房间隔音效果改进一下就好了。其他没什么挑剔的，属于性价比还可以的快捷酒店', '短评打分': 5}
{'短评内容': '总体还行，住了几次了，房间略微有点味道，整体不影响入住。要是隔音效果再改进一下就更好了', '短评打分': 5}
{'短评内容': '房间很好，很满意。就是电视节目少了点，而且停车位也不够，停在旁边还要交费', '短评打分': 5}
{'短评内容': '干净宽敞，房间设施感觉还不错！物有所值。', '短评打分': 5}
{'短评内容': '服务不错。住的也算温馨。唯一需要改进一下床单的洁净程度，注意在舒适的同时保持较高的洁净度', '短评打分': 5}
{'短评内容': '住的时尚标间在一楼阴面，没有窗户，洗手间是透明玻璃门，跟床隔开的也是玻璃墙，有拉帘，情侣适合，不然就尴尬了，床有些黑渍，拖鞋不是一次性的酒店说有消毒。衣架只有两个', '短评打分': 5}
{'短评内容': '7.14又住了一次，100元特价房，宽带不好用，修了半天没修好，酒店免费升级到128房间，很满意。', '短评打分': 5}
{'短评内容': '真的很不错，干净，安静，服务好，停车也很方便，去潍坊再住哪里。', '短评打分': 5}
{'短评内容': '很不错,   室内设计的很独特   令我和朋友们都很喜欢', '短评打分': 5}
{'短评内容': '还不错，就是网速有点慢', '短评打分': 3}
{'短评内容': '又续了一晚，很好！特别感谢送我到马路上并帮我叫车的服务生！', '短评打分': 3}
{'短评内容': '性价比高，下次来，还选择！', '短评打分': 3}
{'短评内容': '总的还不错，但是隔音比较差。位置较好。特价房', '短评打分': 5}
{'短评内容': '环境挺好，服务态度不错，就是隔音效果很差，旁边说话能听见。', '短评打分': 5}
{'短评内容': '1楼房间味道都有些大，不过价位比较低，想必来说也算可以了。位置容易找到，交通便利', '短评打分': 5}
{'短评内容': '还不错，这个价位也算是可以了。只是1楼房间装修的气味比较大', '短评打分': 5}
{'短评内容': '看网评这家酒店的评价很高，真正入住后发现离预想略有差距，刚进房间就有苍蝇蚊子成双成对~早餐干净，样数少一点了，对得起价格了不过。床和枕头不错，睡着挺舒服，就是隔音得改进。总体来说性价还成吧', '短评打分': 1}
{'短评内容': '地理位置挺好的 酒店很干净 打扫卫生也很及时 服务态度不错', '短评打分': 5}
{'短评内容': '很雅致，很舒适，很不错的酒店，服务态度也很好', '短评打分': 5}
{'短评内容': '酒店很干净 啊   服务态度也很好啊   有的房间很有情调啊', '短评打分': 5}
{'短评内容': '入住', '短评打分': 3}
{'短评内容': '设计的很不错，卫生也很好，房间色调明快住的很舒服。', '短评打分': 3}
{'短评内容': '房间很大，也比较新，但是没有柜子，不好放东西~', '短评打分': 5}
{'短评内容': '物超所值，干净整洁，刚刚开业半年左右，还有免费的电影看', '短评打分': 5}
{'短评内容': '酒店不错，很好找，交通很方便，价格也很合理', '短评打分': 5}
{'短评内容': '卫生挺好的.服务也挺好的.', '短评打分': 3}
{'短评内容': '房间真的很不错，服务也很周到，旅店旁边还有一小公园，很温馨，而且离卖萝卜的地也很近，嘎嘎', '短评打分': 5}
{'短评内容': '新开的酒店 地段一般 不大好找 环境典雅 房间也没得说 很喜欢 风格多样 价格很实惠 隔音好 ', '短评打分': 5}
{'短评内容': '服务态度不错', '短评打分': 3}
{'短评内容': '性价比很高，服务号，位置也不错，直达公交车到火车站和汽车站，如果房间里又镜子，电视信号好一点就更好了', '短评打分': 5}
