{'短评内容': '商品很好，值得再次购买，物流也非常给力', '短评打分': 5}
{'短评内容': '位置比较方便，离地铁近，就是房间有点小，其他满意', '短评打分': 4}
{'短评内容': '非常适合出差住，在大厦的4、5楼，比较安全。', '短评打分': 4}
{'短评内容': '离地铁近，离北京路也近，出行很方便。不过广州的天气比较潮湿，不是太让人舒服。', '短评打分': 4}
{'短评内容': '离公园前地铁站非常的近，离北京路也就一站地，适合出差时住。', '短评打分': 4}
{'短评内容': '表错表错，灰常好的酒店', '短评打分': 5}
{'短评内容': '环境舒适，很好', '短评打分': 5}
{'短评内容': '房间比较干净，服务人员的态度很好。地理位置很方便，靠近地铁站。买东西和吃东西很方便。', '短评打分': 5}
{'短评内容': '真正的如家品质，感觉非常不错', '短评打分': 5}
{'短评内容': ':如家快捷酒店（广州解放中路公园前地铁站店） ', '短评打分': 5}
{'短评内容': '如家一直是我出行的入住酒店，这家依旧不错，很好！', '短评打分': 5}
{'短评内容': '位置好，离公园前地铁站超近，去北京路也近，有闲情步行到上下九也可以。去广州东站有直达地铁，总得来说交通极为方便。而且酒店新开，房间很新。', '短评打分': 5}
{'短评内容': '去香港和从香港回来都是住的这间酒店，就在公园前地铁站旁边，交通方便，到上下九路坐出租车只要10块钱，酒店坐地铁到机场只要40几分钟，酒店的房间干净，而且大，前台服务态度也不错，房间新，总之很好！', '短评打分': 5}
{'短评内容': '去香港和从香港回来都是住的这间酒店，就在公园前地铁站旁边，交通方便，到上下九路坐出租车只要10块钱，酒店坐地铁到机场只要40几分钟，酒店的房间干净，而且大，前台服务态度也不错，房间新，总之很好！', '短评打分': 5}
{'短评内容': '去香港和从香港回来都是住的这间酒店，就在公园前地铁站旁边，交通方便，到上下九路坐出租车只要10块钱，酒店坐地铁到机场只要40几分钟，酒店的房间干净，而且大，前台服务态度也不错，房间新，总之很好！', '短评打分': 5}
{'短评内容': '就在公园前地铁站旁边，交通方便，到上下九路坐出租车只要10块钱，酒店坐地铁到机场只要40几分钟，酒店的房间干净，而且大，前台服务态度也不错，房间新，总之很好！', '短评打分': 5}
{'短评内容': '各方面还可以，就是太不隔音了，两天晚上都没睡好', '短评打分': 5}
{'短评内容': '不错非常干净', '短评打分': 3}
{'短评内容': '房间略小，不过地点很好，离地铁口很近，出行很方便', '短评打分': 5}
{'短评内容': '地理位置很方便，设施很新，干净且热水够热。就是大床房的床只有1.5m，房间还是小了点，1家3口住还是有些挤。', '短评打分': 5}
{'短评内容': '很干净服务好，下次还来', '短评打分': 3}
{'短评内容': '虽然房间很小，但是很舒服，早餐蛮不错，一直出行都会优先考虑如家', '短评打分': 5}
{'短评内容': '位子很不错 离公元前地铁站就5分钟 很方便 住的感觉也很好 旁边的商场 超市 烟店离的非常近 价格也很公道', '短评打分': 5}
{'短评内容': '一切都不错，就是无窗有点憋屈，有钱就不住无窗的！', '短评打分': 5}
{'短评内容': '酒店想的很周到 细节做得很好 装修明快 房间干净 在地铁口旁边 ', '短评打分': 5}
{'短评内容': '洒店虽房间虽小但基本上还好', '短评打分': 3}
{'短评内容': '离地铁很近，房间比较舒服，不过预定的房型没有，换房了', '短评打分': 3}
{'短评内容': '还好很干净！', '短评打分': 3}
{'短评内容': '酒店环境很好，干净卫生，价格实惠，服务热情，下次还会再光顾！', '短评打分': 3}
{'短评内容': '安静，卫生，蛮不错的，交通也挺方便的，下次还来', '短评打分': 5}
{'短评内容': '住的是5楼的单人房！就是冲凉房的下水道可能塞了，下水很慢很慢，希望尽快改善！！', '短评打分': 5}
{'短评内容': '干净、舒适，而且非常方便，地铁可直达火车站。南北两侧有五六家餐馆。', '短评打分': 3}
{'短评内容': '位置很好找，下了火车就搭地铁，到公园前站，出来走了不到200米就到了。卫生不错，离北京路步行街很近，坐车坐地铁都方便。美中不足的是隔音效果不太好。晚上睡觉的时候听到隔壁人很大声说话。', '短评打分': 5}
{'短评内容': '一如既往的好，感觉还是如家干净，睡眠质量很好', '短评打分': 5}
{'短评内容': '结账不能刷卡，服务态度不行，同等价钱下比窖口的如家相比 房间小很多。不推荐', '短评打分': 1}
{'短评内容': '位置不错。', '短评打分': 3}
{'短评内容': '空间太小了，但卫生还是不错的。方便逛街，有需要还会入住的。', '短评打分': 3}
{'短评内容': '第二次住如家，还是很满意的，地理位置很不错', '短评打分': 5}
{'短评内容': '个别客户半夜没顾及别人，深夜还在打闹很吵，影响休息。当时很想起来投诉的。建议加强宣传跟管理，提醒并要求住店客户必须遵守不影响他人休息。也避免客户对贵酒店留下不好印象。第二次来，其他还是一如既往的好。', '短评打分': 3}
{'短评内容': '服务不错', '短评打分': 3}
{'短评内容': '这个如家位置挺好的，坐地铁到哪都方便，下次来了还打算住', '短评打分': 5}
{'短评内容': '帮人订的，反应给我就是隔音比较差，连隔壁说话的声音都听到一清二楚，其他还可以', '短评打分': 1}
{'短评内容': '刚入住，感觉不错，物有所值。干净、方便、服务热情', '短评打分': 5}
{'短评内容': '酒店位置很方便，旁边就是地铁站。很干净，虽然里面住的人很多，但是隔音效果还算OK。', '短评打分': 5}
{'短评内容': '房间确实挺小的，床的质量比较一般，不过就是出行方便，总体还是可以的', '短评打分': 5}
{'短评内容': '交通方便，公园前站A出口出高架桥处左转，100米左右~~附近购物方便，饭店物价便宜。   酒店房间虽然小但是干净，服务态度好。记得一定要带身份证哦', '短评打分': 5}
{'短评内容': '酒店不错,空间合适,布局合理,有情调,以后还会优先选择如家', '短评打分': 5}
{'短评内容': '地理位置很好，公交地铁都很方便，只是房间有点小，如果被子能再干净点就非常好了', '短评打分': 5}
{'短评内容': '酒店很方便，很干净', '短评打分': 3}
{'短评内容': ' 还不错，服务可以，环境也好。', '短评打分': 3}
{'短评内容': '位置很好 就在地铁站旁 价性比很高 美中不足的是清潔做的不是很好 毛巾有臭味 床上还有上一客人留下的头髪', '短评打分': 5}
{'短评内容': '这是我住过最放心的酒店。可能是今年初新开的，感觉上很干净，也没有异味。经常要去广州，有房的情况下一定是首选这家。如家的服务员态度很好，跟五星级酒店的差不多。', '短评打分': 5}
{'短评内容': '房间很漂亮，很精致。', '短评打分': 3}
{'短评内容': '我們入住的時候，這一家酒店還比較新，有一點點剛剛裝修過后的味道，另外，早上自助餐也還沒沒有設置完畢。這是期待改善的地方。我是在網上預訂的這家店，當時還很擔心酒店位置和衛生情況。前臺工作人員很忙，但是態度很好，入住也順利。另外這里交通位置好，距離公元前地鐵站很近，幾分鐘步行，距離北京路步行街也很近。房間很干勁，衛生間也沒有異味。整體很溫馨，這是值得贊的地方。另外，旅客退房之后還可以免費寄存行李在前臺', '短评打分': 5}
{'短评内容': '这家如家是我到现在为止住过的算是最好的一家了。地段很不错，离地铁口很近，也比较容易找，前台的服务态度很不错。如家的房间都差不多大，房间虽小了些，但是很干净很整洁，住的很舒服。希望你们能一如既往的保持下去哦，以后再有机会去广州 首选还是你们这家店。', '短评打分': 5}
{'短评内容': '如家的一贯特点 房小 但干净  位置不错  ', '短评打分': 5}
{'短评内容': '＋酒店应该是新建的，装修设备都还比较新，楼道比较干净，环境也很安静，服务人员很热情，总体不错，比上次在沙园地铁站店的好多了！我是先在网上预订的特惠大床房，性价比较高。', '短评打分': 3}
{'短评内容': '广州的服务态度没有深圳的好，哈哈。新店的原因吧，一股油漆味快呛死人', '短评打分': 3}
{'短评内容': '靠近地铁,交通方便.但在如家的团购活动中找不到这家分店,说明地理位置好不愁买不出去.', '短评打分': 5}
{'短评内容': ' 这里不错，附近有商场又有地铁站，真的很方便。下次也会继续选择如家！', '短评打分': 3}
{'短评内容': '总体尚可。新开的店，无法刷卡。有装修味道。房间比想象的还小。位置还不错。如家都没有刮胡刀？', '短评打分': 5}
{'短评内容': '如家酒店，很温馨很舒服，家一样的温暖。', '短评打分': 3}
{'短评内容': '位置很好，服务热情。但是无停车场，不能使用信用卡。', '短评打分': 5}
{'短评内容': '不错价廉物美', '短评打分': 3}
{'短评内容': '环境不错，位于公元前地铁站旁边，早餐实惠，推荐。', '短评打分': 5}
{'短评内容': '很好很精致，是新的。就是我住了半个月写少', '短评打分': 5}
{'短评内容': '不錯,,滿干淨的,,也不會很吵,.就是房間有點小', '短评打分': 5}
{'短评内容': '位置很好，地铁站、北京路、购物广场附近，酒店房间内配套齐全，洗手间和浴室都干净舒适，唯一美中不足是房间有点小', '短评打分': 3}
{'短评内容': '还好！很讲信誉的！到店后，预订的小房间没了，就按原预订价按排了大房。服务客气！', '短评打分': 3}
{'短评内容': '环境好，干净，新装修的酒店，交通很便利，附近有商场和超市，还有人民公园', '短评打分': 5}
{'短评内容': '环境干净，交通非常便利，因为是新店价格很便宜，不好的就是旁边是小学，非周末会有点吵', '短评打分': 3}
{'短评内容': '刚刚入住，早上8点到的前台说房间还没打扫，汗~~~~~等到9点半才搞好。还行，东西都很新，环境不错。', '短评打分': 5}
{'短评内容': '酒店位置比较近地铁站，环境装修不错，日用品都有提供。唯一美中不足是床垫很软，很差，好像用了很久，睡了一晚', '短评打分': 3}
